	HMP_2012__SRS022071__bin.72	KarlssonFH_2013__S278__bin.14	RaymondF_2016__P1E0__bin.43	NielsenHB_2014__O2_UC31_0__bin.13	NielsenHB_2014__O2_UC40_2__bin.1	ZeeviD_2015__PNP_Main_223__bin.14	RampelliS_2015__H16__bin.44	RampelliS_2015__H15__bin.1	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	ZeeviD_2015__PNP_Main_282__bin.34	NielsenHB_2014__V1_CD38_0__bin.62	XieH_2016__YSZC12003_37583__bin.3	LiJ_2014__O2.UC31-1__bin.33	RampelliS_2015__H27__bin.20	NielsenHB_2014__O2_UC44_0__bin.31	XieH_2016__YSZC12003_36526__bin.4	ZeeviD_2015__PNP_Validation_93__bin.16	XieH_2016__YSZC12003_37196__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.64	LeChatelierE_2013__MH0430__bin.89	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	LeChatelierE_2013__MH0457__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	NielsenHB_2014__MH0069__bin.2	ZeeviD_2015__PNP_Main_643__bin.24	ZeeviD_2015__PNP_Main_756__bin.41	RaymondF_2016__P1E7__bin.24	ZeeviD_2015__PNP_Main_116__bin.30	ZeeviD_2015__PNP_Main_744__bin.5	CosteaPI_2017__SID713B040-11-90-0__bin.59	XieH_2016__YSZC12003_35561__bin.37	LeChatelierE_2013__MH0069__bin.18	ZellerG_2014__CCIS00146684ST-4-0__bin.38	XieH_2016__YSZC12003_35550__bin.17	LeChatelierE_2013__MH0126__bin.18	LiJ_2014__V1.FI14__bin.49	CosteaPI_2017__SID713B063-11-0-0__bin.59	QinN_2014__HD-18__bin.24	XieH_2016__YSZC12003_35698__bin.46	XieH_2016__YSZC12003_37181R1__bin.36	LiJ_2014__O2.UC40-1__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.41
HMP_2012__SRS022071__bin.72	1.0	0.6508337220555165	0.8755919600648876	0.9233936490917826	0.750129148593986	0.9510551196452068	0.629910953610939	0.8578843302026693	0.8521579302806458	0.7362214811359507	0.9694171952127992	0.5791217895608948	0.5908050378394937	0.7545939999860756	0.9376090452751109	0.9364811707615938	0.9161634164850696	0.9108415197064741	0.7964054221522909	0.4629931840176004	0.941925602055238	0.7098793452758071	0.6252866681055189	0.8045511825276921	0.7771640221954564	0.6322377169591946	0.8537947407629166	0.9060703320267627	0.8614440971086031	0.4908628240028406	0.48632417341418754	0.8836172745817465	0.731900050823975	0.7011961039593965	0.6880215549351472	0.8786302590630287	0.7894070304178009	0.9467580569924738	0.7660085077941698	0.752574965363113	0.5654062785014585	0.861813789310256
KarlssonFH_2013__S278__bin.14	0.6727250483955699	1.0	0.8066048258838938	0.8744492979943724	0.7151893724048101	0.8921401276635554	0.6249591606157212	0.7722313776005872	0.8269136939672853	0.7129023668851964	0.9152692520815492	0.5328427809641693	0.5794291841478422	0.6869198828431408	0.8596614828834405	0.878431048006966	0.8805251908836419	0.8688548420757202	0.7514576241913082	0.46111155088911115	0.8433638699184651	0.6684504062349326	0.5916522139623918	0.7766657791147029	0.7569218258623047	0.5982095438222785	0.7980958412193525	0.8638699184651588	0.832961521024187	0.43996502565504936	0.4419174000964313	0.8439402989370965	0.7079980425881015	0.661685101360833	0.6706057182334357	0.8535035514072496	0.7041364719089803	0.8874178714584877	0.7092660425017451	0.715600284976144	0.5175706503357105	0.8054570053037227
RaymondF_2016__P1E0__bin.43	0.6512137645419509	0.5803835186304223	1.0	0.8487968504931849	0.706396413050176	0.919924317388515	0.5846782065043757	0.755675548603139	0.7957734554735523	0.7122460741198712	0.9505634512430724	0.5844741907071322	0.5641564956506835	0.6747848384158639	0.8970776549367939	0.9073317788779441	0.849838159549674	0.893442652661034	0.7672505971604522	0.45655317899590053	0.8507179129494626	0.6565730627690329	0.6095614022823879	0.7882409229798941	0.7576825669536869	0.5820223764940662	0.8515510637559722	0.8685128542897428	0.7968163179498173	0.4590878422636847	0.4675265362933229	0.8499479345471755	0.6691169274599568	0.6947778687391357	0.6437702947821148	0.8181344153419879	0.7337195134896385	0.9253157196243003	0.7422555551585706	0.7370738645925405	0.5631897507434408	0.8350573703813594
NielsenHB_2014__O2_UC31_0__bin.13	0.6730840572266946	0.6166652879832771	0.8318870690832026	1.0	0.7132879873370891	0.9498939090444506	0.6085576146713566	0.8021095378331867	0.8566485610859086	0.7067433857452934	0.958946022769083	0.5880209837303518	0.6110747691297396	0.6937876526468945	0.9135027574513608	0.9214444812657226	0.9091566060841044	0.910059432249722	0.7586607114310784	0.4595293834646297	0.8994340969886002	0.6625165759188502	0.5964158968453863	0.7796114548797526	0.7627906717097721	0.6060749695886127	0.8240118265660279	0.8800971743418732	0.8507560851955286	0.48817571768082785	0.4858580071140063	0.8675895556359646	0.7174189625974192	0.6742451962187874	0.6523723419534032	0.8644436200538042	0.7180675358631073	0.932992942325191	0.7614290738444814	0.7345711372716989	0.5811871123721694	0.8315703948126318
NielsenHB_2014__O2_UC40_2__bin.1	0.6561979081972286	0.6052743930477066	0.8308554612155307	0.8560148312994501	1.0	0.9247240904470524	0.6460361050055027	0.8081535604680581	0.8161130813498481	0.7309244652491911	0.9547149609636933	0.6170550199064152	0.5140958857639136	0.7006570913673091	0.9079073263038139	0.9090243024532669	0.8604273134165645	0.9060132173480892	0.7724803630842427	0.4243985595027325	0.8521614462953117	0.6996095455782909	0.5996304355902464	0.8236493206482847	0.7614086567478697	0.5691480712063159	0.8267584609116206	0.8806571279096042	0.8004668887220124	0.4991275527076927	0.5171100160603387	0.8786473016864879	0.6831551591934628	0.6983853786969383	0.7253937889061247	0.8205998661333928	0.6774289815723297	0.9340222774010877	0.7659654809300989	0.7503131979197689	0.6005470381556373	0.8380524662090353
ZeeviD_2015__PNP_Main_223__bin.14	0.6202180433307999	0.5628649833053196	0.8066200287128524	0.8498286945095977	0.6893695249666515	1.0	0.5844867963557742	0.7540011387070499	0.7759861756968678	0.695655115237335	0.9444748644493661	0.6279224771146217	0.5173634663913429	0.6492736883302505	0.8892407620801471	0.8977969560017761	0.8278854282728066	0.8769506260618625	0.7290726257186159	0.43158586296105605	0.842597813936721	0.6369817361922689	0.5679655554738302	0.7651271419996749	0.7455144113638241	0.5500808627295007	0.7980547541927393	0.8628797846808487	0.7773237478535735	0.49078410059850225	0.5188799263381851	0.8573306309472245	0.6478798164629435	0.6505576849559	0.6358298622745628	0.783995717589755	0.66939493248121	0.911110021439293	0.7542281536691521	0.7091788505596827	0.5810702211761373	0.8038645211028569
RampelliS_2015__H16__bin.44	0.6245495837532616	0.5994760675382768	0.7794403103557771	0.8277649690058398	0.7322270235942181	0.8886357047202242	1.0	0.811128215040106	0.7958216558750846	0.6840728673394724	0.9139356370715006	0.6409053884279265	0.4512011099913023	0.6857903165684149	0.8654142448883796	0.8661176535556997	0.8277891292642856	0.8521095357088619	0.720579708144078	0.3404553173277374	0.8107734043875029	0.6788528709289965	0.5687083235541811	0.7750079383706322	0.7120090290337278	0.5317134455289716	0.7654591139397788	0.8521364571397015	0.7730281777642787	0.5394902875761048	0.5575455938591526	0.8528785222205348	0.6416336476467909	0.6471649662446675	0.6827157511079204	0.7991205665925752	0.6411752930294203	0.8771830519238468	0.786057459997515	0.7056265790454627	0.6351076166940482	0.7982521778747256
RampelliS_2015__H15__bin.1	0.6578991627597055	0.5729417776019401	0.779191420542794	0.8438822620491111	0.7084768911320657	0.8866738318759981	0.6273824187546951	1.0	0.7898495359432421	0.6757278266937684	0.9137622741584216	0.600893568877577	0.4911809727919596	0.7017468267786617	0.866482037055131	0.8605517851889464	0.8290339407743659	0.8556909755202919	0.7141225635218232	0.3799862141799599	0.8731918124402344	0.6541206093738237	0.5442473033024567	0.7535808694250054	0.7148551020615194	0.5465997557848921	0.7686390213455964	0.8318135294315512	0.7810275721740003	0.5048722889533509	0.516508012273758	0.8422388556167606	0.6513928109778269	0.6456942804864441	0.6602596240454174	0.78655631603592	0.6873160311147346	0.8802246095574923	0.7408030907573605	0.691205105985833	0.576718195306948	0.78101742768985
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	0.6615117628333488	0.6210264733334523	0.8305869877861531	0.912300158300622	0.7242175090540497	0.923703856233418	0.6230823817190615	0.7995235308010639	1.0	0.7189993714454647	0.9568329498772346	0.608888831239863	0.5629632752285199	0.6945068224919836	0.8945876752507868	0.8973661781452182	0.9071668728520108	0.8887717893050608	0.7591279575977002	0.42610160532720237	0.8692876796285097	0.6679026978122735	0.5999442245674567	0.7907870010814597	0.7645503889417639	0.5956151430299356	0.8234831865715242	0.8738221358207446	0.8592459399322372	0.5025307021597307	0.5131999154721157	0.8667534644812641	0.725990216600001	0.6751745819679972	0.670677957948999	0.8734973195905261	0.7029515040180471	0.9123369095546234	0.7537655172711978	0.7328540537443853	0.5811891949151398	0.8189087363675818
ZeeviD_2015__PNP_Main_282__bin.34	0.649601469418345	0.6085566589161812	0.8449806647397956	0.8554957290422058	0.7372456392000516	0.941225723421312	0.6087698228650587	0.7774629804251607	0.8172398647299667	1.0	0.9591013941659423	0.579428757475328	0.5834364854363564	0.690050403752177	0.9054344520857202	0.9131409124277039	0.8675287418105421	0.9035417773696061	0.7669700311145649	0.46345896901136774	0.8578847624634872	0.6739322605514619	0.6043689394939967	0.8120299412416954	0.7862985339603343	0.6040783730737689	0.8364713073338842	0.8883997653353647	0.8173590399636331	0.45214223625568617	0.47945609406243184	0.8694711752582386	0.6934548838809353	0.6935113999711277	0.6777575398300217	0.8258198672486186	0.696489552202131	0.9315135561828296	0.7487657070193598	0.7337791142331473	0.5496177485095417	0.8340527872568503
NielsenHB_2014__V1_CD38_0__bin.62	0.6117720613563349	0.5588049468896528	0.8065628712627679	0.8302151654469916	0.6887376890144885	0.913967212884268	0.5817103218958039	0.7519371568565423	0.7778530555145482	0.6859696944133961	1.0	0.6143871572080337	0.5155754616839249	0.6403983979022995	0.8765013075479259	0.8828307885357572	0.8195430084850018	0.8710299048864332	0.7253604544080534	0.41251291730813844	0.8324185770223056	0.6452344798982081	0.572354060779889	0.7606031767790736	0.7347408805561999	0.5453024056069905	0.7960234022959417	0.8408183422260652	0.774364503588727	0.5395704599616171	0.5226237425395955	0.8538406584136491	0.6470859607313832	0.6541456650568361	0.6360069524994552	0.7835182177981174	0.6603969392130811	0.890846549409143	0.7429341445754336	0.7032406626315456	0.5831993272455027	0.7938054917012886
XieH_2016__YSZC12003_37583__bin.3	0.5584675158833691	0.4971180656496924	0.7578295627046475	0.7779262291945153	0.6802258013187409	0.9285286995006885	0.6233531683821757	0.7556052532107468	0.7563948058714252	0.6332709165994719	0.9388392098833731	1.0	0.30285789864856244	0.6128868959099695	0.8505959578394993	0.856592126897763	0.7836612281975036	0.8383209652415554	0.6789635912829627	0.15148937427280254	0.7772978097298938	0.6070847580752908	0.48325322551732147	0.75586038077117	0.6749419752647117	0.43918799611400444	0.7446931788961167	0.8148431871877625	0.7303415822339909	0.7486953246531776	0.800509718010193	0.8636806447476285	0.581431681874731	0.5930775836197364	0.6317676781579253	0.7506208663460564	0.5847913090125153	0.8613113153772766	0.8937138583276657	0.6805977504463054	0.8280185115186737	0.7449436067383217
