	DavidLA_2015__LD-Run2-22__bin.1	ZeeviD_2015__PNP_Main_443__bin.22	VatanenT_2016__G78887__bin.6	BritoIL_2016__WL.35.ST__bin.11	CM_madagascar__A29_01_1FE__bin.15	BritoIL_2016__W2.35.ST__bin.26	LiuW_2016__SRR3993055__bin.131	DavidLA_2015__LD-Run2-12__bin.11	CM_madagascar__A75_02_1FE__bin.76	ZeeviD_2015__PNP_Main_213__bin.65	QinN_2014__HD-62__bin.43	LeChatelierE_2013__MH0126__bin.42	CosteaPI_2017__SID713A023-11-90-0__bin.81	QinN_2014__HD-60__bin.35	BackhedF_2015__SID577_12M__bin.7	ZeeviD_2015__PNP_Main_379__bin.11	NielsenHB_2014__MH0126__bin.29	RampelliS_2015__H16__bin.38	YuJ_2015__SZAXPI015215-20__bin.66	CosteaPI_2017__SID713B026-11-0-0__bin.34	QinJ_2012__T2D-006__bin.30	NielsenHB_2014__V1_UC21_0__bin.11	CosteaPI_2017__SID713A051-11-0-0__bin.32	CosteaPI_2017__SID713B026-11-90-0__bin.4	CM_madagascar__V07_01_2FE__bin.6	NielsenHB_2014__V1_UC21_4__bin.66	DavidLA_2015__LD-Run2-29__bin.1
DavidLA_2015__LD-Run2-22__bin.1	1.0	0.7213307642547017	0.6984937632235848	0.5900476127787936	0.8446931498445136	0.43028497750376515	0.6769291237900754	0.46636839655353773	0.6617439290400159	0.6586820727400307	0.6405515498561034	0.7099317900804927	0.6299909485959616	0.810510084725425	0.7865563029455171	0.6556712368803458	0.6690587484623006	0.7607512980292883	0.7280005845304766	0.8532765515725319	0.7264353278126278	0.8182884972842639	0.6032908813875544	0.569949968474407	0.7413427446099424	0.6546873612291265	0.5789125591537914
ZeeviD_2015__PNP_Main_443__bin.22	0.39784275333821556	1.0	0.5975402329837511	0.5308481825849996	0.7240773268150874	0.46549815805820005	0.6189845071224992	0.3775643706895713	0.5730853463142405	0.546003729741072	0.5840810648938817	0.6266451368150735	0.5993276321841636	0.7019823629382689	0.7371894372176465	0.6450537852564058	0.5851211957405357	0.6685936069125277	0.6451590489994038	0.7774436126794521	0.6046387612368178	0.7566364794801708	0.504058733694542	0.44830577484537	0.6315487596943391	0.5534892672670753	0.42648699801701173
VatanenT_2016__G78887__bin.6	0.4535761834546425	0.7035222947782179	1.0	0.5431978583596982	0.7338058903288742	0.4328784324632749	0.6600019224043961	0.38717101832215	0.5749932000057264	0.5737485454147587	0.5826893619458005	0.6430966253622402	0.6026251045563029	0.711353843070448	0.7577864535933624	0.6219190913162539	0.6054882600399615	0.7078967873350362	0.6545500653412983	0.7943334062756278	0.6328187152203301	0.8090946088827354	0.5313955224338457	0.496226156561432	0.6666059950385606	0.6199725546095781	0.45550226905072083
BritoIL_2016__WL.35.ST__bin.11	0.37664331306227067	0.6143792531537418	0.5339659245112328	1.0	0.706811278082123	0.5169334070462883	0.5761049404432829	0.42012484294114694	0.5763936271799769	0.5198765643061769	0.5649398401769111	0.6150547318691261	0.5812253103482937	0.7303050711162488	0.7265654118711363	0.6658382670754386	0.5804485098256018	0.6836713072322461	0.6585085188721919	0.7032923556315023	0.6006939739659245	0.6710394531838971	0.4678699301402221	0.4145525456098909	0.6445305322410414	0.4661856561290647	0.4413855355078655
CM_madagascar__A29_01_1FE__bin.15	0.41523801266737986	0.6453660024368683	0.5555096599995974	0.5443251469629716	1.0	0.4506252409387671	0.5760564535980963	0.36119341519187625	0.6109563082220306	0.535287678952673	0.6044083472800432	0.6002170577680207	0.5787915053312298	0.720184669404918	0.7105907779864409	0.6006198996456168	0.5639885371204393	0.7060567167922516	0.6587625849381726	0.7528399423449981	0.6214205981938689	0.6897111211916194	0.4993861383379444	0.44772391242756354	0.6866571400703813	0.5054832631740287	0.41554796249018827
BritoIL_2016__W2.35.ST__bin.26	0.3319821490099874	0.6511776978287904	0.5143239955659252	0.6248128372392296	0.707254844119724	1.0	0.5519844719908287	0.3983737190194299	0.5689679890324202	0.5089024109916844	0.7006790588136955	0.5729666263465878	0.5598140837760199	0.7456792799342566	0.6982574241835913	0.6270459119182038	0.5220350284127773	0.6839633163418787	0.6575513157645353	0.7310221455886934	0.5996162707798656	0.6645605945664603	0.3052494021240209	0.2759147223041637	0.6474633583790842	0.3414198661515934	0.38302357825553857
LiuW_2016__SRR3993055__bin.131	0.3489591704665411	0.5785410754984159	0.5239488691619041	0.4652536751061059	0.6040853886424911	0.3688074872057634	1.0	0.3345574757598694	0.4979642543917327	0.4699719811007995	0.4840915061075616	0.520036159283984	0.5010876034635763	0.5903584334483767	0.6198748777075223	0.5136943222196138	0.48811429139200574	0.5763337226560838	0.5666571527745984	0.6502056851512173	0.5069365364951927	0.617427566973092	0.4098402867545517	0.39680398167747777	0.5459311551391091	0.4577208156490212	0.3535557116310091
DavidLA_2015__LD-Run2-12__bin.11	0.4729916543585917	0.6942859442635854	0.6046993422632888	0.6675126871125512	0.7451883518763639	0.5236685558922886	0.6582088045750265	1.0	0.6261121985373408	0.6020629015030332	0.6339972453761671	0.6362976629137685	0.6117737171067762	0.7475909818010844	0.7469962334735346	0.6933660327795126	0.603928916395378	0.718003689867175	0.7120051003981173	0.7836400130831855	0.6546000684822993	0.7399371904881152	0.4671323292669839	0.44083627619831245	0.7070164970792809	0.5059244854883963	0.5237126349842337
CM_madagascar__A75_02_1FE__bin.76	0.39294704297797506	0.6170017078084172	0.5257981554472206	0.5361916246322377	0.7379995227412308	0.4378983857732004	0.5736022040677707	0.3665826102763239	1.0	0.5056429491001279	0.5594303116170619	0.5880692040176512	0.5499906119160592	0.6785830501323683	0.6847933985686725	0.5990252101846123	0.5541569014385835	0.6658238585997467	0.6138479100479428	0.6900626944474159	0.5684641917532975	0.6536747055096458	0.4719659096604506	0.4094962526209959	0.655749060630565	0.46703361233272567	0.4142699623953004
ZeeviD_2015__PNP_Main_213__bin.65	0.425408842386175	0.6393656230676604	0.5706430826309109	0.5260023757607316	0.7032662641976113	0.42599708725225366	0.58880463436066	0.383396524229505	0.5499593191655547	1.0	0.5533256582159014	0.6422608780551308	0.5953611644482052	0.6997770690272399	0.7165627949360497	0.6012220522667361	0.6109256517069678	0.6680915806945033	0.6388628079539167	0.734869170436424	0.6159180037100921	0.7073241774335276	0.49453859797572164	0.45156865297620985	0.6150600449116411	0.5199775441793862	0.44479773489113805
QinN_2014__HD-62__bin.43	0.4040624017844975	0.668021568770023	0.5660355842588188	0.5582816503740682	0.7755801345127736	0.5728685025788833	0.5923663782433715	0.3943277679040777	0.5942870811077775	0.5404362784772807	1.0	0.5930533652629325	0.5788674210411926	0.7616961626073243	0.7376444649467754	0.6375827592879334	0.5478095683107072	0.7254364393967389	0.6864661173154503	0.7649614369432137	0.6451650457507926	0.7044461847585831	0.45241055361458876	0.39145307091939047	0.6728674297824965	0.4758940665221173	0.4131799790764971
LeChatelierE_2013__MH0126__bin.42	0.3685964981130101	0.5899011701299636	0.5141893792228348	0.5002707846869296	0.6339350770820661	0.3855718854855483	0.5237652806938368	0.32573958885204296	0.5141844737031441	0.5163157584914545	0.4881283153137243	1.0	0.5335681442091975	0.6324539371701038	0.6761653879612006	0.5624184866144719	0.8249278888605459	0.6274022329925631	0.56659766235635	0.689001824853325	0.5448459339782457	0.665202859590945	0.4856824231959134	0.4280065930184644	0.5542763050317551	0.5032232534714728	0.3688224790534309
CosteaPI_2017__SID713A023-11-90-0__bin.81	0.3675147439783939	0.6339102316779659	0.5413772070036194	0.531180069448272	0.6868540667658785	0.4232780319315071	0.5670517554979881	0.35188998511822744	0.5403207848757097	0.5377622223447059	0.5353344724319756	0.5995090852303	1.0	0.6777464219441842	0.7161729960131548	0.6209649267853534	0.5758786676220398	0.6598680850282019	0.6041547704348785	0.7152433445405942	0.5767829649635304	0.6739304414925867	0.46245567620202466	0.41200720204302854	0.6094012383104594	0.47587719781734	0.396628268018887
QinN_2014__HD-60__bin.35	0.3948705327675046	0.6200768342968563	0.5336964023394598	0.5573877443803528	0.7137432983265418	0.4708578663706796	0.5579312124677901	0.35911702239634746	0.5567436226889181	0.5278680063006701	0.5882795015559881	0.5934588659714408	0.5660086641885832	1.0	0.7014347127889303	0.5957984485228931	0.5563428494973918	0.6723765083080652	0.7222991615370665	0.70549338524768	0.6839897247400114	0.6638939872053312	0.484511466378781	0.40896602664681414	0.6308535210809461	0.4775212577036064	0.40160450437152717
BackhedF_2015__SID577_12M__bin.7	0.3786368496090635	0.6434209082049669	0.5617617825225032	0.5479293676307119	0.6958481833414292	0.43566239677766194	0.5788495253758515	0.35455785332709916	0.5551477299120855	0.5340927077136354	0.5629188551288091	0.6269189788409746	0.5909769561834554	0.6930810332876689	1.0	0.6325930615668146	0.5878874874241126	0.6748859452670698	0.6644759304034169	0.723997552439707	0.6146493396863169	0.6977211491404733	0.5152945228864474	0.4281098903631255	0.6082293453746508	0.507494288924911	0.3991257673641243
ZeeviD_2015__PNP_Main_379__bin.11	0.3908881645650427	0.6972448573424157	0.5709690501761158	0.6218590172060292	0.7283967074975028	0.48451494919302146	0.5940728946834797	0.4075722300245586	0.6014055470856395	0.5549714234215289	0.6025715165488805	0.6457901179863463	0.634589676382453	0.7290703787429309	0.7834255844867857	1.0	0.608593626784628	0.7068193254275221	0.6761278548414957	0.7625245022568362	0.6014231962208321	0.7231541633183378	0.5102019511682226	0.4324684005377354	0.6587671140284338	0.5159713408085557	0.43723779768833876
NielsenHB_2014__MH0126__bin.29	0.36665235307803135	0.5813786195027018	0.5109851039725731	0.4983227557754294	0.6287273723910206	0.3707928232310924	0.5188960080966125	0.32632600325714683	0.5114214152917451	0.5183796143201241	0.4759107135830203	0.8707061822966682	0.54097943606762	0.625801256051921	0.6692546187212074	0.5594370617470265	1.0	0.6317356422854705	0.5560087041346711	0.6792169454479681	0.5448737907376353	0.663211154657865	0.4908557569966869	0.44003411788828084	0.5503325147893658	0.5024649518435189	0.374739990900976
RampelliS_2015__H16__bin.38	0.3846577433132974	0.6129386394449927	0.5512060922636137	0.5415467167072578	0.7262284102016305	0.44823528250225886	0.5652940219137786	0.35795966114315614	0.5669530178342858	0.5230426539348523	0.5814826881912549	0.6110028787990258	0.5719373307841679	0.6978273809808173	0.708874083515428	0.599478765075158	0.58287702187142	1.0	0.6423986361136246	0.7129714117007464	0.606776245114816	0.6842604951636241	0.4795055561553717	0.4209944994205139	0.6450137283584476	0.49222622347366163	0.41406550820405175
YuJ_2015__SZAXPI015215-20__bin.66	0.37870791330603876	0.6085026139582586	0.524357896840805	0.5366496444001002	0.6971134233432781	0.4433469806365574	0.57182298808769	0.36520052361081756	0.537761088638661	0.514576073475901	0.5661055380527117	0.5676920984899496	0.5387414663396557	0.771246950655087	0.7180568730473134	0.5899770142059744	0.5277934784567571	0.6609148116655772	1.0	0.6995656782611402	0.6833330875835754	0.6622566053439104	0.4498160972644775	0.39793013170548697	0.6032592971229256	0.4721432819388673	0.4000501329506191
CosteaPI_2017__SID713B026-11-0-0__bin.34	0.3884429518385118	0.6416960079004121	0.5568683720568799	0.5015683545367297	0.6971752413608597	0.43132975646991045	0.5741915282187685	0.35174640915773386	0.5290319787188956	0.5179845346679616	0.5520553487642559	0.6041200167574073	0.5581498377163817	0.6592256208255232	0.6846702699106758	0.5822705828073704	0.5642294159022748	0.6419153682113361	0.6121999315825226	1.0	0.5701702092640017	0.715119201539938	0.48373966605045055	0.5746890316690337	0.5992014711191361	0.5304854916810828	0.3875121759309838
QinJ_2012__T2D-006__bin.30	0.3961939154589721	0.5979017615748708	0.5314989979106247	0.5132404966405787	0.6894429867141568	0.4238631936729238	0.5363311505167786	0.3520160993885777	0.5221194825824705	0.5201194262428553	0.5578113158804199	0.5723345693695254	0.5392408855213372	0.7657096489835852	0.6963782559316339	0.550205124294123	0.5422712010437944	0.6544969662491352	0.7164248529158156	0.6830900080318305	1.0	0.6557209787427885	0.47923163757962267	0.408369455958567	0.6040173580980296	0.47970021828165543	0.3997357534633404
NielsenHB_2014__V1_UC21_0__bin.11	0.3998915247058331	0.670418565651255	0.6089019308232979	0.5137367153163791	0.6856537421821758	0.42093185325915317	0.5853159419897275	0.3565383452777232	0.5379641982278265	0.5352092212618964	0.5457443147433438	0.6261166891271679	0.5645603456926628	0.665944729313509	0.7083119655883369	0.5927891633057999	0.5914218328384635	0.6613409935031794	0.6221418268298434	0.7676738698284158	0.5875488585160801	1.0	0.5016708396615719	0.46970910521426334	0.6042129292454195	0.7109733656830219	0.40683683702787543
