	DavidLA_2015__LD-Run2-22__bin.1	ZeeviD_2015__PNP_Main_443__bin.22	VatanenT_2016__G78887__bin.6	BritoIL_2016__WL.35.ST__bin.11	CM_madagascar__A29_01_1FE__bin.15	BritoIL_2016__W2.35.ST__bin.26	LiuW_2016__SRR3993055__bin.131	DavidLA_2015__LD-Run2-12__bin.11	CM_madagascar__A75_02_1FE__bin.76	ZeeviD_2015__PNP_Main_213__bin.65	QinN_2014__HD-62__bin.43	LeChatelierE_2013__MH0126__bin.42	CosteaPI_2017__SID713A023-11-90-0__bin.81	QinN_2014__HD-60__bin.35	BackhedF_2015__SID577_12M__bin.7	ZeeviD_2015__PNP_Main_379__bin.11	NielsenHB_2014__MH0126__bin.29	RampelliS_2015__H16__bin.38	YuJ_2015__SZAXPI015215-20__bin.66	CosteaPI_2017__SID713B026-11-0-0__bin.34	QinJ_2012__T2D-006__bin.30	NielsenHB_2014__V1_UC21_0__bin.11	CosteaPI_2017__SID713A051-11-0-0__bin.32	CosteaPI_2017__SID713B026-11-90-0__bin.4	CM_madagascar__V07_01_2FE__bin.6	NielsenHB_2014__V1_UC21_4__bin.66	DavidLA_2015__LD-Run2-29__bin.1
DavidLA_2015__LD-Run2-22__bin.1	1.0	0.7414592727760599	0.7177492553220303	0.6046961480827338	0.8667264214704091	0.44148679861854284	0.6975867331738053	0.4750966711367291	0.6800067271395359	0.6770443921922349	0.6574720694583456	0.730248633313576	0.6472352275354167	0.8313333530696353	0.80855934023642	0.673014407290506	0.6878216728531575	0.7833672104857713	0.7485397761021517	0.8760700907470967	0.745541537882047	0.8412105323825475	0.6198114259331229	0.5852983026570312	0.7607179142844005	0.6730956620657987	0.5889692548307224
ZeeviD_2015__PNP_Main_443__bin.22	0.4089444304710396	1.0	0.6122934850428211	0.5475541986684658	0.7478071790567535	0.48079405687160326	0.6368098624136872	0.387974016878329	0.5938678137519611	0.5617067873227712	0.6042729436745176	0.6426268132808798	0.6151383853445077	0.7248992872637124	0.7566225832764747	0.6616093749348615	0.6003882599312694	0.6921712957237213	0.6682833741650118	0.7978557462886714	0.6238495680365082	0.7762992603050772	0.5185639385176364	0.4603593419313778	0.6523558928936204	0.5686437722078705	0.43760152913825473
VatanenT_2016__G78887__bin.6	0.4660799924739913	0.7208922410531504	1.0	0.5593476913763802	0.7565426170468187	0.4451568702438386	0.6765521881665784	0.39732908495595853	0.594423800184469	0.5902722247331641	0.6006000355849325	0.6587417249693744	0.6177323399547212	0.7326839424014921	0.7758398759844654	0.6362696356225624	0.6205877240163528	0.7310625783533174	0.6774810776099196	0.8132375948675893	0.6526771526327737	0.8257769888193779	0.5446891533444723	0.5083904771448613	0.6870055688374157	0.6329892774827137	0.46704323978313644
BritoIL_2016__WL.35.ST__bin.11	0.3859938684223752	0.6337140272402875	0.5498412826054179	1.0	0.7262144041815349	0.5270748354023219	0.5951108207267427	0.4292200834296628	0.5948567120671459	0.5370811680152787	0.5807886616072775	0.6332025933557823	0.598477358395738	0.7509570286977937	0.7476894004121224	0.6845506357742374	0.5978179625069105	0.7048338945569684	0.6812218927476504	0.7226391918379655	0.6178736492938633	0.691477509172237	0.4820356837714228	0.4267590088958134	0.6623354274513745	0.4817699150625723	0.450795999396894
CM_madagascar__A29_01_1FE__bin.15	0.42606922625562965	0.6665162847513048	0.5727219384713993	0.5592677628961266	1.0	0.4629080477031665	0.5956582253592213	0.3694029053538336	0.6297409395412061	0.5541007971686501	0.6208161805573833	0.6191304994031686	0.597314181055904	0.741674626999695	0.732531571687121	0.6183133589612191	0.5819303278625074	0.7279027605970482	0.6824884542916904	0.77602858598166	0.6411165005705121	0.711538896225641	0.5154533674143961	0.4619946091644205	0.7037272936983578	0.5223112781791919	0.42504214976985993
BritoIL_2016__W2.35.ST__bin.26	0.34062480408961265	0.6725748784687376	0.5289126068364646	0.6370706920004413	0.7265326692264814	1.0	0.5696473880315945	0.4073356624699118	0.5878356476475445	0.5262100761966875	0.7207475721691344	0.5909619521981084	0.5766605546675635	0.7670774325327149	0.7184124418465073	0.6444809036881451	0.5382973522392224	0.7038656247919401	0.6805337607358892	0.7512894244596275	0.6169161603167808	0.6848234996240951	0.3142113455745028	0.28457341469922015	0.6645396974584743	0.35307850849078654	0.3912147586068141
LiuW_2016__SRR3993055__bin.131	0.3596082354587628	0.5952017513354355	0.5370874566963676	0.4806025378388269	0.6246409155156644	0.3806089345512414	1.0	0.34382913699257756	0.5157549078532471	0.48506692357422315	0.5007314007468893	0.5347135295662867	0.5155272887972785	0.610186618402335	0.6375707169545675	0.5274836210068036	0.5018850819250013	0.5972499981329392	0.5891609169313834	0.6686178263062038	0.5256314967625167	0.6334852633708337	0.4230269308086776	0.40889441755335815	0.5638997476058599	0.4703820850489998	0.3627637304457859
DavidLA_2015__LD-Run2-12__bin.11	0.4818438859105335	0.7134277690613325	0.6205646212264464	0.6819636021689468	0.762125583249434	0.5354491723351953	0.6764498827112858	1.0	0.6420848005069735	0.6205607882619295	0.6481204419663619	0.6535223666256114	0.627283169197275	0.765295444904968	0.7659668525228572	0.7097985904911817	0.6204726300780392	0.7372336728488126	0.7332933853253676	0.8025295010502322	0.6717762213102606	0.7599459040941172	0.4802449008795376	0.452260426941141	0.7226377439681915	0.5205696040803185	0.5320340009505752
CM_madagascar__A75_02_1FE__bin.76	0.40379158902484363	0.6393767658761476	0.5435663198935369	0.5533669558894705	0.7606902598068075	0.4524196196741325	0.5940951570203793	0.3759344135738977	1.0	0.5243061607524231	0.5771846370551788	0.6097399687762053	0.5697284038536775	0.7018389423706296	0.7086787786663834	0.6202074953564517	0.5746719219988614	0.689942257673356	0.6370645294250977	0.714301530295085	0.5880321753200364	0.6771606245058165	0.48965178811206755	0.42484707895939633	0.6746191093513545	0.4845724980756298	0.42480630998929536
ZeeviD_2015__PNP_Main_213__bin.65	0.43726811924366193	0.6577537670452697	0.5870773261301135	0.5434097048198653	0.7279831255898721	0.44048515963159435	0.60771634067758	0.39517606665147914	0.5702582419370587	1.0	0.5734883001920136	0.6611660754385394	0.6131988967357699	0.723768184332997	0.737762391382172	0.6190390373287337	0.6287881993035441	0.6931961304390276	0.6610460669769258	0.7567583070263937	0.6370358316789794	0.7289191915904579	0.509843134702379	0.4648432160640479	0.6371818758746379	0.5356347837406841	0.4568770950629739
