	DavidLA_2015__LD-Run2-22__bin.1	ZeeviD_2015__PNP_Main_443__bin.22	VatanenT_2016__G78887__bin.6	BritoIL_2016__WL.35.ST__bin.11	CM_madagascar__A29_01_1FE__bin.15	BritoIL_2016__W2.35.ST__bin.26	LiuW_2016__SRR3993055__bin.131	DavidLA_2015__LD-Run2-12__bin.11	CM_madagascar__A75_02_1FE__bin.76	ZeeviD_2015__PNP_Main_213__bin.65	QinN_2014__HD-62__bin.43	LeChatelierE_2013__MH0126__bin.42	CosteaPI_2017__SID713A023-11-90-0__bin.81	QinN_2014__HD-60__bin.35	BackhedF_2015__SID577_12M__bin.7	ZeeviD_2015__PNP_Main_379__bin.11	NielsenHB_2014__MH0126__bin.29	RampelliS_2015__H16__bin.38	YuJ_2015__SZAXPI015215-20__bin.66	CosteaPI_2017__SID713B026-11-0-0__bin.34	QinJ_2012__T2D-006__bin.30	NielsenHB_2014__V1_UC21_0__bin.11	CosteaPI_2017__SID713A051-11-0-0__bin.32	CosteaPI_2017__SID713B026-11-90-0__bin.4	CM_madagascar__V07_01_2FE__bin.6	NielsenHB_2014__V1_UC21_4__bin.66	DavidLA_2015__LD-Run2-29__bin.1
DavidLA_2015__LD-Run2-22__bin.1	0.0	31956.0	30570.0	23256.0	34980.0	17784.0	32796.0	13857.0	28994.0	29152.0	26863.0	32255.0	27377.0	33059.0	34932.0	27534.0	29788.0	35905.0	32608.0	36187.0	30333.0	36391.0	26228.0	24367.0	30760.0	29225.0	15966.0
ZeeviD_2015__PNP_Main_443__bin.22	31956.0	0.0	42467.0	48088.0	68306.0	44029.0	51310.0	29964.0	59822.0	45201.0	58122.0	46003.0	45511.0	65966.0	55938.0	47655.0	43946.0	67868.0	66563.0	58756.0	55298.0	56599.0	41753.0	34696.0	59893.0	43622.0	31993.0
VatanenT_2016__G78887__bin.6	30570.0	42467.0	0.0	39484.0	55588.0	30019.0	40463.0	24835.0	47505.0	40398.0	43789.0	38250.0	36935.0	52149.0	44138.0	35085.0	36916.0	56637.0	56063.0	46218.0	48551.0	40786.0	32501.0	29740.0	49874.0	31824.0	28216.0
BritoIL_2016__WL.35.ST__bin.11	23256.0	48088.0	39484.0	0.0	48258.0	25223.0	47270.0	22621.0	45920.0	42790.0	39418.0	45136.0	42908.0	51364.0	52538.0	46540.0	43200.0	52634.0	56491.0	48118.0	42728.0	50832.0	35232.0	30359.0	44283.0	38760.0	23405.0
CM_madagascar__A29_01_1FE__bin.15	34980.0	68306.0	55588.0	48258.0	0.0	39668.0	63305.0	26513.0	60666.0	60758.0	52990.0	61082.0	59820.0	69403.0	70859.0	57142.0	57944.0	70553.0	76624.0	74889.0	63609.0	70494.0	51890.0	46088.0	55129.0	54347.0	30662.0
BritoIL_2016__W2.35.ST__bin.26	17784.0	44029.0	30019.0	25223.0	39668.0	0.0	36345.0	18441.0	38824.0	35614.0	41295.0	37029.0	34665.0	44031.0	41473.0	35876.0	33463.0	40953.0	47291.0	41704.0	35598.0	41695.0	18441.0	17817.0	35138.0	23990.0	16855.0
LiuW_2016__SRR3993055__bin.131	32796.0	51310.0	40463.0	47270.0	63305.0	36345.0	0.0	28554.0	54790.0	46488.0	51246.0	45202.0	44470.0	61065.0	54498.0	42467.0	42410.0	64416.0	69305.0	56704.0	57575.0	49453.0	40611.0	37235.0	55338.0	38993.0	28358.0
DavidLA_2015__LD-Run2-12__bin.11	13857.0	29964.0	24835.0	22621.0	26513.0	18441.0	28554.0	0.0	25003.0	28956.0	22108.0	26963.0	24278.0	27714.0	29696.0	25723.0	25897.0	30102.0	33324.0	29569.0	26887.0	31321.0	20526.0	17883.0	24453.0	22925.0	13026.0
CM_madagascar__A75_02_1FE__bin.76	28994.0	59822.0	47505.0	45920.0	60666.0	38824.0	54790.0	25003.0	0.0	49898.0	47468.0	57939.0	52771.0	62177.0	63860.0	56633.0	54849.0	64483.0	62072.0	64805.0	52317.0	62792.0	47285.0	41042.0	50451.0	46892.0	28170.0
ZeeviD_2015__PNP_Main_213__bin.65	29152.0	45201.0	40398.0	42790.0	60758.0	35614.0	46488.0	28956.0	49898.0	0.0	49563.0	46472.0	43848.0	58974.0	52112.0	43797.0	43909.0	61711.0	54530.0	53807.0	51911.0	53084.0	37621.0	32631.0	54379.0	38488.0	29693.0
QinN_2014__HD-62__bin.43	26863.0	58122.0	43789.0	39418.0	52990.0	41295.0	51246.0	22108.0	47468.0	49563.0	0.0	48881.0	48033.0	58239.0	59029.0	48747.0	44887.0	59026.0	61594.0	58607.0	51202.0	58872.0	37554.0	32009.0	46953.0	43349.0	23364.0
LeChatelierE_2013__MH0126__bin.42	32255.0	46003.0	38250.0	45136.0	61082.0	37029.0	45202.0	26963.0	57939.0	46472.0	48881.0	0.0	38109.0	62108.0	48232.0	38755.0	3430.0	66687.0	62562.0	51672.0	54664.0	52162.0	38469.0	32165.0	55036.0	40922.0	29531.0
CosteaPI_2017__SID713A023-11-90-0__bin.81	27377.0	45511.0	36935.0	42908.0	59820.0	34665.0	44470.0	24278.0	52771.0	43848.0	48033.0	38109.0	0.0	56553.0	47668.0	39067.0	36927.0	62531.0	59429.0	50003.0	49916.0	47364.0	34137.0	30055.0	53728.0	35796.0	26258.0
QinN_2014__HD-60__bin.35	33059.0	65966.0	52149.0	51364.0	69403.0	44031.0	61065.0	27714.0	62177.0	58974.0	58239.0	62108.0	56553.0	0.0	69310.0	57660.0	58741.0	73545.0	52223.0	68164.0	36038.0	69454.0	49308.0	42364.0	63158.0	51922.0	29266.0
BackhedF_2015__SID577_12M__bin.7	34932.0	55938.0	44138.0	52538.0	70859.0	41473.0	54498.0	29696.0	63860.0	52112.0	59029.0	48232.0	47668.0	69310.0	0.0	46589.0	45682.0	74866.0	74808.0	59072.0	61724.0	55240.0	43634.0	36291.0	62544.0	42736.0	31328.0
ZeeviD_2015__PNP_Main_379__bin.11	27534.0	47655.0	35085.0	46540.0	57142.0	35876.0	42467.0	25723.0	56633.0	43797.0	48747.0	38755.0	39067.0	57660.0	46589.0	0.0	37466.0	62906.0	62620.0	47698.0	49899.0	47299.0	36145.0	28530.0	52456.0	35534.0	27070.0
