	DavidLA_2015__LD-Run2-22__bin.1	ZeeviD_2015__PNP_Main_443__bin.22	VatanenT_2016__G78887__bin.6	BritoIL_2016__WL.35.ST__bin.11	CM_madagascar__A29_01_1FE__bin.15	BritoIL_2016__W2.35.ST__bin.26	LiuW_2016__SRR3993055__bin.131	DavidLA_2015__LD-Run2-12__bin.11	CM_madagascar__A75_02_1FE__bin.76	ZeeviD_2015__PNP_Main_213__bin.65	QinN_2014__HD-62__bin.43	LeChatelierE_2013__MH0126__bin.42	CosteaPI_2017__SID713A023-11-90-0__bin.81	QinN_2014__HD-60__bin.35	BackhedF_2015__SID577_12M__bin.7	ZeeviD_2015__PNP_Main_379__bin.11	NielsenHB_2014__MH0126__bin.29	RampelliS_2015__H16__bin.38	YuJ_2015__SZAXPI015215-20__bin.66	CosteaPI_2017__SID713B026-11-0-0__bin.34	QinJ_2012__T2D-006__bin.30	NielsenHB_2014__V1_UC21_0__bin.11	CosteaPI_2017__SID713A051-11-0-0__bin.32	CosteaPI_2017__SID713B026-11-90-0__bin.4	CM_madagascar__V07_01_2FE__bin.6	NielsenHB_2014__V1_UC21_4__bin.66	DavidLA_2015__LD-Run2-29__bin.1
DavidLA_2015__LD-Run2-22__bin.1	1587599.0	1177140.0	1139498.0	960015.0	1376014.0	700904.0	1107488.0	754263.0	1079578.0	1074875.0	1043802.0	1159342.0	1027550.0	1319824.0	1283668.0	1068477.0	1091985.0	1243673.0	1188381.0	1390848.0	1183621.0	1335505.0	984012.0	929219.0	1207715.0	1068606.0	935047.0
ZeeviD_2015__PNP_Main_443__bin.22	1177140.0	2878484.0	1762477.0	1576126.0	2152551.0	1383958.0	1833047.0	1116777.0	1709439.0	1616864.0	1739390.0	1849791.0	1770666.0	2086611.0	2177926.0	1904432.0	1728208.0	1992404.0	1923643.0	2296615.0	1795741.0	2234565.0	1492678.0	1325137.0	1877796.0	1636832.0	1259629.0
VatanenT_2016__G78887__bin.6	1139498.0	1762477.0	2444855.0	1367524.0	1849637.0	1088344.0	1654072.0	971412.0	1453280.0	1443130.0	1468380.0	1610528.0	1510266.0	1791306.0	1896816.0	1555587.0	1517247.0	1787342.0	1656343.0	1988248.0	1595701.0	2018905.0	1331686.0	1242941.0	1679629.0	1547567.0	1141853.0
BritoIL_2016__WL.35.ST__bin.11	960015.0	1576126.0	1367524.0	2487125.0	1806186.0	1310901.0	1480115.0	1067524.0	1479483.0	1335788.0	1444494.0	1574854.0	1488488.0	1867724.0	1859597.0	1702563.0	1486848.0	1753010.0	1694284.0	1797294.0	1536729.0	1719791.0	1198883.0	1061403.0	1647311.0	1198222.0	1121186.0
CM_madagascar__A29_01_1FE__bin.15	1376014.0	2152551.0	1849637.0	1806186.0	3229555.0	1494987.0	1923711.0	1193007.0	2033783.0	1789499.0	2004960.0	1999516.0	1929059.0	2395279.0	2365751.0	1996877.0	1879376.0	2350802.0	2204134.0	2506227.0	2070521.0	2297954.0	1664685.0	1492037.0	2272726.0	1686833.0	1372697.0
BritoIL_2016__W2.35.ST__bin.26	700904.0	1383958.0	1088344.0	1310901.0	1494987.0	2057701.0	1172164.0	838175.0	1209590.0	1082783.0	1483083.0	1216023.0	1186595.0	1578416.0	1478278.0	1326149.0	1107655.0	1448345.0	1400335.0	1545929.0	1269429.0	1409162.0	646553.0	585567.0	1367424.0	726530.0	805003.0
LiuW_2016__SRR3993055__bin.131	1107488.0	1833047.0	1654072.0	1480115.0	1923711.0	1172164.0	3079707.0	1058893.0	1588374.0	1493864.0	1542106.0	1646761.0	1587673.0	1879196.0	1963531.0	1624495.0	1545659.0	1839355.0	1814443.0	2059147.0	1618791.0	1950949.0	1302799.0	1259275.0	1736646.0	1448639.0	1117206.0
DavidLA_2015__LD-Run2-12__bin.11	754263.0	1116777.0	971412.0	1067524.0	1193007.0	838175.0	1058893.0	1565368.0	1005099.0	971406.0	1014547.0	1023003.0	981929.0	1197969.0	1199020.0	1111096.0	971268.0	1154042.0	1147874.0	1256254.0	1051577.0	1189595.0	751760.0	707954.0	1131194.0	814883.0	832829.0
CM_madagascar__A75_02_1FE__bin.76	1079578.0	1709439.0	1453280.0	1479483.0	2033783.0	1209590.0	1588374.0	1005099.0	2673602.0	1401786.0	1543162.0	1630202.0	1523227.0	1876438.0	1894725.0	1658188.0	1536444.0	1844631.0	1703257.0	1909758.0	1572164.0	1810458.0	1309134.0	1135872.0	1803663.0	1295554.0	1135763.0
ZeeviD_2015__PNP_Main_213__bin.65	1074875.0	1616864.0	1443130.0	1335788.0	1789499.0	1082783.0	1493864.0	971406.0	1401786.0	2458160.0	1409726.0	1625252.0	1507341.0	1779138.0	1813538.0	1521697.0	1545662.0	1703987.0	1624957.0	1860233.0	1565936.0	1791800.0	1253276.0	1142659.0	1566295.0	1316676.0	1123077.0
