	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	LiuW_2016__SRR3993051__bin.12	CosteaPI_2017__SID713A005-11-0-0__bin.24	LeChatelierE_2013__MH0206__bin.92	RaymondF_2016__P14E90__bin.90	LeChatelierE_2013__MH0426__bin.90	LiuW_2016__SRR3992993__bin.34	ZeeviD_2015__PNP_Validation_13__bin.64	CM_madagascar__A92_01_1FE__bin.26	ZellerG_2014__CCMD86114146ST-21-0__bin.46	LiuW_2016__SRR3992961__bin.131	LiJ_2014__O2.UC29-1__bin.33	ZeeviD_2015__PNP_Main_574__bin.40	LiJ_2014__MH0385__bin.27	CM_madagascar__V18_02_1FE__bin.25	RampelliS_2015__H21__bin.29	ZeeviD_2015__PNP_Main_469__bin.24	CosteaPI_2017__SID713B033-11-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	LiJ_2014__MH0390__bin.69	CM_madagascar__A81_03_1FE__bin.39	CM_madagascar__A08_01_1FE__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	XieH_2016__YSZC12003_35980__bin.31	LeChatelierE_2013__MH0431__bin.56	LeChatelierE_2013__MH0193__bin.19	QinN_2014__HD-18__bin.42
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	1.0	0.6989940756968778	0.7489527485167022	0.5964673037569962	0.4420032646991077	0.6577620665367601	0.6047434789338773	0.5271205916748691	0.6615803869201696	0.4985505861719848	0.7464844123208322	0.7045289923500279	0.6593727526494203	0.5631924431991977	0.7741058553504255	0.770026647884278	0.5821362893376616	0.7373070750206822	0.7460618826382146	0.7891276928398069	0.536021303494813	0.7587638803407788	0.4288180056154602	0.7812842310144934	0.7196439641208976	0.6744919830454873	0.7497511481623848
LiuW_2016__SRR3993051__bin.12	0.8591720915921015	1.0	0.8396487324746308	0.6546135611149598	0.5299427663159696	0.7319047519342655	0.6902644474769203	0.5898430921301181	0.756753429059636	0.5568638544751425	0.86180891942404	0.7551034202747617	0.7349803683092713	0.6229343027950467	0.8403087359885806	0.8525743323267901	0.6291704256521973	0.8274022534795841	0.8396175529982822	0.8838364229084035	0.6088156896945686	0.8320926025895806	0.3629272839990569	0.875093197047918	0.779144389651509	0.7623036034371161	0.8633824588362636
CosteaPI_2017__SID713A005-11-0-0__bin.24	0.8616140276435815	0.7858674703106708	1.0	0.6663835764203079	0.5019933472727056	0.7531791737598985	0.6661482004065934	0.621803146412827	0.7668844480570934	0.5799641546827259	0.858256564541168	0.7592902167078203	0.7722799905253166	0.6642762688151703	0.8385518645188446	0.8691160256770736	0.6478649158951445	0.8525138158264701	0.8732735542161489	0.9207673215445097	0.5930259258691233	0.8249499000557234	0.38664355082503027	0.9305434139874272	0.7826763679926112	0.7771922133780484	0.8709543016936849
LeChatelierE_2013__MH0206__bin.92	0.8091202389130361	0.7224449403659298	0.7857644300384417	1.0	0.47364383823136036	0.7131732458591463	0.6410952022735922	0.5475383442613274	0.6816840455471931	0.5396305036086869	0.783264282475985	0.7818434130003152	0.6831204875714736	0.597700788548651	0.8552089547177915	0.787995323212014	0.5920507162744435	0.7610955036777587	0.7686532131567942	0.8155245751143138	0.5716104903720207	0.844753997686723	0.3809550242190807	0.8107920273574515	0.819411181843413	0.7295211566887236	0.7724496498060338
RaymondF_2016__P14E90__bin.90	0.7764848505350591	0.75740786700725	0.7665617224939524	0.6133847569537848	1.0	0.6814395187508966	0.6032095417119746	0.5436844349652428	0.6774578420750127	0.5420551384641806	0.7601313845962685	0.6894074259359673	0.6721236769081294	0.6132585507165293	0.7486589774107099	0.7731943806998136	0.592392886522052	0.7616471605385623	0.7664878853396818	0.8047043049663131	0.5539806520633908	0.7377284763882117	0.4031840402454776	0.7876186476871568	0.7065945686430195	0.7075716911603265	0.7700210094352173
LeChatelierE_2013__MH0426__bin.90	0.8189576055676624	0.7413793699655791	0.8151406612117812	0.6545777166710122	0.48296137894117314	1.0	0.6422434789544749	0.5759134374100199	0.7119229427702712	0.5528077490632844	0.8090250666069123	0.743941520087658	0.7157375817904298	0.6261363287943578	0.7979239529683848	0.8200104523921663	0.6199151498133946	0.791471087747302	0.8130787689415028	0.852198471885163	0.5788363725726832	0.7917659401862205	0.37273474830229314	0.8524739595040116	0.7592447996813104	0.7707212219754744	0.8202287676850949
LiuW_2016__SRR3992993__bin.34	0.8442927728602131	0.78402645403348	0.8084150586566284	0.6598086156560025	0.4793829356801155	0.7201599815533163	1.0	0.5608838794699473	0.7144313246197568	0.5366449473509518	0.826742573115923	0.7639400937740892	0.6907349876410321	0.5797925058279215	0.834608780890311	0.8079151163025152	0.5929176728846675	0.7700515917761293	0.8092071079704873	0.834555012529579	0.594362697579338	0.8326087529721238	0.3688602606834889	0.8446526072743422	0.7797823725599374	0.7443722879936802	0.8189316847126727
ZeeviD_2015__PNP_Validation_13__bin.64	0.8466381606417007	0.7707573744321298	0.868125335309603	0.6482999282690233	0.49708109644901927	0.7429378295848049	0.6452662313639235	1.0	0.7421634205326649	0.5691695384831337	0.8536717814144206	0.7480407807851389	0.7709051783103609	0.6665089497181318	0.8308424761580746	0.8550876652459255	0.6433474574759023	0.8439045323746998	0.8775074615680176	0.911467856076494	0.5764975774438792	0.8177069640904977	0.386513981592618	0.8996447353864492	0.7765583049125608	0.759607252085016	0.8693922256944403
CM_madagascar__A92_01_1FE__bin.26	0.8473285809820577	0.7885277196776749	0.8537698666780495	0.6436146801174333	0.4939056549185887	0.7323347229929379	0.6554021238551908	0.5918081226315316	1.0	0.5488055093126165	0.8773473627296139	0.738164653320243	0.7761412520216464	0.6682934695484317	0.8260857604947757	0.8416798281185527	0.631676650398638	0.8623772190682166	0.8540487471720664	0.9097195543603535	0.5922821720427047	0.817126013194652	0.364367562593968	0.8895391357550405	0.769035016576315	0.7608995793078261	0.8582487917550026
ZellerG_2014__CCMD86114146ST-21-0__bin.46	0.7989987937452799	0.7260712743717609	0.8079411027215658	0.6375392997194307	0.49450746082639574	0.7115712914344046	0.616030279515777	0.5679246038870186	0.6867301594837882	1.0	0.762717381789263	0.7251576068974623	0.6908237102496043	0.6212229612737338	0.7725804800389324	0.8144249073053338	0.6083639595422463	0.7760158578726295	0.795961643177094	0.8372861791102796	0.5514017332678524	0.7587517266653511	0.37473749493684594	0.8371692629086317	0.7298571040687728	0.7394029855175248	0.7944179932253885
