	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	LiuW_2016__SRR3993051__bin.12	CosteaPI_2017__SID713A005-11-0-0__bin.24	LeChatelierE_2013__MH0206__bin.92	RaymondF_2016__P14E90__bin.90	LeChatelierE_2013__MH0426__bin.90	LiuW_2016__SRR3992993__bin.34	ZeeviD_2015__PNP_Validation_13__bin.64	CM_madagascar__A92_01_1FE__bin.26	ZellerG_2014__CCMD86114146ST-21-0__bin.46	LiuW_2016__SRR3992961__bin.131	LiJ_2014__O2.UC29-1__bin.33	ZeeviD_2015__PNP_Main_574__bin.40	LiJ_2014__MH0385__bin.27	CM_madagascar__V18_02_1FE__bin.25	RampelliS_2015__H21__bin.29	ZeeviD_2015__PNP_Main_469__bin.24	CosteaPI_2017__SID713B033-11-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	LiJ_2014__MH0390__bin.69	CM_madagascar__A81_03_1FE__bin.39	CM_madagascar__A08_01_1FE__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	XieH_2016__YSZC12003_35980__bin.31	LeChatelierE_2013__MH0431__bin.56	LeChatelierE_2013__MH0193__bin.19	QinN_2014__HD-18__bin.42
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	0.0	33420.0	35411.0	37064.0	21374.0	42209.0	32675.0	26449.0	29823.0	27748.0	36749.0	40371.0	30563.0	31437.0	41496.0	40277.0	30604.0	35455.0	36225.0	38469.0	26738.0	41443.0	706.0	37998.0	43773.0	37751.0	37232.0
LiuW_2016__SRR3993051__bin.12	33420.0	0.0	26945.0	31491.0	11736.0	32368.0	29713.0	19728.0	23911.0	24516.0	29546.0	35288.0	22851.0	22838.0	36401.0	32013.0	24075.0	27760.0	26492.0	28695.0	25847.0	36519.0	13530.0	27392.0	36958.0	31578.0	28813.0
CosteaPI_2017__SID713A005-11-0-0__bin.24	35411.0	26945.0	0.0	33310.0	18973.0	36769.0	30319.0	22161.0	23031.0	24595.0	29054.0	38480.0	22478.0	23280.0	38341.0	30626.0	24047.0	25912.0	27063.0	29148.0	27324.0	38297.0	16064.0	25639.0	40106.0	33736.0	28016.0
LeChatelierE_2013__MH0206__bin.92	37064.0	31491.0	33310.0	0.0	20977.0	37210.0	29575.0	25129.0	30637.0	25580.0	36228.0	25633.0	30695.0	29037.0	24159.0	36472.0	28633.0	34387.0	33920.0	36967.0	25312.0	24710.0	17566.0	37048.0	28391.0	34717.0	35792.0
RaymondF_2016__P14E90__bin.90	21374.0	11736.0	18973.0	20977.0	0.0	20749.0	19169.0	14048.0	16943.0	15725.0	20601.0	23105.0	17349.0	17615.0	23282.0	21059.0	17559.0	21116.0	19803.0	20964.0	17394.0	22900.0	10568.0	18694.0	23822.0	20783.0	21619.0
LeChatelierE_2013__MH0426__bin.90	42209.0	32368.0	36769.0	37210.0	20749.0	0.0	33444.0	27655.0	30114.0	26746.0	38429.0	39833.0	30864.0	29606.0	40778.0	37888.0	28194.0	35036.0	37368.0	38817.0	30372.0	41453.0	19722.0	36454.0	43121.0	30984.0	37639.0
LiuW_2016__SRR3992993__bin.34	32675.0	29713.0	30319.0	29575.0	19169.0	33444.0	0.0	22625.0	26057.0	23424.0	31625.0	31696.0	26001.0	24769.0	31986.0	32547.0	24037.0	28586.0	31964.0	32802.0	24474.0	33787.0	15626.0	31463.0	34440.0	31166.0	32587.0
ZeeviD_2015__PNP_Validation_13__bin.64	26449.0	19728.0	22161.0	25129.0	14048.0	27655.0	22625.0	0.0	14018.0	18010.0	20685.0	26229.0	14196.0	15270.0	27433.0	23874.0	19256.0	16901.0	14877.0	20104.0	19471.0	28350.0	12290.0	21794.0	29114.0	24773.0	17833.0
CM_madagascar__A92_01_1FE__bin.26	29823.0	23911.0	23031.0	30637.0	16943.0	30114.0	26057.0	14018.0	0.0	19431.0	16308.0	33439.0	9268.0	9646.0	34599.0	25518.0	20852.0	12473.0	17952.0	20181.0	24819.0	34945.0	13156.0	23117.0	35859.0	31673.0	18501.0
ZellerG_2014__CCMD86114146ST-21-0__bin.46	27748.0	24516.0	24595.0	25580.0	15725.0	26746.0	23424.0	18010.0	19431.0	0.0	23829.0	28272.0	20088.0	20438.0	28798.0	23405.0	19979.0	23301.0	24372.0	25155.0	21725.0	28288.0	13085.0	23427.0	29087.0	26633.0	24867.0
