	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	LiuW_2016__SRR3993051__bin.12	CosteaPI_2017__SID713A005-11-0-0__bin.24	LeChatelierE_2013__MH0206__bin.92	RaymondF_2016__P14E90__bin.90	LeChatelierE_2013__MH0426__bin.90	LiuW_2016__SRR3992993__bin.34	ZeeviD_2015__PNP_Validation_13__bin.64	CM_madagascar__A92_01_1FE__bin.26	ZellerG_2014__CCMD86114146ST-21-0__bin.46	LiuW_2016__SRR3992961__bin.131	LiJ_2014__O2.UC29-1__bin.33	ZeeviD_2015__PNP_Main_574__bin.40	LiJ_2014__MH0385__bin.27	CM_madagascar__V18_02_1FE__bin.25	RampelliS_2015__H21__bin.29	ZeeviD_2015__PNP_Main_469__bin.24	CosteaPI_2017__SID713B033-11-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	LiJ_2014__MH0390__bin.69	CM_madagascar__A81_03_1FE__bin.39	CM_madagascar__A08_01_1FE__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	XieH_2016__YSZC12003_35980__bin.31	LeChatelierE_2013__MH0431__bin.56	LeChatelierE_2013__MH0193__bin.19	QinN_2014__HD-18__bin.42
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	1.0	0.7051820432661507	0.7555093649019664	0.6033299856836131	0.4459608236107068	0.665577384404248	0.6107935040782817	0.5320178254941301	0.6671023425401107	0.5036883397360837	0.753288769598008	0.7120039905169675	0.6650317249061436	0.5690132432134178	0.7817891558367976	0.7774842412351939	0.587802853056693	0.7438718383411063	0.7527692173239392	0.7962505212186927	0.5409720478654659	0.7664373674734354	0.42894872689325514	0.7883198501556435	0.7277488685018009	0.6814818682551709	0.7566449365687035
LiuW_2016__SRR3993051__bin.12	0.8667780631218257	1.0	0.8457810754688984	0.6617805165141982	0.5326137322606986	0.7392713014996191	0.697026752445882	0.5943329367243252	0.762195271825861	0.5624433876296224	0.8685332172940948	0.7631345251024371	0.7401809684117766	0.6281319442611102	0.8485931456131615	0.8598600883585394	0.6346495927550732	0.8337200802200133	0.8456467988919224	0.8903670438852268	0.6146981417032096	0.8404038675295568	0.3660065417727603	0.8813272716183013	0.787555565468252	0.7694903589417731	0.8699399351284822
CosteaPI_2017__SID713A005-11-0-0__bin.24	0.8691569235907687	0.7916070238758612	1.0	0.6734789384264869	0.5060347853796775	0.7610113372424923	0.6726064496009897	0.6265236602951125	0.7717902806108103	0.5852031348250847	0.8644453561271039	0.7674868402442288	0.7770680285671927	0.6692351408507107	0.8467188796698175	0.8756396689313887	0.6529871665754984	0.8580333300955818	0.8790382429574645	0.9269761360673588	0.5988462102118682	0.8331075427681413	0.39006534293752676	0.9360047765355036	0.7912193457356257	0.7843783176302386	0.8769219889337062
LeChatelierE_2013__MH0206__bin.92	0.8184296089406523	0.7303545392095424	0.7941309073646853	1.0	0.4789126342347411	0.7225192867270396	0.648523559131102	0.5538499986813568	0.6893791450921983	0.5460554357613532	0.7923636742674937	0.7882816571703424	0.6908301549845342	0.6049940158714411	0.8612769741031028	0.7971560005174105	0.5992424708611243	0.769732491243581	0.7771729042677574	0.8248095816384582	0.5779681089274659	0.8509604118185597	0.3853670788787263	0.8200973786628455	0.8265421532564836	0.7382410304003778	0.7814395314169889
RaymondF_2016__P14E90__bin.90	0.7834372528935545	0.7612252804104175	0.7727331424409782	0.6202080256107585	1.0	0.6881886249797924	0.6094447153252429	0.5482538814110247	0.6829689561930995	0.547170069084904	0.7668323503016752	0.6969228772550013	0.6777668521920039	0.6189882488331615	0.7562320021936465	0.7800443218089907	0.5981043693054721	0.768515642254759	0.7729292825468158	0.8115233450637911	0.5596384646685965	0.7451772465767371	0.40662153384164956	0.7936993162419296	0.71434324128193	0.7143318566986725	0.7770531038765156
LeChatelierE_2013__MH0426__bin.90	0.8286881971191141	0.7488412806324366	0.8236171501301477	0.6631558708947446	0.4877447200319612	1.0	0.6499534437450825	0.5822888433508239	0.7188652307652585	0.5589735999869057	0.8178842412552276	0.753124363871424	0.7228527699646108	0.6329615057346378	0.8073246509779349	0.8287449083778897	0.6264148133496459	0.7995480619849448	0.821693347469652	0.8611470935595145	0.5858381382293131	0.8013222483570449	0.37728133141437187	0.8608778303471167	0.7691856378506617	0.7778640741783265	0.828905820811326
LiuW_2016__SRR3992993__bin.34	0.8527393170280779	0.7917073160643835	0.8162525727385105	0.6674538044475741	0.4843381554246847	0.7288053135548487	1.0	0.5667324812082164	0.7211671043101028	0.5427000919749171	0.8349176904627853	0.7721335647440859	0.6974562912342579	0.5861953352845044	0.8428772173632513	0.8163285722483912	0.5991312790717513	0.7774411223524899	0.8174698574052733	0.8430343864176985	0.6006892690243059	0.841342751068517	0.37289960878347533	0.8527858473402498	0.7886851722888208	0.7524287530445042	0.8273554807279202
ZeeviD_2015__PNP_Validation_13__bin.64	0.8545038845357292	0.7766243259607847	0.8747158418397389	0.6557730945790177	0.5012588607978912	0.7511622083624282	0.6519947278326895	1.0	0.7463322631182633	0.5745255703683261	0.8598233371915003	0.7558410784151618	0.775126956691382	0.6710501272243443	0.8390008338874739	0.8621876044589784	0.6490740399290541	0.8489307564108817	0.8819317639753473	0.9174466270381768	0.5822880992004911	0.8261380303839571	0.39016893061366265	0.9061260990125393	0.7852165787773854	0.7669745468041649	0.874695619176319
CM_madagascar__A92_01_1FE__bin.26	0.8544009049387459	0.7941980525794075	0.8592315134958239	0.6508800387017828	0.49792357346461585	0.7394760556432985	0.6615813662298488	0.5951323970916749	1.0	0.55341344033238	0.8812146952946031	0.7460944873673776	0.7783390959149699	0.6705809536005464	0.8342906807434916	0.8477312502667862	0.6366215620153385	0.865335107165047	0.8583059432848138	0.9145053428380359	0.5981678310401578	0.8254129850172878	0.3674874195491432	0.8950211768946562	0.7775387373543348	0.768410618327381	0.8626361795269466
ZellerG_2014__CCMD86114146ST-21-0__bin.46	0.8072327804542224	0.7333461921372371	0.8152394630756973	0.6451299505776817	0.4991737229353088	0.7195079430315422	0.6229811554228791	0.5732689206171633	0.6924961460680993	1.0	0.7697884380559269	0.7335470862197638	0.6967846560838711	0.6272877666779924	0.78112604545785	0.8213701451214934	0.6142925605390015	0.7829302345594202	0.8031938301480592	0.8447507147763977	0.5578484451480518	0.7671459538537093	0.378620359146393	0.8441210290406195	0.7384884278183407	0.7473061053106366	0.801797067302485
LiuW_2016__SRR3992961__bin.131	0.8388284588878974	0.7868490590624109	0.836740647943034	0.6504438299269122	0.4860764494265633	0.7314942342933772	0.6659374654643163	0.5961190963568256	0.7661682669231036	0.5348674324585119	1.0	0.7442213038364918	0.7562199281822726	0.6390113846108169	0.824792950844279	0.8429529473474121	0.6214078765276112	0.8334895514608491	0.850247089930508	0.8981114857230514	0.5828112087777956	0.82266885165862	0.35798060888369126	0.8802947842251718	0.769508640724973	0.7482954835985399	0.8596960529940273
LiJ_2014__O2.UC29-1__bin.33	0.8052779777678097	0.7021951576026159	0.7545290936284222	0.657231534847059	0.44868402370730004	0.6841282047093779	0.6255095557540797	0.5322381837303188	0.6588521870532945	0.5176717893432746	0.7558816963678041	1.0	0.6678952965276286	0.563828022812685	0.8297596894646927	0.7657842394452381	0.5714328793664316	0.7367471527073625	0.7601068260890871	0.8038520802523351	0.5524650289681896	0.810389555452524	0.36035439490136406	0.7938439926973273	0.7764094690149476	0.7043910690943572	0.7531373305372423
ZeeviD_2015__PNP_Main_574__bin.40	0.8265967776196713	0.7484841224963885	0.8395605882665661	0.6329890662581213	0.4795392496455262	0.7216200597766763	0.6209354610276737	0.5998412491286308	0.7553547350128522	0.5403971257300918	0.8440881410245346	0.7340004644233958	1.0	0.6583452488543033	0.8135093815597215	0.8272020469610761	0.6260277784106639	0.8464562860903352	0.8328071172310055	0.9087044405366599	0.5630095740721945	0.8007257708726442	0.36606505655816235	0.8783284347941958	0.7575986042442959	0.7332435325359888	0.8356847932176693
LiJ_2014__MH0385__bin.27	0.8377264192501613	0.7523571481533174	0.8564464880755073	0.6566054667736702	0.5187459655611577	0.7484530107817652	0.6181591727873829	0.615101722378269	0.7708356958425653	0.5762484407439069	0.844844477834575	0.7339442963938659	0.7797981472112214	1.0	0.8010127531882971	0.8428613330658246	0.6453008600987457	0.878506690626145	0.8452953536349204	0.9194221702227883	0.5681149575184494	0.7867043977564159	0.41717160758212807	0.8860450941223678	0.7622559709694866	0.7511470890978559	0.8462587122071216
CM_madagascar__V18_02_1FE__bin.25	0.8089882344555885	0.7144065313936576	0.7616114505933163	0.6570054584753324	0.44545117156327674	0.6709778447864749	0.6247337965823648	0.5405390802424039	0.6740633615386812	0.5043555333811183	0.7664535506530378	0.7591743062137793	0.6772730347026751	0.5630048763963524	1.0	0.7624694327105778	0.5724907711358568	0.7423537948081544	0.7652742563404553	0.8051688919979085	0.5557706578163072	0.911920222607848	0.34816178576772827	0.7953444411170015	0.8286785216879984	0.6967751713233943	0.7629915410780493
RampelliS_2015__H21__bin.29	0.7913898210786244	0.7120655737210573	0.7747577887734913	0.5981577886981035	0.4519710677120929	0.677527834077724	0.5951713053340938	0.5464026313319534	0.6737330062010145	0.5216760342154573	0.7705317433064212	0.6891946446092335	0.6774217259031728	0.5827404405581252	0.7500129101420191	1.0	0.6105829993972754	0.7625817343918267	0.7651155146736486	0.8110307645857276	0.5329864494395491	0.7411499562939864	0.3474181412184837	0.8165798640232225	0.7052267793662383	0.6972664046441833	0.7875237518342767
