	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	LiuW_2016__SRR3993051__bin.12	CosteaPI_2017__SID713A005-11-0-0__bin.24	LeChatelierE_2013__MH0206__bin.92	RaymondF_2016__P14E90__bin.90	LeChatelierE_2013__MH0426__bin.90	LiuW_2016__SRR3992993__bin.34	ZeeviD_2015__PNP_Validation_13__bin.64	CM_madagascar__A92_01_1FE__bin.26	ZellerG_2014__CCMD86114146ST-21-0__bin.46	LiuW_2016__SRR3992961__bin.131	LiJ_2014__O2.UC29-1__bin.33	ZeeviD_2015__PNP_Main_574__bin.40	LiJ_2014__MH0385__bin.27	CM_madagascar__V18_02_1FE__bin.25	RampelliS_2015__H21__bin.29	ZeeviD_2015__PNP_Main_469__bin.24	CosteaPI_2017__SID713B033-11-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	LiJ_2014__MH0390__bin.69	CM_madagascar__A81_03_1FE__bin.39	CM_madagascar__A08_01_1FE__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	XieH_2016__YSZC12003_35980__bin.31	LeChatelierE_2013__MH0431__bin.56	LeChatelierE_2013__MH0193__bin.19	QinN_2014__HD-18__bin.42
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	1.0	0.9912250068923869	0.9913215948208466	0.9886253259584952	0.9911257700181894	0.9882578374046118	0.9900948109238094	0.9907949817006366	0.9917224760463061	0.989799736942906	0.9909671329883135	0.9895014659096051	0.9914906732343906	0.9897703610879985	0.9901721577627306	0.9904080456485291	0.9903597546531729	0.9911748731675821	0.9910897861770054	0.9910545385038065	0.990848428509038	0.9899881093246377	0.9996952519739557	0.9910751719118058	0.9888630477741742	0.9897431090462023	0.9908890047720649
LiuW_2016__SRR3993051__bin.12	0.9912250068923869	1.0	0.9927494913611448	0.989170192805027	0.9949851725876612	0.9900353908633942	0.9902983566337553	0.9924455733196398	0.9928603036946309	0.9900798315400338	0.9922578690876046	0.989476161065315	0.9929738802746247	0.9917252393966722	0.9902374775622363	0.9915268121751555	0.991366626299892	0.992422124775066	0.9928702551685402	0.9926652485380342	0.9904303403417783	0.9901103918471867	0.9915868777678426	0.9929264930620652	0.9893198954009779	0.99066036965747	0.9924621505147363
CosteaPI_2017__SID713A005-11-0-0__bin.24	0.9913215948208466	0.9927494913611448	1.0	0.9894646118811724	0.9920135172052656	0.9897082170799539	0.9903981753397881	0.9924655457065068	0.993643567848724	0.9910475870162166	0.9928407370783239	0.9893201770941112	0.9938383283498299	0.9925902396140813	0.9903545139395525	0.9925498541400295	0.9921556640887496	0.9935672495746793	0.9934420501184105	0.9933020772797996	0.9902808363090654	0.9902081756632372	0.9912276438436507	0.9941652407284812	0.9892027693849272	0.9908384715759344	0.9931947341778056
LeChatelierE_2013__MH0206__bin.92	0.9886253259584952	0.989170192805027	0.9894646118811724	1.0	0.9889984192799595	0.9870646485988904	0.9885457409327388	0.9886040364086729	0.9888376380402745	0.9882339196134764	0.9885161421617155	0.9918325586908388	0.988839995826133	0.9879449595674351	0.9929546248561558	0.9885083003835503	0.9879985899925517	0.9887792347808154	0.989037586019561	0.9887428483727116	0.9890000530180757	0.9927065771266924	0.9885510338026718	0.9886533580675917	0.9913725254241718	0.9881883106565819	0.9884957424733125
RaymondF_2016__P14E90__bin.90	0.9911257700181894	0.9949851725876612	0.9920135172052656	0.9889984192799595	1.0	0.9901929413188223	0.989769090687839	0.9916654553652741	0.9919306520917056	0.9906520277520341	0.9912614984190867	0.9892162367396583	0.9916738694646637	0.9907434460550212	0.9899858446072513	0.9912185232073845	0.9904506920923312	0.9910626650408245	0.9916662528479844	0.9915972348313135	0.9898902363536499	0.9900040289437926	0.9915462086729755	0.9923388260134027	0.9891527319205748	0.9905363795903089	0.990950303903019
LeChatelierE_2013__MH0426__bin.90	0.9882578374046118	0.9900353908633942	0.9897082170799539	0.9870646485988904	0.9901929413188223	1.0	0.9881376660669999	0.9890511281237739	0.9903427127952802	0.9889693342874052	0.989168180285857	0.9878070021044576	0.990156794758455	0.989217074216293	0.9883557401620738	0.989460621842227	0.9896240264474343	0.9898980753982556	0.9895160663589682	0.9896084864696427	0.988048293206392	0.9880743256655886	0.9879490906824511	0.9902380215323741	0.9870761521274253	0.9908173517199683	0.9895319191778167
LiuW_2016__SRR3992993__bin.34	0.9900948109238094	0.9902983566337553	0.9903981753397881	0.9885457409327388	0.989769090687839	0.9881376660669999	1.0	0.989680136692006	0.9906598905439681	0.9888425583236401	0.9902084751104856	0.9893885315389542	0.9903631185528037	0.9890773108020805	0.99019022426682	0.9896935422427969	0.9896289738090276	0.9904950608298152	0.9898922885535955	0.989941841015346	0.9894678134416418	0.9896189774199624	0.9891677330712034	0.9904627403336086	0.9887118459409515	0.9892927203828593	0.9898184079135657
ZeeviD_2015__PNP_Validation_13__bin.64	0.9907949817006366	0.9924455733196398	0.9924655457065068	0.9886040364086729	0.9916654553652741	0.9890511281237739	0.989680136692006	1.0	0.9944142270251316	0.9906774699657691	0.9928455584874296	0.9896799765813491	0.9945534362537954	0.9932327298334684	0.99027610295499	0.991765203795167	0.9911773047435732	0.9940793474635884	0.9949833960085677	0.9934832492861364	0.9900555725515212	0.9897946033430504	0.9906323934730116	0.9928471725589262	0.9889733939669156	0.9903943426156097	0.9939368697343279
CM_madagascar__A92_01_1FE__bin.26	0.9917224760463061	0.9928603036946309	0.993643567848724	0.9888376380402745	0.9919306520917056	0.9903427127952802	0.9906598905439681	0.9944142270251316	1.0	0.9916736192438766	0.9956113616969401	0.9893715418336418	0.9971762386023539	0.9965888025303545	0.9901653938631989	0.9928616266696207	0.992232572831736	0.9965818004235136	0.9950400015914433	0.9947668009649562	0.9901605223617284	0.9899602114661884	0.9915103026955241	0.9938749592957833	0.9890632834488033	0.9902252274494797	0.9949139766264499
ZellerG_2014__CCMD86114146ST-21-0__bin.46	0.989799736942906	0.9900798315400338	0.9910475870162166	0.9882339196134764	0.9906520277520341	0.9889693342874052	0.9888425583236401	0.9906774699657691	0.9916736192438766	1.0	0.9908142862154158	0.9885631345554986	0.9914450673070658	0.9903317014511909	0.9890599404940995	0.9915443264435521	0.9903488966372095	0.9911685915531393	0.9909957139864581	0.9911636231428416	0.9884436141459738	0.9890578485799341	0.9897447030627168	0.9917644912366551	0.9883121746740613	0.9894245213080032	0.9907968307966976
