	CosteaPI_2017__mickey2-11-30-0__bin.23	XieH_2016__YSZC12003_35390__bin.65	XieH_2016__YSZC12003_36012__bin.90	XieH_2016__YSZC12003_37223__bin.19	LiJ_2014__MH0281__bin.37	VincentC_2016__MM029.2__bin.22	ZeeviD_2015__PNP_Main_223__bin.35	RaymondF_2016__P23C0__bin.66	CosteaPI_2017__SID713A052-11-0-0__bin.79	ZellerG_2014__CCIS78318719ST-4-0__bin.27	RaymondF_2016__P21E90__bin.74	XieH_2016__YSZC12003_36454__bin.8	XieH_2016__YSZC12003_35706__bin.14	SchirmerM_2016__G88898__bin.12	NielsenHB_2014__V1_UC35_4__bin.76	XieH_2016__YSZC12003_37255__bin.62	LiJ_2014__V1.FI17__bin.48	ZeeviD_2015__PNP_Main_135__bin.63	ZellerG_2014__CCIS24254057ST-4-0__bin.8	LiJ_2014__MH0268__bin.17	FengQ_2015__SID31275__bin.62	FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	HMP_2012__SRS065504__bin.42	HMP_2012__SRS014979__bin.46	VincentC_2016__MM029.3__bin.27	FengQ_2015__SID530373__bin.31	XieH_2016__YSZC12003_37209__bin.34	ZellerG_2014__CCIS90166425ST-4-0__bin.14	LiJ_2014__V1.CD6-0-PT__bin.57	LouisS_2016__AS43_3__bin.45	LiJ_2014__V1.FI04__bin.26	XieH_2016__YSZC12003_37254__bin.23	ZeeviD_2015__PNP_Main_716__bin.5	LiJ_2014__MH0354__bin.37	NielsenHB_2014__O2_UC24_2__bin.37
CosteaPI_2017__mickey2-11-30-0__bin.23	1.0	0.9838141873387856	0.9861229437994784	0.9907969352901015	0.9854683954696627	0.9854256240633871	0.9903305473486183	0.9835749304595739	0.9839849831051009	0.9784295784519491	0.9758403610158735	0.9901957309563261	0.9851494541216363	0.9917611389401529	0.9837059069966235	0.9840712838676079	0.9863802910860072	0.9850425482926646	0.9856398654967631	0.9832321984240389	0.9843148367546878	0.9854785779885353	0.9857240464507729	0.9853043581115755	0.9857074330868393	0.984838545733381	0.9841907371940984	0.9827306008432278	0.9944122245536201	0.9852067308623796	0.9852601239315384	0.9843669272796609	0.9830309015548074	0.9850770618606168	0.9731491850971314
XieH_2016__YSZC12003_35390__bin.65	0.9838141873387856	1.0	0.984472670186956	0.9811565624493847	0.9849281535335732	0.9847189845900876	0.985967408819915	0.9823578616383893	0.9837223348959891	0.9792456562023566	0.9745706210027566	0.9830847554481934	0.9839952234604457	0.9862514146218045	0.9841455010520316	0.9845420275633854	0.9849396151093041	0.9835123017575972	0.9846168234737023	0.9836058243684018	0.9850473690774039	0.9849153224592784	0.9852467024914509	0.9842462177458646	0.9850890448590317	0.9838951714983116	0.984099854663589	0.9744015144441331	0.9835601113210979	0.9841034589682114	0.9836533202454283	0.9841959913852012	0.9831013531492749	0.9852447085617294	0.970964763945842
XieH_2016__YSZC12003_36012__bin.90	0.9861229437994784	0.984472670186956	1.0	0.9823478462725052	0.9860110566952996	0.9870451113437054	0.9870515535342135	0.9835732051036771	0.9847380106251847	0.9795345267150467	0.9756976625681176	0.9851609968350395	0.9857454229221745	0.989406594549962	0.984554476970452	0.9845429970205962	0.9866360869559373	0.9852797841283134	0.9851225385115259	0.9838904342014718	0.9853759783191864	0.9859416382898222	0.9852501789854304	0.9852629485788817	0.9873378400697899	0.98523976914295	0.9849829593865379	0.9771565840043477	0.9858515476311521	0.9904964389031612	0.9887810221197071	0.9851956396315301	0.9832746448589633	0.9848463992581049	0.9724305638037846
XieH_2016__YSZC12003_37223__bin.19	0.9907969352901015	0.9811565624493847	0.9823478462725052	1.0	0.9829117012735544	0.9827381501807835	0.9868015726231351	0.9810441521977862	0.981222223671628	0.976123319294879	0.9737174082092693	0.9868151431597101	0.9827054653624984	0.988169372034087	0.9813417323759291	0.9815688138530222	0.983191808992284	0.9819210984860341	0.9825312992571497	0.9807699312535363	0.982169929679181	0.982536627645629	0.9828844848392099	0.9827053270287707	0.982397872437612	0.9819734086857694	0.9822457537635382	0.9815278450823607	0.9900574773508429	0.9824685448114804	0.9824985878265883	0.9818696664080683	0.9807058268510129	0.982120073453704	0.9704562014095814
LiJ_2014__MH0281__bin.37	0.9854683954696627	0.9849281535335732	0.9860110566952996	0.9829117012735544	1.0	0.9851603869564936	0.9862561905244832	0.9840226890584449	0.9855642891455798	0.9800149830000576	0.9755062598519125	0.985215990280531	0.9933867636138585	0.9881819285771787	0.9851043216921592	0.9845948534761892	0.9855397262400165	0.9861127694859038	0.9854202852781725	0.9847687061393228	0.9854110405601789	0.9921834278305051	0.9850866021562517	0.9852862150902397	0.9856195695097966	0.9856519802339193	0.9929622215654137	0.9763289909050564	0.985379915613088	0.9860154460503111	0.9848072687030239	0.9859933359855815	0.9843999580030234	0.9848926279793854	0.9753403290300103
VincentC_2016__MM029.2__bin.22	0.9854256240633871	0.9847189845900876	0.9870451113437054	0.9827381501807835	0.9851603869564936	1.0	0.9866355524540058	0.9867807292408489	0.9844629762019527	0.9791899778516612	0.9770437230501128	0.9842468502542464	0.9856253940598155	0.9871489845372244	0.9841560420632537	0.9842169275087946	0.9859518914767876	0.9849774476942315	0.9855439330642698	0.9840578829994058	0.9847472395387892	0.9855803667634714	0.9855542103363447	0.9856304377882338	0.998307892035616	0.9850967662875431	0.9842688851784741	0.9769569186975522	0.9853474779698096	0.9862801797686555	0.9851306936914921	0.984975612785771	0.9826114808248124	0.9852357456498134	0.9722143807189177
ZeeviD_2015__PNP_Main_223__bin.35	0.9903305473486183	0.985967408819915	0.9870515535342135	0.9868015726231351	0.9862561905244832	0.9866355524540058	1.0	0.9856771330757137	0.9860276613608173	0.9815825240228744	0.9765228824731625	0.9882074738565139	0.9863454669161422	0.9896967248407185	0.9863110585300302	0.9853811693595447	0.9870903073552117	0.9864525703285897	0.9871956061634849	0.9845444215879667	0.9867568295085624	0.9868797995993764	0.9869520385798879	0.9871756219572111	0.9870492582889753	0.986655961771918	0.9853413724405403	0.9797109040250831	0.9903356587366333	0.9865238760805756	0.9856246381303841	0.9862531762875983	0.9843753189082332	0.9867315896878395	0.9747194994171775
RaymondF_2016__P23C0__bin.66	0.9835749304595739	0.9823578616383893	0.9835732051036771	0.9810441521977862	0.9840226890584449	0.9867807292408489	0.9856771330757137	1.0	0.9827895445924271	0.9776156284822763	0.9765204777099467	0.9827997650241124	0.9836642018480068	0.9863360205590119	0.983004593961131	0.9830540634875271	0.9840231509591352	0.9834912747684273	0.9833055939191466	0.9833444702807084	0.9842953940151528	0.9840891492512203	0.9847274738684417	0.9837512372573287	0.9861806366756654	0.9824533601619019	0.9837633675333367	0.9754927569816603	0.9830743734377936	0.9837372306979809	0.9826818002709804	0.9829090482899743	0.9818582336817535	0.9834452196130501	0.9721143265586352
CosteaPI_2017__SID713A052-11-0-0__bin.79	0.9839849831051009	0.9837223348959891	0.9847380106251847	0.981222223671628	0.9855642891455798	0.9844629762019527	0.9860276613608173	0.9827895445924271	1.0	0.979497512613142	0.9750951390888434	0.9831500855360592	0.9853285033289927	0.9861208618754078	0.9846244432674264	0.9837975474905084	0.9850338135977055	0.9847767631055818	0.9852993194764879	0.9828063592465704	0.9849449357272808	0.9848797457941637	0.9856138289447122	0.9845168919187772	0.9849554079005074	0.9837558558630132	0.9844828812032926	0.9756502434174767	0.9841226623483398	0.9841085160105589	0.9837747924410494	0.9848527704986241	0.9847894716841544	0.9853674176873491	0.9726671761184671
ZellerG_2014__CCIS78318719ST-4-0__bin.27	0.9784295784519491	0.9792456562023566	0.9795345267150467	0.976123319294879	0.9800149830000576	0.9791899778516612	0.9815825240228744	0.9776156284822763	0.979497512613142	1.0	0.9700549966934542	0.9775321456572641	0.9794300407113777	0.9814462347016761	0.9788839092616006	0.9796965473879167	0.979681365871633	0.9793657703077593	0.9793864640031894	0.9785785001431072	0.9792944414390383	0.9788838543078335	0.9800728133658009	0.9792738074126618	0.9796097238780457	0.9785127150090653	0.9788435275805394	0.9702495281889321	0.9784229242638135	0.9793194087525012	0.9782953787265126	0.9787313636665145	0.9786014553123328	0.9795558859816507	0.9686324242931237
