	CosteaPI_2017__mickey2-11-30-0__bin.23	XieH_2016__YSZC12003_35390__bin.65	XieH_2016__YSZC12003_36012__bin.90	XieH_2016__YSZC12003_37223__bin.19	LiJ_2014__MH0281__bin.37	VincentC_2016__MM029.2__bin.22	ZeeviD_2015__PNP_Main_223__bin.35	RaymondF_2016__P23C0__bin.66	CosteaPI_2017__SID713A052-11-0-0__bin.79	ZellerG_2014__CCIS78318719ST-4-0__bin.27	RaymondF_2016__P21E90__bin.74	XieH_2016__YSZC12003_36454__bin.8	XieH_2016__YSZC12003_35706__bin.14	SchirmerM_2016__G88898__bin.12	NielsenHB_2014__V1_UC35_4__bin.76	XieH_2016__YSZC12003_37255__bin.62	LiJ_2014__V1.FI17__bin.48	ZeeviD_2015__PNP_Main_135__bin.63	ZellerG_2014__CCIS24254057ST-4-0__bin.8	LiJ_2014__MH0268__bin.17	FengQ_2015__SID31275__bin.62	FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	HMP_2012__SRS065504__bin.42	HMP_2012__SRS014979__bin.46	VincentC_2016__MM029.3__bin.27	FengQ_2015__SID530373__bin.31	XieH_2016__YSZC12003_37209__bin.34	ZellerG_2014__CCIS90166425ST-4-0__bin.14	LiJ_2014__V1.CD6-0-PT__bin.57	LouisS_2016__AS43_3__bin.45	LiJ_2014__V1.FI04__bin.26	XieH_2016__YSZC12003_37254__bin.23	ZeeviD_2015__PNP_Main_716__bin.5	LiJ_2014__MH0354__bin.37	NielsenHB_2014__O2_UC24_2__bin.37
CosteaPI_2017__mickey2-11-30-0__bin.23	1.0	0.8189148600224139	0.8520107798561959	0.7950697277135514	0.8030517467388442	0.8063775879993828	0.5587728951146178	0.7733981797692213	0.859347503846052	0.7942081653202238	0.6260791935994214	0.783840580952574	0.8214559040599033	0.5922012042389961	0.8152418219765044	0.7031942883595945	0.8377445379827828	0.8168819468582392	0.8468297153687767	0.5054324022276706	0.8080695391128285	0.790691774982192	0.5947827740516579	0.8342164575172974	0.8391742405703535	0.9038572744545775	0.5771119773928522	0.7283459872468503	0.9202300772951227	0.7925824582623483	0.7864322822090288	0.8278087089890845	0.7873998350912688	0.7999710084839151	0.6061070005159243
XieH_2016__YSZC12003_35390__bin.65	0.8738844905883669	1.0	0.8892231218420495	0.7934688459911936	0.8365473338592165	0.8227776199943199	0.574496963003406	0.8106554149272946	0.885834958872575	0.8255644963101542	0.6728676258699632	0.7869075029014369	0.8744471052788061	0.599747675835803	0.8485921949998398	0.7351357240368707	0.8656939351134356	0.8624575492038358	0.9018127170879763	0.5213991100458533	0.8408536440840421	0.8028099963282426	0.6080147435820134	0.8450638981422072	0.8603817380178248	0.9024343792921201	0.5983247139210336	0.7290085049211111	0.8883681803760163	0.8327454224662483	0.8158994163028522	0.8684121998816555	0.8127075239423114	0.8573511867510685	0.6394097244601831
XieH_2016__YSZC12003_36012__bin.90	0.8879467220920652	0.8684349350574986	1.0	0.7991340999809536	0.8517195965414356	0.8528749691866785	0.5739468950933821	0.8100660775687548	0.8876494522234122	0.8333583088755768	0.6609511255035212	0.7844955894816824	0.8727770244504467	0.6024368819314745	0.8386519055120412	0.7239967040406365	0.8943083785025152	0.8600459956083657	0.8902148262128672	0.5237383391629904	0.8286551909126387	0.8127358208973408	0.6192249134891887	0.8491387905096188	0.8958089415690084	0.8866845434694237	0.5971733371669776	0.7316449054564047	0.8938214569553636	0.8445713120769133	0.8453725599605915	0.8640571083032915	0.8125063707938038	0.8513398870780605	0.6317260861213552
XieH_2016__YSZC12003_37223__bin.19	0.908673171731027	0.8498007063235105	0.8763555310118775	1.0	0.8341943413956346	0.8297689084050717	0.5876295408897183	0.796100969524768	0.8709810593071261	0.8200843491001722	0.6613739907278338	0.804266888747367	0.8403704412963219	0.6129921663111297	0.8336612586453375	0.7265365653794595	0.847009258805663	0.8382207416842208	0.8739012126853208	0.5396080038121874	0.8297724711970536	0.8128091278730577	0.6235402573226508	0.8574446765207555	0.8620388967814628	0.8988728216867148	0.6089956044053922	0.7586159443848172	0.9159430487701687	0.8273662505622531	0.8257367185795148	0.8454705780184641	0.8146947355294977	0.8241143121807405	0.6293476082532077
LiJ_2014__MH0281__bin.37	0.898671079685071	0.8772683764932638	0.9145596902165738	0.8168117686305034	1.0	0.8618236842162641	0.6106697365925131	0.8602817441888353	0.9205970656916164	0.8528258362168397	0.7078529488076782	0.8034196531943145	0.9351172916625785	0.6316385511170998	0.8766129647678041	0.768282084322665	0.9081922104992336	0.9075429037399458	0.9307055814653227	0.558743510748011	0.8888416480792249	0.8682465446981639	0.656385903633109	0.8794958170079997	0.8989924625471227	0.9127657023000461	0.6445985221621174	0.7578761694825824	0.9110510789437536	0.8484699428531559	0.8513841920622357	0.8926964981477968	0.842240260943697	0.8841857392350914	0.6653192134187157
VincentC_2016__MM029.2__bin.22	0.9180548451195226	0.8778036221220686	0.9316949211944672	0.8265799148482339	0.8767814815094143	1.0	0.6109175619639474	0.8360200754804704	0.9151468018400305	0.86730671715852	0.698433471910875	0.8148315087265698	0.8793811967829189	0.6365078991860584	0.8795848263580961	0.7675597235783972	0.9170242753959131	0.8750189100449715	0.9261330388763906	0.5678971541990504	0.8694015730495592	0.8521551683981096	0.6565487759378161	0.88870157531211	0.9647614361962883	0.9201062245435303	0.6320968123320555	0.7695090663961069	0.9183667222248594	0.8726254861711562	0.8762974730856269	0.9005626653381205	0.8615168052072386	0.8706961070372873	0.6569870897074788
ZeeviD_2015__PNP_Main_223__bin.35	0.9396861074705111	0.9053571428571429	0.9261415465268675	0.8646664482306684	0.9176913499344692	0.9024017038007864	1.0	0.87921625163827	0.9350753604193971	0.8779213630406291	0.7339305373525556	0.8541395806028833	0.9119882044560944	0.6838519003931848	0.9047064220183486	0.7911906946264744	0.9195884665792923	0.8986369593709044	0.9441749672346003	0.6109672346002621	0.9104357798165138	0.8736369593709044	0.7144193971166448	0.9269462647444298	0.9303204456094364	0.9357798165137614	0.6874331585845347	0.7942765399737877	0.943478374836173	0.8829731323722149	0.8835072083879423	0.9108112712975098	0.8849495412844037	0.9052693315858453	0.6937332896461337
RaymondF_2016__P23C0__bin.66	0.85100351893006	0.8358901709641748	0.8552770873360966	0.7664677308496585	0.8458856988744311	0.8080062840793177	0.5752762469433931	1.0	0.8667085719626986	0.8057505157052675	0.6621299753070328	0.7711456310513098	0.8684086521001456	0.5970437042795284	0.8054516617693782	0.7197414677630075	0.8290092413183361	0.8489947231056112	0.8721741259379919	0.5155093187116437	0.8244796961551605	0.8075753684328777	0.5999722155881698	0.8305643965916073	0.844875083771288	0.8692340377910878	0.6006063690618859	0.7165556933818646	0.8657849975324183	0.8051197924058513	0.7998381815273965	0.8378346510204984	0.7885310407191704	0.8390536492123677	0.6204619329975479
CosteaPI_2017__SID713A052-11-0-0__bin.79	0.8505961612560945	0.8216599792260568	0.8430518179900188	0.7543290297920562	0.8142672170900204	0.7956373947947888	0.5503687124205116	0.7796496354531678	1.0	0.7932911657514586	0.6387262402364202	0.7427926643989924	0.8481079936482492	0.5823982294706888	0.8346041591856429	0.6992125109587757	0.8296112387572507	0.8430105478095756	0.8637972191612433	0.505320960507523	0.8152017745406185	0.7942731646244356	0.5875323170583542	0.8111804390144373	0.8289844719981825	0.8596825436007884	0.5768032272509702	0.7047978706129702	0.851804567567578	0.7937331809550845	0.7778688464521722	0.8326355330082374	0.7896366334178151	0.8143459004246971	0.612684756376725
ZellerG_2014__CCIS78318719ST-4-0__bin.27	0.8608699802496085	0.8385692708236538	0.8667486361416961	0.7777844419627394	0.8260499892716008	0.8257446100353614	0.5658630785943938	0.7937351217377642	0.8687228305402889	1.0	0.6561286191452085	0.7778178098184282	0.8263350943676749	0.5939360046765683	0.8440470900695572	0.7265782995740742	0.8444893197519122	0.8277166925443539	0.8757448634621136	0.5285506355098186	0.8295996533122032	0.8100144115346342	0.6070694237244609	0.8396725219509804	0.8544679981145049	0.8799120440219163	0.589135679614521	0.7341785678685289	0.8764764220197436	0.8101208507705018	0.8100625626175267	0.8475811261271156	0.8216167106221289	0.8269749969166411	0.6113409316305308
