	CosteaPI_2017__mickey2-11-30-0__bin.23	XieH_2016__YSZC12003_35390__bin.65	XieH_2016__YSZC12003_36012__bin.90	XieH_2016__YSZC12003_37223__bin.19	LiJ_2014__MH0281__bin.37	VincentC_2016__MM029.2__bin.22	ZeeviD_2015__PNP_Main_223__bin.35	RaymondF_2016__P23C0__bin.66	CosteaPI_2017__SID713A052-11-0-0__bin.79	ZellerG_2014__CCIS78318719ST-4-0__bin.27	RaymondF_2016__P21E90__bin.74	XieH_2016__YSZC12003_36454__bin.8	XieH_2016__YSZC12003_35706__bin.14	SchirmerM_2016__G88898__bin.12	NielsenHB_2014__V1_UC35_4__bin.76	XieH_2016__YSZC12003_37255__bin.62	LiJ_2014__V1.FI17__bin.48	ZeeviD_2015__PNP_Main_135__bin.63	ZellerG_2014__CCIS24254057ST-4-0__bin.8	LiJ_2014__MH0268__bin.17	FengQ_2015__SID31275__bin.62	FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	HMP_2012__SRS065504__bin.42	HMP_2012__SRS014979__bin.46	VincentC_2016__MM029.3__bin.27	FengQ_2015__SID530373__bin.31	XieH_2016__YSZC12003_37209__bin.34	ZellerG_2014__CCIS90166425ST-4-0__bin.14	LiJ_2014__V1.CD6-0-PT__bin.57	LouisS_2016__AS43_3__bin.45	LiJ_2014__V1.FI04__bin.26	XieH_2016__YSZC12003_37254__bin.23	ZeeviD_2015__PNP_Main_716__bin.5	LiJ_2014__MH0354__bin.37	NielsenHB_2014__O2_UC24_2__bin.37
CosteaPI_2017__mickey2-11-30-0__bin.23	2566268.0	2136130.0	2217257.0	2059314.0	2091235.0	2099987.0	1447962.0	2017891.0	2241209.0	2083084.0	1646465.0	2031462.0	2139854.0	1532372.0	2126783.0	1833795.0	2179562.0	2128170.0	2204854.0	1319195.0	2106768.0	2059027.0	1548478.0	2172753.0	2184772.0	2355249.0	1504814.0	1901977.0	2374827.0	2064520.0	2048389.0	2158117.0	2055560.0	2084040.0	1598350.0
XieH_2016__YSZC12003_35390__bin.65	2136130.0	2404843.0	2172170.0	1944815.0	2042550.0	2009356.0	1401238.0	1984510.0	2165544.0	2027431.0	1660363.0	1924950.0	2137112.0	1462405.0	2073607.0	1795643.0	2113691.0	2108845.0	2202601.0	1274782.0	2052816.0	1960201.0	1484075.0	2064774.0	2100402.0	2205736.0	1462125.0	1799208.0	2172095.0	2034971.0	1994717.0	2121930.0	1988029.0	2092673.0	1583662.0
XieH_2016__YSZC12003_36012__bin.90	2217257.0	2172170.0	2462409.0	2003155.0	2127037.0	2127691.0	1431832.0	2028028.0	2219632.0	2094943.0	1668070.0	1960846.0	2180212.0	1499329.0	2097501.0	1810765.0	2231981.0	2149425.0	2225178.0	1310774.0	2070771.0	2029824.0	1547612.0	2122202.0	2234137.0	2216090.0	1492904.0	1843726.0	2232541.0	2099634.0	2105272.0	2159634.0	2034755.0	2128603.0	1599670.0
XieH_2016__YSZC12003_37223__bin.19	2059314.0	1944815.0	2003155.0	2245430.0	1905690.0	1895915.0	1337129.0	1822129.0	1993154.0	1886485.0	1525154.0	1830054.0	1920202.0	1392910.0	1907519.0	1662020.0	1934414.0	1916820.0	1997172.0	1235409.0	1897020.0	1857545.0	1424497.0	1959216.0	1970330.0	2055408.0	1392174.0	1735477.0	2077340.0	1890944.0	1887162.0	1933500.0	1865330.0	1884180.0	1456177.0
LiJ_2014__MH0281__bin.37	2091235.0	2042550.0	2127037.0	1905690.0	2293215.0	2006117.0	1419912.0	2004843.0	2142049.0	1995595.0	1664017.0	1870061.0	2158701.0	1465806.0	2040659.0	1789402.0	2113238.0	2110500.0	2165886.0	1301137.0	2068482.0	2006762.0	1528022.0	2046992.0	2091662.0	2123638.0	1488680.0	1780110.0	2120234.0	1973320.0	1982527.0	2076226.0	1962046.0	2058730.0	1564295.0
VincentC_2016__MM029.2__bin.22	2099987.0	2009356.0	2127691.0	1895915.0	2006117.0	2254093.0	1395718.0	1909712.0	2095382.0	1996538.0	1611324.0	1866103.0	2011116.0	1453426.0	2014585.0	1757896.0	2096510.0	2002456.0	2118211.0	1300831.0	1990066.0	1948940.0	1501614.0	2032421.0	2178348.0	2105382.0	1447577.0	1775457.0	2100867.0	1994341.0	2005070.0	2060916.0	1976304.0	1992041.0	1523234.0
ZeeviD_2015__PNP_Main_223__bin.35	1447962.0	1401238.0	1431832.0	1337129.0	1419912.0	1395718.0	1526000.0	1361180.0	1447145.0	1364845.0	1146904.0	1318971.0	1410960.0	1054422.0	1399743.0	1225269.0	1421645.0	1390153.0	1459499.0	946972.0	1407971.0	1350894.0	1104617.0	1432896.0	1438296.0	1447313.0	1064629.0	1237167.0	1453798.0	1365823.0	1367896.0	1409271.0	1371868.0	1400017.0	1086094.0
RaymondF_2016__P23C0__bin.66	2017891.0	1984510.0	2028028.0	1822129.0	2004843.0	1909712.0	1361180.0	2332243.0	2056773.0	1922234.0	1581378.0	1829975.0	2058975.0	1411741.0	1910987.0	1707548.0	1964843.0	2013299.0	2068657.0	1222657.0	1953567.0	1913914.0	1420983.0	1969073.0	1998066.0	2063472.0	1423879.0	1713167.0	2053986.0	1908777.0	1898292.0	1988011.0	1873026.0	1989818.0	1488578.0
CosteaPI_2017__SID713A052-11-0-0__bin.79	2241209.0	2165544.0	2219632.0	1993154.0	2142049.0	2095382.0	1447145.0	2056773.0	2592671.0	2099794.0	1698303.0	1958823.0	2231606.0	1531219.0	2197644.0	1842684.0	2183589.0	2219436.0	2272956.0	1333051.0	2145856.0	2090904.0	1545512.0	2136199.0	2182113.0	2265678.0	1519032.0	1872914.0	2244079.0	2091120.0	2050020.0	2191952.0	2078889.0	2142684.0	1633128.0
ZellerG_2014__CCIS78318719ST-4-0__bin.27	2083084.0	2027431.0	2094943.0	1886485.0	1995595.0	1996538.0	1364845.0	1922234.0	2099794.0	2367548.0	1601369.0	1883847.0	1997476.0	1432755.0	2041429.0	1755859.0	2040836.0	2000947.0	2117007.0	1278762.0	2005645.0	1959117.0	1466489.0	2030040.0	2065102.0	2128980.0	1424954.0	1791501.0	2120862.0	1958503.0	1960412.0	2050296.0	1987752.0	1998766.0	1494250.0
