	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
HMP_2012__SRS018145__bin.49	892873.0	586801.0	742535.0	809605.0	619232.0	795791.0	722435.0	729277.0	675614.0	707115.0	818762.0	749170.0	783757.0	772543.0	816866.0	664321.0	761637.0	819458.0	758722.0	789801.0	708720.0	550051.0	696890.0	747808.0	724782.0	610163.0	789499.0	681154.0	680559.0
Castro-NallarE_2015__ES_110__bin.14	586801.0	713795.0	561829.0	604333.0	532702.0	606683.0	551959.0	550226.0	590157.0	546237.0	608919.0	575836.0	598366.0	576765.0	597597.0	569611.0	589719.0	605362.0	571982.0	601384.0	540917.0	419505.0	624153.0	566621.0	526946.0	542520.0	598996.0	585861.0	583324.0
HMP_2012__SRS022530__bin.25	742535.0	561829.0	845311.0	755567.0	630076.0	748224.0	751402.0	754492.0	701400.0	711752.0	768848.0	768184.0	759173.0	709681.0	747219.0	675175.0	805900.0	764435.0	729116.0	739120.0	733309.0	506614.0	655572.0	734653.0	729565.0	592133.0	752766.0	707642.0	705038.0
HMP_2012__SRS023958__bin.38	809605.0	604333.0	755567.0	903781.0	625530.0	822355.0	740440.0	744426.0	680190.0	724545.0	836049.0	768943.0	801798.0	802016.0	831336.0	659877.0	781838.0	838292.0	803066.0	810328.0	712135.0	529562.0	704279.0	771780.0	732768.0	616326.0	816353.0	690992.0	690145.0
HMP_2012__SRS042643__bin.12	619232.0	532702.0	630076.0	625530.0	804646.0	624543.0	633184.0	646852.0	695845.0	538286.0	635131.0	650270.0	631674.0	597979.0	630974.0	687895.0	599556.0	623287.0	623262.0	615907.0	610860.0	438101.0	641100.0	628472.0	609122.0	594714.0	622629.0	714674.0	735442.0
HMP_2012__SRS022719__bin.30	795791.0	606683.0	748224.0	822355.0	624543.0	968177.0	738468.0	741612.0	679235.0	723548.0	836042.0	767611.0	787332.0	790619.0	809215.0	675880.0	769981.0	822652.0	771605.0	925420.0	699796.0	528508.0	700508.0	760228.0	713168.0	628670.0	804983.0	693317.0	700025.0
HMP_2012__SRS024081__bin.42	722435.0	551959.0	751402.0	740440.0	633184.0	738468.0	818597.0	736844.0	684462.0	638563.0	742609.0	747457.0	736165.0	704763.0	740026.0	657900.0	715615.0	739000.0	708144.0	733372.0	702154.0	492824.0	645896.0	724545.0	718271.0	570373.0	732467.0	701427.0	693581.0
HMP_2012__SRS013164__bin.44	729277.0	550226.0	754492.0	744426.0	646852.0	741612.0	736844.0	839108.0	685518.0	639310.0	777570.0	806956.0	755990.0	716710.0	746260.0	665882.0	720639.0	757707.0	719159.0	734360.0	715005.0	502241.0	638344.0	731522.0	724378.0	586039.0	776696.0	695939.0	708604.0
HMP_2012__SRS017808__bin.8	675614.0	590157.0	701400.0	680190.0	695845.0	679235.0	684462.0	685518.0	880432.0	595129.0	714336.0	691330.0	679287.0	672328.0	680343.0	731212.0	669674.0	691700.0	654129.0	669911.0	688070.0	474802.0	708182.0	691934.0	661383.0	640292.0	677649.0	760263.0	763545.0
HMP_2012__SRS063288__bin.51	707115.0	546237.0	711752.0	724545.0	538286.0	723548.0	638563.0	639310.0	595129.0	800809.0	733383.0	667799.0	701417.0	688076.0	710568.0	567258.0	735794.0	733173.0	688701.0	712789.0	614423.0	525159.0	623897.0	656380.0	614529.0	553740.0	708436.0	601675.0	600597.0
HMP_2012__SRS058336__bin.67	818762.0	608919.0	768848.0	836049.0	635131.0	836042.0	742609.0	777570.0	714336.0	733383.0	981480.0	827362.0	830593.0	840787.0	824291.0	671622.0	791984.0	848756.0	789042.0	821538.0	760034.0	538309.0	736217.0	795182.0	729163.0	661715.0	838450.0	706164.0	705295.0
HMP_2012__SRS015797__bin.32	749170.0	575836.0	768184.0	768943.0	650270.0	767611.0	747457.0	806956.0	691330.0	667799.0	827362.0	906236.0	782131.0	744529.0	767353.0	691205.0	767466.0	780524.0	760697.0	759253.0	727478.0	528560.0	664615.0	757565.0	729032.0	614016.0	788959.0	703827.0	722452.0
