	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
HMP_2012__SRS018145__bin.49	1.0	0.9597205867065666	0.9651720120937061	0.9679670950648773	0.955018474497442	0.9580178715265691	0.9574633011966475	0.9674568099638409	0.9549831708638364	0.9653196439051639	0.9685622928274639	0.9675053726123577	0.9673559534396503	0.9678360945604323	0.9764098395575284	0.9549901327821941	0.9661387248781244	0.9673381674228575	0.9668692880923447	0.957803294753995	0.9668867818038154	0.9997782023848698	0.9581469098422993	0.9674087466301511	0.9751939203788174	0.9591813990687734	0.9679239619049549	0.9567131661856203	0.956557770891282
Castro-NallarE_2015__ES_110__bin.14	0.9597205867065666	1.0	0.960215652805391	0.9619547501129344	0.9624874695420704	0.95695610392907	0.9556905494792186	0.9620047035218255	0.9620406095327175	0.9604567248282339	0.9625894412885786	0.9631735424669524	0.9630794530437893	0.9618978266711746	0.9606273123861063	0.9634417172421179	0.9614562189788696	0.9620970592802324	0.9612470322492666	0.9567148444255251	0.9598829395267666	0.9612114277541388	0.9831163192358284	0.961565137896407	0.9599617418103563	0.968568900685689	0.9627176141409959	0.9631038761754068	0.9639428516570551
HMP_2012__SRS022530__bin.25	0.9651720120937061	0.960215652805391	1.0	0.9653915536279377	0.9567464877252903	0.957169243435121	0.9573836641371729	0.9658551714266023	0.9546278870829769	0.999336847666041	0.9667697646348823	0.9654731158160024	0.9671537317581105	0.9670077119156353	0.9660126415415026	0.9554752471581441	0.9991264424866608	0.9663895556849176	0.9663071445421579	0.9574710466500703	0.9659215964893381	0.9662109614025669	0.9580259681621546	0.9666808683827603	0.9660510029949353	0.9586376709286596	0.9659256661432637	0.9554040037193948	0.9565186557320314
HMP_2012__SRS023958__bin.38	0.9679670950648773	0.9619547501129344	0.9653915536279377	1.0	0.957189902962288	0.9599163378346335	0.9585597752687591	0.9671411261831263	0.9554742057366324	0.9664948346893568	0.9683750593565688	0.967326576872408	0.9675491832107339	0.9696838965806168	0.9680778890845578	0.955582631308562	0.9669560701833372	0.9683189151274257	0.9863435881982303	0.9596657156114561	0.9659783608445028	0.9699015412737318	0.9602586474962337	0.9695923708828941	0.9669950106991572	0.960723707907828	0.9684082743617038	0.956705721629194	0.9564989965876736
HMP_2012__SRS042643__bin.12	0.955018474497442	0.9624874695420704	0.9567464877252903	0.957189902962288	1.0	0.9529832213314375	0.9531178930611007	0.9558214243752822	0.9602971926219201	0.9566810208699464	0.9561460549083575	0.9558844787549787	0.9573989114638247	0.9566155333214043	0.9554213010361758	0.9599313848770524	0.9576653390175397	0.957746591858967	0.9576085177662043	0.9529929031493392	0.9568821006449924	0.9559051451605908	0.9631133988457339	0.9563751447956313	0.9554489905142155	0.9641205688784862	0.9575622079922393	0.9610283849699304	0.961487105713299
HMP_2012__SRS022719__bin.30	0.9580178715265691	0.95695610392907	0.957169243435121	0.9599163378346335	0.9529832213314375	1.0	0.9630762605827199	0.9581020803331122	0.9537671056409048	0.9579779088602276	0.9573992694146944	0.9571631985471808	0.9572937464754385	0.9600477600462423	0.9582422471160322	0.9510637983073918	0.9579898724773728	0.9596256983511862	0.9596607072271435	0.9995645220548508	0.9561972346226615	0.9590942805028495	0.9555579665043084	0.9591070047406831	0.957568202723622	0.9547393704169119	0.9587693156252989	0.9522368555797709	0.9527902574908039
HMP_2012__SRS024081__bin.42	0.9574633011966475	0.9556905494792186	0.9573836641371729	0.9585597752687591	0.9531178930611007	0.9630762605827199	1.0	0.9585733208114607	0.953532847696439	0.9576956384882932	0.9568225001312939	0.9577915518886037	0.9571020083812732	0.9595466844882606	0.956910973398232	0.952469980240158	0.957953648260587	0.9578633288227334	0.9586581260308638	0.9630337673104509	0.9577015868313788	0.9595697449799523	0.9547821940374301	0.9588624585084432	0.956517804561231	0.9562076044974078	0.9582943668451958	0.9528689371809184	0.9535252551612573
HMP_2012__SRS013164__bin.44	0.9674568099638409	0.9620047035218255	0.9658551714266023	0.9671411261831263	0.9558214243752822	0.9581020803331122	0.9585733208114607	1.0	0.9552309348551022	0.9663825061394316	0.9826549378191031	0.9823844174899251	0.9792682442889457	0.9672196564858869	0.9660091657063222	0.9548929089538387	0.9667156509708744	0.9746775468617817	0.9662591999822014	0.9580042485974182	0.9666002335648003	0.9683737488576202	0.9586868522301455	0.9672559403544938	0.9659749467819287	0.9584413324027923	0.9891501951857612	0.956714597112678	0.9568348471078345
HMP_2012__SRS017808__bin.8	0.9549831708638364	0.9620406095327175	0.9546278870829769	0.9554742057366324	0.9602971926219201	0.9537671056409048	0.953532847696439	0.9552309348551022	1.0	0.9549038947858364	0.9545018030730636	0.9545803017372312	0.9553428815802452	0.9555886412584333	0.9547301875671537	0.9618045108668895	0.9553753020126211	0.9555153968483446	0.9557166858524847	0.9537460946304808	0.9546368828752888	0.9573948719676834	0.9634345408383721	0.956010255313368	0.9547115665204579	0.965373610790077	0.9556540332827171	0.9621959769185138	0.9625274214355408
HMP_2012__SRS063288__bin.51	0.9653196439051639	0.9604567248282339	0.999336847666041	0.9664948346893568	0.9566810208699464	0.9579779088602276	0.9576956384882932	0.9663825061394316	0.9549038947858364	1.0	0.9680426189317178	0.9655734734553361	0.9681444846646147	0.96883193135642	0.9673402123371725	0.9555405124299702	0.9991451411672289	0.9680361933677317	0.9669537288315249	0.957827632020135	0.9653463493391361	0.9673679780790199	0.9592032018105553	0.9674197873183217	0.9662538301691214	0.9589121248239246	0.9668777419555189	0.9553280425478872	0.9569644870020996
