	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
HMP_2012__SRS018145__bin.49	1.0	0.6307335981712964	0.8026606247473046	0.8776959321202455	0.6623315969908374	0.8538526755764818	0.7746958414018568	0.7901952461324286	0.7226111664256842	0.764489462667143	0.8881688661209376	0.8117907025971219	0.8491375593169466	0.8374035277133478	0.8932916551402046	0.7105377808490122	0.8241340033801	0.8878003926650262	0.8216006083731953	0.8472358330916043	0.7674686097574908	0.6159095414465439	0.7478364784241431	0.8102339302453988	0.7916053010898526	0.6554761987427103	0.8558607999121935	0.7298563177517968	0.7291003311781182
Castro-NallarE_2015__ES_110__bin.14	0.7889730244678094	1.0	0.7557870256866468	0.8144369181627779	0.7183000721495667	0.813355375142723	0.7390105002136468	0.7415574499681281	0.7954034421647671	0.7349967427622777	0.8211587360516674	0.7770158098613748	0.8073382413718225	0.7772385628927074	0.8042477181823913	0.7688299862005198	0.7943303049194796	0.8159443537710408	0.7702715765731057	0.8060479549450473	0.7274035262225149	0.5649142961214355	0.859651580635897	0.7633045902535042	0.708674059078587	0.7361609425675439	0.8078846167316946	0.7904860639259171	0.7877485832767112
HMP_2012__SRS022530__bin.25	0.8478228722919731	0.6381994319250548	1.0	0.8628989803752702	0.7131375316303703	0.8472349230046693	0.8510240609669104	0.8620850787461656	0.7921061005949289	0.841441788880069	0.8793201555403869	0.8773824071850479	0.8685998407686638	0.8118514960765918	0.8539141215481639	0.763166455896114	0.9525440932390564	0.8739292402441231	0.8334802220721131	0.8371900992652409	0.8379389360838791	0.5790720811630277	0.7429869006791583	0.8401345776879753	0.8337724222209341	0.6715173468699686	0.8601757223081209	0.7998050421679122	0.7977915820331215
HMP_2012__SRS023958__bin.38	0.8671027605138856	0.6432321546923424	0.8070738375779088	1.0	0.6624956709645368	0.8734328338391713	0.7853185672192711	0.7966144453136325	0.71909455941207	0.7748215552218957	0.8958021910175142	0.8230080074708365	0.8583705565839512	0.8604982844295244	0.8904789987839975	0.6976988894433496	0.8364891494731578	0.8981534243362053	0.8764280284714991	0.8604341095907083	0.7611434628521733	0.5683047109864005	0.7482896852224156	0.8279793445536031	0.7840206864273536	0.6551576100847439	0.8747285017056123	0.7314559611233252	0.7304015021338134
HMP_2012__SRS042643__bin.12	0.734954253174688	0.6371982213296282	0.7491778993495276	0.7441172888450325	1.0	0.7396780696107357	0.7500180203468357	0.7683813751637366	0.8304496635787663	0.6399932392629802	0.7547144955669947	0.7724924998073688	0.7515901402604376	0.710916353278336	0.7492064833479568	0.8206490804651984	0.7135734223497041	0.7418802802723186	0.7417435741928748	0.7294574259985136	0.7264324932951882	0.5204562006149288	0.7673585651329902	0.7469806598181064	0.7232807967727423	0.7125816818824676	0.7409544072797231	0.8535703899603055	0.8787939044001959
HMP_2012__SRS022719__bin.30	0.7874407262308442	0.5996517165766178	0.739717014554157	0.8153385176470832	0.6147419325185374	1.0	0.7345774584605914	0.7338947320582909	0.6691255834418707	0.715925910241619	0.8267351940812475	0.7588788000541223	0.7784816206127598	0.7839806151147982	0.8009114035966564	0.6639333510298221	0.7618792844696786	0.8153860296206169	0.764817796745843	0.9554213743974501	0.6911370544848722	0.5235499294034046	0.6913777129595104	0.75310609526977	0.7053534632613665	0.6199444936204848	0.7971610562944585	0.681902172846494	0.6888998602528257
HMP_2012__SRS024081__bin.42	0.8449884375339759	0.6443976706486831	0.8787962819311578	0.8670395811369941	0.7372357826867189	0.8688047964993763	1.0	0.862840933939411	0.7972873098728678	0.7470696814183292	0.8680034253729247	0.8745548786521329	0.8607226755045524	0.8261122383785917	0.8650642501743837	0.7654926661104303	0.8374401567560106	0.8647246447275032	0.8293067284634564	0.8627713026067771	0.8214713711386676	0.5776945187925194	0.7533499389809638	0.8486947789938151	0.8392884410766226	0.6662558010840499	0.8574658837010153	0.8164799040309213	0.8079030340936993
HMP_2012__SRS013164__bin.44	0.8408262106903998	0.6308127201742804	0.868457933901238	0.8580123178422802	0.7368241036910624	0.8467801522569204	0.8417498105130686	1.0	0.7803858382949512	0.7362794777311145	0.9105895784571235	0.944742512286857	0.882266645056417	0.8261344189305787	0.8591194458877761	0.7577641972189516	0.8302304351764016	0.880125085209532	0.82813416151437	0.8384141254761008	0.8236412952802261	0.5796119212306402	0.7293125557139248	0.8432394876464055	0.8338986161495302	0.6693822487689307	0.9155782092412419	0.7934795044261288	0.8080211367309095
HMP_2012__SRS017808__bin.8	0.7328220691660458	0.6448595689388845	0.7605084776564232	0.7381649008668473	0.7589660530285133	0.7358115107129227	0.7412917749468443	0.7437576099005943	1.0	0.6454683609864249	0.7744323241317899	0.7495524924128155	0.7370836134988279	0.7297201828193431	0.7377560106856634	0.7987930924818726	0.7266773583877006	0.7506882984716593	0.7100627873589329	0.7256948861468007	0.7460621603939883	0.516306767586821	0.7749457084703874	0.751331164700965	0.7171820197357661	0.7020655768986134	0.7355457320951532	0.8308671197775639	0.8347413542442801
HMP_2012__SRS063288__bin.51	0.8523780327144176	0.6551337459993581	0.8882018059237596	0.87445196045499	0.6430597058724364	0.865553459064521	0.7636639947852734	0.7714923283829228	0.7096461203607852	1.0	0.8865359904796275	0.8051969945392721	0.8479837264566208	0.8324456892966987	0.8583332604903291	0.6768630222687309	0.9180278942918972	0.8862762531390131	0.8315865580931283	0.852549109712803	0.7406647527687626	0.6343859771805761	0.7472992935893578	0.7929418875162492	0.7414889193303271	0.663064476048596	0.8553487785476936	0.717770404678269	0.717711714029188
