	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
HMP_2012__SRS018145__bin.49	0.0	23636.0	25861.0	25934.0	27854.0	33409.0	30730.0	23733.0	30414.0	24523.0	25740.0	24344.0	25585.0	24848.0	19270.0	29901.0	25790.0	26765.0	25137.0	33327.0	23468.0	122.0	29167.0	24372.0	17979.0	24906.0	25324.0	29485.0	29565.0
Castro-NallarE_2015__ES_110__bin.14	23636.0	0.0	22352.0	22992.0	19983.0	26114.0	24457.0	20906.0	22402.0	21600.0	22780.0	21206.0	22092.0	21976.0	23529.0	20824.0	22730.0	22945.0	22166.0	26031.0	21700.0	16272.0	10538.0	21778.0	21098.0	17052.0	22332.0	21616.0	21033.0
HMP_2012__SRS022530__bin.25	25861.0	22352.0	0.0	26149.0	27253.0	32047.0	32022.0	25762.0	31824.0	472.0	25549.0	26523.0	24936.0	23414.0	25396.0	30062.0	704.0	25693.0	24566.0	31434.0	24990.0	17118.0	27517.0	24478.0	24768.0	24492.0	25650.0	31558.0	30656.0
HMP_2012__SRS023958__bin.38	25934.0	22992.0	26149.0	0.0	26779.0	32963.0	30684.0	24461.0	30286.0	24276.0	26440.0	25124.0	26019.0	24314.0	26538.0	29310.0	25835.0	26558.0	10967.0	32684.0	24228.0	15939.0	27989.0	23468.0	24185.0	24207.0	25790.0	29916.0	30022.0
HMP_2012__SRS042643__bin.12	27854.0	19983.0	27253.0	26779.0	0.0	29364.0	29685.0	28577.0	27627.0	23318.0	27853.0	28687.0	26910.0	25943.0	28128.0	27563.0	25382.0	26336.0	26421.0	28952.0	26339.0	19318.0	23648.0	27417.0	27137.0	21338.0	26423.0	27852.0	28324.0
HMP_2012__SRS022719__bin.30	33409.0	26114.0	32047.0	32963.0	29364.0	0.0	27267.0	31072.0	31403.0	30405.0	35616.0	32882.0	33624.0	31587.0	33791.0	33075.0	32347.0	33214.0	31126.0	403.0	30653.0	21619.0	31132.0	31088.0	30261.0	28454.0	33190.0	33115.0	33048.0
HMP_2012__SRS024081__bin.42	30730.0	24457.0	32022.0	30684.0	29685.0	27267.0	0.0	30525.0	31805.0	27014.0	32064.0	31549.0	31580.0	28510.0	31887.0	31270.0	30089.0	31139.0	29276.0	27110.0	29700.0	19925.0	29206.0	29806.0	31232.0	24978.0	30548.0	33059.0	32234.0
HMP_2012__SRS013164__bin.44	23733.0	20906.0	25762.0	24461.0	28577.0	31072.0	30525.0	0.0	30690.0	21492.0	13487.0	14215.0	15673.0	23494.0	25366.0	30036.0	23986.0	19187.0	24265.0	30840.0	23881.0	15884.0	26372.0	23953.0	24647.0	24355.0	8427.0	30124.0	30587.0
HMP_2012__SRS017808__bin.8	30414.0	22402.0	31824.0	30286.0	27627.0	31403.0	31805.0	30690.0	0.0	26838.0	32501.0	31400.0	30335.0	29859.0	30799.0	27929.0	29884.0	30770.0	28967.0	30986.0	31213.0	20229.0	25895.0	30438.0	29953.0	22171.0	30051.0	28741.0	28612.0
HMP_2012__SRS063288__bin.51	24523.0	21600.0	472.0	24276.0	23318.0	30405.0	27014.0	21492.0	26838.0	0.0	23437.0	22990.0	22344.0	21446.0	23207.0	25220.0	629.0	23435.0	22759.0	30060.0	21292.0	17137.0	25453.0	21385.0	20738.0	22752.0	23465.0	26878.0	25847.0
HMP_2012__SRS058336__bin.67	25740.0	22780.0	25549.0	26440.0	27853.0	35616.0	32064.0	13487.0	32501.0	23437.0	0.0	13220.0	14152.0	27338.0	27160.0	30616.0	25034.0	21028.0	26415.0	35155.0	22175.0	16599.0	29505.0	26594.0	24988.0	27208.0	13094.0	31266.0	30795.0
HMP_2012__SRS015797__bin.32	24344.0	21206.0	26523.0	25124.0	28687.0	32882.0	31549.0	14215.0	31400.0	22990.0	13220.0	0.0	13861.0	23758.0	25928.0	31705.0	26360.0	19946.0	25630.0	32674.0	23545.0	16763.0	27625.0	24217.0	24922.0	25319.0	13042.0	30812.0	31405.0
HMP_2012__SRS050669__bin.37	25585.0	22092.0	24936.0	26019.0	26910.0	33624.0	31580.0	15673.0	30335.0	22344.0	14152.0	13861.0	0.0	24786.0	25921.0	29035.0	24422.0	21599.0	25850.0	33249.0	23719.0	17222.0	28003.0	24664.0	24177.0	24798.0	14280.0	29616.0	29533.0
HMP_2012__SRS055378__bin.74	24848.0	21976.0	23414.0	24314.0	25943.0	31587.0	28510.0	23494.0	29859.0	21446.0	27338.0	23758.0	24786.0	0.0	25204.0	27221.0	23029.0	24771.0	23385.0	31305.0	24498.0	16297.0	27259.0	2009.0	22611.0	24458.0	25071.0	28823.0	28721.0
HMP_2012__SRS019127__bin.11	19270.0	23529.0	25396.0	26538.0	28128.0	33791.0	31887.0	25366.0	30799.0	23207.0	27160.0	25928.0	25921.0	25204.0	0.0	29118.0	25018.0	26092.0	26334.0	33573.0	22741.0	14587.0	28500.0	25315.0	409.0	25602.0	25914.0	30454.0	30252.0
HMP_2012__SRS044373__bin.50	29901.0	20824.0	30062.0	29310.0	27563.0	33075.0	31270.0	30036.0	27929.0	25220.0	30616.0	31705.0	29035.0	27221.0	29118.0	0.0	28294.0	29611.0	29517.0	32646.0	29726.0	20409.0	24780.0	28388.0	28447.0	21754.0	29062.0	27601.0	22019.0
HMP_2012__SRS021496__bin.26	25790.0	22730.0	704.0	25835.0	25382.0	32347.0	30089.0	23986.0	29884.0	629.0	25034.0	26360.0	24422.0	23029.0	25018.0	28294.0	0.0	24949.0	24956.0	32010.0	23568.0	16424.0	27669.0	23546.0	23175.0	24254.0	25474.0	29256.0	28039.0
HMP_2012__SRS018439__bin.28	26765.0	22945.0	25693.0	26558.0	26336.0	33214.0	31139.0	19187.0	30770.0	23435.0	21028.0	19946.0	21599.0	24771.0	26092.0	29611.0	24949.0	0.0	25606.0	32984.0	24310.0	16984.0	28923.0	24799.0	24095.0	25109.0	20894.0	30501.0	30211.0
