	VatanenT_2016__G80538__bin.7	CM_madagascar__A36_01_1FE__bin.40	VatanenT_2016__G80592__bin.2	Obregon-TitoAJ_2015__HCO64__bin.28	KarlssonFH_2013__S146__bin.10	SchirmerM_2016__G88822__bin.11	GeversD_2014__SKBSTL001__bin.17	HanniganGD_2017__MG100147__bin.4	LiJ_2014__V1.FI22__bin.51	ZellerG_2014__CCIS44743950ST-4-0__bin.22	CosteaPI_2017__SID713B029-11-90-0__bin.28	VatanenT_2016__G80490__bin.11	CM_madagascar__V54_01_1FE__bin.21	NielsenHB_2014__V1_CD18_0__bin.38	CM_madagascar__V40_01_1FE__bin.34	ZellerG_2014__CCIS41692898ST-4-0__bin.36	DavidLA_2015__LD-Run2-32__bin.2	CM_madagascar__V01_01_1FE__bin.20	ZeeviD_2015__PNP_Main_637__bin.11	BackhedF_2015__SID385_12M__bin.34	LiJ_2014__V1.CD3-0-PN__bin.37	LiJ_2014__O2.CD1-0-PT__bin.3	LiJ_2014__V1.CD2-0-PT__bin.7	DavidLA_2015__LD-Run1-01__bin.5	FengQ_2015__SID531281__bin.24	ZeeviD_2015__PNP_Main_82__bin.27	BritoIL_2016__W2.23.ST__bin.46	HeQ_2017__SZAXPI029476-50__bin.8	BackhedF_2015__SID590_12M__bin.4	VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	CM_madagascar__A66_02_1FE__bin.29	ZellerG_2014__CCIS79210440ST-3-0__bin.35	CM_madagascar__A24_02_1FE__bin.4	BackhedF_2015__SID172_4M__bin.7	GeversD_2014__SKBSTL021__bin.25	BritoIL_2016__M1.64.ST__bin.55	GeversD_2014__SKBSTL038__bin.22
VatanenT_2016__G80538__bin.7	1765661.0	1563820.0	967970.0	793513.0	1530063.0	1449570.0	1664495.0	1374651.0	1617031.0	1599632.0	1551207.0	1545997.0	1489641.0	1128273.0	1608553.0	1323777.0	1592288.0	1492484.0	1580362.0	1483052.0	1496801.0	1566237.0	1385292.0	1574130.0	1559991.0	1535903.0	1243965.0	1240467.0	1598965.0	1631433.0	1554028.0	1251077.0	1542828.0	1483287.0	1395862.0	1559039.0	1685983.0
CM_madagascar__A36_01_1FE__bin.40	1563820.0	1862160.0	925062.0	809410.0	1511092.0	1430453.0	1581159.0	1340792.0	1554043.0	1588205.0	1500876.0	1469831.0	1483351.0	1124646.0	1564579.0	1296836.0	1558523.0	1489295.0	1538913.0	1463310.0	1479783.0	1529862.0	1341531.0	1546551.0	1547780.0	1474968.0	1226972.0	1232821.0	1566820.0	1545225.0	1658381.0	1223999.0	1545145.0	1470457.0	1370312.0	1536758.0	1585175.0
VatanenT_2016__G80592__bin.2	967970.0	925062.0	1029486.0	480781.0	904637.0	872495.0	978574.0	850485.0	945146.0	950011.0	902502.0	930906.0	889377.0	659109.0	954314.0	771363.0	947734.0	886413.0	944880.0	892739.0	889692.0	930770.0	801224.0	935173.0	929712.0	859910.0	749519.0	715859.0	950435.0	951046.0	921988.0	737534.0	886446.0	881568.0	817819.0	925831.0	974920.0
Obregon-TitoAJ_2015__HCO64__bin.28	793513.0	809410.0	480781.0	884959.0	739589.0	740028.0	803119.0	686917.0	797607.0	794106.0	775020.0	756948.0	785516.0	478389.0	804149.0	690186.0	793703.0	782855.0	784600.0	756000.0	768048.0	782919.0	649651.0	788521.0	775851.0	757087.0	662892.0	675594.0	795557.0	793299.0	800149.0	662100.0	823279.0	713239.0	679527.0	779356.0	796858.0
KarlssonFH_2013__S146__bin.10	1530063.0	1511092.0	904637.0	739589.0	1750673.0	1419943.0	1594216.0	1290492.0	1569492.0	1552022.0	1500158.0	1443034.0	1431912.0	1196493.0	1543426.0	1283648.0	1572293.0	1459722.0	1534773.0	1458834.0	1462371.0	1516996.0	1378020.0	1507391.0	1558298.0	1420193.0	1188216.0	1180866.0	1585909.0	1562102.0	1505525.0	1180735.0	1464007.0	1470097.0	1401339.0	1546968.0	1565562.0
SchirmerM_2016__G88822__bin.11	1449570.0	1430453.0	872495.0	740028.0	1419943.0	1512782.0	1462247.0	1268825.0	1459242.0	1450396.0	1400332.0	1385793.0	1368126.0	1042614.0	1447771.0	1215999.0	1454140.0	1377389.0	1442751.0	1404123.0	1396526.0	1434345.0	1260021.0	1440486.0	1452280.0	1340706.0	1173218.0	1142625.0	1467105.0	1441508.0	1425263.0	1148257.0	1371566.0	1360928.0	1281818.0	1422915.0	1460990.0
GeversD_2014__SKBSTL001__bin.17	1664495.0	1581159.0	978574.0	803119.0	1594216.0	1462247.0	1792221.0	1382436.0	1652259.0	1622903.0	1584598.0	1543777.0	1516167.0	1141426.0	1657217.0	1340441.0	1628801.0	1516757.0	1624851.0	1507015.0	1514898.0	1600451.0	1399681.0	1595970.0	1594661.0	1536813.0	1256734.0	1289897.0	1635989.0	1699403.0	1570852.0	1260065.0	1565553.0	1536488.0	1407206.0	1586280.0	1696770.0
HanniganGD_2017__MG100147__bin.4	1374651.0	1340792.0	850485.0	686917.0	1290492.0	1268825.0	1382436.0	1446185.0	1352226.0	1359653.0	1299697.0	1323488.0	1274691.0	956607.0	1357850.0	1123383.0	1347710.0	1288443.0	1332832.0	1284507.0	1290442.0	1340260.0	1177530.0	1335203.0	1333709.0	1272531.0	1078120.0	1082268.0	1351439.0	1351570.0	1337635.0	1070189.0	1301610.0	1260871.0	1187343.0	1324907.0	1386002.0
LiJ_2014__V1.FI22__bin.51	1617031.0	1554043.0	945146.0	797607.0	1569492.0	1459242.0	1652259.0	1352226.0	1784245.0	1610538.0	1566774.0	1501750.0	1510063.0	1131730.0	1636532.0	1329916.0	1607518.0	1520002.0	1592223.0	1522634.0	1549113.0	1590817.0	1401437.0	1570727.0	1596285.0	1496152.0	1254671.0	1278160.0	1660275.0	1640566.0	1546774.0	1268354.0	1549521.0	1552264.0	1410773.0	1574978.0	1637288.0
ZellerG_2014__CCIS44743950ST-4-0__bin.22	1599632.0	1588205.0	950011.0	794106.0	1552022.0	1450396.0	1622903.0	1359653.0	1610538.0	1730968.0	1535349.0	1507555.0	1502402.0	1162228.0	1625865.0	1336382.0	1627997.0	1509471.0	1595946.0	1504329.0	1511064.0	1563321.0	1388768.0	1575025.0	1589938.0	1485846.0	1247203.0	1246829.0	1616637.0	1592412.0	1567268.0	1242989.0	1528285.0	1519890.0	1389671.0	1607713.0	1627492.0
