	VatanenT_2016__G80538__bin.7	CM_madagascar__A36_01_1FE__bin.40	VatanenT_2016__G80592__bin.2	Obregon-TitoAJ_2015__HCO64__bin.28	KarlssonFH_2013__S146__bin.10	SchirmerM_2016__G88822__bin.11	GeversD_2014__SKBSTL001__bin.17	HanniganGD_2017__MG100147__bin.4	LiJ_2014__V1.FI22__bin.51	ZellerG_2014__CCIS44743950ST-4-0__bin.22	CosteaPI_2017__SID713B029-11-90-0__bin.28	VatanenT_2016__G80490__bin.11	CM_madagascar__V54_01_1FE__bin.21	NielsenHB_2014__V1_CD18_0__bin.38	CM_madagascar__V40_01_1FE__bin.34	ZellerG_2014__CCIS41692898ST-4-0__bin.36	DavidLA_2015__LD-Run2-32__bin.2	CM_madagascar__V01_01_1FE__bin.20	ZeeviD_2015__PNP_Main_637__bin.11	BackhedF_2015__SID385_12M__bin.34	LiJ_2014__V1.CD3-0-PN__bin.37	LiJ_2014__O2.CD1-0-PT__bin.3	LiJ_2014__V1.CD2-0-PT__bin.7	DavidLA_2015__LD-Run1-01__bin.5	FengQ_2015__SID531281__bin.24	ZeeviD_2015__PNP_Main_82__bin.27	BritoIL_2016__W2.23.ST__bin.46	HeQ_2017__SZAXPI029476-50__bin.8	BackhedF_2015__SID590_12M__bin.4	VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	CM_madagascar__A66_02_1FE__bin.29	ZellerG_2014__CCIS79210440ST-3-0__bin.35	CM_madagascar__A24_02_1FE__bin.4	BackhedF_2015__SID172_4M__bin.7	GeversD_2014__SKBSTL021__bin.25	BritoIL_2016__M1.64.ST__bin.55	GeversD_2014__SKBSTL038__bin.22
VatanenT_2016__G80538__bin.7	1.0	0.8856853042571592	0.5482196186017588	0.44941412875971093	0.8665666852244004	0.8209786589838026	0.9427036107157603	0.7785475241283576	0.9158218933305997	0.905967793364638	0.8785418038910074	0.8755910675945155	0.84367327590064	0.6390088471116483	0.9110202921172298	0.7497345186873358	0.9018084445428652	0.8452834377607027	0.8950540335885541	0.8399415289797985	0.847728414457815	0.8870541967002726	0.7845741623108853	0.8915244772354376	0.8835167113052845	0.8698742284051129	0.7045321836977766	0.7025510559501512	0.905590031155471	0.9239786119759116	0.8801395058281289	0.7085601369685347	0.8737962723308721	0.8400746236112142	0.7905605889239214	0.8829775364580177	0.9548735572683544
CM_madagascar__A36_01_1FE__bin.40	0.8397882029471152	1.0	0.4967682691068437	0.43466189801091204	0.8114726983717833	0.7681686858272114	0.8490994329166129	0.7200197619968209	0.8345378485199982	0.8528832108948747	0.8059865962108519	0.7893150964471367	0.7965754822356833	0.6039470292563475	0.8401957941315462	0.6964149160115135	0.8369436568286291	0.7997674743308846	0.8264128753705374	0.7858132491300426	0.7946594277613095	0.8215523907720067	0.7204166129655883	0.8305145637324397	0.8311745499849637	0.7920737208403145	0.6588971946556686	0.6620381707264682	0.8413992352966447	0.8298024874339477	0.8905684796150707	0.6573006615972848	0.8297595265712936	0.7896512651974051	0.735872320316192	0.825255617132792	0.8512560682218498
VatanenT_2016__G80592__bin.2	0.9402459091235821	0.8985668576357522	1.0	0.4670107218553725	0.8787268598115953	0.8475054541781044	0.9505461948972594	0.8261258530956225	0.9180756222037016	0.922801281416163	0.8766530093658389	0.9042434768418415	0.8639039287566805	0.6402311444740385	0.9269810371389218	0.7492700240702642	0.9205894980601971	0.8610248220956865	0.9178172408366894	0.8671696361096702	0.8642099066913003	0.9041113720827675	0.7782757609136987	0.9083882636577865	0.903083674765854	0.8352809071711514	0.7280516685025342	0.6953557406317328	0.9232131374297465	0.9238066374870566	0.895580901537272	0.7164099366091428	0.8610568769269324	0.8563185900536773	0.7943954555962879	0.8993138323396336	0.9469968508556698
Obregon-TitoAJ_2015__HCO64__bin.28	0.8966663992343148	0.9146299433081081	0.5432805361604323	1.0	0.8357325028617145	0.8362285710411442	0.9075211393974184	0.776213361296964	0.9012926022561497	0.8973364867750936	0.8757693859263537	0.8553481008724698	0.8876298223985518	0.5405775860802591	0.9086850351259211	0.7799073177401439	0.8968810984463687	0.8846229034339445	0.8865947461972814	0.8542768648039062	0.8678910548398288	0.884695223168531	0.7341029358422254	0.891025459936562	0.8767084124801262	0.855505170296025	0.7490652109306759	0.763418418254405	0.8989761107576735	0.8964245801217909	0.9041650517142602	0.748170254215167	0.9303018557921893	0.8059571121373984	0.7678626919439205	0.880669047944594	0.9004462353623163
KarlssonFH_2013__S146__bin.10	0.8739856043932819	0.8631492003360993	0.5167367063980538	0.4224598197378951	1.0	0.8110840802365719	0.910630369006662	0.7371405168183893	0.8965078001431449	0.8865287806460715	0.8569036022146912	0.8242738649650734	0.8179208795703138	0.6834474513515659	0.8816186689347468	0.7332311631012759	0.8981077562743014	0.8338061991017168	0.8766759983160761	0.8332989655978015	0.8353193314799509	0.8665216176864554	0.7871372894880997	0.8610351561942179	0.8901136877075273	0.8112268824617733	0.6787195552795982	0.6745211698586772	0.9058853366676701	0.8922865663661917	0.8599692803853147	0.6744463414926717	0.8362538292416688	0.8397324914475748	0.800457309845985	0.8836418908614001	0.894262949162979
SchirmerM_2016__G88822__bin.11	0.9582147328564194	0.9455777501318763	0.5767486657033201	0.48918350429870266	0.9386302851303095	1.0	0.9665946580538373	0.8387361827414658	0.9646082515524378	0.9587607467566378	0.9256667517196794	0.9160559816285493	0.9043774978813868	0.6892030708985167	0.9570255330906898	0.8038164124110414	0.9612356572196126	0.910500653762406	0.95370714352762	0.9281727307701969	0.9231508571624993	0.9481504935939217	0.8329164413643209	0.9522099020215735	0.9600061343934553	0.886251951702228	0.7755367263756443	0.7553137200204656	0.9698059601449515	0.9528854785421825	0.9421469848266306	0.7590366622553679	0.9066514540760003	0.8996193767509132	0.8473249946125747	0.9405948775170514	0.9657637385955148
GeversD_2014__SKBSTL001__bin.17	0.9287331194088229	0.8822343896204765	0.5460119036658984	0.4481138207843787	0.8895197634666707	0.8158854293081043	1.0	0.7713535328511384	0.921905836389597	0.9055261599992411	0.8841532377982403	0.861376470870501	0.8459710046919436	0.6368779296749676	0.9246722362922876	0.7479217127798413	0.9088170487902999	0.84630020516443	0.9066130795253488	0.8408644916000872	0.8452629446926467	0.8929986871038784	0.7809756720850832	0.8904984374136895	0.8897680587382918	0.8574907893613567	0.7012159772706602	0.719719833658907	0.9128277148856084	0.9482106280419658	0.8764834247562103	0.703074565022952	0.8735267581397607	0.8573094501180379	0.7851743730265408	0.8850917381282777	0.9467415011876326
HanniganGD_2017__MG100147__bin.4	0.9505360655794383	0.9271234316494777	0.5880886608559762	0.4749855654705311	0.8923422660309711	0.8773600887853213	0.9559191942939527	1.0	0.9350297506888814	0.9401653315447194	0.8987072884866044	0.915158157497139	0.8814162780003941	0.6614693140919039	0.9389186030832847	0.776790659562919	0.9319070520023371	0.8909254348510045	0.9216192949034875	0.8882037913544948	0.8923076923076924	0.9267555672337909	0.8142319274504991	0.9232587808613697	0.9222257180097982	0.8799226931547486	0.745492450827522	0.7483606869107341	0.9344855602844726	0.9345761434394632	0.9249404467616522	0.7400083668410334	0.9000300791392526	0.8718601008861245	0.8210173663812029	0.9161393597637923	0.9583849922381992
LiJ_2014__V1.FI22__bin.51	0.9062830496932877	0.8709807229388341	0.5297176116508663	0.4470277344198807	0.8796392872055127	0.8178484457011229	0.926026974995026	0.7578701355475285	1.0	0.902643975463011	0.8781159538067922	0.8416725281561669	0.84633164167477	0.6342906943833386	0.9172126025293612	0.7453662473483182	0.900951382797766	0.8519020650190977	0.892379129547792	0.853377198759139	0.8682176494819938	0.8915911211745023	0.78545098907381	0.8803314567225914	0.8946557227286611	0.8385350666528419	0.7031943483097893	0.7163590202018221	0.9305196315528417	0.9194735027981022	0.8669067308581501	0.7108631381901028	0.8684463176301461	0.8699836625575523	0.7906834543462361	0.8827139770603253	0.9176363111568199
ZellerG_2014__CCIS44743950ST-4-0__bin.22	0.9241256915205827	0.9175241830004945	0.5488322141137213	0.45876411349025514	0.8966208502987923	0.8379103484293181	0.9375696142274149	0.785487080061561	0.9304262123852087	1.0	0.8869886676125729	0.870931756104099	0.8679548091010348	0.6714324008300557	0.9392807954855318	0.7720431573547287	0.9405124762560602	0.8720386512055682	0.9219962471865454	0.8690680590282431	0.8729589455148795	0.9031484117557343	0.8023071483701605	0.9099099463421623	0.9185253569101219	0.8583902186522223	0.7205234296647888	0.7203073655896585	0.9339496744018376	0.9199546149899941	0.9054286387732182	0.7180889536952734	0.8829077140651935	0.8780578266033803	0.8028288217921995	0.9287941775931156	0.9402207319834913
