	VatanenT_2016__G80538__bin.7	CM_madagascar__A36_01_1FE__bin.40	VatanenT_2016__G80592__bin.2	Obregon-TitoAJ_2015__HCO64__bin.28	KarlssonFH_2013__S146__bin.10	SchirmerM_2016__G88822__bin.11	GeversD_2014__SKBSTL001__bin.17	HanniganGD_2017__MG100147__bin.4	LiJ_2014__V1.FI22__bin.51	ZellerG_2014__CCIS44743950ST-4-0__bin.22	CosteaPI_2017__SID713B029-11-90-0__bin.28	VatanenT_2016__G80490__bin.11	CM_madagascar__V54_01_1FE__bin.21	NielsenHB_2014__V1_CD18_0__bin.38	CM_madagascar__V40_01_1FE__bin.34	ZellerG_2014__CCIS41692898ST-4-0__bin.36	DavidLA_2015__LD-Run2-32__bin.2	CM_madagascar__V01_01_1FE__bin.20	ZeeviD_2015__PNP_Main_637__bin.11	BackhedF_2015__SID385_12M__bin.34	LiJ_2014__V1.CD3-0-PN__bin.37	LiJ_2014__O2.CD1-0-PT__bin.3	LiJ_2014__V1.CD2-0-PT__bin.7	DavidLA_2015__LD-Run1-01__bin.5	FengQ_2015__SID531281__bin.24	ZeeviD_2015__PNP_Main_82__bin.27	BritoIL_2016__W2.23.ST__bin.46	HeQ_2017__SZAXPI029476-50__bin.8	BackhedF_2015__SID590_12M__bin.4	VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	CM_madagascar__A66_02_1FE__bin.29	ZellerG_2014__CCIS79210440ST-3-0__bin.35	CM_madagascar__A24_02_1FE__bin.4	BackhedF_2015__SID172_4M__bin.7	GeversD_2014__SKBSTL021__bin.25	BritoIL_2016__M1.64.ST__bin.55	GeversD_2014__SKBSTL038__bin.22
VatanenT_2016__G80538__bin.7	1.0	0.8818289581069073	0.5471605251517704	0.44616095615183204	0.8612043874786837	0.8162773035140947	0.9415335106795698	0.7772726474674357	0.9106346008661912	0.9008326060325282	0.8749403198009131	0.8755287679798104	0.8377078046125502	0.6347101736969895	0.9062062309809188	0.7455326928555368	0.8968080509225723	0.8391973317641382	0.8901776728375379	0.8344302785189229	0.8415029838683644	0.8856235710025877	0.7788675176038888	0.8866730363303035	0.8774073845432391	0.8695876501774689	0.7007602252074435	0.6990679411279968	0.899565658413478	0.9223758127975868	0.8752846667621926	0.7038508524569552	0.8685404502902878	0.8349473653209761	0.7859339929918597	0.8782263412965455	0.9545399711496148
CM_madagascar__A36_01_1FE__bin.40	0.8361316965244663	1.0	0.49478831034927184	0.43067835202130855	0.8065826781801778	0.7637920479443228	0.8458032607294754	0.7169330240151223	0.8295769429050135	0.8472821884263435	0.8020803797740258	0.786091420715728	0.7899809898182756	0.5989055720238863	0.8354862095630881	0.6919131546161447	0.8322539416591486	0.7929721398805688	0.8216222021738196	0.7807572926064356	0.7890653864329595	0.8187406023112944	0.7152699016196246	0.8254226274863599	0.8258280706276582	0.7887796966963097	0.6555226188941874	0.6585347123770245	0.8360516819177729	0.8267957640589423	0.886693946814452	0.6525298577995445	0.8217091979206943	0.7848681101516518	0.7320321562056966	0.8208333333333334	0.8475893585943205
VatanenT_2016__G80592__bin.2	0.9384294686863154	0.8949854587629166	1.0	0.46331858811096027	0.8733037651799053	0.842467017521365	0.949376679236046	0.8247125264452358	0.9127467493487041	0.9176414249440983	0.8729482479606329	0.9026417066380699	0.8571053904569853	0.6365147267665612	0.9218512927810577	0.7446337298418823	0.9154723813631268	0.8541476037556606	0.912541792700435	0.8610549342098873	0.8578824772750673	0.9026737614693157	0.7728380959041696	0.9031866387692499	0.897020454867769	0.8335266336793312	0.7238243162121679	0.6919239309713779	0.9170508389623561	0.9221718410935166	0.8908824403634436	0.7112481374200329	0.8549198337811297	0.8509411492725496	0.7898077292940361	0.8942948228533463	0.9451357279263632
Obregon-TitoAJ_2015__HCO64__bin.28	0.8901757030551698	0.906247634071183	0.5389854219235015	1.0	0.8284101297348239	0.8298633044016728	0.9010654730897137	0.7709566205892024	0.8940538488223748	0.889466065659539	0.8697114781588752	0.8492664631920801	0.879882570830965	0.535700523979077	0.9011208428865066	0.7730911827553593	0.8892943062898959	0.8767886421856832	0.879268983082832	0.8473624201799179	0.8596296551591656	0.8788418446504301	0.7276958593561962	0.884162995121808	0.8691012803983009	0.8492043134201697	0.7434502615375402	0.757779738948358	0.891851486905043	0.8898310543200306	0.895372553982727	0.741611758284847	0.9229049029390062	0.7995669855891628	0.7615471451219774	0.8734517644320244	0.89370694009553
KarlssonFH_2013__S146__bin.10	0.8685773985204547	0.8579477720853638	0.5135476471048562	0.41875838606067495	1.0	0.8097697285558182	0.9046315331304019	0.7328827256717846	0.891932988056593	0.8799067558590326	0.851351451698861	0.8194934176742315	0.8104214779116373	0.6819206099597126	0.8751491569242229	0.7273031571287156	0.8906072121978234	0.826542706719073	0.8701322291484475	0.8286247631625094	0.8312426135549015	0.8620376278151316	0.7825984635622986	0.8547158721246058	0.8865145004235514	0.8060380208068555	0.6742435623328856	0.670408465772877	0.9011694359826193	0.8864333887596371	0.8538916176807434	0.6690467037533566	0.8297260539232627	0.835386734130246	0.7969135298253872	0.8774385621986515	0.8885965568669877
SchirmerM_2016__G88822__bin.11	0.9527274914693591	0.9401903248452189	0.573319883499407	0.48545990103002284	0.9371092464082729	1.0	0.9610783311805667	0.8341439810891457	0.9605171135034658	0.9525966067814133	0.9206521494835344	0.9110274976830766	0.8972429603207865	0.6876284884405023	0.951120518356247	0.7980647575129795	0.9549915321573101	0.9032173836018673	0.9475006973906354	0.9239183173781814	0.919185315531253	0.9433705583487905	0.8292417545951764	0.9461740025991848	0.9560538134377591	0.8811752122909976	0.7710694601072725	0.7515702857384606	0.9656870586773243	0.9474921039515277	0.9359795396825186	0.7529921693938717	0.8998143817152768	0.8958944514146784	0.8437673108220484	0.9351327554135361	0.9601449514867311
GeversD_2014__SKBSTL001__bin.17	0.9275803597882181	0.8788095887728132	0.5453401115152652	0.44492615587028606	0.8836599950564132	0.8112291955065809	1.0	0.770487010251526	0.9168367070802094	0.900603775985216	0.8805677424826515	0.8604480139447088	0.8394154515542446	0.6326039032016699	0.9195629333659185	0.7434027388363377	0.9035911307813043	0.8401229535866391	0.90136428487335	0.8351866204000511	0.8393172493794013	0.891759442613383	0.7754439882135071	0.8855051916030445	0.8835863434252808	0.8563190588660662	0.6975624099929639	0.7157309282727967	0.9064462474214955	0.9467007696037486	0.8719499436732412	0.6985053740582216	0.8680938344099305	0.8520377788230359	0.7807764779008839	0.8804366202605594	0.9455747923944647
HanniganGD_2017__MG100147__bin.4	0.9489795565574252	0.923148836421343	0.5870825655085622	0.4717688262566684	0.8871880153645626	0.8725564156729602	0.9548453344489121	1.0	0.9302986823954058	0.9354321888278471	0.8958487330459105	0.9137593046532774	0.8755657125471499	0.6571724917628105	0.9343126916680785	0.7725533040378652	0.9270694966411628	0.8849815203449075	0.9170313618243863	0.8827639617338031	0.8863409591442313	0.9263261615906678	0.8088501816849158	0.9182552716284569	0.9161068604639103	0.8784311827324998	0.7418981665554545	0.7452255416838095	0.9289178078876492	0.9334448912137797	0.9199348631053427	0.7358588285731078	0.894563973488869	0.8669658446187728	0.8165428351144562	0.9120361502850604	0.9568568336692747
LiJ_2014__V1.FI22__bin.51	0.901149786043957	0.8658031828588563	0.5266429217960538	0.4434374203094306	0.8751505538757288	0.8143797516596657	0.9209351854706053	0.754035460376798	1.0	0.8969917247911582	0.8733738920383691	0.8372258294124406	0.8399233289150314	0.6308444187877785	0.9112784399003501	0.7401276170032703	0.8950379572312098	0.8453726926515137	0.8864892433494279	0.8485107146159859	0.8633360328878601	0.887123685368321	0.7808103707730721	0.8745211560071627	0.8896468814540603	0.8339947708974944	0.6988782370134147	0.7124789476781496	0.9249699452709689	0.9139215746716398	0.8612130060613873	0.705227701352673	0.8623115099103542	0.8652410403279819	0.786726038184218	0.8772718993187595	0.9126106560477962
ZellerG_2014__CCIS44743950ST-4-0__bin.22	0.918887581977252	0.9114986527769433	0.5457634109931552	0.45474035337452795	0.8899234416811865	0.8325231893368334	0.9324730439846375	0.7815326453175333	0.9245999926052937	1.0	0.8820769650276609	0.8662626923201353	0.8612117612803935	0.6665750031196417	0.9337532525153556	0.7673498296906702	0.9356510345656303	0.8650783838869349	0.9162249099925591	0.8629703148758383	0.8661725693369259	0.8986902126440235	0.7956380476126652	0.9047423175933929	0.9114726557625559	0.8533092466180773	0.7165297105434647	0.716189438510706	0.9272228025012594	0.9149285255417778	0.8991616251715803	0.7123285930184728	0.8765788853404568	0.8717445960872761	0.7974734368284104	0.9240904511233021	0.9347971770708644
