	SchirmerM_2016__G89065__bin.23	LiJ_2014__MH0376__bin.44	ZeeviD_2015__PNP_Validation_18__bin.30	BritoIL_2016__M1.15.ST__bin.2	LeChatelierE_2013__MH0448__bin.33	NielsenHB_2014__MH0124__bin.51	ZeeviD_2015__PNP_Main_325__bin.27	RampelliS_2015__H10__bin.85	XieH_2016__YSZC12003_37315__bin.117	XieH_2016__YSZC12003_37331__bin.75	XieH_2016__YSZC12003_37101__bin.58	ZeeviD_2015__PNP_Main_560__bin.12	ZeeviD_2015__PNP_Main_764__bin.41	LeChatelierE_2013__MH0189__bin.26	ZeeviD_2015__PNP_Main_172__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.90	BritoIL_2016__M1.61.ST__bin.27	LeChatelierE_2013__MH0173__bin.42	ZeeviD_2015__PNP_Main_666__bin.39	CosteaPI_2017__SID713B072-11-0-0__bin.104	LiJ_2014__MH0374__bin.43	ZeeviD_2015__PNP_Main_225__bin.42	LiJ_2014__MH0357__bin.46	ZeeviD_2015__PNP_Main_362__bin.42	LiJ_2014__MH0390__bin.72	ZeeviD_2015__PNP_Main_80__bin.76	RampelliS_2015__H20__bin.22	LeChatelierE_2013__MH0143__bin.51	ZeeviD_2015__PNP_Main_386__bin.19	CosteaPI_2017__SID713B063-11-0-0__bin.25	LeChatelierE_2013__MH0124__bin.33	ZeeviD_2015__PNP_Main_25__bin.13	CosteaPI_2017__SID713B014-11-0-0__bin.111	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.114	LeChatelierE_2013__MH0407__bin.21	ZeeviD_2015__PNP_Main_19__bin.5	NielsenHB_2014__MH0126__bin.31	LeChatelierE_2013__MH0126__bin.1	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.120	NielsenHB_2014__MH0143__bin.37	LeChatelierE_2013__MH0318__bin.89
SchirmerM_2016__G89065__bin.23	1.0	0.6159864857231567	0.8893594404131013	0.8994121244080775	0.8851271304187613	0.8863125866488134	0.876174225292791	0.4404980205117668	0.666646447820402	0.8291718524848141	0.8905695383620384	0.9496751652795906	0.8407542185674973	0.9168137271812944	0.9344913172060233	0.6449461919635393	0.937811504498251	0.6485685246396338	0.558972751187257	0.9001487222510551	0.9012655607715967	0.7991961492196347	0.8833070551515788	0.888300225604414	0.916965368528279	0.8963800556751206	0.4988177661485714	0.8952859633566267	0.9059929797638413	0.5196347111592489	0.8758470590866717	0.7597212528759729	0.8542154209393196	0.9021996714690218	0.8616166559822701	0.5918978786512867	0.7675740000295701	0.841012767064106	0.768687047516437	0.9057442879547866	0.8929082270359083	0.8435065090152676
LiJ_2014__MH0376__bin.44	0.9244083244202718	1.0	0.8852860523860455	0.9230781922035364	0.9131443005711946	0.91171858999158	0.8704987142434517	0.4842022620212548	0.7244020663131784	0.8881243884122614	0.8953900507475593	0.9457393669071297	0.8808416585121635	0.9456898709692101	0.9229120679061511	0.6932628632546708	0.9395973192544887	0.7122693034157886	0.6032667319026921	0.9237688596591038	0.9292151195867374	0.8552818423867282	0.9172780647657193	0.8889618369251076	0.9361286211683317	0.9043829506406026	0.5384617572764718	0.9227180665862594	0.908635049951073	0.5639663882757208	0.8993662244270988	0.8104868807318572	0.9021687185672348	0.9150348178321916	0.8818207678128485	0.6462741506041918	0.8229041030425779	0.8713122681655782	0.8262032633183898	0.9129963816762624	0.9170004323783083	0.8447272603144983
ZeeviD_2015__PNP_Validation_18__bin.30	0.9229495452438861	0.612197566922994	1.0	0.8970745951100834	0.887777254089815	0.8968715895258561	0.8886219304257373	0.4463715112349428	0.6731315027685083	0.8300245259072108	0.9073110336682401	0.9317755670976732	0.8539154505346994	0.891578100890628	0.9397997955780978	0.6419146731334698	0.91903185220564	0.6377963350410457	0.5502348333977234	0.9270871609983783	0.8913451952591115	0.812169870037084	0.8720171752166377	0.90086521294735	0.9122952928670289	0.9094111185686375	0.5002647727871801	0.914564155665941	0.9084708407657245	0.5259162594096629	0.8867268182179414	0.7492322376015126	0.8424086533884229	0.8947880283358027	0.8804226293000006	0.5860991532778713	0.7592680311054913	0.8351988077749565	0.7645206038865341	0.8936636291890556	0.9068585987421522	0.8676297366986099
BritoIL_2016__M1.15.ST__bin.2	0.8793753377619532	0.6013971576474495	0.8451688086983016	1.0	0.8655983566514178	0.8604888383805811	0.8282549503207303	0.42313520189361675	0.6443860534799952	0.831047857115852	0.8541991455595562	0.9241400552873228	0.8346432381261616	0.915653473471648	0.8888093210067364	0.6270192512266921	0.9434335369727485	0.6305775664533901	0.536544638693861	0.8874475241168521	0.8963433121835972	0.7836766736869261	0.867076540101842	0.9005573211223816	0.908387838568134	0.8538181093040306	0.48196564298385486	0.8780839658609306	0.8552729413107796	0.5010934406165374	0.8462318553722776	0.7391024742893192	0.8361562634131804	0.8955063667896509	0.8268779564595653	0.5810699112571008	0.7418105004399709	0.8121376356329687	0.7572376502368874	0.8945496989146398	0.8674675841189426	0.8246606812839291
LeChatelierE_2013__MH0448__bin.33	0.9559729912431586	0.6571836029609563	0.9239390923134938	0.9561826280678323	1.0	0.936223318903059	0.8976759383192777	0.4702190827651916	0.7117510038614939	0.8894329528616041	0.9177945223371722	0.9754487435916438	0.9019996978281707	0.9572357255542785	0.9577057706221014	0.6811907044083921	0.9781134241677685	0.685279850830297	0.5884042993564723	0.9471256621268557	0.9570490177573037	0.8455873290917362	0.9380760662304966	0.9271610301520808	0.9665277140291666	0.9201558027432125	0.5273352907625908	0.9433251757858003	0.9330079322152429	0.5504051682028432	0.9184979521512137	0.8084324774937263	0.902170027748218	0.9413287125883228	0.8981590856886427	0.63150432027921	0.8080144321851486	0.8774320635428869	0.823377290190184	0.9389408181322751	0.9399308607925501	0.8821722305726647
NielsenHB_2014__MH0124__bin.51	0.9470787994767793	0.6491833083052164	0.9234828282271789	0.9404352421272832	0.9262723121240466	1.0	0.9070562275855895	0.4690051718473586	0.7007097668800032	0.874864546372638	0.9498212923582482	0.971403941654983	0.8910489002279469	0.9434685931902727	0.9757412933952913	0.6733285883210313	0.9684418873050126	0.667468079529863	0.5689469597015584	0.9550356746876819	0.9407820034133302	0.854325016598766	0.9270472587831676	0.9211296316025921	0.9440652980668464	0.9267227777199393	0.5279647178493346	0.9535797634002374	0.9391421790138935	0.5508700021915638	0.9798270811652313	0.7925946210680976	0.8904785265237951	0.9260393825218539	0.9159610250036763	0.6210875422362133	0.7948331758189096	0.8615960660418212	0.8098447797640483	0.9237971819163989	0.9576477269919228	0.8927632621000852
ZeeviD_2015__PNP_Main_325__bin.27	0.902139520867862	0.5972535034790829	0.8816569225280477	0.8722314298628898	0.8557814138199964	0.8740137133560406	1.0	0.4287629172616069	0.6549161905193135	0.8070984534026158	0.9084173275740257	0.973860622776537	0.825734752810629	0.8784947940615532	0.915913769642786	0.6210395326560708	0.8951270979693835	0.6168594025798222	0.5401732007953528	0.8969086007864531	0.883631252337149	0.7830099122442017	0.8529877644637809	0.8607051378634926	0.8782652752937099	0.8748787024538991	0.47763050757216763	0.891859968569981	0.8833424021871421	0.500031227043244	0.8624952281174543	0.7349327564657545	0.8196751450691327	0.8735577985246783	0.855429719245461	0.5717199308945533	0.7389184981978093	0.8063052865042184	0.7455202854776294	0.8767320274704299	0.8984555104411522	0.8429818391323254
RampelliS_2015__H10__bin.85	0.9183326365173214	0.6726516444199263	0.8967097375361481	0.9022350011341372	0.9076456655014428	0.9150282269760266	0.8681405444965102	1.0	0.7198025099602539	0.8596578304073647	0.9110283186554112	0.9309077286511512	0.8777060237307345	0.914598282276083	0.9257412791961299	0.703855039086241	0.9279028577886774	0.6509212592637671	0.5667983108863737	0.9241005343485508	0.9241843103378781	0.8470969643849301	0.9054943613226806	0.8810246593834246	0.9211991979634531	0.9044305643261289	0.6170718078779462	0.9201512077573405	0.9116661226496291	0.6470983869960697	0.9057788835505844	0.7855927427863736	0.893516765867449	0.9042005755252399	0.8833869842145488	0.6043678904020379	0.7825934043005535	0.8409828978430844	0.8206213807389516	0.8987503941818366	0.9209044013217638	0.8486381264527428
XieH_2016__YSZC12003_37315__bin.117	0.9487394880908642	0.6869710325315499	0.9231041066785793	0.9379549855327212	0.9378632668156826	0.9332336296926937	0.90521949637792	0.49137007800946647	1.0	0.8986723985469597	0.9234774558091129	0.9615488162081001	0.9012674987172867	0.947109053015037	0.954799937199655	0.7015499923657657	0.9599863608872545	0.7103021160587064	0.5956790772881257	0.9521336201431567	0.9435039679135556	0.8620787885360236	0.9312444125766863	0.9164334583405495	0.9554786557057404	0.9242937523907563	0.5506090392572295	0.9433755617097016	0.9313005228506394	0.564466118836165	0.9173840958665611	0.8183224862462388	0.9093101511578409	0.9348090335382977	0.9012237974462272	0.6428176421491746	0.8144265988595587	0.8727289501497982	0.8362993547858018	0.9317995805757022	0.9420402450939928	0.8773283740483508
XieH_2016__YSZC12003_37331__bin.75	0.9251325928128541	0.6602988842281489	0.8923797676416435	0.9483527783053245	0.9188247321601917	0.9134842206198902	0.8745863810611063	0.4600753830165304	0.7045461178507846	1.0	0.9031927596435655	0.9590299945901202	0.8916129097751325	0.9467712661360558	0.9309607971937993	0.6848599077994055	0.9626895942928517	0.693931502208153	0.5828246678676402	0.9249570572284074	0.9421785784832287	0.8426727428767449	0.9235223181863748	0.9159463715525763	0.9478244796427364	0.9034097470045804	0.5234724914590306	0.9259396335239974	0.9024665075989989	0.5394580730084219	0.8994815567087797	0.8056338886038492	0.9008135122640156	0.9368621766497067	0.8762114598935028	0.6351211597361129	0.7984365066642191	0.868789899978555	0.8217763947359628	0.9348069298910876	0.9234779055686232	0.8559453479474814
