	SchirmerM_2016__G89065__bin.23	LiJ_2014__MH0376__bin.44	ZeeviD_2015__PNP_Validation_18__bin.30	BritoIL_2016__M1.15.ST__bin.2	LeChatelierE_2013__MH0448__bin.33	NielsenHB_2014__MH0124__bin.51	ZeeviD_2015__PNP_Main_325__bin.27	RampelliS_2015__H10__bin.85	XieH_2016__YSZC12003_37315__bin.117	XieH_2016__YSZC12003_37331__bin.75	XieH_2016__YSZC12003_37101__bin.58	ZeeviD_2015__PNP_Main_560__bin.12	ZeeviD_2015__PNP_Main_764__bin.41	LeChatelierE_2013__MH0189__bin.26	ZeeviD_2015__PNP_Main_172__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.90	BritoIL_2016__M1.61.ST__bin.27	LeChatelierE_2013__MH0173__bin.42	ZeeviD_2015__PNP_Main_666__bin.39	CosteaPI_2017__SID713B072-11-0-0__bin.104	LiJ_2014__MH0374__bin.43	ZeeviD_2015__PNP_Main_225__bin.42	LiJ_2014__MH0357__bin.46	ZeeviD_2015__PNP_Main_362__bin.42	LiJ_2014__MH0390__bin.72	ZeeviD_2015__PNP_Main_80__bin.76	RampelliS_2015__H20__bin.22	LeChatelierE_2013__MH0143__bin.51	ZeeviD_2015__PNP_Main_386__bin.19	CosteaPI_2017__SID713B063-11-0-0__bin.25	LeChatelierE_2013__MH0124__bin.33	ZeeviD_2015__PNP_Main_25__bin.13	CosteaPI_2017__SID713B014-11-0-0__bin.111	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.114	LeChatelierE_2013__MH0407__bin.21	ZeeviD_2015__PNP_Main_19__bin.5	NielsenHB_2014__MH0126__bin.31	LeChatelierE_2013__MH0126__bin.1	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.120	NielsenHB_2014__MH0143__bin.37	LeChatelierE_2013__MH0318__bin.89
SchirmerM_2016__G89065__bin.23	0.0	9841.0	10359.0	19441.0	11722.0	10833.0	9517.0	13300.0	10762.0	12300.0	9649.0	10792.0	10597.0	12889.0	11639.0	9187.0	20230.0	10631.0	7056.0	11661.0	11621.0	11165.0	12092.0	11936.0	12061.0	10811.0	16171.0	11527.0	10029.0	7685.0	11013.0	9749.0	12135.0	20360.0	10799.0	9265.0	11791.0	12840.0	14206.0	20535.0	11266.0	8615.0
LiJ_2014__MH0376__bin.44	9841.0	0.0	10102.0	15558.0	10520.0	10861.0	9272.0	11142.0	9748.0	10842.0	9904.0	9906.0	9526.0	10643.0	10884.0	8392.0	15693.0	9307.0	7436.0	10995.0	10472.0	9983.0	10489.0	9964.0	10510.0	10465.0	12692.0	10702.0	10329.0	7505.0	10629.0	9890.0	10591.0	15088.0	10227.0	8629.0	10172.0	10675.0	12457.0	15025.0	10764.0	9059.0
ZeeviD_2015__PNP_Validation_18__bin.30	10359.0	10102.0	0.0	18262.0	11326.0	10169.0	9178.0	12566.0	9118.0	11470.0	10603.0	10348.0	9332.0	11892.0	7990.0	6611.0	17895.0	10643.0	7346.0	9040.0	9881.0	10273.0	12266.0	8872.0	11474.0	10648.0	15438.0	12343.0	9471.0	5604.0	10611.0	6208.0	10700.0	19536.0	11812.0	9258.0	11376.0	11964.0	13987.0	19508.0	12149.0	9906.0
BritoIL_2016__M1.15.ST__bin.2	19441.0	15558.0	18262.0	0.0	18831.0	19185.0	18025.0	14189.0	17104.0	18842.0	19720.0	20655.0	17585.0	20614.0	18969.0	14287.0	961.0	16003.0	12558.0	19783.0	19494.0	16951.0	20036.0	18813.0	20334.0	19005.0	17812.0	19400.0	18412.0	11456.0	19453.0	16128.0	17933.0	21108.0	19059.0	13886.0	18925.0	20127.0	17121.0	21295.0	18867.0	18115.0
LeChatelierE_2013__MH0448__bin.33	11722.0	10520.0	11326.0	18831.0	0.0	11665.0	10996.0	12869.0	10287.0	10782.0	10770.0	12163.0	10816.0	11946.0	12034.0	8350.0	18904.0	8710.0	7241.0	10124.0	12174.0	10464.0	13046.0	10429.0	11674.0	9731.0	15482.0	10746.0	12332.0	6997.0	11624.0	10291.0	10323.0	19020.0	11866.0	8897.0	11539.0	11844.0	14409.0	18840.0	10555.0	11121.0
NielsenHB_2014__MH0124__bin.51	10833.0	10861.0	10169.0	19185.0	11665.0	0.0	9146.0	13010.0	11171.0	12221.0	10173.0	10101.0	10748.0	11763.0	12119.0	9332.0	19726.0	10816.0	6940.0	12353.0	10925.0	10186.0	13288.0	11111.0	11786.0	11537.0	15798.0	12276.0	10375.0	7732.0	552.0	10027.0	11546.0	18953.0	11564.0	9454.0	11991.0	12549.0	15321.0	18982.0	12177.0	7960.0
ZeeviD_2015__PNP_Main_325__bin.27	9517.0	9272.0	9178.0	18025.0	10996.0	9146.0	0.0	11874.0	10586.0	11702.0	5710.0	6856.0	9881.0	11895.0	10584.0	8890.0	18406.0	10365.0	7433.0	11742.0	10571.0	9143.0	11484.0	10899.0	11232.0	11249.0	14971.0	12351.0	9409.0	7222.0	9666.0	8766.0	11442.0	18646.0	6252.0	8444.0	11040.0	11722.0	13687.0	18817.0	13930.0	9026.0
RampelliS_2015__H10__bin.85	13300.0	11142.0	12566.0	14189.0	12869.0	13010.0	11874.0	0.0	11608.0	12858.0	13094.0	13536.0	13105.0	13255.0	13174.0	10832.0	14350.0	10803.0	8252.0	13028.0	13300.0	12162.0	13348.0	12616.0	13311.0	12781.0	10359.0	13399.0	12637.0	10135.0	12921.0	11530.0	13310.0	12841.0	12479.0	8818.0	12985.0	13227.0	12806.0	12784.0	13531.0	12488.0
XieH_2016__YSZC12003_37315__bin.117	10762.0	9748.0	9118.0	17104.0	10287.0	11171.0	10586.0	11608.0	0.0	11176.0	10686.0	11325.0	10537.0	11140.0	9372.0	6118.0	16979.0	9210.0	6719.0	7079.0	10856.0	10294.0	11997.0	7522.0	11390.0	10349.0	14226.0	10973.0	11189.0	5196.0	10865.0	7390.0	10799.0	16467.0	11339.0	8267.0	11115.0	11955.0	13268.0	16433.0	10937.0	10247.0
XieH_2016__YSZC12003_37331__bin.75	12300.0	10842.0	11470.0	18842.0	10782.0	12221.0	11702.0	12858.0	11176.0	0.0	12370.0	13251.0	11332.0	11935.0	12527.0	8917.0	18617.0	10873.0	7601.0	11816.0	12636.0	10733.0	13795.0	10464.0	12412.0	11050.0	15385.0	11508.0	11466.0	7529.0	12318.0	11041.0	9511.0	19129.0	13129.0	9414.0	11415.0	11791.0	15501.0	19130.0	11486.0	10988.0
