	SchirmerM_2016__G89065__bin.23	LiJ_2014__MH0376__bin.44	ZeeviD_2015__PNP_Validation_18__bin.30	BritoIL_2016__M1.15.ST__bin.2	LeChatelierE_2013__MH0448__bin.33	NielsenHB_2014__MH0124__bin.51	ZeeviD_2015__PNP_Main_325__bin.27	RampelliS_2015__H10__bin.85	XieH_2016__YSZC12003_37315__bin.117	XieH_2016__YSZC12003_37331__bin.75	XieH_2016__YSZC12003_37101__bin.58	ZeeviD_2015__PNP_Main_560__bin.12	ZeeviD_2015__PNP_Main_764__bin.41	LeChatelierE_2013__MH0189__bin.26	ZeeviD_2015__PNP_Main_172__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.90	BritoIL_2016__M1.61.ST__bin.27	LeChatelierE_2013__MH0173__bin.42	ZeeviD_2015__PNP_Main_666__bin.39	CosteaPI_2017__SID713B072-11-0-0__bin.104	LiJ_2014__MH0374__bin.43	ZeeviD_2015__PNP_Main_225__bin.42	LiJ_2014__MH0357__bin.46	ZeeviD_2015__PNP_Main_362__bin.42	LiJ_2014__MH0390__bin.72	ZeeviD_2015__PNP_Main_80__bin.76	RampelliS_2015__H20__bin.22	LeChatelierE_2013__MH0143__bin.51	ZeeviD_2015__PNP_Main_386__bin.19	CosteaPI_2017__SID713B063-11-0-0__bin.25	LeChatelierE_2013__MH0124__bin.33	ZeeviD_2015__PNP_Main_25__bin.13	CosteaPI_2017__SID713B014-11-0-0__bin.111	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.114	LeChatelierE_2013__MH0407__bin.21	ZeeviD_2015__PNP_Main_19__bin.5	NielsenHB_2014__MH0126__bin.31	LeChatelierE_2013__MH0126__bin.1	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.120	NielsenHB_2014__MH0143__bin.37	LeChatelierE_2013__MH0318__bin.89
SchirmerM_2016__G89065__bin.23	1.0	0.6122557294839683	0.8854323086295679	0.8920419758412588	0.8806832807453778	0.8822057598691032	0.8725662985446601	0.43545594572452906	0.6625665373797816	0.8245088810650378	0.8869115699694027	0.9455838817379463	0.836736860182508	0.9119274638780833	0.9300789331121391	0.6414633693266707	0.9301422433745052	0.6445382767401507	0.5562977978264487	0.8957279978830868	0.8968600005383268	0.7949634601219272	0.8787229372322346	0.8837752478103937	0.912393002813326	0.8922815691694944	0.49268728559335173	0.8909160388398982	0.9021909520915701	0.5167213017803074	0.8716719937008184	0.756025374146591	0.8496150015751744	0.894481126907506	0.8575227187170535	0.5883854859517561	0.7631039922238317	0.8361450798259006	0.7633015050782792	0.897959400303965	0.8886372484980872	0.8402405335045869
LiJ_2014__MH0376__bin.44	0.9188095942470929	1.0	0.8795388343991078	0.9142269530983319	0.9071592745147123	0.905539562615206	0.8652236988826434	0.47786336845458893	0.718856245590879	0.8819561704935941	0.8897554786883007	0.9401036570102178	0.875422137769383	0.9396348678970484	0.916719955396764	0.6884884964613249	0.9306692761076849	0.7069743758960472	0.5990362515076348	0.9175135971599573	0.923257401633935	0.8496023257401634	0.9113106751928635	0.8832931297362493	0.9301492843001161	0.8984292151195867	0.5312410395284801	0.9166294973033248	0.9027586873904831	0.5596966524816238	0.8933191862185104	0.8048602735361718	0.8961432992740596	0.9064509705755183	0.8760024349725781	0.641364950048927	0.8171170607377739	0.8652390596909633	0.8191162414946636	0.9044483763056687	0.9108765901281205	0.8395734246637689
ZeeviD_2015__PNP_Validation_18__bin.30	0.9188740901140215	0.6082232211635682	1.0	0.889889928483808	0.8833213602003618	0.8928708845142148	0.8850111062938814	0.4414277744686644	0.6695442839371437	0.8255119792965778	0.9031395836497098	0.9277044396062321	0.850244039464915	0.8868995303332045	0.9366563563959742	0.6393137624409768	0.9119915713340379	0.6336091481555212	0.5473447577742091	0.9235306290576527	0.8874577956898295	0.8081282491712574	0.867191464952817	0.8973747758480007	0.9077811725696966	0.9052219645747387	0.49419112897070655	0.9097081519331561	0.9047447440831348	0.523711524343753	0.8825522208260124	0.7467898758439878	0.8381990414674313	0.887102142495757	0.8757755324765659	0.5824568554120265	0.7547924661322952	0.8304919108569432	0.759017814920281	0.8859887591559059	0.90207891881429	0.8637325015874564
BritoIL_2016__M1.15.ST__bin.2	0.8721693787700535	0.595630463033182	0.8383998552951808	1.0	0.8586184989395479	0.8533777677947267	0.8215738428247686	0.41787593785698984	0.6380463218510949	0.8240639221677849	0.8468897730313807	0.9164841176823803	0.8281252200780902	0.9080127328379862	0.8817783125134827	0.621723662722126	0.9430773347922425	0.6246459291020517	0.5318899175879367	0.8801148001450014	0.8891177083263835	0.7773936527069512	0.8596500396974543	0.8935841352515618	0.9008508821285842	0.8467737571286769	0.47536348560698555	0.8708932038403118	0.8484483892322416	0.49684718444601106	0.8390214484863446	0.7331245047084666	0.8295092564381412	0.8876825211849485	0.8198135887610614	0.5759229565448165	0.7347958008915063	0.8046774053654946	0.7508916174247731	0.8866565402945841	0.8604743827249727	0.8179462145827171
LeChatelierE_2013__MH0448__bin.33	0.9511734544095181	0.652876221328991	0.9193016964614368	0.9484723330572296	1.0	0.9314471205440404	0.8931736599518736	0.46494991031065147	0.707539023362632	0.8850182961357628	0.9133847789744092	0.9704686406648761	0.8975711199069408	0.9523444726098433	0.9527784863484254	0.6777718225997504	0.9703732395317729	0.6817135681293066	0.585439494185649	0.9429804214764738	0.952064410914381	0.8413028764874695	0.9327344216705516	0.9228909081901258	0.9617478306478392	0.9161714747336446	0.5209962334977535	0.9389252591491939	0.9279586327584561	0.5475402680812784	0.9137385411160459	0.8042188592071715	0.8979433071601212	0.9335410321092372	0.8933005884980627	0.627861471003583	0.803289824138452	0.8725825741846172	0.8174775694739304	0.9312268380993638	0.9356091485182729	0.8776187713398618
NielsenHB_2014__MH0124__bin.51	0.9426904057714689	0.6447835719410165	0.919363417575531	0.9326634953132538	0.9215468794117374	1.0	0.9033512290783644	0.4637348864133986	0.6961844510780995	0.8699138808623824	0.9457002613267589	0.9673120774606379	0.886694939594265	0.9387034611718506	0.9708319475709899	0.6695482421511839	0.9604509841174419	0.6630865724388783	0.5661356006768326	0.9500315366426622	0.936356340971669	0.8501987193327925	0.9216643569502344	0.9166286214983085	0.9392908488643366	0.9220491971625528	0.5215650276659604	0.9486068176671634	0.9349393188004166	0.5477378079582526	0.9796034687471263	0.7885327339008174	0.8858013001117657	0.9183616177386222	0.9112765068823608	0.617257774481205	0.7899756821495311	0.8565125293845756	0.8036383198767538	0.9161076693793175	0.9527148856599219	0.8895387062158175
ZeeviD_2015__PNP_Main_325__bin.27	0.8984246737359488	0.5936342891671045	0.878074399991881	0.8651955866819783	0.8514892567261099	0.8704436816371715	1.0	0.4241280433681177	0.6507840720220525	0.8025307176521012	0.906188497362486	0.971184465170527	0.8218778226319556	0.8738517230692124	0.9117824318216061	0.6175694274755824	0.8879425359950225	0.6128135487895228	0.5372718181399455	0.8923252515143164	0.8795049889104962	0.7794410515394542	0.8485051224061061	0.8564508435595395	0.8738809984222536	0.8704877898357535	0.4717867567670954	0.8870389034311494	0.8796697115636084	0.49721220571439273	0.8587222206174991	0.7315110532022943	0.815208897209161	0.8662795554205853	0.8529893258159431	0.5684239164801501	0.7346091662301386	0.8017297439928928	0.7401777287166232	0.8693870365614028	0.8930181015362925	0.8394586479783221
RampelliS_2015__H10__bin.85	0.9078211208753169	0.6638456814663011	0.8867783311032587	0.8910208736571144	0.8974747861934008	0.9047459097953889	0.8587560530128138	1.0	0.7106282487893975	0.8494956448340643	0.9006796129549294	0.9202096928819651	0.8673486242955111	0.9041223319125663	0.9153293463338916	0.695294081384422	0.9165614856486198	0.6423832214080847	0.560276429151199	0.913803991056518	0.9136727946958735	0.8374848551189106	0.894944909383622	0.8710537359744374	0.9106789885867068	0.894329234896019	0.6088846807700119	0.9095614485026623	0.9016786021106807	0.6390882959410534	0.8955669065874009	0.7764801280982296	0.8829973468302248	0.8940518257238127	0.8735243373200694	0.5973986764974366	0.7723308456079647	0.8305290769861825	0.8105002928207928	0.8886466937331607	0.9102103172501874	0.8387683665025658
XieH_2016__YSZC12003_37315__bin.117	0.9429331537804567	0.6817117733921844	0.9181847463141215	0.9287270035549096	0.9323132053911182	0.9272066309395287	0.8995081179157407	0.48510730820132586	1.0	0.89264270218447	0.9177121251604404	0.9554387310877354	0.8955825568264892	0.9410987794396849	0.9497435382815042	0.6982491975961064	0.9508258191425595	0.7053331196826748	0.5920540298776419	0.948314344861297	0.9376469185478444	0.8565249504584047	0.9247717687630868	0.9123751748725245	0.9493335016641551	0.9187102406105662	0.5429338012066945	0.9374553882857933	0.9252638127039056	0.561662763225974	0.9115221908040656	0.8143354196643849	0.9034838545384308	0.9259247269884483	0.8951061590197534	0.6383574148917747	0.80842981333083	0.8662789662545259	0.8291409786818725	0.9229336177692605	0.9361394944572221	0.8717998934983838
XieH_2016__YSZC12003_37331__bin.75	0.9199299718762385	0.6557129642123126	0.8875282178739216	0.9403830397941285	0.9142641907830705	0.9083150148909163	0.8696367005570189	0.4546367407398635	0.699818923412767	1.0	0.8979605302951156	0.9534251222298687	0.8868197308764555	0.941723031918291	0.9256621604073779	0.6810882191090152	0.9548150256768377	0.6893324698956472	0.5796096173197366	0.919959157310761	0.9368338371698081	0.8381329273879079	0.9176873461684388	0.9115203369606458	0.9425744852471858	0.8987358477078649	0.5169649855151419	0.9210720106184225	0.8976166497405246	0.5362734768269765	0.8942713221805496	0.8009637961029409	0.8967905750503448	0.9287710436499897	0.8706581907653055	0.6311392513216983	0.7936082206486527	0.8638025744937067	0.8152198234238913	0.9267153739140587	0.9186195881639104	0.8512976732441049
