	XieH_2016__YSZC12003_36699__bin.108	LomanNJ_2013__OBK2764__bin.2	LiJ_2014__V1.FI15__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	WenC_2017__RA035__bin.15	FengQ_2015__SID31398__bin.76	WenC_2017__N010__bin.27	XieH_2016__YSZC12003_35390__bin.29	ZeeviD_2015__PNP_Main_39__bin.58	NielsenHB_2014__O2_UC57_0__bin.13	LiSS_2016__FAT_015-22-14-0__bin.10	ZeeviD_2015__PNP_Main_7__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.114	ZeeviD_2015__PNP_Main_118__bin.18	ZeeviD_2015__PNP_Main_234__bin.27	ZeeviD_2015__PNP_Main_352__bin.20	LiSS_2016__FAT_015-22-84-0__bin.18	FengQ_2015__SID31875__bin.41	LiSS_2016__FAT_015-22-0-0__bin.30	ZeeviD_2015__PNP_Main_292__bin.37	NielsenHB_2014__O2_UC57_2__bin.19	ZellerG_2014__CCIS12656533ST-4-0__bin.30	LeChatelierE_2013__MH0057__bin.11	HeQ_2017__SZAXPI029585-104__bin.39	NielsenHB_2014__MH0057__bin.12	LiSS_2016__FAT_015-22-42-0__bin.22	LiSS_2016__FAT_015-22-2-0__bin.47
XieH_2016__YSZC12003_36699__bin.108	0.0	23806.0	49810.0	41628.0	73572.0	45203.0	75997.0	35371.0	46540.0	46211.0	44154.0	47868.0	45182.0	45438.0	45407.0	50213.0	32981.0	44553.0	37821.0	44217.0	47094.0	43369.0	43271.0	49846.0	43673.0	35777.0	43073.0
LomanNJ_2013__OBK2764__bin.2	23806.0	0.0	27318.0	24482.0	44054.0	24869.0	44438.0	17746.0	27614.0	26447.0	18087.0	28478.0	25826.0	25752.0	25409.0	29610.0	13163.0	24654.0	15518.0	26113.0	26851.0	25523.0	24026.0	28894.0	24684.0	13972.0	18216.0
LiJ_2014__V1.FI15__bin.44	49810.0	27318.0	0.0	51592.0	78444.0	49339.0	81595.0	35386.0	52263.0	50005.0	52976.0	55265.0	54214.0	48851.0	50963.0	56117.0	39993.0	49040.0	44581.0	46877.0	50761.0	49076.0	52555.0	55237.0	51670.0	42231.0	51843.0
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	41628.0	24482.0	51592.0	0.0	77007.0	44347.0	78193.0	31488.0	48338.0	47120.0	46892.0	49051.0	215.0	45110.0	46046.0	50325.0	33469.0	43175.0	39516.0	42201.0	48087.0	46254.0	46284.0	45814.0	44419.0	36264.0	45976.0
WenC_2017__RA035__bin.15	73572.0	44054.0	78444.0	77007.0	0.0	71289.0	28993.0	52445.0	70109.0	78502.0	79741.0	75817.0	80735.0	68537.0	72198.0	79087.0	59388.0	70374.0	67838.0	74425.0	79507.0	76900.0	79216.0	70022.0	80984.0	63109.0	79532.0
FengQ_2015__SID31398__bin.76	45203.0	24869.0	49339.0	44347.0	71289.0	0.0	73815.0	34844.0	49996.0	48367.0	47555.0	52512.0	47485.0	45463.0	46032.0	53925.0	35330.0	207.0	41048.0	45720.0	48871.0	47301.0	45767.0	54160.0	46583.0	38157.0	45806.0
WenC_2017__N010__bin.27	75997.0	44438.0	81595.0	78193.0	28993.0	73815.0	0.0	52405.0	71804.0	79099.0	82107.0	76465.0	82194.0	70864.0	74056.0	81592.0	58859.0	72735.0	67777.0	76514.0	80155.0	79060.0	80945.0	71399.0	81374.0	64744.0	80383.0
XieH_2016__YSZC12003_35390__bin.29	35371.0	17746.0	35386.0	31488.0	52445.0	34844.0	52405.0	0.0	34551.0	34531.0	35584.0	34184.0	34957.0	32045.0	27677.0	38178.0	29941.0	33973.0	31353.0	28399.0	34641.0	33014.0	33182.0	36507.0	33479.0	31228.0	33582.0
ZeeviD_2015__PNP_Main_39__bin.58	46540.0	27614.0	52263.0	48338.0	70109.0	49996.0	71804.0	34551.0	0.0	48600.0	50807.0	54606.0	51906.0	48147.0	49744.0	56595.0	38554.0	49747.0	43176.0	48786.0	48866.0	48807.0	48979.0	52205.0	48729.0	40252.0	50063.0
NielsenHB_2014__O2_UC57_0__bin.13	46211.0	26447.0	50005.0	47120.0	78502.0	48367.0	79099.0	34531.0	48600.0	0.0	51013.0	51431.0	49224.0	48505.0	47311.0	54217.0	36902.0	47684.0	41679.0	43946.0	217.0	48649.0	48988.0	54547.0	48896.0	40384.0	49327.0
