	XieH_2016__YSZC12003_36699__bin.108	LomanNJ_2013__OBK2764__bin.2	LiJ_2014__V1.FI15__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	WenC_2017__RA035__bin.15	FengQ_2015__SID31398__bin.76	WenC_2017__N010__bin.27	XieH_2016__YSZC12003_35390__bin.29	ZeeviD_2015__PNP_Main_39__bin.58	NielsenHB_2014__O2_UC57_0__bin.13	LiSS_2016__FAT_015-22-14-0__bin.10	ZeeviD_2015__PNP_Main_7__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.114	ZeeviD_2015__PNP_Main_118__bin.18	ZeeviD_2015__PNP_Main_234__bin.27	ZeeviD_2015__PNP_Main_352__bin.20	LiSS_2016__FAT_015-22-84-0__bin.18	FengQ_2015__SID31875__bin.41	LiSS_2016__FAT_015-22-0-0__bin.30	ZeeviD_2015__PNP_Main_292__bin.37	NielsenHB_2014__O2_UC57_2__bin.19	ZellerG_2014__CCIS12656533ST-4-0__bin.30	LeChatelierE_2013__MH0057__bin.11	HeQ_2017__SZAXPI029585-104__bin.39	NielsenHB_2014__MH0057__bin.12	LiSS_2016__FAT_015-22-42-0__bin.22	LiSS_2016__FAT_015-22-2-0__bin.47
XieH_2016__YSZC12003_36699__bin.108	2215223.0	1178087.0	1939547.0	1765268.0	1815099.0	1867635.0	1858117.0	1373682.0	1802758.0	1921449.0	1996370.0	1831050.0	1882891.0	1777158.0	1811044.0	1879557.0	1464830.0	1849108.0	1714792.0	1849294.0	1949224.0	1813115.0	1845506.0	1887137.0	1888653.0	1569224.0	1970048.0
LomanNJ_2013__OBK2764__bin.2	1178087.0	1305368.0	1273594.0	1198746.0	1237628.0	1187938.0	1264907.0	825725.0	1227734.0	1261966.0	1286269.0	1216197.0	1256231.0	1196225.0	1200221.0	1247590.0	925896.0	1179213.0	1092201.0	1241209.0	1279563.0	1211421.0	1227395.0	1253149.0	1255933.0	962586.0	1280320.0
LiJ_2014__V1.FI15__bin.44	1939547.0	1273594.0	2448792.0	2003852.0	2001018.0	1937430.0	2050800.0	1349171.0	2011126.0	2139655.0	2135665.0	1999931.0	2096228.0	1948304.0	1980725.0	2018829.0	1543715.0	1922345.0	1803867.0	1971776.0	2155898.0	1983184.0	2015331.0	2078835.0	2023881.0	1608867.0	2115238.0
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	1765268.0	1198746.0	2003852.0	2337094.0	1904706.0	1801971.0	1932558.0	1244946.0	1891550.0	1990300.0	1949868.0	1879352.0	2281188.0	1841582.0	1868327.0	1942862.0	1376264.0	1772949.0	1634065.0	1880954.0	2025868.0	1906655.0	1903057.0	1998038.0	1896668.0	1462510.0	1934230.0
WenC_2017__RA035__bin.15	1815099.0	1237628.0	2001018.0	1904706.0	2374877.0	1843273.0	2120723.0	1291362.0	1898036.0	1989513.0	1994100.0	1910308.0	1996102.0	1834800.0	1873469.0	1940139.0	1450087.0	1818739.0	1699098.0	1906220.0	2038249.0	1906382.0	1910472.0	1993272.0	1961952.0	1508261.0	1978499.0
FengQ_2015__SID31398__bin.76	1867635.0	1187938.0	1937430.0	1801971.0	1843273.0	2304921.0	1879549.0	1342011.0	1909875.0	1913072.0	1982270.0	1887016.0	1913115.0	1833854.0	1859404.0	1926460.0	1461985.0	2235335.0	1713049.0	1886341.0	1938361.0	1868055.0	1846758.0	1945001.0	1893329.0	1557834.0	1940955.0
WenC_2017__N010__bin.27	1858117.0	1264907.0	2050800.0	1932558.0	2120723.0	1879549.0	2487196.0	1308857.0	1950775.0	2014096.0	2020062.0	1948308.0	2015844.0	1901887.0	1919520.0	1970355.0	1440216.0	1860881.0	1703293.0	1934325.0	2051644.0	1924683.0	1952911.0	2018048.0	1982449.0	1528628.0	2006837.0
XieH_2016__YSZC12003_35390__bin.29	1373682.0	825725.0	1349171.0	1244946.0	1291362.0	1342011.0	1308857.0	1599915.0	1328086.0	1342744.0	1367745.0	1284116.0	1366353.0	1274078.0	1305339.0	1344526.0	1193685.0	1324386.0	1243480.0	1346897.0	1354774.0	1312299.0	1294462.0	1341373.0	1305146.0	1207216.0	1333192.0
ZeeviD_2015__PNP_Main_39__bin.58	1802758.0	1227734.0	2011126.0	1891550.0	1898036.0	1909875.0	1950775.0	1328086.0	2285685.0	1960114.0	1972826.0	1914085.0	1987710.0	1879989.0	1920331.0	1946209.0	1457100.0	1892132.0	1674242.0	1913797.0	1962640.0	1912825.0	1899022.0	1978424.0	1913330.0	1515422.0	1955517.0
NielsenHB_2014__O2_UC57_0__bin.13	1921449.0	1261966.0	2139655.0	1990300.0	1989513.0	1913072.0	2014096.0	1342744.0	1960114.0	2500113.0	2084673.0	1957380.0	2067098.0	1918709.0	1926096.0	1993462.0	1496640.0	1894225.0	1752561.0	1918567.0	2451829.0	1945008.0	1975104.0	2084116.0	1991416.0	1582459.0	2062695.0
LiSS_2016__FAT_015-22-14-0__bin.10	1996370.0	1286269.0	2135665.0	1949868.0	1994100.0	1982270.0	2020062.0	1367745.0	1972826.0	2084673.0	2564332.0	2005130.0	2069410.0	1948529.0	1996072.0	2021461.0	1761438.0	1967948.0	2145072.0	2017503.0	2134664.0	1978511.0	2034617.0	2044044.0	2068432.0	1860828.0	2490678.0
ZeeviD_2015__PNP_Main_7__bin.15	1831050.0	1216197.0	1999931.0	1879352.0	1910308.0	1887016.0	1948308.0	1284116.0	1914085.0	1957380.0	2005130.0	2294293.0	1976710.0	1908476.0	1904001.0	2026713.0	1435546.0	1863515.0	1676092.0	1911985.0	1993935.0	1903810.0	1930130.0	1980511.0	1970084.0	1506037.0	1982973.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.114	1882891.0	1256231.0	2096228.0	2281188.0	1996102.0	1913115.0	2015844.0	1366353.0	1987710.0	2067098.0	2069410.0	1976710.0	2498175.0	1942772.0	1965814.0	2048242.0	1481540.0	1897139.0	1748609.0	1985785.0	2106653.0	1992232.0	1989489.0	2132964.0	1996245.0	1576411.0	2033243.0
ZeeviD_2015__PNP_Main_118__bin.18	1777158.0	1196225.0	1948304.0	1841582.0	1834800.0	1833854.0	1901887.0	1274078.0	1879989.0	1918709.0	1948529.0	1908476.0	1942772.0	2263619.0	1886343.0	1908683.0	1413230.0	1814412.0	1639542.0	1892761.0	1957162.0	1878471.0	1892765.0	1984551.0	1916933.0	1459887.0	1933696.0
ZeeviD_2015__PNP_Main_234__bin.27	1811044.0	1200221.0	1980725.0	1868327.0	1873469.0	1859404.0	1919520.0	1305339.0	1920331.0	1926096.0	1996072.0	1904001.0	1965814.0	1886343.0	2284945.0	1922240.0	1423716.0	1841492.0	1677883.0	1977408.0	1966509.0	1919877.0	1887710.0	1941886.0	1915571.0	1500834.0	1975910.0
ZeeviD_2015__PNP_Main_352__bin.20	1879557.0	1247590.0	2018829.0	1942862.0	1940139.0	1926460.0	1970355.0	1344526.0	1946209.0	1993462.0	2021461.0	2026713.0	2048242.0	1908683.0	1922240.0	2313447.0	1474844.0	1896380.0	1735749.0	1956292.0	2029834.0	1940972.0	1948004.0	2027311.0	1993755.0	1548410.0	1992836.0
LiSS_2016__FAT_015-22-84-0__bin.18	1464830.0	925896.0	1543715.0	1376264.0	1450087.0	1461985.0	1440216.0	1193685.0	1457100.0	1496640.0	1761438.0	1435546.0	1481540.0	1413230.0	1423716.0	1474844.0	1804601.0	1443107.0	1636788.0	1478049.0	1495508.0	1421599.0	1457343.0	1469061.0	1491877.0	1688172.0	1744422.0
FengQ_2015__SID31875__bin.41	1849108.0	1179213.0	1922345.0	1772949.0	1818739.0	2235335.0	1860881.0	1324386.0	1892132.0	1894225.0	1967948.0	1863515.0	1897139.0	1814412.0	1841492.0	1896380.0	1443107.0	2261151.0	1680503.0	1865626.0	1923494.0	1844279.0	1829002.0	1923729.0	1869912.0	1538144.0	1925763.0
LiSS_2016__FAT_015-22-0-0__bin.30	1714792.0	1092201.0	1803867.0	1634065.0	1699098.0	1713049.0	1703293.0	1243480.0	1674242.0	1752561.0	2145072.0	1676092.0	1748609.0	1639542.0	1677883.0	1735749.0	1636788.0	1680503.0	2143821.0	1737183.0	1787646.0	1676970.0	1684999.0	1713154.0	1735412.0	1769057.0	2081178.0
ZeeviD_2015__PNP_Main_292__bin.37	1849294.0	1241209.0	1971776.0	1880954.0	1906220.0	1886341.0	1934325.0	1346897.0	1913797.0	1918567.0	2017503.0	1911985.0	1985785.0	1892761.0	1977408.0	1956292.0	1478049.0	1865626.0	1737183.0	2295070.0	1965646.0	1915223.0	1911722.0	1980169.0	1932228.0	1540981.0	2006301.0
NielsenHB_2014__O2_UC57_2__bin.19	1949224.0	1279563.0	2155898.0	2025868.0	2038249.0	1938361.0	2051644.0	1354774.0	1962640.0	2451829.0	2134664.0	1993935.0	2106653.0	1957162.0	1966509.0	2029834.0	1495508.0	1923494.0	1787646.0	1965646.0	2530306.0	1986036.0	2001781.0	2108515.0	2042355.0	1582392.0	2102376.0
ZellerG_2014__CCIS12656533ST-4-0__bin.30	1813115.0	1211421.0	1983184.0	1906655.0	1906382.0	1868055.0	1924683.0	1312299.0	1912825.0	1945008.0	1978511.0	1903810.0	1992232.0	1878471.0	1919877.0	1940972.0	1421599.0	1844279.0	1676970.0	1915223.0	1986036.0	2299652.0	1899032.0	1965792.0	1930029.0	1510104.0	1944564.0
LeChatelierE_2013__MH0057__bin.11	1845506.0	1227395.0	2015331.0	1903057.0	1910472.0	1846758.0	1952911.0	1294462.0	1899022.0	1975104.0	2034617.0	1930130.0	1989489.0	1892765.0	1887710.0	1948004.0	1457343.0	1829002.0	1684999.0	1911722.0	2001781.0	1899032.0	2316566.0	1970731.0	2173531.0	1536563.0	2021481.0
