	HMP_2012__SRS018145__bin.22	HMP_2012__SRS057692__bin.21	BackhedF_2015__SID229_12M__bin.32	BackhedF_2015__SID137_12M__bin.3	HMP_2012__SRS017533__bin.17	HMP_2012__SRS013164__bin.42	HMP_2012__SRS015434__bin.27	HMP_2012__SRS022530__bin.39	BackhedF_2015__SID105_12M__bin.7	HMP_2012__SRS063288__bin.42	HMP_2012__SRS014271__bin.71	VatanenT_2016__G80511__bin.8	NielsenHB_2014__V1_UC3_2__bin.8	HMP_2012__SRS017209__bin.5	HMP_2012__SRS015644__bin.21	GeversD_2014__SKBSTL007__bin.13	CM_cf__CF_TNFC040IS_t3M15__bin.16	HMP_2012__SRS021496__bin.46	CM_cf__CF_TNFC046IS_t2M15__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	HMP_2012__SRS015762__bin.61	HMP_2012__SRS075404__bin.10	HMP_2012__SRS022077__bin.86	BackhedF_2015__SID258_4M__bin.3	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	HMP_2012__SRS064329__bin.38	HMP_2012__SRS019071__bin.32	BritoIL_2016__M1.52.SA__bin.8	HMP_2012__SRS055495__bin.3	HMP_2012__SRS047824__bin.17	ZeeviD_2015__PNP_Main_42__bin.67	HMP_2012__SRS057205__bin.78	FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	HMP_2012__SRS023958__bin.3	HMP_2012__SRS042131__bin.5	HMP_2012__SRS024081__bin.63	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	BackhedF_2015__SID590_12M__bin.25	HMP_2012__SRS017007__bin.56
HMP_2012__SRS018145__bin.22	1717167.0	1341639.0	1230581.0	1501506.0	1192923.0	1613929.0	1318248.0	1385352.0	1528109.0	1278641.0	798054.0	1251822.0	1102673.0	1192516.0	1518759.0	1445364.0	1519591.0	1360550.0	1494212.0	1337210.0	854552.0	1468963.0	1287765.0	1508629.0	1428282.0	1250922.0	1114136.0	1301428.0	1140022.0	1509790.0	1414510.0	1358487.0	1364106.0	1505055.0	1557745.0	1511162.0	1398669.0	1355027.0	1185110.0	1158639.0
HMP_2012__SRS057692__bin.21	1341639.0	1640802.0	1129261.0	1411266.0	1132742.0	1504552.0	1261705.0	1326836.0	1443400.0	1210473.0	752255.0	1187835.0	1057461.0	1136050.0	1435396.0	1369863.0	1437509.0	1262100.0	1395730.0	1285051.0	794973.0	1396038.0	1195590.0	1427850.0	1378904.0	1196471.0	1063181.0	1241467.0	1078130.0	1408131.0	1351520.0	1291947.0	1283212.0	1425265.0	1473932.0	1433576.0	1325890.0	1279172.0	1107213.0	1082804.0
BackhedF_2015__SID229_12M__bin.32	1230581.0	1129261.0	1566740.0	1371629.0	1112753.0	1379963.0	1131586.0	1257026.0	1442990.0	1145693.0	699874.0	1141056.0	1037516.0	1058426.0	1382081.0	1348450.0	1386818.0	1164810.0	1293858.0	1205318.0	732523.0	1331207.0	1100801.0	1364602.0	1316872.0	1147368.0	1009688.0	1166367.0	1014022.0	1273326.0	1277869.0	1226432.0	1180987.0	1379364.0	1327896.0	1377876.0	1226968.0	1226247.0	1124907.0	1023208.0
BackhedF_2015__SID137_12M__bin.3	1501506.0	1411266.0	1371629.0	1926126.0	1357130.0	1736782.0	1436896.0	1609892.0	1725691.0	1424531.0	837591.0	1478596.0	1250817.0	1305252.0	1755166.0	1631394.0	1758564.0	1446516.0	1613773.0	1532956.0	876775.0	1713471.0	1393217.0	1730081.0	1613415.0	1421830.0	1192996.0	1445632.0	1264997.0	1584410.0	1638093.0	1514820.0	1467072.0	1680386.0	1679282.0	1752092.0	1506667.0	1510080.0	1323509.0	1221738.0
HMP_2012__SRS017533__bin.17	1192923.0	1132742.0	1112753.0	1357130.0	1522262.0	1361973.0	1130450.0	1266591.0	1337659.0	1116850.0	686062.0	1167103.0	988347.0	1057840.0	1381744.0	1270920.0	1384291.0	1147451.0	1275006.0	1210553.0	700199.0	1325285.0	1119086.0	1360667.0	1280880.0	1122712.0	964507.0	1171740.0	1001532.0	1258509.0	1290421.0	1205237.0	1149092.0	1328041.0	1315114.0	1385628.0	1199643.0	1184816.0	1035571.0	975963.0
HMP_2012__SRS013164__bin.42	1613929.0	1504552.0	1379963.0	1736782.0	1361973.0	2053171.0	1494721.0	1594720.0	1755984.0	1445320.0	848584.0	1453702.0	1268009.0	1352715.0	1779282.0	1663677.0	1763626.0	1547381.0	1727421.0	1565599.0	978403.0	1712353.0	1482548.0	1738492.0	1649844.0	1459241.0	1233512.0	1481504.0	1294656.0	1700809.0	1644930.0	1559007.0	1630825.0	1727555.0	1944490.0	1771797.0	1616332.0	1538883.0	1360175.0	1293532.0
HMP_2012__SRS015434__bin.27	1318248.0	1261705.0	1131586.0	1436896.0	1130450.0	1494721.0	1615894.0	1312303.0	1437298.0	1194796.0	724847.0	1207454.0	1059022.0	1142742.0	1446382.0	1367597.0	1457159.0	1276698.0	1398081.0	1279368.0	827040.0	1413868.0	1225518.0	1437724.0	1360809.0	1198523.0	1057072.0	1250701.0	1086373.0	1375492.0	1351289.0	1297811.0	1307612.0	1425673.0	1457929.0	1448324.0	1307446.0	1276728.0	1132043.0	1104815.0
HMP_2012__SRS022530__bin.39	1385352.0	1326836.0	1257026.0	1609892.0	1266591.0	1594720.0	1312303.0	1877131.0	1594069.0	1385687.0	795206.0	1349847.0	1200344.0	1237023.0	1659739.0	1512838.0	1608737.0	1366738.0	1503844.0	1424783.0	811338.0	1586875.0	1310351.0	1598751.0	1535961.0	1331777.0	1141359.0	1350550.0	1176663.0	1478652.0	1545301.0	1409110.0	1364073.0	1585809.0	1542234.0	1656077.0	1396286.0	1403706.0	1233910.0	1164877.0
BackhedF_2015__SID105_12M__bin.7	1528109.0	1443400.0	1442990.0	1725691.0	1337659.0	1755984.0	1437298.0	1594069.0	1971195.0	1438865.0	849066.0	1445969.0	1287998.0	1321110.0	1770486.0	1801637.0	1768854.0	1478424.0	1617169.0	1548624.0	899373.0	1710965.0	1423061.0	1739787.0	1690116.0	1513507.0	1234299.0	1439046.0	1277950.0	1617943.0	1643566.0	1588423.0	1491999.0	1810035.0	1702542.0	1764088.0	1534888.0	1590301.0	1420293.0	1258256.0
HMP_2012__SRS063288__bin.42	1278641.0	1210473.0	1145693.0	1424531.0	1116850.0	1445320.0	1194796.0	1385687.0	1438865.0	1645761.0	742548.0	1205654.0	1057213.0	1132227.0	1448355.0	1373181.0	1452004.0	1247133.0	1359182.0	1264453.0	767238.0	1417800.0	1191603.0	1440846.0	1377620.0	1182845.0	1038316.0	1219953.0	1068478.0	1339081.0	1373053.0	1273019.0	1247631.0	1403188.0	1391905.0	1444355.0	1268170.0	1276032.0	1129426.0	1076056.0
