	HMP_2012__SRS013818__bin.43	FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	BritoIL_2016__W2.56.SA__bin.18	HMP_2012__SRS064423__bin.50	HMP_2012__SRS017209__bin.56	HMP_2012__SRS022530__bin.9	HMP_2012__SRS017439__bin.38	FengQ_2015__SID31398__bin.57	CM_cf__CF_TNFC003IS_t1M15__bin.8	CM_cf__CF_TNFC003SA_t1M15__bin.7	FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	CM_cf__CF_TNFC040IS_t3M15__bin.1	HMP_2012__SRS019389__bin.25	HMP_2012__SRS018591__bin.49	Castro-NallarE_2015__ES_116__bin.16	HMP_2012__SRS015893__bin.4	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.8	HMP_2012__SRS018300__bin.5	HMP_2012__SRS064774__bin.80	HMP_2012__SRS050669__bin.38	HMP_2012__SRS022077__bin.25	Castro-NallarE_2015__ES_114__bin.22	BritoIL_2016__W2.68.SA__bin.21	FengQ_2015__SID530348__bin.3	HMP_2012__SRS011086__bin.28	HMP_2012__SRS062544__bin.74	HMP_2012__SRS065278__bin.17	HMP_2012__SRS014271__bin.74	LiJ_2017__H3M518112__bin.22	HMP_2012__SRS047219__bin.61	FerrettiP_2018__CA_C10049MS2849SA_t0M16__bin.2
HMP_2012__SRS013818__bin.43	2192014.0	1173948.0	1289227.0	2028137.0	1208838.0	1792933.0	1682579.0	1939086.0	1090961.0	1220163.0	1365192.0	2051408.0	1978447.0	1684300.0	1692158.0	1636805.0	1421385.0	1872020.0	2014846.0	1538091.0	1946359.0	1962117.0	1985304.0	1655211.0	1568119.0	1116431.0	1748346.0	1441598.0	1809400.0	1866618.0	1197509.0	2008074.0	2026266.0
FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	1173948.0	1513200.0	848742.0	1261143.0	752401.0	1047102.0	1017951.0	1132297.0	655094.0	786396.0	926273.0	1265587.0	1239995.0	1043156.0	1025316.0	1004136.0	885653.0	1156397.0	1246450.0	906879.0	1145592.0	1150576.0	1173344.0	1034755.0	962376.0	760853.0	1115083.0	893485.0	1059375.0	1097459.0	710592.0	1177340.0	1199144.0
FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	1289227.0	848742.0	1461633.0	1333269.0	828948.0	1139761.0	1098923.0	1259997.0	727020.0	783226.0	954951.0	1338631.0	1299715.0	1115026.0	1104635.0	1048976.0	931572.0	1222024.0	1312899.0	1006769.0	1250268.0	1276505.0	1278179.0	1064107.0	999637.0	750527.0	1147596.0	941310.0	1168579.0	1208553.0	755961.0	1307872.0	1308957.0
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	2028137.0	1261143.0	1333269.0	2400912.0	1233293.0	1816275.0	1726302.0	1951457.0	1114665.0	1293200.0	1469567.0	2216884.0	2150895.0	1742907.0	1742607.0	1771274.0	1504676.0	2004435.0	2159341.0	1587214.0	1972867.0	2020326.0	2012772.0	1742287.0	1598031.0	1183908.0	1877379.0	1462466.0	1849155.0	1906141.0	1258878.0	2053456.0	2040021.0
BritoIL_2016__W2.56.SA__bin.18	1208838.0	752401.0	828948.0	1233293.0	1330415.0	1049014.0	1026910.0	1165667.0	647981.0	751033.0	833252.0	1228673.0	1187444.0	1017624.0	1027574.0	972979.0	857250.0	1114018.0	1211871.0	901105.0	1162228.0	1181375.0	1193536.0	992538.0	959141.0	678174.0	1051730.0	862240.0	1064836.0	1119949.0	733374.0	1200865.0	1215972.0
HMP_2012__SRS064423__bin.50	1792933.0	1047102.0	1139761.0	1816275.0	1049014.0	2006174.0	1508710.0	1758495.0	994859.0	1112086.0	1217539.0	1844213.0	1792500.0	1539876.0	1521077.0	1542833.0	1326446.0	1691213.0	1804628.0	1455677.0	1751031.0	1785061.0	1782538.0	1530048.0	1408731.0	1015237.0	1572964.0	1316497.0	1770609.0	1715094.0	1057175.0	1803647.0	1793508.0
HMP_2012__SRS017209__bin.56	1682579.0	1017951.0	1098923.0	1726302.0	1026910.0	1508710.0	1866672.0	1630871.0	935234.0	1020742.0	1157616.0	1718134.0	1677148.0	1449476.0	1469092.0	1434843.0	1262654.0	1570081.0	1684584.0	1364405.0	1631214.0	1693855.0	1658196.0	1414280.0	1340849.0	985076.0	1507636.0	1260187.0	1532070.0	1605320.0	980954.0	1692268.0	1686747.0
HMP_2012__SRS022530__bin.9	1939086.0	1132297.0	1259997.0	1951457.0	1165667.0	1758495.0	1630871.0	2115222.0	1054050.0	1177876.0	1315852.0	1983303.0	1918836.0	1638919.0	1668772.0	1599541.0	1381930.0	1812936.0	1940543.0	1530160.0	1864374.0	1904377.0	1919436.0	1601547.0	1531746.0	1089869.0	1691772.0	1413981.0	1792605.0	1803668.0	1123767.0	1934385.0	1952227.0
HMP_2012__SRS017439__bin.38	1090961.0	655094.0	727020.0	1114665.0	647981.0	994859.0	935234.0	1054050.0	1183868.0	666261.0	784451.0	1115300.0	1084917.0	940511.0	947534.0	928528.0	808760.0	1028996.0	1098662.0	856905.0	1060614.0	1078481.0	1073708.0	938381.0	887648.0	660353.0	1007576.0	801405.0	991415.0	1041021.0	650902.0	1096857.0	1103877.0
FengQ_2015__SID31398__bin.57	1220163.0	786396.0	783226.0	1293200.0	751033.0	1112086.0	1020742.0	1177876.0	666261.0	1375670.0	897724.0	1297586.0	1261861.0	1028420.0	1048665.0	1056932.0	956410.0	1175118.0	1282768.0	935463.0	1189485.0	1193761.0	1203837.0	1085278.0	955734.0	747423.0	1111406.0	871833.0	1122157.0	1143121.0	778503.0	1219076.0	1195624.0
CM_cf__CF_TNFC003IS_t1M15__bin.8	1365192.0	926273.0	954951.0	1469567.0	833252.0	1217539.0	1157616.0	1315852.0	784451.0	897724.0	1550113.0	1529029.0	1448710.0	1178193.0	1171518.0	1184442.0	1007378.0	1353716.0	1448611.0	1078813.0	1325329.0	1341987.0	1363026.0	1183648.0	1075266.0	865870.0	1277556.0	1020001.0	1232187.0	1278579.0	810538.0	1378789.0	1383100.0
CM_cf__CF_TNFC003SA_t1M15__bin.7	2051408.0	1265587.0	1338631.0	2216884.0	1228673.0	1844213.0	1718134.0	1983303.0	1115300.0	1297586.0	1529029.0	2352917.0	2140115.0	1738223.0	1746880.0	1751179.0	1517224.0	2040082.0	2184341.0	1576156.0	1988304.0	2019400.0	2048470.0	1776868.0	1600949.0	1191729.0	1861332.0	1479355.0	1866386.0	1929775.0	1272637.0	2071324.0	2062539.0
FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	1978447.0	1239995.0	1299715.0	2150895.0	1187444.0	1792500.0	1677148.0	1918836.0	1084917.0	1261861.0	1448710.0	2140115.0	2301619.0	1685862.0	1706417.0	1708785.0	1474565.0	1932463.0	2113031.0	1542236.0	1931055.0	1967558.0	1965154.0	1706096.0	1563517.0	1169259.0	1816294.0	1438683.0	1802375.0	1851209.0	1228894.0	1999595.0	1989411.0
