	HMP_2012__SRS013818__bin.43	FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	BritoIL_2016__W2.56.SA__bin.18	HMP_2012__SRS064423__bin.50	HMP_2012__SRS017209__bin.56	HMP_2012__SRS022530__bin.9	HMP_2012__SRS017439__bin.38	FengQ_2015__SID31398__bin.57	CM_cf__CF_TNFC003IS_t1M15__bin.8	CM_cf__CF_TNFC003SA_t1M15__bin.7	FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	CM_cf__CF_TNFC040IS_t3M15__bin.1	HMP_2012__SRS019389__bin.25	HMP_2012__SRS018591__bin.49	Castro-NallarE_2015__ES_116__bin.16	HMP_2012__SRS015893__bin.4	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.8	HMP_2012__SRS018300__bin.5	HMP_2012__SRS064774__bin.80	HMP_2012__SRS050669__bin.38	HMP_2012__SRS022077__bin.25	Castro-NallarE_2015__ES_114__bin.22	BritoIL_2016__W2.68.SA__bin.21	FengQ_2015__SID530348__bin.3	HMP_2012__SRS011086__bin.28	HMP_2012__SRS062544__bin.74	HMP_2012__SRS065278__bin.17	HMP_2012__SRS014271__bin.74	LiJ_2017__H3M518112__bin.22	HMP_2012__SRS047219__bin.61	FerrettiP_2018__CA_C10049MS2849SA_t0M16__bin.2
HMP_2012__SRS013818__bin.43	1.0	0.9578814393823236	0.9778533958721001	0.9602827619633191	0.978878890306228	0.9766221046742962	0.977010291938744	0.978431590966053	0.9750751860057325	0.9567992145311733	0.9601682400717262	0.9593449962172322	0.9586974025586735	0.9762767915454491	0.9806731995475599	0.9547826405711126	0.9583490750218977	0.957925129005032	0.9596301652831035	0.9782834695736469	0.9758189522076862	0.9794196778275709	0.9783745965353416	0.9589647483009719	0.9795583115822205	0.9639556766159306	0.9606044798912801	0.9747932502681053	0.9773726097048745	0.9740868244064934	0.9581055340711426	0.9761024743112057	0.9878826373240236
FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	0.9578814393823236	1.0	0.9566004745847384	0.972001589034709	0.9581619375838151	0.9573957455911649	0.9562189142699403	0.9581275937320332	0.9630251536420728	0.9706725364828915	0.9739515240107398	0.973096278643823	0.9731055367158739	0.9571281764184839	0.9606414022603763	0.9702102105690863	0.9732355674287786	0.9718349321210622	0.973509567170765	0.9582899151926553	0.9572910774516582	0.9583043623367774	0.9563572149344097	0.9736874912418881	0.9605227063019028	0.973056556259882	0.9745023464621019	0.9570031953530278	0.957948790560472	0.9568011196773638	0.971570183734126	0.9581981415733772	0.9578549365213852
FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	0.9778533958721001	0.9566004745847384	1.0	0.9579949732574596	0.9780384294310379	0.9775154615748389	0.9770120381500796	0.9786221713226302	0.9748232510797502	0.9558479927887992	0.9577884100859625	0.9573579276141072	0.9573714237352035	0.9751198626758479	0.9798965269070778	0.9544670230777443	0.9580859021095525	0.9570712195505162	0.9584103575370231	0.9770563058655958	0.9732177421160904	0.9787967928053553	0.9785671646928952	0.958050271260315	0.9782180931678199	0.9616602733812375	0.9585385449234748	0.9739140134493419	0.9780451300254411	0.9722949676183006	0.956710729786325	0.9739951616060287	0.9807518505191538
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	0.9602827619633191	0.972001589034709	0.9579949732574596	1.0	0.9610027787395209	0.9586163989483971	0.9573272810898672	0.9598356510033272	0.9651572445532963	0.976163006495515	0.9802656156541348	0.9789023692714639	0.9772025133723403	0.9583058648568168	0.9628229428666361	0.9744432538387624	0.9784099699868942	0.9773916340514908	0.9792001355969252	0.9587894260005267	0.9607601526103888	0.9595931547680919	0.9592442661165795	0.9795716779152918	0.9647366039832769	0.9780320768167797	0.9800812728809686	0.9597296620912896	0.9588655358799019	0.958550810249609	0.9774044824041725	0.9608085101409526	0.9608646185504953
BritoIL_2016__W2.56.SA__bin.18	0.978878890306228	0.9581619375838151	0.9780384294310379	0.9610027787395209	1.0	0.979420675033889	0.9779951505000438	0.9805527650692694	0.9761181269203881	0.9575105221741255	0.9613898316475689	0.9610238037297149	0.9602381249136801	0.9748384472064338	0.9810300766660114	0.9553515543500939	0.9608690580344124	0.9599692285043868	0.9614290629943286	0.9801432685425117	0.9745488836957981	0.9802848375833245	0.9823926551021502	0.9603360274367329	0.9786267086903803	0.9649691672048766	0.9620434902493986	0.9751646873260346	0.9797161253000461	0.9735273659782723	0.959744959597695	0.9754751783089689	0.9804123779165967
HMP_2012__SRS064423__bin.50	0.9766221046742962	0.9573957455911649	0.9775154615748389	0.9586163989483971	0.979420675033889	1.0	0.9774383413644769	0.9854085453754489	0.9751371802436325	0.9560996181949957	0.9583775139851783	0.956970805432995	0.9572792189679219	0.9737413921640444	0.9851276431107695	0.9549957772487365	0.9585463712808513	0.9561303041071704	0.9579824761668333	0.9839476752054199	0.9735447287912093	0.9800460600506089	0.98043744368984	0.9585359413560882	0.9786843620251133	0.9620266006853572	0.9589405733379784	0.9732684540868685	0.9961668555847168	0.9722149339919561	0.9568169886726418	0.9735153275557801	0.9790299234795719
HMP_2012__SRS017209__bin.56	0.977010291938744	0.9562189142699403	0.9770120381500796	0.9573272810898672	0.9779951505000438	0.9774383413644769	1.0	0.978848112450341	0.9753377229655894	0.95586347970398	0.9585976696935772	0.9576412549894245	0.9569715970206565	0.9734855906548298	0.9791095452156843	0.9531983638628059	0.9564845159481536	0.9570321531182149	0.9576993489193771	0.9812387084480048	0.9755090380538667	0.9926404562373993	0.978014661716709	0.9571817461888735	0.9776029963105465	0.9623084919336173	0.958296299637313	0.9748553190915317	0.9776106835849537	0.9742761567787108	0.9564678873830985	0.9758992074541385	0.9783808715829938
HMP_2012__SRS022530__bin.9	0.978431590966053	0.9581275937320332	0.9786221713226302	0.9598356510033272	0.9805527650692694	0.9854085453754489	0.978848112450341	1.0	0.9745410559271381	0.9563162845664569	0.9591808197274465	0.9584354987614097	0.9585686322332915	0.9755106872273737	0.9850938294746077	0.9549383229313909	0.9584450731947349	0.9572814484350247	0.9592753162388054	0.9844022847283944	0.9750377338452478	0.9808856124601378	0.9800248614697233	0.9582391275435563	0.9785610669131828	0.9635102934389362	0.9597197494697867	0.9741524108174013	0.9851434086148371	0.9737119026339659	0.958189731501281	0.9756310145084872	0.9802881529658181
HMP_2012__SRS017439__bin.38	0.9750751860057325	0.9630251536420728	0.9748232510797502	0.9651572445532963	0.9761181269203881	0.9751371802436325	0.9753377229655894	0.9745410559271381	1.0	0.9636343715150669	0.9656473125791158	0.9653339908544786	0.9644627192679256	0.9736047744258175	0.9762647039578527	0.9624114727827271	0.9653939363964588	0.9641582668931657	0.9656300117779626	0.9760323489768411	0.9746627896671174	0.9763778870466888	0.9755659825576414	0.9648778054969144	0.9767069829481957	0.9682578863123208	0.9666129403638039	0.9740942469787436	0.9752666643131283	0.9733079351905485	0.9648364884421925	0.9743147921743673	0.97568750866265
FengQ_2015__SID31398__bin.57	0.9567992145311733	0.9706725364828915	0.9558479927887992	0.976163006495515	0.9575105221741255	0.9560996181949957	0.95586347970398	0.9563162845664569	0.9636343715150669	1.0	0.9789968854570001	0.9778272885188342	0.9756526273496051	0.9566432002489256	0.959395993954218	0.9759303342126078	0.9774657312240567	0.9777401078019399	0.9781955895376249	0.9570982497437098	0.9581104427546375	0.9572510745450723	0.9568014606628639	0.9782608695652174	0.9604680800306361	0.9760577343753136	0.9801557666595285	0.9573943633700491	0.955703168095017	0.9563283326961888	0.9768440198689022	0.9577532491821674	0.9575443450449305
CM_cf__CF_TNFC003IS_t1M15__bin.8	0.9601682400717262	0.9739515240107398	0.9577884100859625	0.9802656156541348	0.9613898316475689	0.9583775139851783	0.9585976696935772	0.9591808197274465	0.9656473125791158	0.9789968854570001	1.0	0.9995814337072744	0.978743157705821	0.9600226787971071	0.9626416324802521	0.9766210586926164	0.9799429806884804	0.9800770619539105	0.9815485316623993	0.9591337887103697	0.960728241817692	0.9602574391555209	0.959676484527808	0.9811362837600368	0.9641697961248659	0.9789310173582639	0.9817354386030828	0.9597372943752016	0.9587286669961621	0.9587057193962986	0.979508672017845	0.9609933064450036	0.9607020461282626
CM_cf__CF_TNFC003SA_t1M15__bin.7	0.9593449962172322	0.973096278643823	0.9573579276141072	0.9789023692714639	0.9610238037297149	0.956970805432995	0.9576412549894245	0.9584354987614097	0.9653339908544786	0.9778272885188342	0.9995814337072744	1.0	0.9783156512617313	0.9585801131385329	0.9621233284484337	0.9764490094958882	0.9794117414435838	0.9786587009737844	0.9810601916092772	0.958670334662305	0.959952803997779	0.9593002872140239	0.9586169189687913	0.9803254940715911	0.963893290791899	0.9784682591428084	0.9819290701497637	0.9592599477474981	0.9578425899036962	0.9576847041753572	0.9783638225196973	0.9601028134661694	0.9599057278432068
FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	0.9586974025586735	0.9731055367158739	0.9573714237352035	0.9772025133723403	0.9602381249136801	0.9572792189679219	0.9569715970206565	0.9585686322332915	0.9644627192679256	0.9756526273496051	0.978743157705821	0.9783156512617313	1.0	0.9579473290221857	0.9615258169603327	0.9746656249908561	0.9777493701532316	0.9773263446699885	0.9795294058629523	0.9587054121418512	0.9595014124403499	0.9587468323678388	0.9582567065990757	0.9787415245097579	0.9634848869567776	0.9789986649664446	0.980125464269551	0.9584467182833188	0.9580448019973646	0.9579123697000177	0.9775041622792527	0.9593792743030464	0.9595719537089118
CM_cf__CF_TNFC040IS_t3M15__bin.1	0.9762767915454491	0.9571281764184839	0.9751198626758479	0.9583058648568168	0.9748384472064338	0.9737413921640444	0.9734855906548298	0.9755106872273737	0.9736047744258175	0.9566432002489256	0.9600226787971071	0.9585801131385329	0.9579473290221857	1.0	0.979140439827187	0.9547287234264872	0.9583314141832865	0.9572291009043044	0.959066359836566	0.9741221823192854	0.9799583378084086	0.9751878063284107	0.9754637823311738	0.9590713642598093	0.9817941186451542	0.962791114423636	0.9598523883756507	0.9794473520621005	0.9746780802060697	0.9790561798308736	0.9578729581228048	0.9805307041353233	0.9766240714929229
HMP_2012__SRS019389__bin.25	0.9806731995475599	0.9606414022603763	0.9798965269070778	0.9628229428666361	0.9810300766660114	0.9851276431107695	0.9791095452156843	0.9850938294746077	0.9762647039578527	0.959395993954218	0.9626416324802521	0.9621233284484337	0.9615258169603327	0.979140439827187	1.0	0.9573913902392936	0.9605927864789041	0.9603806500204503	0.9626969860960545	0.9865633767180884	0.9790946954964761	0.9820858233172755	0.9819923261494304	0.9613761962718957	0.982354741416912	0.9662008998533946	0.9626281430604038	0.9789892336185191	0.9848861886944256	0.9785376996748879	0.9605737971786361	0.9800579056222346	0.9814358514705361
HMP_2012__SRS018591__bin.49	0.9547826405711126	0.9702102105690863	0.9544670230777443	0.9744432538387624	0.9553515543500939	0.9549957772487365	0.9531983638628059	0.9549383229313909	0.9624114727827271	0.9759303342126078	0.9766210586926164	0.9764490094958882	0.9746656249908561	0.9547287234264872	0.9573913902392936	1.0	0.9779395563168664	0.976596961807849	0.9766027443337408	0.9555962077305077	0.9557946138001743	0.9551663855236927	0.9550447582181926	0.9780802406154141	0.9594577121403312	0.9743122019810517	0.9777960451381702	0.9565263556334747	0.9555046605009998	0.9544056423816583	0.9750473866752702	0.9559119239974347	0.9550738655378742
Castro-NallarE_2015__ES_116__bin.16	0.9583490750218977	0.9732355674287786	0.9580859021095525	0.9784099699868942	0.9608690580344124	0.9585463712808513	0.9564845159481536	0.9584450731947349	0.9653939363964588	0.9774657312240567	0.9799429806884804	0.9794117414435838	0.9777493701532316	0.9583314141832865	0.9605927864789041	0.9779395563168664	1.0	0.9794587410695484	0.9802645013433958	0.9594118171705902	0.9587192597688359	0.9593358865583087	0.9581514219529859	0.9810762741416114	0.9631290271424863	0.9777148148315848	0.9812322765948881	0.958620965849188	0.9591430637669706	0.957370755905856	0.9785788585208056	0.9589404932263507	0.9588253338081454
HMP_2012__SRS015893__bin.4	0.957925129005032	0.9718349321210622	0.9570712195505162	0.9773916340514908	0.9599692285043868	0.9561303041071704	0.9570321531182149	0.9572814484350247	0.9641582668931657	0.9777401078019399	0.9800770619539105	0.9786587009737844	0.9773263446699885	0.9572291009043044	0.9603806500204503	0.976596961807849	0.9794587410695484	1.0	0.9795665012085985	0.9576261872988461	0.958337745041834	0.9578999019180174	0.9573064829581038	0.9798929929625781	0.9626266346381122	0.9770628122281878	0.9809748930729275	0.9580548022839424	0.9576612974386064	0.9568618314885106	0.9780611673652757	0.9585896468541736	0.9582715326360729
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.8	0.9596301652831035	0.973509567170765	0.9584103575370231	0.9792001355969252	0.9614290629943286	0.9579824761668333	0.9576993489193771	0.9592753162388054	0.9656300117779626	0.9781955895376249	0.9815485316623993	0.9810601916092772	0.9795294058629523	0.959066359836566	0.9626969860960545	0.9766027443337408	0.9802645013433958	0.9795665012085985	1.0	0.959137150210281	0.9609592307387606	0.9601236547822588	0.9589160069480577	0.9802346702873289	0.9644953527520784	0.9790475273497842	0.9817088266014375	0.9601839901406127	0.9584294992951324	0.958670558365912	0.9790065852977037	0.9612030744863842	0.9604466510809097
HMP_2012__SRS018300__bin.5	0.9782834695736469	0.9582899151926553	0.9770563058655958	0.9587894260005267	0.9801432685425117	0.9839476752054199	0.9812387084480048	0.9844022847283944	0.9760323489768411	0.9570982497437098	0.9591337887103697	0.958670334662305	0.9587054121418512	0.9741221823192854	0.9865633767180884	0.9555962077305077	0.9594118171705902	0.9576261872988461	0.959137150210281	1.0	0.9751332266725952	0.9821777346852416	0.9793719124181282	0.9598870497388764	0.9787814187878728	0.9637499229190342	0.9598004950220861	0.9740978869867358	0.9842094597927479	0.9746065664099773	0.9594037704799913	0.9753306498357285	0.9800647057338807
HMP_2012__SRS064774__bin.80	0.9758189522076862	0.9572910774516582	0.9732177421160904	0.9607601526103888	0.9745488836957981	0.9735447287912093	0.9755090380538667	0.9750377338452478	0.9746627896671174	0.9581104427546375	0.960728241817692	0.959952803997779	0.9595014124403499	0.9799583378084086	0.9790946954964761	0.9557946138001743	0.9587192597688359	0.958337745041834	0.9609592307387606	0.9751332266725952	1.0	0.9754536868627178	0.9748891609377451	0.9593440249711731	0.9832379920482613	0.9641933175538063	0.9616052009734191	0.9952303942495547	0.974115160220844	0.9944037461331883	0.9593310511892241	0.99681707582837	0.976109558395217
HMP_2012__SRS050669__bin.38	0.9794196778275709	0.9583043623367774	0.9787967928053553	0.9595931547680919	0.9802848375833245	0.9800460600506089	0.9926404562373993	0.9808856124601378	0.9763778870466888	0.9572510745450723	0.9602574391555209	0.9593002872140239	0.9587468323678388	0.9751878063284107	0.9820858233172755	0.9551663855236927	0.9593358865583087	0.9578999019180174	0.9601236547822588	0.9821777346852416	0.9754536868627178	1.0	0.9799207206615943	0.9590248039580288	0.9801318728799057	0.96461705867889	0.9607131674647955	0.9750727403284783	0.9803950720289714	0.9747994823677459	0.9576920941238782	0.9765317495457807	0.9812502285071274
HMP_2012__SRS022077__bin.25	0.9783745965353416	0.9563572149344097	0.9785671646928952	0.9592442661165795	0.9823926551021502	0.98043744368984	0.978014661716709	0.9800248614697233	0.9755659825576414	0.9568014606628639	0.959676484527808	0.9586169189687913	0.9582567065990757	0.9754637823311738	0.9819923261494304	0.9550447582181926	0.9581514219529859	0.9573064829581038	0.9589160069480577	0.9793719124181282	0.9748891609377451	0.9799207206615943	1.0	0.9587960289474008	0.9781696161272041	0.9630075644770638	0.9601422697752652	0.9739020614073236	0.980252017789491	0.9743057088887294	0.9581238241833419	0.9749203258944101	0.9795045754206435
Castro-NallarE_2015__ES_114__bin.22	0.9589647483009719	0.9736874912418881	0.958050271260315	0.9795716779152918	0.9603360274367329	0.9585359413560882	0.9571817461888735	0.9582391275435563	0.9648778054969144	0.9782608695652174	0.9811362837600368	0.9803254940715911	0.9787415245097579	0.9590713642598093	0.9613761962718957	0.9780802406154141	0.9810762741416114	0.9798929929625781	0.9802346702873289	0.9598870497388764	0.9593440249711731	0.9590248039580288	0.9587960289474008	1.0	0.9634897327236622	0.9775936150988856	0.9814857692967449	0.9598164761787719	0.9588151454319689	0.9582023245759241	0.9785153423609335	0.9597992879277062	0.9589861388058887
BritoIL_2016__W2.68.SA__bin.21	0.9795583115822205	0.9605227063019028	0.9782180931678199	0.9647366039832769	0.9786267086903803	0.9786843620251133	0.9776029963105465	0.9785610669131828	0.9767069829481957	0.9604680800306361	0.9641697961248659	0.963893290791899	0.9634848869567776	0.9817941186451542	0.982354741416912	0.9594577121403312	0.9631290271424863	0.9626266346381122	0.9644953527520784	0.9787814187878728	0.9832379920482613	0.9801318728799057	0.9781696161272041	0.9634897327236622	1.0	0.967082694850351	0.9649013156963394	0.9832650995260331	0.9787775707489994	0.9814295781954695	0.9619996975183904	0.9837815106447234	0.9800290114232479
FengQ_2015__SID530348__bin.3	0.9639556766159306	0.973056556259882	0.9616602733812375	0.9780320768167797	0.9649691672048766	0.9620266006853572	0.9623084919336173	0.9635102934389362	0.9682578863123208	0.9760577343753136	0.9789310173582639	0.9784682591428084	0.9789986649664446	0.962791114423636	0.9662008998533946	0.9743122019810517	0.9777148148315848	0.9770628122281878	0.9790475273497842	0.9637499229190342	0.9641933175538063	0.96461705867889	0.9630075644770638	0.9775936150988856	0.967082694850351	1.0	0.9786405658760517	0.963851215194165	0.9633016912102751	0.9627698695420788	0.9768940796083794	0.9641018610915519	0.9645780167982551
HMP_2012__SRS011086__bin.28	0.9606044798912801	0.9745023464621019	0.9585385449234748	0.9800812728809686	0.9620434902493986	0.9589405733379784	0.958296299637313	0.9597197494697867	0.9666129403638039	0.9801557666595285	0.9817354386030828	0.9819290701497637	0.980125464269551	0.9598523883756507	0.9626281430604038	0.9777960451381702	0.9812322765948881	0.9809748930729275	0.9817088266014375	0.9598004950220861	0.9616052009734191	0.9607131674647955	0.9601422697752652	0.9814857692967449	0.9649013156963394	0.9786405658760517	1.0	0.9599327360039789	0.959278125582192	0.9591046289635581	0.9806567283110329	0.9615933268996539	0.9609362999238804
HMP_2012__SRS062544__bin.74	0.9747932502681053	0.9570031953530278	0.9739140134493419	0.9597296620912896	0.9751646873260346	0.9732684540868685	0.9748553190915317	0.9741524108174013	0.9740942469787436	0.9573943633700491	0.9597372943752016	0.9592599477474981	0.9584467182833188	0.9794473520621005	0.9789892336185191	0.9565263556334747	0.958620965849188	0.9580548022839424	0.9601839901406127	0.9740978869867358	0.9952303942495547	0.9750727403284783	0.9739020614073236	0.9598164761787719	0.9832650995260331	0.963851215194165	0.9599327360039789	1.0	0.9737705875394381	0.9948334622659215	0.9588947296067662	0.9960916722862885	0.9760442882176953
HMP_2012__SRS065278__bin.17	0.9773726097048745	0.957948790560472	0.9780451300254411	0.9588655358799019	0.9797161253000461	0.9961668555847168	0.9776106835849537	0.9851434086148371	0.9752666643131283	0.955703168095017	0.9587286669961621	0.9578425899036962	0.9580448019973646	0.9746780802060697	0.9848861886944256	0.9555046605009998	0.9591430637669706	0.9576612974386064	0.9584294992951324	0.9842094597927479	0.974115160220844	0.9803950720289714	0.980252017789491	0.9588151454319689	0.9787775707489994	0.9633016912102751	0.959278125582192	0.9737705875394381	1.0	0.9730082882566471	0.9579901371272114	0.9743968528973239	0.9793625499321961
HMP_2012__SRS014271__bin.74	0.9740868244064934	0.9568011196773638	0.9722949676183006	0.958550810249609	0.9735273659782723	0.9722149339919561	0.9742761567787108	0.9737119026339659	0.9733079351905485	0.9563283326961888	0.9587057193962986	0.9576847041753572	0.9579123697000177	0.9790561798308736	0.9785376996748879	0.9544056423816583	0.957370755905856	0.9568618314885106	0.958670558365912	0.9746065664099773	0.9944037461331883	0.9747994823677459	0.9743057088887294	0.9582023245759241	0.9814295781954695	0.9627698695420788	0.9591046289635581	0.9948334622659215	0.9730082882566471	1.0	0.9569896975914922	0.9961018126878916	0.9750820507062351
LiJ_2017__H3M518112__bin.22	0.9581055340711426	0.971570183734126	0.956710729786325	0.9774044824041725	0.959744959597695	0.9568169886726418	0.9564678873830985	0.958189731501281	0.9648364884421925	0.9768440198689022	0.979508672017845	0.9783638225196973	0.9775041622792527	0.9578729581228048	0.9605737971786361	0.9750473866752702	0.9785788585208056	0.9780611673652757	0.9790065852977037	0.9594037704799913	0.9593310511892241	0.9576920941238782	0.9581238241833419	0.9785153423609335	0.9619996975183904	0.9768940796083794	0.9806567283110329	0.9588947296067662	0.9579901371272114	0.9569896975914922	1.0	0.9591412771575778	0.9587356508961837
HMP_2012__SRS047219__bin.61	0.9761024743112057	0.9581981415733772	0.9739951616060287	0.9608085101409526	0.9754751783089689	0.9735153275557801	0.9758992074541385	0.9756310145084872	0.9743147921743673	0.9577532491821674	0.9609933064450036	0.9601028134661694	0.9593792743030464	0.9805307041353233	0.9800579056222346	0.9559119239974347	0.9589404932263507	0.9585896468541736	0.9612030744863842	0.9753306498357285	0.99681707582837	0.9765317495457807	0.9749203258944101	0.9597992879277062	0.9837815106447234	0.9641018610915519	0.9615933268996539	0.9960916722862885	0.9743968528973239	0.9961018126878916	0.9591412771575778	1.0	0.9765810814222221
FerrettiP_2018__CA_C10049MS2849SA_t0M16__bin.2	0.9878826373240236	0.9578549365213852	0.9807518505191538	0.9608646185504953	0.9804123779165967	0.9790299234795719	0.9783808715829938	0.9802881529658181	0.97568750866265	0.9575443450449305	0.9607020461282626	0.9599057278432068	0.9595719537089118	0.9766240714929229	0.9814358514705361	0.9550738655378742	0.9588253338081454	0.9582715326360729	0.9604466510809097	0.9800647057338807	0.976109558395217	0.9812502285071274	0.9795045754206435	0.9589861388058887	0.9800290114232479	0.9645780167982551	0.9609362999238804	0.9760442882176953	0.9793625499321961	0.9750820507062351	0.9587356508961837	0.9765810814222221	1.0
