	HMP_2012__SRS013818__bin.43	FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	BritoIL_2016__W2.56.SA__bin.18	HMP_2012__SRS064423__bin.50	HMP_2012__SRS017209__bin.56	HMP_2012__SRS022530__bin.9	HMP_2012__SRS017439__bin.38	FengQ_2015__SID31398__bin.57	CM_cf__CF_TNFC003IS_t1M15__bin.8	CM_cf__CF_TNFC003SA_t1M15__bin.7	FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	CM_cf__CF_TNFC040IS_t3M15__bin.1	HMP_2012__SRS019389__bin.25	HMP_2012__SRS018591__bin.49	Castro-NallarE_2015__ES_116__bin.16	HMP_2012__SRS015893__bin.4	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.8	HMP_2012__SRS018300__bin.5	HMP_2012__SRS064774__bin.80	HMP_2012__SRS050669__bin.38	HMP_2012__SRS022077__bin.25	Castro-NallarE_2015__ES_114__bin.22	BritoIL_2016__W2.68.SA__bin.21	FengQ_2015__SID530348__bin.3	HMP_2012__SRS011086__bin.28	HMP_2012__SRS062544__bin.74	HMP_2012__SRS065278__bin.17	HMP_2012__SRS014271__bin.74	LiJ_2017__H3M518112__bin.22	HMP_2012__SRS047219__bin.61	FerrettiP_2018__CA_C10049MS2849SA_t0M16__bin.2
HMP_2012__SRS013818__bin.43	0.0	49445.0	28552.0	80552.0	25532.0	41915.0	38682.0	41823.0	27192.0	52712.0	54378.0	83400.0	81715.0	39957.0	32704.0	74012.0	59202.0	78765.0	81339.0	33402.0	47065.0	40381.0	42933.0	67922.0	32055.0	40241.0	68877.0	36338.0	40942.0	48370.0	50169.0	47988.0	24553.0
FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	49445.0	0.0	36835.0	35310.0	31479.0	44611.0	44567.0	47412.0	24222.0	23063.0	24128.0	34049.0	33349.0	44722.0	40355.0	29913.0	23704.0	32570.0	33019.0	37826.0	48927.0	47974.0	51208.0	27227.0	37992.0	20500.0	28432.0	38417.0	44548.0	47409.0	20202.0	49215.0	50538.0
FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	28552.0	36835.0	0.0	56004.0	18205.0	25627.0	25262.0	26936.0	18304.0	34581.0	40310.0	57082.0	55405.0	27742.0	22207.0	47763.0	39046.0	52460.0	54603.0	23099.0	33485.0	27066.0	27395.0	44639.0	21774.0	28775.0	47581.0	24555.0	25656.0	33483.0	32725.0	34011.0	25195.0
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	80552.0	35310.0	56004.0	0.0	48095.0	75164.0	73666.0	78379.0	38838.0	30826.0	29001.0	46771.0	49035.0	72669.0	64785.0	45268.0	32486.0	45317.0	44914.0	65410.0	77415.0	81635.0	82032.0	35592.0	56352.0	26008.0	37395.0	58894.0	76064.0	79008.0	28445.0	80478.0	79837.0
BritoIL_2016__W2.56.SA__bin.18	25532.0	31479.0	18205.0	48095.0	0.0	21588.0	22597.0	22669.0	15475.0	31911.0	32172.0	47889.0	47215.0	25605.0	19493.0	43442.0	33545.0	44595.0	46743.0	17893.0	29580.0	23291.0	21015.0	39368.0	20500.0	23757.0	39920.0	21414.0	21599.0	29648.0	29522.0	29451.0	23818.0
HMP_2012__SRS064423__bin.50	41915.0	44611.0	25627.0	75164.0	21588.0	0.0	34039.0	25659.0	24735.0	48821.0	50677.0	79355.0	76577.0	40435.0	22622.0	69434.0	54986.0	74193.0	75826.0	23367.0	46324.0	35619.0	34871.0	63442.0	30028.0	38552.0	64585.0	35192.0	6787.0	47654.0	45652.0	47769.0	37610.0
HMP_2012__SRS017209__bin.56	38682.0	44567.0	25262.0	73666.0	22597.0	34039.0	0.0	34496.0	23065.0	45052.0	47928.0	72778.0	72165.0	38432.0	30690.0	67153.0	54945.0	67463.0	71259.0	25598.0	39950.0	12466.0	36456.0	60557.0	30031.0	37129.0	62874.0	31687.0	34302.0	41295.0	42703.0	40785.0	36466.0
HMP_2012__SRS022530__bin.9	41823.0	47412.0	26936.0	78379.0	22669.0	25659.0	34496.0	0.0	26835.0	51454.0	53712.0	82435.0	79500.0	40136.0	24875.0	72078.0	57426.0	77446.0	79028.0	23867.0	46539.0	36401.0	38341.0	66882.0	32839.0	39769.0	68145.0	36548.0	26632.0	47415.0	46985.0	47139.0	38482.0
HMP_2012__SRS017439__bin.38	27192.0	24222.0	18304.0	38838.0	15475.0	24735.0	23065.0	26835.0	0.0	24229.0	26948.0	38663.0	38555.0	24825.0	22490.0	34902.0	27988.0	36881.0	37761.0	20538.0	26873.0	25476.0	26235.0	32958.0	20676.0	20961.0	33640.0	20761.0	24521.0	27787.0	22888.0	28173.0	26838.0
FengQ_2015__SID31398__bin.57	52712.0	23063.0	34581.0	30826.0	31911.0	48821.0	45052.0	51454.0	24229.0	0.0	18855.0	28771.0	30723.0	44589.0	42580.0	25440.0	21552.0	26158.0	27970.0	40133.0	49827.0	51032.0	52004.0	23593.0	37782.0	17895.0	22055.0	37145.0	49708.0	49922.0	18027.0	51502.0	50761.0
