	BackhedF_2015__SID42_4M__bin.12	BackhedF_2015__SID179_4M__bin.24	BackhedF_2015__SID585_4M__bin.5	BackhedF_2015__SID263_4M__bin.13	KarlssonFH_2013__S312__bin.63	VatanenT_2016__G80150__bin.1	CM_periimplantitis__SP_283SPI_T016__bin.13	BackhedF_2015__SID590_4M__bin.26	BackhedF_2015__SID507_4M__bin.7	VatanenT_2016__G80312__bin.6	BackhedF_2015__SID397_4M__bin.5	BackhedF_2015__SID263_4M__bin.3	FengQ_2015__SID31446__bin.13	BackhedF_2015__SID201_4M__bin.12	BackhedF_2015__SID367_4M__bin.16	BackhedF_2015__SID103_B__bin.10	VatanenT_2016__G78875__bin.2	BackhedF_2015__SID180_4M__bin.1	BackhedF_2015__SID195_4M__bin.8	BackhedF_2015__SID507_B__bin.5	FengQ_2015__SID31868__bin.44	VatanenT_2016__G78847__bin.3	BackhedF_2015__SID521_4M__bin.19	BackhedF_2015__SID526_4M__bin.2	VatanenT_2016__G78558__bin.4	BackhedF_2015__SID582_4M__bin.4	BackhedF_2015__SID599_4M__bin.1	VatanenT_2016__G78701__bin.8	AsnicarF_2017__MV_FEI4_t2Q15__bin.2	BackhedF_2015__SID281_4M__bin.23	BackhedF_2015__SID587_B__bin.8	VatanenT_2016__G80565__bin.2
BackhedF_2015__SID42_4M__bin.12	1.0	0.4105349475773028	0.809427388307795	0.26051036473133704	0.8419768513012933	0.8691692063024382	0.8405004605955615	0.8706353023867547	0.8276225991789152	0.9315322479015834	0.5194974804801553	0.6142048026183837	0.6310471582407556	0.8510031043608371	0.8093918896132595	0.8702320372168314	0.7817565109043114	0.8574549920926657	0.8672370123588705	0.8687144680254383	0.7247825261226019	0.6920491798914095	0.8683790053620778	0.8587709286990971	0.37939407278297343	0.7035482720122967	0.8443091155322764	0.8064778017788397	0.8660666204000348	0.962413272251913	0.5162120763008939	0.7823003509045955
BackhedF_2015__SID179_4M__bin.24	0.8824473345257208	1.0	0.8798941807016366	0.2842073777446785	0.8957174774290825	0.9103916260217194	0.8911193587967061	0.9188202384367923	0.9513176288175219	0.8909255449678605	0.5981369454940575	0.6356712062850619	0.7056112918683654	0.8241292112540213	0.8004427196200639	0.9137009589969295	0.7661010456790198	0.9031075834620339	0.9162380888430383	0.9832259472460123	0.8013614276906548	0.6702952074571016	0.9218716616712551	0.9111523834522669	0.43476714870862	0.7635669680191921	0.8521078398456814	0.8094222516588633	0.9853319557799253	0.9036234029435285	0.6147660193996959	0.8012912274061911
BackhedF_2015__SID585_4M__bin.5	0.8348806827377174	0.42221951271309005	1.0	0.2488907489302931	0.9218185785915092	0.9533367604962356	0.8305645079201881	0.9469089993050475	0.8362910920859633	0.8337382951036241	0.5359712967783936	0.6971695149466043	0.7105936680968481	0.7705291085495266	0.7414330081190075	0.9438153989459277	0.7140442645916221	0.9326057202863879	0.9485467877304639	0.8699962872401892	0.8010096216866182	0.6243521893199937	0.9488876732712782	0.9409275748208977	0.42337874324178854	0.7846584663738932	0.7896659321700019	0.7431099745818751	0.8700028779380782	0.8515752866404356	0.6209634721553998	0.7292574260688465
BackhedF_2015__SID263_4M__bin.13	0.875533444287359	0.44436967972464314	0.8109796763244391	1.0	0.9030870273269028	0.9546949659084808	0.846878672369465	0.971441865459296	0.8436085112475169	0.8583999952277839	0.016750478712933302	0.009363088101075539	0.4488281226698163	0.7127591164241784	0.8360063709085703	0.9894868078049596	0.6576245101021851	0.9991600899562746	0.9641582705488645	0.8840077071290944	0.7897421213693875	0.6347942280045574	0.9644183563294499	0.9478504148845421	0.27540459445110566	0.6352821871066651	0.87520296831845	0.8052673335838747	0.8806516461163109	0.8761776934686256	0.45116531553296707	0.7865793351109839
KarlssonFH_2013__S312__bin.63	0.8441061404698176	0.4177623466181525	0.8959749087066831	0.2693883303278872	1.0	0.9643880438407216	0.8535242725806158	0.9664913222859612	0.8411918008440873	0.8526071577661688	0.5388172315090329	0.6992133880968675	0.7289187262602677	0.7679347193617991	0.756674884043875	0.9620890288227442	0.7182411182750698	0.9543168633463338	0.963339963464879	0.8819587465599298	0.8202309050965889	0.631943354547619	0.9636050975497696	0.9604644152690186	0.43247319565578696	0.793137760467547	0.8071208253392738	0.7584482573928815	0.87887215875019	0.865279855254584	0.589272425806052	0.7430064212272398
VatanenT_2016__G80150__bin.1	0.8457217110530668	0.4121096084219369	0.89933805532509	0.2764012785714927	0.9360047611382796	1.0	0.8356471231105183	0.9611530631348213	0.8343262733730648	0.8404193145259621	0.5252135845803227	0.6926727380620952	0.7109152480081904	0.7639979330635908	0.7554331343999149	0.9594888753641491	0.7172013736284613	0.9489756160914314	0.9561256133626885	0.8732816691340489	0.8077317376289505	0.6270685771090938	0.9573877433157888	0.9507537893258485	0.42743719919063417	0.7831433460467424	0.7970668431484029	0.7487960717155089	0.8748791926789555	0.8610292680129846	0.5852745978903708	0.732205660172719
CM_periimplantitis__SP_283SPI_T016__bin.13	0.8203456776435574	0.4046282068383679	0.7859334803540277	0.24594183039032086	0.8309557673284907	0.8382213383271864	1.0	0.8439236162240166	0.8161845184783532	0.8292500731927456	0.5199016705269704	0.5919437741124622	0.6144958015948223	0.7425531362008722	0.7638391457323865	0.8331188078504199	0.7027778595842652	0.8293030837965986	0.8408458829297194	0.853106577299335	0.7042961109965821	0.6180818130319466	0.8427598082609923	0.8415346743052752	0.3741471096228105	0.6821969257314511	0.8053409049568379	0.7468729807031008	0.8527930178451709	0.8388789469945932	0.5042555734759885	0.7628101163634725
BackhedF_2015__SID590_4M__bin.26	0.8272453756796503	0.4061532805353553	0.8722878074447846	0.27464212954842887	0.9160077038276286	0.9385717562298466	0.8215656579284664	1.0	0.8228301784967417	0.8310433222250705	0.5165261269040327	0.6936554729556524	0.6948582684601788	0.7458148383005707	0.7420023880516466	0.9660036562824647	0.6941529837153766	0.9533928547336041	0.9921592304267461	0.8655520177012642	0.7860346200029682	0.6194710533061698	0.9984555242245579	0.9869699402312497	0.4176800145711626	0.7986906191394919	0.7942062763933675	0.7355597080370755	0.8604676263845977	0.8423005572120509	0.5792566683306575	0.7225164937465427
BackhedF_2015__SID507_4M__bin.7	0.8579606049030799	0.45879839287199425	0.8405159502081774	0.26021254186915843	0.8698274891311308	0.8888895022216138	0.8668908520442747	0.8977329014489617	1.0	0.8679632029805027	0.5950403217200009	0.641814915319604	0.6579336673298021	0.7795152267208951	0.7765546696577676	0.8965751745974267	0.7285664132621181	0.8835281155401095	0.8960849990836809	0.9875023643976546	0.7507122632934349	0.6463280628425617	0.8950347281255497	0.8906051165197244	0.40496372627598354	0.728414797412521	0.8301494004917948	0.7727388814430296	0.978788133042172	0.8752146357870813	0.5446015557552567	0.7811392091099045
VatanenT_2016__G80312__bin.6	0.9389390875785347	0.4177748326077553	0.8147469767778034	0.25744324335735547	0.857218610532553	0.870587448113145	0.8563791893681908	0.8815868709663683	0.8439288488587486	1.0	0.5315403736175582	0.6255881046936381	0.6346507045448608	0.8487038170763168	0.8178724430483512	0.876800095034212	0.7867054436784537	0.8638216276540969	0.8809932649511608	0.8842156976051451	0.7309161391063278	0.7104039920093975	0.8802293415982565	0.8756629763384134	0.38068608546710064	0.7133917016097494	0.8630645026823193	0.8433073336999688	0.882302490032321	0.9640319123166271	0.5240252999964576	0.8003104355508102
