	BackhedF_2015__SID42_4M__bin.12	BackhedF_2015__SID179_4M__bin.24	BackhedF_2015__SID585_4M__bin.5	BackhedF_2015__SID263_4M__bin.13	KarlssonFH_2013__S312__bin.63	VatanenT_2016__G80150__bin.1	CM_periimplantitis__SP_283SPI_T016__bin.13	BackhedF_2015__SID590_4M__bin.26	BackhedF_2015__SID507_4M__bin.7	VatanenT_2016__G80312__bin.6	BackhedF_2015__SID397_4M__bin.5	BackhedF_2015__SID263_4M__bin.3	FengQ_2015__SID31446__bin.13	BackhedF_2015__SID201_4M__bin.12	BackhedF_2015__SID367_4M__bin.16	BackhedF_2015__SID103_B__bin.10	VatanenT_2016__G78875__bin.2	BackhedF_2015__SID180_4M__bin.1	BackhedF_2015__SID195_4M__bin.8	BackhedF_2015__SID507_B__bin.5	FengQ_2015__SID31868__bin.44	VatanenT_2016__G78847__bin.3	BackhedF_2015__SID521_4M__bin.19	BackhedF_2015__SID526_4M__bin.2	VatanenT_2016__G78558__bin.4	BackhedF_2015__SID582_4M__bin.4	BackhedF_2015__SID599_4M__bin.1	VatanenT_2016__G78701__bin.8	AsnicarF_2017__MV_FEI4_t2Q15__bin.2	BackhedF_2015__SID281_4M__bin.23	BackhedF_2015__SID587_B__bin.8	VatanenT_2016__G80565__bin.2
BackhedF_2015__SID42_4M__bin.12	2817005.0	1185116.0	2342459.0	753130.0	2434038.0	2513335.0	2423058.0	2517473.0	2388148.0	2637310.0	1500815.0	1775721.0	1825488.0	2407534.0	2293934.0	2515409.0	2212472.0	2478648.0	2507832.0	2511657.0	2096727.0	1954803.0	2510908.0	2483193.0	1099814.0	2034749.0	2415590.0	2290268.0	2503540.0	2717313.0	1493756.0	2237310.0
BackhedF_2015__SID179_4M__bin.24	1185116.0	1310536.0	1178012.0	378851.0	1196614.0	1216129.0	1192118.0	1227458.0	1254436.0	1194220.0	787218.0	850385.0	943704.0	1103822.0	1071261.0	1220766.0	1025800.0	1206644.0	1224017.0	1293424.0	1071439.0	897393.0	1231638.0	1217350.0	583125.0	1020403.0	1141871.0	1083297.0	1296105.0	1210078.0	823263.0	1073414.0
BackhedF_2015__SID585_4M__bin.5	2342459.0	1178012.0	2731122.0	691739.0	2535176.0	2622024.0	2325424.0	2605881.0	2334923.0	2335214.0	1498276.0	1911843.0	1953077.0	2155101.0	2074196.0	2597091.0	1996479.0	2566550.0	2610306.0	2434016.0	2203521.0	1747956.0	2611139.0	2589177.0	1167404.0	2159924.0	2211826.0	2068738.0	2433898.0	2383222.0	1700132.0	2042547.0
BackhedF_2015__SID263_4M__bin.13	753130.0	378851.0	691739.0	838185.0	757676.0	800592.0	725081.0	815806.0	719847.0	736151.0	14780.0	8648.0	377178.0	611387.0	717088.0	829604.0	563939.0	837715.0	809763.0	756346.0	663290.0	544086.0	810040.0	796149.0	232698.0	533895.0	751152.0	688771.0	753078.0	751543.0	385051.0	674721.0
KarlssonFH_2013__S312__bin.63	2434038.0	1196614.0	2535176.0	757676.0	2809899.0	2713108.0	2453600.0	2721940.0	2410984.0	2453897.0	1548996.0	1969789.0	2050917.0	2207948.0	2175099.0	2708713.0	2061978.0	2687561.0	2713445.0	2533604.0	2307974.0	1817623.0	2714373.0	2705187.0	1223089.0	2236142.0	2323176.0	2171941.0	2524127.0	2489129.0	1667228.0	2137775.0
VatanenT_2016__G80150__bin.1	2513335.0	1216129.0	2622024.0	800592.0	2713108.0	2895106.0	2475030.0	2787325.0	2463863.0	2492953.0	1556267.0	2010854.0	2062159.0	2263632.0	2238608.0	2783125.0	2120402.0	2752920.0	2773261.0	2584811.0	2343865.0	1858796.0	2776967.0	2757496.0	1245815.0	2273556.0	2364789.0	2209393.0	2589071.0	2552348.0	1706047.0	2171360.0
CM_periimplantitis__SP_283SPI_T016__bin.13	2423058.0	1192118.0	2325424.0	725081.0	2453600.0	2475030.0	2886215.0	2493242.0	2406290.0	2450898.0	1534605.0	1750607.0	1817057.0	2188916.0	2248474.0	2461129.0	2070684.0	2450720.0	2484229.0	2518053.0	2080576.0	1822035.0	2490042.0	2486316.0	1109557.0	2016366.0	2374876.0	2203406.0	2516643.0	2472828.0	1492476.0	2246471.0
BackhedF_2015__SID590_4M__bin.26	2517473.0	1227458.0	2605881.0	815806.0	2721940.0	2787325.0	2493242.0	2964760.0	2489357.0	2524332.0	1567482.0	2062767.0	2066407.0	2262751.0	2252363.0	2871546.0	2104659.0	2835425.0	2942292.0	2625175.0	2337328.0	1880140.0	2961270.0	2926880.0	1247384.0	2371123.0	2413321.0	2223252.0	2608936.0	2556922.0	1730950.0	2193511.0
BackhedF_2015__SID507_4M__bin.7	2388148.0	1254436.0	2334923.0	719847.0	2410984.0	2463863.0	2406290.0	2489357.0	2717394.0	2411309.0	1622734.0	1781635.0	1826751.0	2165590.0	2153554.0	2485975.0	2022135.0	2450414.0	2485028.0	2692479.0	2082324.0	1794717.0	2481919.0	2469475.0	1127489.0	2021350.0	2303217.0	2142496.0	2668975.0	2429902.0	1513332.0	2166258.0
VatanenT_2016__G80312__bin.6	2637310.0	1194220.0	2335214.0	736151.0	2453897.0	2492953.0	2450898.0	2524332.0	2411309.0	2794783.0	1521659.0	1793097.0	1818472.0	2385041.0	2297966.0	2511121.0	2209079.0	2474416.0	2523229.0	2531504.0	2093243.0	1989338.0	2520645.0	2507438.0	1094192.0	2043076.0	2447269.0	2366036.0	2525839.0	2703088.0	1501840.0	2268395.0
BackhedF_2015__SID397_4M__bin.5	1500815.0	787218.0	1498276.0	14780.0	1548996.0	1556267.0	1534605.0	1567482.0	1622734.0	1521659.0	1717284.0	1562926.0	1343494.0	1393289.0	1332146.0	1569439.0	1328906.0	1535727.0	1569016.0	1738147.0	1311261.0	1134343.0	1564312.0	1554392.0	821744.0	1379626.0	1390838.0	1324631.0	1725543.0	1511325.0	1041210.0	1330328.0
BackhedF_2015__SID263_4M__bin.3	1775721.0	850385.0	1911843.0	8648.0	1969789.0	2010854.0	1750607.0	2062767.0	1781635.0	1793097.0	1562926.0	2108809.0	1685736.0	1668613.0	1537755.0	2139365.0	1542351.0	2103033.0	2043027.0	1898862.0	1682803.0	1333893.0	2054264.0	2020338.0	1023881.0	1785523.0	1686575.0	1541396.0	1869794.0	1830213.0	1337953.0	1542326.0
FengQ_2015__SID31446__bin.13	1825488.0	943704.0	1953077.0	377178.0	2050917.0	2062159.0	1817057.0	2066407.0	1826751.0	1818472.0	1343494.0	1685736.0	2122210.0	1684281.0	1608347.0	2056650.0	1612229.0	2036548.0	2062355.0	1901209.0	1786878.0	1387735.0	2061138.0	2047829.0	987695.0	1780682.0	1701717.0	1608097.0	1890622.0	1860282.0	1370801.0	1583575.0
BackhedF_2015__SID201_4M__bin.12	2407534.0	1103822.0	2155101.0	611387.0	2207948.0	2263632.0	2188916.0	2262751.0	2165590.0	2385041.0	1393289.0	1668613.0	1684281.0	2525530.0	2060879.0	2256379.0	2044632.0	2237012.0	2257543.0	2254160.0	1905045.0	1798492.0	2268232.0	2237947.0	1016914.0	1891150.0	2169909.0	2096381.0	2269721.0	2462486.0	1429410.0	2038549.0
BackhedF_2015__SID367_4M__bin.16	2293934.0	1071261.0	2074196.0	717088.0	2175099.0	2238608.0	2248474.0	2252363.0	2153554.0	2297966.0	1332146.0	1537755.0	1608347.0	2060879.0	2406417.0	2245094.0	1932937.0	2224103.0	2235978.0	2251908.0	1862398.0	1729578.0	2239034.0	2210556.0	980577.0	1800982.0	2259325.0	2093172.0	2251725.0	2323308.0	1347206.0	2072497.0
BackhedF_2015__SID103_B__bin.10	2515409.0	1220766.0	2597091.0	829604.0	2708713.0	2783125.0	2461129.0	2871546.0	2485975.0	2511121.0	1569439.0	2139365.0	2056650.0	2256379.0	2245094.0	2926849.0	2101788.0	2879743.0	2830695.0	2640777.0	2334872.0	1860347.0	2852360.0	2815542.0	1253199.0	2302883.0	2420638.0	2207672.0	2599593.0	2555380.0	1718814.0	2200284.0
VatanenT_2016__G78875__bin.2	2212472.0	1025800.0	1996479.0	563939.0	2061978.0	2120402.0	2070684.0	2104659.0	2022135.0	2209079.0	1328906.0	1542351.0	1612229.0	2044632.0	1932937.0	2101788.0	2371166.0	2075366.0	2102267.0	2102671.0	1790638.0	1684657.0	2109468.0	2089413.0	979296.0	1736148.0	2004862.0	1938380.0	2105888.0	2268957.0	1316624.0	1892243.0
BackhedF_2015__SID180_4M__bin.1	2478648.0	1206644.0	2566550.0	837715.0	2687561.0	2752920.0	2450720.0	2835425.0	2450414.0	2474416.0	1535727.0	2103033.0	2036548.0	2237012.0	2224103.0	2879743.0	2075366.0	2966491.0	2826811.0	2604838.0	2296414.0	1849158.0	2854057.0	2810251.0	1239714.0	2319547.0	2388778.0	2184828.0	2579952.0	2532222.0	1698565.0	2178126.0
BackhedF_2015__SID195_4M__bin.8	2507832.0	1224017.0	2610306.0	809763.0	2713445.0	2773261.0	2484229.0	2942292.0	2485028.0	2523229.0	1569016.0	2043027.0	2062355.0	2257543.0	2235978.0	2830695.0	2102267.0	2826811.0	2949826.0	2618758.0	2332203.0	1876049.0	2944554.0	2917499.0	1242754.0	2365394.0	2399157.0	2217857.0	2602761.0	2553964.0	1728837.0	2189499.0
BackhedF_2015__SID507_B__bin.5	2511657.0	1293424.0	2434016.0	756346.0	2533604.0	2584811.0	2518053.0	2625175.0	2692479.0	2531504.0	1738147.0	1898862.0	1901209.0	2254160.0	2251908.0	2640777.0	2102671.0	2604838.0	2618758.0	2875625.0	2169206.0	1867350.0	2613027.0	2603704.0	1166616.0	2108706.0	2424878.0	2224457.0	2844734.0	2548807.0	1569440.0	2239983.0
FengQ_2015__SID31868__bin.44	2096727.0	1071439.0	2203521.0	663290.0	2307974.0	2343865.0	2080576.0	2337328.0	2082324.0	2093243.0	1311261.0	1682803.0	1786878.0	1905045.0	1862398.0	2334872.0	1790638.0	2296414.0	2332203.0	2169206.0	2384990.0	1566609.0	2331596.0	2307508.0	1055317.0	1924155.0	1984153.0	1863259.0	2161615.0	2131823.0	1488222.0	1835595.0
VatanenT_2016__G78847__bin.3	1954803.0	897393.0	1747956.0	544086.0	1817623.0	1858796.0	1822035.0	1880140.0	1794717.0	1989338.0	1134343.0	1333893.0	1387735.0	1798492.0	1729578.0	1860347.0	1684657.0	1849158.0	1876049.0	1867350.0	1566609.0	2084118.0	1877825.0	1870462.0	831531.0	1549120.0	1795112.0	1747538.0	1873262.0	2003159.0	1138466.0	1676527.0
BackhedF_2015__SID521_4M__bin.19	2510908.0	1231638.0	2611139.0	810040.0	2714373.0	2776967.0	2490042.0	2961270.0	2481919.0	2520645.0	1564312.0	2054264.0	2061138.0	2268232.0	2239034.0	2852360.0	2109468.0	2854057.0	2944554.0	2613027.0	2331596.0	1877825.0	2967651.0	2954799.0	1244064.0	2384746.0	2402773.0	2226853.0	2609525.0	2557960.0	1728122.0	2200420.0
BackhedF_2015__SID526_4M__bin.2	2483193.0	1217350.0	2589177.0	796149.0	2705187.0	2757496.0	2486316.0	2926880.0	2469475.0	2507438.0	1554392.0	2020338.0	2047829.0	2237947.0	2210556.0	2815542.0	2089413.0	2810251.0	2917499.0	2603704.0	2307508.0	1870462.0	2954799.0	2920892.0	1240643.0	2348357.0	2373826.0	2199931.0	2592708.0	2534487.0	1708604.0	2166697.0
VatanenT_2016__G78558__bin.4	1099814.0	583125.0	1167404.0	232698.0	1223089.0	1245815.0	1109557.0	1247384.0	1127489.0	1094192.0	821744.0	1023881.0	987695.0	1016914.0	980577.0	1253199.0	979296.0	1239714.0	1242754.0	1166616.0	1055317.0	831531.0	1244064.0	1240643.0	1858003.0	1062759.0	1027968.0	964009.0	1146279.0	1117437.0	823972.0	952404.0
BackhedF_2015__SID582_4M__bin.4	2034749.0	1020403.0	2159924.0	533895.0	2236142.0	2273556.0	2016366.0	2371123.0	2021350.0	2043076.0	1379626.0	1785523.0	1780682.0	1891150.0	1800982.0	2302883.0	1736148.0	2319547.0	2365394.0	2108706.0	1924155.0	1549120.0	2384746.0	2348357.0	1062759.0	2423179.0	1919181.0	1814525.0	2117451.0	2081590.0	1480818.0	1784720.0
BackhedF_2015__SID599_4M__bin.1	2415590.0	1141871.0	2211826.0	751152.0	2323176.0	2364789.0	2374876.0	2413321.0	2303217.0	2447269.0	1390838.0	1686575.0	1701717.0	2169909.0	2259325.0	2420638.0	2004862.0	2388778.0	2399157.0	2424878.0	1984153.0	1795112.0	2402773.0	2373826.0	1027968.0	1919181.0	2650292.0	2187319.0	2388836.0	2446507.0	1424676.0	2278793.0
VatanenT_2016__G78701__bin.8	2290268.0	1083297.0	2068738.0	688771.0	2171941.0	2209393.0	2203406.0	2223252.0	2142496.0	2366036.0	1324631.0	1541396.0	1608097.0	2096381.0	2093172.0	2207672.0	1938380.0	2184828.0	2217857.0	2224457.0	1863259.0	1747538.0	2226853.0	2199931.0	964009.0	1814525.0	2187319.0	2458010.0	2221005.0	2342338.0	1338465.0	2026770.0
AsnicarF_2017__MV_FEI4_t2Q15__bin.2	2503540.0	1296105.0	2433898.0	753078.0	2524127.0	2589071.0	2516643.0	2608936.0	2668975.0	2525839.0	1725543.0	1869794.0	1890622.0	2269721.0	2251725.0	2599593.0	2105888.0	2579952.0	2602761.0	2844734.0	2161615.0	1873262.0	2609525.0	2592708.0	1146279.0	2117451.0	2388836.0	2221005.0	2899068.0	2566575.0	1562548.0	2233372.0
BackhedF_2015__SID281_4M__bin.23	2717313.0	1210078.0	2383222.0	751543.0	2489129.0	2552348.0	2472828.0	2556922.0	2429902.0	2703088.0	1511325.0	1830213.0	1860282.0	2462486.0	2323308.0	2555380.0	2268957.0	2532222.0	2553964.0	2548807.0	2131823.0	2003159.0	2557960.0	2534487.0	1117437.0	2081590.0	2446507.0	2342338.0	2566575.0	2840679.0	1532421.0	2280252.0
BackhedF_2015__SID587_B__bin.8	1493756.0	823263.0	1700132.0	385051.0	1667228.0	1706047.0	1492476.0	1730950.0	1513332.0	1501840.0	1041210.0	1337953.0	1370801.0	1429410.0	1347206.0	1718814.0	1316624.0	1698565.0	1728837.0	1569440.0	1488222.0	1138466.0	1728122.0	1708604.0	823972.0	1480818.0	1424676.0	1338465.0	1562548.0	1532421.0	1796039.0	1309502.0
