	BackhedF_2015__SID42_4M__bin.12	BackhedF_2015__SID179_4M__bin.24	BackhedF_2015__SID585_4M__bin.5	BackhedF_2015__SID263_4M__bin.13	KarlssonFH_2013__S312__bin.63	VatanenT_2016__G80150__bin.1	CM_periimplantitis__SP_283SPI_T016__bin.13	BackhedF_2015__SID590_4M__bin.26	BackhedF_2015__SID507_4M__bin.7	VatanenT_2016__G80312__bin.6	BackhedF_2015__SID397_4M__bin.5	BackhedF_2015__SID263_4M__bin.3	FengQ_2015__SID31446__bin.13	BackhedF_2015__SID201_4M__bin.12	BackhedF_2015__SID367_4M__bin.16	BackhedF_2015__SID103_B__bin.10	VatanenT_2016__G78875__bin.2	BackhedF_2015__SID180_4M__bin.1	BackhedF_2015__SID195_4M__bin.8	BackhedF_2015__SID507_B__bin.5	FengQ_2015__SID31868__bin.44	VatanenT_2016__G78847__bin.3	BackhedF_2015__SID521_4M__bin.19	BackhedF_2015__SID526_4M__bin.2	VatanenT_2016__G78558__bin.4	BackhedF_2015__SID582_4M__bin.4	BackhedF_2015__SID599_4M__bin.1	VatanenT_2016__G78701__bin.8	AsnicarF_2017__MV_FEI4_t2Q15__bin.2	BackhedF_2015__SID281_4M__bin.23	BackhedF_2015__SID587_B__bin.8	VatanenT_2016__G80565__bin.2
BackhedF_2015__SID42_4M__bin.12	1.0	0.4207007087314364	0.831542365029526	0.26735131815527485	0.8640517144981993	0.8922011143040215	0.8601539578382005	0.8936700502839008	0.8477613635758545	0.9362106208544181	0.5327697323930912	0.6303577735928761	0.6480244089023626	0.8546431404985082	0.8143166235061705	0.892937357228688	0.7853986769636546	0.8798876821304896	0.8902476211437325	0.8916054462097156	0.7443107129735304	0.6939295457409553	0.8913395609876447	0.8815010977971285	0.390419612318757	0.7223093320743129	0.8575029153302888	0.8130152413644989	0.8887240171742684	0.9646106414436609	0.5302638795458297	0.7942158427123842
BackhedF_2015__SID179_4M__bin.24	0.904298699158207	1.0	0.8988780163230923	0.2890809561889181	0.9130722086230367	0.927963062441627	0.9096415512431555	0.936607617036083	0.9571930874085107	0.9112454751338384	0.6006839949455796	0.648883357649084	0.7200901005390161	0.8422675912756308	0.817422031901451	0.9315013093879145	0.7827331717709395	0.9207255657227272	0.9339819737878242	0.9869427470897404	0.817557854190957	0.6847526508237851	0.9397971516997625	0.9288947423039123	0.4449515312818572	0.7786150094312556	0.8713007502273878	0.8266060604210796	0.9889884749446028	0.9233458676449942	0.628188008570539	0.819064871167217
BackhedF_2015__SID585_4M__bin.5	0.8576910881315445	0.4313289556453355	1.0	0.25328015372436674	0.9282543950801172	0.9600537800947743	0.8514537248793719	0.9541430225379899	0.8549317826153501	0.8550383322312222	0.5485935816854758	0.7000210902332448	0.7151189144974117	0.7890899784044799	0.7594666221428409	0.9509245650688618	0.7310105517073203	0.9397419815006434	0.9557632357690355	0.8912146729439403	0.8068189557258885	0.6400138844035528	0.9560682386213432	0.9480268548969983	0.4274448376894185	0.790855919288849	0.8098598305018962	0.7574681760829431	0.8911714672577791	0.8726164558009492	0.6225031324122466	0.7478783445045663
BackhedF_2015__SID263_4M__bin.13	0.8985247886803033	0.4519897158741805	0.8252820081485591	1.0	0.9039484123433371	0.9551495194974856	0.8650608159296576	0.9733006436526542	0.8588163710875284	0.8782679241456242	0.01763333870207651	0.01031753133258171	0.44999373646629326	0.7294177299760792	0.8555247349928715	0.989762403288057	0.6728097019154483	0.9994392646014901	0.9660910180926645	0.9023616504709581	0.7913408137821603	0.6491240000715832	0.9664214940615735	0.9498487804005082	0.27762128885627874	0.636965586356234	0.8961649277904042	0.8217410237596712	0.8984627498702554	0.8966314119198029	0.45938665091835335	0.8049786145063441
KarlssonFH_2013__S312__bin.63	0.866236829152934	0.4258565877278863	0.9022302936867126	0.2696452790651906	1.0	0.9655535661602072	0.8731986452182089	0.9686967396337022	0.8580322637931114	0.8733043429674875	0.551263942227105	0.7010177234128344	0.729889935545726	0.785774862370498	0.7740844065925502	0.9639894530016915	0.7338263759658266	0.9564617802988649	0.965673499296594	0.9016708429733595	0.8213725831426681	0.6468641755450997	0.9660037602775047	0.9627346036281019	0.4352786345701394	0.7958086749737268	0.826782742013147	0.7729605227803562	0.8982981238827445	0.8858428719324075	0.5933408994415813	0.7608013668818702
VatanenT_2016__G80150__bin.1	0.8681322894567591	0.42006372132833825	0.9056746108778055	0.2765328799705434	0.9371359805133215	1.0	0.8549013403999716	0.9627713113094996	0.8510441413889509	0.8610921327232923	0.5375509566834513	0.6945700779176998	0.7122913634250352	0.7818822523251308	0.7732387000683222	0.9613205872254764	0.7324091069549785	0.9508874631878763	0.957913458090999	0.8928208500828639	0.809595572666424	0.6420476486871293	0.9591935493899014	0.9524680616184692	0.4303175773184125	0.7853101060893798	0.816822941888829	0.7631475324219562	0.894292298796659	0.8816077891448534	0.5892865408036874	0.7500105350201339
CM_periimplantitis__SP_283SPI_T016__bin.13	0.8395278937986256	0.41303852970066335	0.8057001990496203	0.2512221023035359	0.8501099190462249	0.8575348683310149	1.0	0.8638448625622138	0.833718208795949	0.8491737448526877	0.5317015537650521	0.6065407462715009	0.6295639791214446	0.7584036532274969	0.7790389835823042	0.8527185258201485	0.7174392760068117	0.8491120723854598	0.8607220875783682	0.8724412422497978	0.7208666021069117	0.6312887293566141	0.8627361440502527	0.8614451799328878	0.38443324561753023	0.6986194722153408	0.8228340577538402	0.763424069239471	0.8719527131554649	0.8567719314049715	0.5171049280805484	0.7783449950887235
BackhedF_2015__SID590_4M__bin.26	0.8491321388577827	0.41401597431158005	0.8789517532616468	0.27516763582886977	0.918097923609331	0.9401519853209028	0.8409591332856623	1.0	0.8396487405388632	0.851445648214358	0.5287045157112211	0.6957618829180102	0.6969896382843805	0.7632155722554271	0.7597117473252473	0.9685593437580108	0.7098918630850389	0.9563758955193675	0.9924216462715363	0.88545953129427	0.7883700535625143	0.6341626303646838	0.9988228389481779	0.9872232490994212	0.42073692305616645	0.7997689526302297	0.8140021451989369	0.7498927400531578	0.879982190801279	0.862438106288536	0.5838415251150177	0.7398612366599657
BackhedF_2015__SID507_4M__bin.7	0.8788375921931085	0.46163199006106587	0.8592508116231948	0.26490343321579424	0.887241231856698	0.906700684552921	0.8855138415702691	0.9160824672461925	1.0	0.8873608317380549	0.5971655196118045	0.6556410296040986	0.6722437011342485	0.7969363294391612	0.7925070858329708	0.9148378924808107	0.7441449418082178	0.9017514574625543	0.9144893968265183	0.9908312890953612	0.766294471835884	0.6604552008284408	0.9133452859614763	0.9087658985042287	0.4149155404037839	0.7438560620947864	0.8475830151976489	0.7884377458697561	0.982181825675629	0.8942030489505755	0.5569056235496215	0.797182153195304
VatanenT_2016__G80312__bin.6	0.9436546594136289	0.42730330047091314	0.8355618307396316	0.26340184551000917	0.8780277395418535	0.8920023486617744	0.8769546687524578	0.9032300539970366	0.8627893471514604	1.0	0.5444640961391278	0.6415872001511388	0.6506666170504114	0.8533904063392399	0.8222341412553318	0.8985030322568872	0.7904295252976707	0.8853696333489934	0.9028353900821638	0.9057962639675424	0.7489823002358322	0.7118041007119337	0.9019108102489531	0.8971852197469357	0.39151232850636347	0.7310320693950121	0.8756561779572869	0.846590236165026	0.9037692729632318	0.9671906548737416	0.5373726690050712	0.8116533555556907
