	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
BritoIL_2016__M2.41.ST__bin.43	2121455.0	1712553.0	1852062.0	1821574.0	1449007.0	1582400.0	1362819.0	991484.0	1416212.0	1762032.0	1726079.0	1634174.0	1470412.0	1700599.0	1580123.0	1682836.0	1684055.0	1803232.0	1524692.0	1334015.0	1784620.0	1789202.0	1768798.0	1834029.0	1962511.0	1593729.0	1787080.0	1762450.0
KarlssonFH_2013__S127__bin.13	1712553.0	2102733.0	1686379.0	1654803.0	1617553.0	1703866.0	1486110.0	1019830.0	1454394.0	2010449.0	1791128.0	1816139.0	1661073.0	1882054.0	1739212.0	1888299.0	1917977.0	2006013.0	1721633.0	1378331.0	1974935.0	1985434.0	1962953.0	2032543.0	1753854.0	1846715.0	2002883.0	1837599.0
QinJ_2012__DOM018__bin.3	1852062.0	1686379.0	2072809.0	1839467.0	1435202.0	1536016.0	1300832.0	972809.0	1382056.0	1749152.0	1658451.0	1618012.0	1447128.0	1667511.0	1549848.0	1653442.0	1672043.0	1768101.0	1517921.0	1281728.0	1753741.0	1751258.0	1731889.0	1768573.0	1851351.0	1587472.0	1745723.0	1696342.0
QinJ_2012__CON-006__bin.16	1821574.0	1654803.0	1839467.0	2030144.0	1394723.0	1528544.0	1306425.0	969658.0	1361914.0	1693493.0	1626019.0	1579422.0	1412650.0	1624367.0	1497141.0	1627353.0	1640540.0	1731879.0	1494995.0	1289624.0	1701012.0	1703732.0	1708289.0	1744853.0	1806202.0	1547991.0	1713813.0	1666345.0
CosteaPI_2017__SID713A087-11-90-0__bin.22	1449007.0	1617553.0	1435202.0	1394723.0	1849022.0	1434021.0	1290545.0	876103.0	1265801.0	1778391.0	1523237.0	1571177.0	1629505.0	1619978.0	1733572.0	1629122.0	1630221.0	1800524.0	1510243.0	1175555.0	1741105.0	1734120.0	1709832.0	1778309.0	1497443.0	1732789.0	1684643.0	1589800.0
CM_madagascar__A20_03_1FE__bin.11	1582400.0	1703866.0	1536016.0	1528544.0	1434021.0	1951991.0	1322599.0	946335.0	1359818.0	1762434.0	1650046.0	1628507.0	1455929.0	1668144.0	1550979.0	1690838.0	1670835.0	1811066.0	1536523.0	1297452.0	1762569.0	1765014.0	1769846.0	1801210.0	1610164.0	1596303.0	1762041.0	1697055.0
YuJ_2015__SZAXPI015274-111__bin.12	1362819.0	1486110.0	1300832.0	1306425.0	1290545.0	1322599.0	1665684.0	812730.0	1159639.0	1589498.0	1403589.0	1393969.0	1317278.0	1523583.0	1436054.0	1451685.0	1505208.0	1576622.0	1328161.0	1104927.0	1568238.0	1570422.0	1554489.0	1599856.0	1386016.0	1523200.0	1560750.0	1456859.0
CosteaPI_2017__SID713A077-11-90-0__bin.30	991484.0	1019830.0	972809.0	969658.0	876103.0	946335.0	812730.0	1127114.0	859061.0	1036268.0	1000037.0	996593.0	880931.0	1023129.0	933381.0	1015339.0	1011738.0	1063685.0	902867.0	841946.0	1045203.0	1042555.0	1055392.0	1059022.0	1001462.0	947621.0	1048763.0	1040445.0
CM_madagascar__V50_01_1FE__bin.1	1416212.0	1454394.0	1382056.0	1361914.0	1265801.0	1359818.0	1159639.0	859061.0	1779057.0	1510952.0	1570451.0	1407477.0	1281360.0	1439793.0	1360999.0	1445339.0	1454276.0	1538615.0	1321029.0	1260488.0	1503736.0	1513649.0	1496462.0	1546600.0	1434055.0	1386180.0	1517500.0	1614781.0
CosteaPI_2017__SID713A066-11-0-0__bin.3	1762032.0	2010449.0	1749152.0	1693493.0	1778391.0	1762434.0	1589498.0	1036268.0	1510952.0	2331131.0	1870305.0	1872745.0	1792494.0	2105246.0	1927098.0	1951769.0	2016828.0	2127811.0	1812518.0	1402050.0	2137090.0	2148630.0	2151478.0	2163280.0	1828155.0	2062568.0	2119400.0	1927036.0
CM_madagascar__A24_04_1FE__bin.4	1726079.0	1791128.0	1658451.0	1626019.0	1523237.0	1650046.0	1403589.0	1000037.0	1570451.0	1870305.0	2164622.0	1697651.0	1590635.0	1762830.0	1661582.0	1773445.0	1769638.0	1910051.0	1596023.0	1476937.0	1888580.0	1899151.0	1866817.0	1937936.0	1781216.0	1683805.0	1900787.0	2084670.0
QinJ_2012__T2D-009__bin.21	1634174.0	1816139.0	1618012.0	1579422.0	1571177.0	1628507.0	1393969.0	996593.0	1407477.0	1872745.0	1697651.0	2015302.0	1623737.0	1765323.0	1711884.0	1815613.0	1837558.0	1918855.0	1634172.0	1334557.0	1913228.0	1914876.0	1892357.0	1965529.0	1676672.0	1747794.0	1882035.0	1755240.0
CosteaPI_2017__SID713A005-11-0-0__bin.38	1470412.0	1661073.0	1447128.0	1412650.0	1629505.0	1455929.0	1317278.0	880931.0	1281360.0	1792494.0	1590635.0	1623737.0	1909415.0	1657275.0	1706264.0	1657591.0	1654064.0	1793387.0	1506948.0	1172006.0	1770005.0	1778630.0	1748235.0	1884834.0	1516471.0	1728545.0	1721292.0	1616443.0
CosteaPI_2017__SID713A066-11-90-0__bin.13	1700599.0	1882054.0	1667511.0	1624367.0	1619978.0	1668144.0	1523583.0	1023129.0	1439793.0	2105246.0	1762830.0	1765323.0	1657275.0	2138177.0	1795754.0	1834952.0	1902836.0	1987054.0	1682543.0	1369032.0	1998235.0	2000332.0	1996471.0	2008516.0	1739149.0	1858272.0	1962795.0	1819788.0
CosteaPI_2017__SID713B066-11-0-0__bin.40	1580123.0	1739212.0	1549848.0	1497141.0	1733572.0	1550979.0	1436054.0	933381.0	1360999.0	1927098.0	1661582.0	1711884.0	1706264.0	1795754.0	2049402.0	1727299.0	1768579.0	1905308.0	1625341.0	1263989.0	1891199.0	2005968.0	1855175.0	1913955.0	1638854.0	1879053.0	1819221.0	1731091.0
ZeeviD_2015__PNP_Main_431__bin.4	1682836.0	1888299.0	1653442.0	1627353.0	1629122.0	1690838.0	1451685.0	1015339.0	1445339.0	1951769.0	1773445.0	1815613.0	1657591.0	1834952.0	1727299.0	2068614.0	1876320.0	1987592.0	1700441.0	1363386.0	1959186.0	1968097.0	1935717.0	2002118.0	1729163.0	1781095.0	1953270.0	1815578.0
VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	1684055.0	1917977.0	1672043.0	1640540.0	1630221.0	1670835.0	1505208.0	1011738.0	1454276.0	2016828.0	1769638.0	1837558.0	1654064.0	1902836.0	1768579.0	1876320.0	2100654.0	1966257.0	1732846.0	1369304.0	1965425.0	1983342.0	1978475.0	2003379.0	1729628.0	1863357.0	1965733.0	1817179.0
CosteaPI_2017__SID713A087-11-0-0__bin.37	1803232.0	2006013.0	1768101.0	1731879.0	1800524.0	1811066.0	1576622.0	1063685.0	1538615.0	2127811.0	1910051.0	1918855.0	1793387.0	1987054.0	1905308.0	1987592.0	1966257.0	2290148.0	1792385.0	1437948.0	2123866.0	2161326.0	2105357.0	2224932.0	1862997.0	1934216.0	2097872.0	1948842.0
