	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
BritoIL_2016__M2.41.ST__bin.43	1.0	0.9725258137996313	0.9948138885199308	0.9948989170903845	0.9725515473700265	0.9743516177957533	0.9724512205949579	0.9745079093560763	0.9745504204172821	0.9720708818001035	0.9728714618508191	0.9728266390237514	0.9723580873931932	0.972045144093346	0.9719192746387465	0.9725724907239921	0.9726932908960811	0.9720740315167433	0.9732214768622122	0.9747124282710464	0.9720265378624021	0.9715180287077703	0.9728307019795364	0.9717049185154651	0.998567141789269	0.9722631639381601	0.9720258746110975	0.9729717155096599
KarlssonFH_2013__S127__bin.13	0.9725258137996313	1.0	0.9732248800536534	0.9735225280592312	0.9959271813659274	0.9951363546194361	0.9988338682870044	0.9828814606355961	0.9861529956806753	0.9988962664559011	0.9848581452581837	0.995354430470355	0.9953608300177055	0.9987518955354098	0.9953588176714512	0.9972250157416808	0.9983915344136035	0.9954616445656135	0.9988104317238343	0.9852285118741434	0.9970201550937119	0.995583333417278	0.9956229211804868	0.9953324480712094	0.9722793345398192	0.998788118361523	0.9988671330277406	0.984807349155066
QinJ_2012__DOM018__bin.3	0.9948138885199308	0.9732248800536534	1.0	0.9986496088269048	0.9735354326429311	0.9743069082613722	0.9726628803719466	0.9739301342812412	0.9741508303570912	0.9728228307202575	0.9722530240567855	0.973084254010477	0.9727570747024451	0.9725477073314659	0.9729973519983895	0.9731426926375404	0.9729498583469445	0.9730875102723204	0.973647508664812	0.9734725308333749	0.9725649340467036	0.9729365975772845	0.9728787468480947	0.9727774878390657	0.9951462472540323	0.9730943285928823	0.9728158476459323	0.9725585996220102
QinJ_2012__CON-006__bin.16	0.9948989170903845	0.9735225280592312	0.9986496088269048	1.0	0.9739123826021368	0.9749133816232964	0.9732950609487724	0.9744291286206065	0.9744367118628636	0.9732039045924606	0.9730827253556078	0.9737163342032719	0.9735412168619262	0.9730682782893275	0.9735008259075131	0.9735613600736902	0.9733234178989845	0.9736373037608286	0.9738219860267091	0.9737714248494135	0.9732382840332696	0.9734529843895636	0.97332652730305	0.973448193056951	0.9950409754833623	0.9732343405097317	0.9732082788495594	0.9734250710387105
CosteaPI_2017__SID713A087-11-90-0__bin.22	0.9725515473700265	0.9959271813659274	0.9735354326429311	0.9739123826021368	1.0	0.9943668886299434	0.994610803962667	0.9827919776555953	0.9856454529582455	0.9957017326335997	0.9839716340923966	0.9983770129017927	0.9991580265172553	0.9959647600152595	0.9990355174172172	0.9959217296187762	0.9954687125242528	0.9996839808855644	0.995781473577431	0.9847518831530638	0.9964505299795245	0.9988553271976565	0.993957885920956	0.9991109531583093	0.9721698922763671	0.995892748626636	0.9956234050775149	0.9839652786514027
CM_madagascar__A20_03_1FE__bin.11	0.9743516177957533	0.9951363546194361	0.9743069082613722	0.9749133816232964	0.9943668886299434	1.0	0.9949674844756423	0.9840584993686168	0.989239001101618	0.9953150018667366	0.9884863815917859	0.9938151939168821	0.9939475070556325	0.9952785850622009	0.9937865051686708	0.9952094760113033	0.9948409029018425	0.9938169012062509	0.995027734697105	0.9885298261515647	0.9951582037355701	0.9937705876553954	0.9957934193144489	0.9938385862836648	0.973839310778281	0.9953555183445749	0.9951266741239279	0.988726352416392
YuJ_2015__SZAXPI015274-111__bin.12	0.9724512205949579	0.9988338682870044	0.9726628803719466	0.9732950609487724	0.994610803962667	0.9949674844756423	1.0	0.9815289210438891	0.9856162133215596	0.9991324304906329	0.9836027498078141	0.9944525308668988	0.9943094775742098	0.9989728160526863	0.994457729305444	0.997140564240865	0.9986194599018873	0.9948624337349092	0.9986372134101212	0.9843944441578494	0.996786202094325	0.994800123788383	0.9950485336338822	0.9948489114020261	0.971830051023942	0.9989633665966386	0.9991933365369213	0.9835893521610534
CosteaPI_2017__SID713A077-11-90-0__bin.30	0.9745079093560763	0.9828814606355961	0.9739301342812412	0.9744291286206065	0.9827919776555953	0.9840584993686168	0.9815289210438891	1.0	0.9849987369930657	0.982128175336882	0.9839335944570051	0.982202363452282	0.9816149051401302	0.9819641511480957	0.9821530543261541	0.9819065356496697	0.9825152361579776	0.9821986772399723	0.9825511398688843	0.9842507714271461	0.98217571132115	0.9820546637827261	0.9825467693520512	0.9818577895454486	0.9740129930042278	0.9827314928647635	0.9821484930341745	0.9842279024840332
CM_madagascar__V50_01_1FE__bin.1	0.9745504204172821	0.9861529956806753	0.9741508303570912	0.9744367118628636	0.9856454529582455	0.989239001101618	0.9856162133215596	0.9849987369930657	1.0	0.9858274783050686	0.9992740938749443	0.985106683803714	0.9850221639508022	0.9855284752738762	0.9849000623806483	0.9857659690909883	0.9859620869766124	0.9849825979858509	0.9862985596833983	0.9987496905960231	0.98604808290817	0.9849317774464226	0.9869926533383407	0.9849915944652787	0.9741028063777192	0.9861035363372722	0.9860072487644151	0.9995330636166762
CosteaPI_2017__SID713A066-11-0-0__bin.3	0.9720708818001035	0.9988962664559011	0.9728228307202575	0.9732039045924606	0.9957017326335997	0.9953150018667366	0.9991324304906329	0.982128175336882	0.9858274783050686	1.0	0.983915457639262	0.9950794155103871	0.9952133730991568	0.9997615480566167	0.9951647503136841	0.9974085047974427	0.9986989470594418	0.9954032571501886	0.9991233190511764	0.9847316429513926	0.9971255305111156	0.995411960179277	0.9956597278707939	0.9952511926334086	0.9713831704642112	0.9991985718773878	0.9991072945173162	0.9838373543618282
