	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
BritoIL_2016__M2.41.ST__bin.43	1.0	0.8072539837045801	0.8730149826416304	0.8586437138661909	0.6830250936267798	0.7459031655161198	0.6423982596849803	0.4673603729515828	0.6675663636513619	0.830577127490331	0.8136297965311543	0.7703081140066605	0.6931148669191664	0.801619171747692	0.7448298455541126	0.7932461447449981	0.7938207503812242	0.8499977609706546	0.7187010801548936	0.6288207857343191	0.8412245369333783	0.8433843753461657	0.8337664480274152	0.8645146844971965	0.9250778357306659	0.7512433683486098	0.8423841184470092	0.8307741620727284
KarlssonFH_2013__S127__bin.13	0.8144414911450955	1.0	0.801993881296389	0.7869772339141489	0.7692621935357461	0.8103102010573858	0.7067516417918965	0.48500213769413425	0.6916684143921268	0.9561123547307242	0.8518095259835652	0.8637040461152224	0.7899590675563659	0.8950513450828042	0.8271197531973864	0.8980212894361767	0.9121353020093373	0.9540027193181445	0.8187596808534416	0.655495015296759	0.9392229065696881	0.944215932312852	0.9335246082122647	0.9666196326399976	0.8340830718878717	0.87824512194368	0.952514180354805	0.8739098116593975
QinJ_2012__DOM018__bin.3	0.8935034535261088	0.8135718245144632	1.0	0.8874271580256551	0.6923947165416592	0.7410311321496578	0.6275696410040674	0.4693191702660496	0.6667551134716223	0.843855849718908	0.8000983206846362	0.7805890460722623	0.698148261610211	0.8044692009731722	0.7477042023650032	0.797681793160875	0.8066556059916761	0.8529975506667522	0.7323014325005343	0.6183531623029426	0.8460697536531344	0.8448718622892896	0.8355275377519106	0.8532252609864199	0.8931604407352535	0.7658554164903761	0.8422015728414919	0.818378345520499
QinJ_2012__CON-006__bin.16	0.8972634453516598	0.8151160705841556	0.906077105860471	1.0	0.6870069315280098	0.7529239305192144	0.6435134650546956	0.4776301582547839	0.6708460089530595	0.8341738320040352	0.8009377659909839	0.7779852069606885	0.6958373396172882	0.8001240306106365	0.7374555696541724	0.8015948622363733	0.8080904605781659	0.8530818503515022	0.7363985017811544	0.6352376974244192	0.8378775101667665	0.8392173166041423	0.841461984962643	0.8594725300274266	0.8896915686769017	0.7625030539705557	0.8441829742126666	0.8208013815768733
CosteaPI_2017__SID713A087-11-90-0__bin.22	0.7836613085187737	0.8748154429747186	0.7761951994081195	0.7543030856312147	1.0	0.7755564833733725	0.6979608679615494	0.4738196733191925	0.6845786583393816	0.9618008871717049	0.8238068557323818	0.8497340756356604	0.8812794006777637	0.8761269471104184	0.9375615866117332	0.8810722641482903	0.881666632414325	0.9737709989388985	0.8167793568708215	0.6357712347392297	0.9416356322423421	0.9378579595050789	0.9247223667430674	0.9617565394029925	0.809856778340117	0.9371381195031752	0.9110994893516681	0.8598058865713875
CM_madagascar__A20_03_1FE__bin.11	0.8106594753766795	0.8728861967088988	0.786897070734445	0.7830691842329192	0.73464529293424	1.0	0.6775640871295001	0.4848050016624052	0.6966312856975263	0.9028904334087606	0.8453143482731221	0.8342799736269276	0.7458687053372685	0.8545859074145321	0.7945625773889327	0.8662119856085402	0.855964499836321	0.9278044827050944	0.7871568055385502	0.6646813433053739	0.9029595935636998	0.904212160814266	0.9066875820636469	0.922755279097086	0.8248829016117389	0.8177819467405332	0.9026891005132708	0.8693969388178532
YuJ_2015__SZAXPI015274-111__bin.12	0.818173795269691	0.892192036424676	0.7809596538118875	0.7843174335588263	0.7747838125358711	0.7940275586485792	1.0	0.4879256809815067	0.6961938759092361	0.9542614325406259	0.8426502265735878	0.8368748213946943	0.7908330751811268	0.9146891006937691	0.8621407181674315	0.8715248510521804	0.9036575965189075	0.9465312748396455	0.7973667274224883	0.6633473095737247	0.9414979071660651	0.9428090802337058	0.9332436404504095	0.96047989894842	0.8321002062816236	0.9144591651237569	0.93700245664844	0.8746310824862339
CosteaPI_2017__SID713A077-11-90-0__bin.30	0.8796661207295802	0.9048153070585584	0.863097255468391	0.8603016198893813	0.7772975936773032	0.8396089481631849	0.7210716928367494	1.0	0.7621775614534111	0.9193994573752078	0.8872545279359497	0.8841989363986251	0.7815811000484423	0.9077422514492767	0.8281158782518894	0.9008307944005663	0.8976359090562268	0.9437244147442051	0.8010431952757219	0.7469927620453655	0.9273267832712574	0.9249774202077163	0.9363666851800262	0.9395872999536871	0.8885188188594942	0.8407499152703276	0.930485292525867	0.9231053824191696
CM_madagascar__V50_01_1FE__bin.1	0.7960464448300419	0.8175083766287421	0.7768475096638275	0.7655257813549537	0.7115010929947719	0.7643476291091291	0.6518279065819701	0.48287435422248975	1.0	0.8492993760177442	0.882743498381446	0.7911365403132109	0.7202467374569786	0.809301219691106	0.7650114639384797	0.8124186015400293	0.8174420493553607	0.8648486248613731	0.7425445053193911	0.7085146794059999	0.8452432946218137	0.850815347681384	0.8411546116847296	0.8693369577253568	0.8060759154990537	0.7791655916589519	0.8529799775948719	0.9076611935424216
CosteaPI_2017__SID713A066-11-0-0__bin.3	0.7558700047316088	0.8624350154495822	0.7503447897179524	0.7264683966709722	0.7628876283658018	0.7560424532126251	0.6818570041752265	0.4445344341437697	0.6481626300709827	1.0	0.8023165579283189	0.8033632601514029	0.7689374814199631	0.9031006837453579	0.8266794101232406	0.8372626849370541	0.8651714554008333	0.9127805344272801	0.7775273032703868	0.6014462507684039	0.9167610057092459	0.9217113924528479	0.9229331170148739	0.9279958955545613	0.7842352060008639	0.8847928323204487	0.9091724145918869	0.8266528135913426
