	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
BritoIL_2016__M2.41.ST__bin.43	0.0	47051.0	9605.0	9292.0	39773.0	40586.0	37544.0	25275.0	36042.0	49212.0	46826.0	44406.0	40645.0	47540.0	44371.0	46156.0	45986.0	50357.0	40829.0	33734.0	49922.0	50960.0	48057.0	51894.0	2812.0	44205.0	49992.0	47636.0
KarlssonFH_2013__S127__bin.13	47051.0	0.0	45153.0	43815.0	6588.0	8287.0	1733.0	17458.0	20139.0	2219.0	27121.0	8437.0	7706.0	2349.0	8072.0	5240.0	3085.0	9104.0	2048.0	20360.0	5885.0	8769.0	8592.0	9487.0	48618.0	2238.0	2269.0	27918.0
QinJ_2012__DOM018__bin.3	9605.0	45153.0	0.0	2484.0	37982.0	39465.0	35561.0	25361.0	35725.0	47537.0	46017.0	43550.0	39424.0	45777.0	41850.0	44407.0	45229.0	47584.0	40001.0	34001.0	48114.0	47395.0	46971.0	48145.0	8986.0	42712.0	47456.0	46550.0
QinJ_2012__CON-006__bin.16	9292.0	43815.0	2484.0	0.0	36385.0	38346.0	34888.0	24795.0	34815.0	45379.0	43768.0	41513.0	37377.0	43747.0	39673.0	43025.0	43764.0	45657.0	39136.0	33825.0	45522.0	45229.0	45566.0	46329.0	8957.0	41433.0	45916.0	44283.0
CosteaPI_2017__SID713A087-11-90-0__bin.22	39773.0	6588.0	37982.0	36385.0	0.0	8078.0	6955.0	15076.0	18170.0	7644.0	24415.0	2550.0	1372.0	6537.0	1672.0	6644.0	7387.0	569.0	6371.0	17925.0	6180.0	1985.0	10331.0	1581.0	41674.0	7117.0	7373.0	25492.0
CM_madagascar__A20_03_1FE__bin.11	40586.0	8287.0	39465.0	38346.0	8078.0	0.0	6656.0	15086.0	14633.0	8257.0	18998.0	10072.0	8812.0	7876.0	9637.0	8100.0	8620.0	11198.0	7640.0	14882.0	8534.0	10995.0	7445.0	11098.0	42123.0	7414.0	8587.0	19132.0
YuJ_2015__SZAXPI015274-111__bin.12	37544.0	1733.0	35561.0	34888.0	6955.0	6656.0	0.0	15012.0	16680.0	1379.0	23015.0	7733.0	7496.0	1565.0	7959.0	4151.0	2078.0	8100.0	1810.0	17243.0	5040.0	8166.0	7697.0	8241.0	39044.0	1579.0	1259.0	23908.0
CosteaPI_2017__SID713A077-11-90-0__bin.30	25275.0	17458.0	25361.0	24795.0	15076.0	15086.0	15012.0	0.0	12887.0	18520.0	16067.0	17737.0	16196.0	18453.0	16658.0	18371.0	17690.0	18935.0	15754.0	13260.0	18630.0	18709.0	18420.0	19213.0	26025.0	16364.0	18722.0	16410.0
CM_madagascar__V50_01_1FE__bin.1	36042.0	20139.0	35725.0	34815.0	18170.0	14633.0	16680.0	12887.0	0.0	21414.0	1140.0	20962.0	19192.0	20836.0	20551.0	20573.0	20415.0	23106.0	18100.0	1576.0	20980.0	22808.0	19465.0	23212.0	37138.0	19263.0	21234.0	754.0
CosteaPI_2017__SID713A066-11-0-0__bin.3	49212.0	2219.0	47537.0	45379.0	7644.0	8257.0	1379.0	18520.0	21414.0	0.0	30083.0	9215.0	8580.0	502.0	9318.0	5058.0	2624.0	9781.0	1589.0	21407.0	6143.0	9858.0	9338.0	10273.0	52316.0	1653.0	1892.0	31146.0
