	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
BritoIL_2016__M2.41.ST__bin.43	1.0	0.7850753374452911	0.8684874296178802	0.8542637010919393	0.6642771116992818	0.7267719560396049	0.6247009717387358	0.4554463799609231	0.650577080352871	0.807379840722523	0.7915572095566485	0.7493762535618244	0.6739558463413082	0.779210023309474	0.7239144832202427	0.7714893787518472	0.7721441180699096	0.8262607502869493	0.6994553266508127	0.6129194350104056	0.8176925742002541	0.8193631257792411	0.8111135989214949	0.8400531710547714	0.923752330358174	0.7304062541981801	0.8188191594919525	0.8083197616730027
KarlssonFH_2013__S127__bin.13	0.7920653739680692	1.0	0.7805203989284422	0.7661400662851632	0.7661291281394261	0.8063691395911893	0.7059274762891913	0.4766996095081972	0.6820908788704986	0.9550570614528805	0.8389115498734266	0.8596916489159585	0.7862943131629171	0.8939342275029688	0.8232809396152531	0.8955292944943557	0.910668163765918	0.9496731158925075	0.8177857103112949	0.6458123784617448	0.9364241679756773	0.940045645357732	0.9294384974221644	0.9621078853092618	0.8109617340860681	0.8771807928063144	0.9514351084992723	0.8606328050208942
QinJ_2012__DOM018__bin.3	0.8888696450082956	0.7917883413281204	1.0	0.8862287842246923	0.6740707899280638	0.7219917512901574	0.6104136946530047	0.4570840825179744	0.6495200474332175	0.8209222364433963	0.7778980118283932	0.7595789095859773	0.6791286606725463	0.782384677025235	0.7275142089792161	0.7762582080645154	0.7848354575843699	0.8300412628466974	0.7130034653458182	0.6019498178558661	0.8228577741605715	0.8220067550845254	0.8128669838851529	0.8299983259432008	0.888825260793445	0.7452495623089248	0.8193070369725334	0.7959208976803941
QinJ_2012__CON-006__bin.16	0.8926864301251537	0.7935338576967939	0.9048535473345733	1.0	0.6690845575486271	0.7340356152075912	0.6263284771917657	0.46541673891113144	0.6536969791305445	0.8118212304151823	0.7793787041707386	0.7575369037861354	0.6774263303489801	0.7785753128842092	0.7179136061284324	0.780401784306926	0.7865333690615051	0.8305923126635353	0.7171210515116169	0.6185763177390372	0.8154544702247722	0.8169386013997036	0.8190172716812206	0.8366519813372845	0.8852795663755871	0.7420941568676902	0.8215658593676113	0.7989886431701396
CosteaPI_2017__SID713A087-11-90-0__bin.22	0.762151018213953	0.8712524783371967	0.7556535292711498	0.73462511533124	1.0	0.7711876873287608	0.6941994200177175	0.46566617379349734	0.6747518417844677	0.9576668098053999	0.8106025780115109	0.8483549681939966	0.8805373867915038	0.8725915646217298	0.9366573247911599	0.8774790132296966	0.8776715474450818	0.9734632686901508	0.813333751572453	0.626076920664005	0.9382933247954865	0.936784419006372	0.9191350887117622	0.9609014927891609	0.7873183769581973	0.933289057674814	0.9071119759526928	0.8460191387663316
CM_madagascar__A20_03_1FE__bin.11	0.7898673713147243	0.8686407877905176	0.7666792521072074	0.7634246264455113	0.7305069541816536	1.0	0.6741542353422737	0.4770764824223062	0.6891348371995568	0.8986603934136992	0.8355817214321172	0.8291201137710164	0.7413543402607902	0.8505510527456326	0.7896255669211589	0.8620623763121859	0.8515484958690895	0.9220677759272455	0.7832428530664332	0.6570573327438497	0.898587647176652	0.898579450417548	0.9028735275931089	0.9170698020636365	0.8033033963783645	0.813983773490759	0.8982900023616912	0.8595956641193531
YuJ_2015__SZAXPI015274-111__bin.12	0.7956341058688202	0.8911516229969191	0.7596104663309488	0.7633722842988226	0.770608350683563	0.7900316026329124	1.0	0.4789131672033831	0.6861799717113211	0.9534335444177887	0.8288330799839586	0.8322322841547376	0.786332821831752	0.9137495467327537	0.8573625009305487	0.8690327817281069	0.902410060971949	0.941668407693176	0.7962800867391414	0.6529954060914316	0.9384721231638173	0.937906589725302	0.928622715953326	0.9555323818923637	0.8086599859277029	0.9135112062071797	0.9362466110018467	0.8602778198025556
CosteaPI_2017__SID713A077-11-90-0__bin.30	0.857241592243553	0.8893261906071612	0.8405964259161008	0.838302957819706	0.7639218393170523	0.8262243215859265	0.7077527206653453	1.0	0.7507439353960647	0.9029681114776322	0.8729995368702723	0.8684622850927235	0.7672116573833703	0.8913703494056502	0.8133365391610787	0.8845316445364	0.8819409571702597	0.9269248718408253	0.7870659046023738	0.7352282022936456	0.9107978429866012	0.9083783894087022	0.9200240614525239	0.9225411094175036	0.8654288740979174	0.8262314193595325	0.9138747278447433	0.9085460743101407
CM_madagascar__V50_01_1FE__bin.1	0.7757873974808002	0.8061883346064798	0.756766646599856	0.7459564252297706	0.7012878170851187	0.7561224851143049	0.6424521530226407	0.47563062903549463	1.0	0.8372626621856409	0.8821027094691177	0.7793538936638905	0.7094589999083785	0.7975893970794641	0.7534598385549198	0.8008546100546525	0.8059668689648504	0.8518608453804458	0.7323705760973369	0.7076288168394829	0.8334505302528249	0.8379950726705215	0.830213422054493	0.8562895961174938	0.7852008114411174	0.7683379453272156	0.8410444409594521	0.9072373735074255
CosteaPI_2017__SID713A066-11-0-0__bin.3	0.7347592220257033	0.8614831169934251	0.7299525423496148	0.7070018802032146	0.7596085333685666	0.7525003957306561	0.6812654458286558	0.4365897926800339	0.638976531134458	1.0	0.7894116632655994	0.7994102433539771	0.7652568645863317	0.902885337632248	0.8226822087647584	0.8350929227057595	0.864045821534697	0.9085847170322046	0.7768456598964194	0.5922631546661256	0.9141258041697358	0.9174825438810602	0.918927336129973	0.9235890218095851	0.761792880794773	0.8840837344619414	0.9083607913926759	0.813291917099468
