	NielsenHB_2014__V1_CD29_0__bin.31	XieH_2016__YSZC12003_36005__bin.30	LiJ_2014__MH0271__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	NielsenHB_2014__V1_UC15_3__bin.6	ZellerG_2014__CCIS70398272ST-4-0__bin.61	ZeeviD_2015__PNP_Main_759__bin.12	YuJ_2015__SZAXPI015268-109__bin.32	YuJ_2015__SZAXPI015253-44__bin.3	YuJ_2015__SZAXPI017588-123__bin.39	XieH_2016__YSZC12003_37322__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	LeChatelierE_2013__MH0136__bin.24	NielsenHB_2014__MH0111__bin.16	NielsenHB_2014__V1_UC1_0__bin.3	ZeeviD_2015__PNP_Main_565__bin.34	ZeeviD_2015__PNP_Main_59__bin.13	NielsenHB_2014__MH0136__bin.7	LeChatelierE_2013__MH0111__bin.11	XieH_2016__YSZC12003_35506__bin.79	BackhedF_2015__SID128_12M__bin.24	VatanenT_2016__G78545__bin.5	VogtmannE_2016__MMRS81135225ST-27-0-0__bin.12	HMP_2012__SRS045645__bin.35	ZeeviD_2015__PNP_Main_555__bin.28	QinJ_2012__CON-083__bin.1	LiJ_2014__MH0399__bin.87	ZeeviD_2015__PNP_Main_599__bin.21	HeQ_2017__SZAXPI029573-88__bin.45	LeChatelierE_2013__MH0229__bin.57	ZeeviD_2015__PNP_Main_467__bin.22	ZeeviD_2015__PNP_Main_409__bin.35	LeChatelierE_2013__MH0431__bin.12	ZeeviD_2015__PNP_Main_662__bin.2	FengQ_2015__SID31428__bin.21	XieH_2016__YSZC12003_36674__bin.4
NielsenHB_2014__V1_CD29_0__bin.31	0.0	14157.0	12938.0	18388.0	12024.0	12001.0	2312.0	17419.0	20133.0	20360.0	15441.0	19815.0	2606.0	15240.0	8055.0	16210.0	12151.0	3022.0	14891.0	15460.0	14576.0	14386.0	18685.0	14239.0	12067.0	19854.0	14355.0	17010.0	14496.0	14526.0	3949.0	10857.0	13198.0	13923.0	14888.0	23240.0
XieH_2016__YSZC12003_36005__bin.30	14157.0	0.0	15635.0	20496.0	15265.0	12311.0	11301.0	18601.0	21518.0	21988.0	17957.0	21203.0	14932.0	15659.0	10164.0	18426.0	11487.0	15083.0	15295.0	18149.0	16395.0	15512.0	20656.0	16268.0	12694.0	21151.0	17120.0	17895.0	15370.0	17397.0	10206.0	11243.0	14973.0	13894.0	15944.0	19532.0
LiJ_2014__MH0271__bin.47	12938.0	15635.0	0.0	17895.0	11740.0	13841.0	10769.0	17546.0	19069.0	20253.0	15892.0	20545.0	13592.0	15909.0	10123.0	16509.0	12242.0	13761.0	16532.0	14702.0	11311.0	12548.0	20308.0	13961.0	12930.0	18978.0	14857.0	14192.0	14877.0	10208.0	10456.0	9331.0	11858.0	13580.0	16528.0	19227.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	18388.0	20496.0	17895.0	0.0	16644.0	16994.0	16605.0	9909.0	12387.0	13097.0	16807.0	18263.0	19896.0	17026.0	13376.0	19624.0	16125.0	19803.0	17665.0	18214.0	17439.0	15474.0	18421.0	18234.0	17886.0	10182.0	19728.0	19028.0	16173.0	16402.0	13564.0	14778.0	17408.0	18370.0	17760.0	17789.0
NielsenHB_2014__V1_UC15_3__bin.6	12024.0	15265.0	11740.0	16644.0	0.0	11886.0	11070.0	15261.0	19677.0	17901.0	14773.0	18591.0	12801.0	14322.0	9766.0	14761.0	10468.0	12871.0	14347.0	13289.0	12768.0	11615.0	16996.0	12978.0	12488.0	16984.0	14674.0	14131.0	14876.0	13104.0	9882.0	10365.0	13595.0	12957.0	15382.0	16494.0
ZellerG_2014__CCIS70398272ST-4-0__bin.61	12001.0	12311.0	13841.0	16994.0	11886.0	0.0	10975.0	15911.0	17790.0	18848.0	15376.0	18643.0	12442.0	10043.0	10332.0	16440.0	11258.0	12582.0	9232.0	16712.0	15381.0	13539.0	18409.0	13476.0	11889.0	18658.0	15009.0	15460.0	13929.0	13711.0	9538.0	9297.0	14864.0	12629.0	15608.0	17376.0
ZeeviD_2015__PNP_Main_759__bin.12	2312.0	11301.0	10769.0	16605.0	11070.0	10975.0	0.0	14416.0	17218.0	17621.0	13766.0	17068.0	1983.0	13790.0	7726.0	14345.0	10320.0	2236.0	13200.0	14345.0	11727.0	12827.0	17613.0	11953.0	10464.0	16874.0	12855.0	13738.0	12179.0	11932.0	3540.0	8332.0	12349.0	11470.0	12758.0	21380.0
YuJ_2015__SZAXPI015268-109__bin.32	17419.0	18601.0	17546.0	9909.0	15261.0	15911.0	14416.0	0.0	10388.0	11431.0	15919.0	16414.0	17076.0	17247.0	12978.0	18415.0	14734.0	17222.0	17190.0	18125.0	17868.0	16127.0	18963.0	16769.0	16851.0	10182.0	17277.0	18167.0	13442.0	16902.0	12488.0	14556.0	15972.0	17851.0	17207.0	18705.0
YuJ_2015__SZAXPI015253-44__bin.3	20133.0	21518.0	19069.0	12387.0	19677.0	17790.0	17218.0	10388.0	0.0	14303.0	18204.0	21606.0	20916.0	19748.0	14228.0	24660.0	17733.0	21176.0	20176.0	22729.0	21344.0	18615.0	21453.0	20495.0	19867.0	10809.0	24336.0	21009.0	15781.0	20004.0	15361.0	15863.0	20367.0	19644.0	19911.0	20870.0
YuJ_2015__SZAXPI017588-123__bin.39	20360.0	21988.0	20253.0	13097.0	17901.0	18848.0	17621.0	11431.0	14303.0	0.0	17880.0	19153.0	21385.0	21033.0	15743.0	22185.0	18087.0	21565.0	21165.0	20983.0	18839.0	17823.0	22607.0	19860.0	20492.0	11812.0	20909.0	21408.0	16675.0	19480.0	15366.0	15564.0	20483.0	21305.0	19080.0	19887.0
XieH_2016__YSZC12003_37322__bin.37	15441.0	17957.0	15892.0	16807.0	14773.0	15376.0	13766.0	15919.0	18204.0	17880.0	0.0	19373.0	16231.0	17375.0	12186.0	18899.0	13222.0	16320.0	18143.0	16965.0	15107.0	12708.0	19600.0	15156.0	15886.0	16703.0	17522.0	18073.0	15168.0	15563.0	11554.0	11443.0	15775.0	15900.0	18669.0	17705.0
Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	19815.0	21203.0	20545.0	18263.0	18591.0	18643.0	17068.0	16414.0	21606.0	19153.0	19373.0	0.0	21147.0	20961.0	16246.0	23458.0	16677.0	21243.0	21041.0	20732.0	19981.0	17941.0	20995.0	18323.0	18972.0	15883.0	22397.0	21456.0	18284.0	19130.0	14153.0	15476.0	19976.0	19710.0	22005.0	19332.0
LeChatelierE_2013__MH0136__bin.24	2606.0	14932.0	13592.0	19896.0	12801.0	12442.0	1983.0	17076.0	20916.0	21385.0	16231.0	21147.0	0.0	15365.0	8981.0	17775.0	12298.0	219.0	15751.0	17064.0	14309.0	13949.0	20734.0	14048.0	12588.0	20181.0	16069.0	16914.0	14655.0	14463.0	3568.0	10158.0	14542.0	13647.0	16576.0	18795.0
NielsenHB_2014__MH0111__bin.16	15240.0	15659.0	15909.0	17026.0	14322.0	10043.0	13790.0	17247.0	19748.0	21033.0	17375.0	20961.0	15365.0	0.0	12302.0	19038.0	14428.0	15835.0	703.0	17713.0	16325.0	15485.0	20095.0	16191.0	14783.0	19666.0	17062.0	18845.0	16748.0	16873.0	11365.0	11855.0	15770.0	16559.0	17804.0	18832.0
