	NielsenHB_2014__V1_CD29_0__bin.31	XieH_2016__YSZC12003_36005__bin.30	LiJ_2014__MH0271__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	NielsenHB_2014__V1_UC15_3__bin.6	ZellerG_2014__CCIS70398272ST-4-0__bin.61	ZeeviD_2015__PNP_Main_759__bin.12	YuJ_2015__SZAXPI015268-109__bin.32	YuJ_2015__SZAXPI015253-44__bin.3	YuJ_2015__SZAXPI017588-123__bin.39	XieH_2016__YSZC12003_37322__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	LeChatelierE_2013__MH0136__bin.24	NielsenHB_2014__MH0111__bin.16	NielsenHB_2014__V1_UC1_0__bin.3	ZeeviD_2015__PNP_Main_565__bin.34	ZeeviD_2015__PNP_Main_59__bin.13	NielsenHB_2014__MH0136__bin.7	LeChatelierE_2013__MH0111__bin.11	XieH_2016__YSZC12003_35506__bin.79	BackhedF_2015__SID128_12M__bin.24	VatanenT_2016__G78545__bin.5	VogtmannE_2016__MMRS81135225ST-27-0-0__bin.12	HMP_2012__SRS045645__bin.35	ZeeviD_2015__PNP_Main_555__bin.28	QinJ_2012__CON-083__bin.1	LiJ_2014__MH0399__bin.87	ZeeviD_2015__PNP_Main_599__bin.21	HeQ_2017__SZAXPI029573-88__bin.45	LeChatelierE_2013__MH0229__bin.57	ZeeviD_2015__PNP_Main_467__bin.22	ZeeviD_2015__PNP_Main_409__bin.35	LeChatelierE_2013__MH0431__bin.12	ZeeviD_2015__PNP_Main_662__bin.2	FengQ_2015__SID31428__bin.21	XieH_2016__YSZC12003_36674__bin.4
NielsenHB_2014__V1_CD29_0__bin.31	1.0	0.9900072843699443	0.9905520321017676	0.9825660717248572	0.9904761753891825	0.9900009331684736	0.9981310949584832	0.984056024962632	0.98404929167383	0.9838563116588195	0.9878264146540292	0.9835263503570746	0.9982343910275085	0.9886250830354011	0.9918840573869183	0.987958465993252	0.9900968795920413	0.9979746177107685	0.9888694214431257	0.9879341011490701	0.9892863705522194	0.9869514147456451	0.9781705048881245	0.988573753416479	0.9904569542761023	0.9824859629235934	0.9885379521141111	0.9880463304834736	0.9872932612910804	0.9886355279402032	0.9960623129748233	0.9900001381578039	0.987663610454992	0.9898050339978648	0.9891391650258937	0.9744478076680766
XieH_2016__YSZC12003_36005__bin.30	0.9900072843699443	1.0	0.9885909556597908	0.9811348541301562	0.9876771833746516	0.9901828661469564	0.9903532530988499	0.9834888053905264	0.9836612895265358	0.982933050177826	0.9863660314726994	0.9827598403396807	0.9896250222340804	0.9888233585311557	0.9900226267663357	0.9866926660166829	0.9907763166452676	0.9895673381529838	0.9890843718464576	0.9866630315607537	0.9876270780961925	0.9860265218632865	0.9764466829116443	0.9869592054317939	0.9902831243727931	0.9820818772899591	0.9856108093751629	0.9869090127003426	0.9869391681346293	0.9866913607446779	0.9897905492056315	0.9897705074348749	0.9865665294579958	0.990020563643507	0.9888114400639426	0.9772471258944995
LiJ_2014__MH0271__bin.47	0.9905520321017676	0.9885909556597908	1.0	0.9832210832082376	0.9902718415387395	0.988559483494693	0.9902587329025792	0.9842153037604929	0.9850848184116336	0.9838464483402192	0.9877306770902897	0.9835215779502752	0.9900079101594088	0.9879875050118132	0.9898074254863699	0.9877739276359297	0.9900572104310762	0.989926592449007	0.9875947911929921	0.9890975480977439	0.9916171285978868	0.9887757438708477	0.9771993407254714	0.9884858301732116	0.9896931459021686	0.983492553904927	0.9878553100423189	0.9904358585218711	0.9871822155286722	0.9922915090307448	0.9888674528442508	0.9913754378830032	0.9892870629857095	0.9901330512267568	0.9879138437238348	0.9782104139420712
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	0.9825660717248572	0.9811348541301562	0.9832210832082376	1.0	0.9828729310194022	0.9820057919452783	0.9820919377591034	0.9898793364423554	0.9893054915226142	0.9880876693689293	0.9851412233581701	0.9840592764833522	0.9819500905852159	0.9839568967629228	0.9837256130574702	0.9826353955128461	0.9840057529694746	0.9819994327953373	0.9833827507967625	0.982588546142647	0.9827421726712967	0.9832443430437603	0.9756310513929366	0.9819986139110415	0.9826282726174335	0.9904273562129109	0.9813031322560773	0.98239600477754	0.9836331510409287	0.9839232487544487	0.9819151489293619	0.9834823439468234	0.9808179056388173	0.9828544014814096	0.9840165594204203	0.9763674817398975
NielsenHB_2014__V1_UC15_3__bin.6	0.9904761753891825	0.9876771833746516	0.9902718415387395	0.9828729310194022	1.0	0.989395822385824	0.9894626122631587	0.9845594261258436	0.9838745233531354	0.9849848514841519	0.9878643647870247	0.9837658992195127	0.9903945577414567	0.9880750368439897	0.9892982965596971	0.9884454192635315	0.9905364943443168	0.990354047163321	0.9880741205006758	0.9886252362431182	0.9894272777558801	0.988547149457974	0.9780981074888596	0.9887545134017813	0.9891189276462711	0.9840434277317786	0.986327586335413	0.9887588339925351	0.9863196238356369	0.9886349148529278	0.9887198476802747	0.9897445182891897	0.986217684550729	0.9894536696459894	0.9881100902680834	0.9780640682415745
ZellerG_2014__CCIS70398272ST-4-0__bin.61	0.9900009331684736	0.9901828661469564	0.988559483494693	0.9820057919452783	0.989395822385824	1.0	0.9896809897975781	0.9843567498692382	0.9846798792302565	0.9836361189611089	0.9866820956644055	0.983095493280089	0.9898765034311835	0.9920659749378661	0.9885764071628537	0.9864766598995127	0.9897097468568478	0.98982057777242	0.9926267811091615	0.9857247800461263	0.9873183521525657	0.9863878346110343	0.9769310776942356	0.9876734507203293	0.9896218418808306	0.9824344540022387	0.9857747676280001	0.9871564709039236	0.9869779956266109	0.9878406109935562	0.9890088995878049	0.9903574495625226	0.9849855704301396	0.9898505265205123	0.9876238467729466	0.9771751338215494
ZeeviD_2015__PNP_Main_759__bin.12	0.9981310949584832	0.9903532530988499	0.9902587329025792	0.9820919377591034	0.9894626122631587	0.9896809897975781	1.0	0.9844098260488707	0.9842382155074795	0.9838355465696976	0.9873975467053364	0.9837872701383895	0.9983612843299776	0.9875127679457553	0.9911673684222561	0.987663388083409	0.9899150006547431	0.9981857143668541	0.9879886765978473	0.9867139881467842	0.9897192902479223	0.9861831021720115	0.9774077029048155	0.9886867849381763	0.9902016416744855	0.9829001451167014	0.987319558951474	0.9879275936824179	0.9877031345446101	0.9885334171320281	0.9958001736877322	0.9906530523415608	0.9868543051644941	0.9898854864225662	0.9888193347162374	0.972262152498482
YuJ_2015__SZAXPI015268-109__bin.32	0.984056024962632	0.9834888053905264	0.9842153037604929	0.9898793364423554	0.9845594261258436	0.9843567498692382	0.9844098260488707	1.0	0.9909523859293401	0.9897900488927236	0.9854745300140427	0.9850407292439435	0.9847242201086374	0.9844266099365578	0.9846672227328684	0.9835628054359226	0.9853256950724453	0.9846733270325062	0.9844996469814888	0.9832565211808472	0.9836182055388949	0.9827972244297121	0.9756109794964001	0.9838861101902168	0.984124097906578	0.9904946657356132	0.9828908916799447	0.9836788854170971	0.9868074189375664	0.9841057435421943	0.9837973895217583	0.9844395412679272	0.982769538805756	0.9842921064557146	0.98475043425857	0.974963961757301
YuJ_2015__SZAXPI015253-44__bin.3	0.98404929167383	0.9836612895265358	0.9850848184116336	0.9893054915226142	0.9838745233531354	0.9846798792302565	0.9842382155074795	0.9909523859293401	1.0	0.9892082558389576	0.986407459619612	0.9831772732015193	0.9841991350167142	0.9846723311049691	0.9852824501389726	0.9824896009816049	0.9850703419012098	0.9840647643615408	0.9843420170362828	0.9823208674278958	0.9837172240857531	0.9831086752355848	0.9756367902297317	0.9829473218267625	0.9839287288835534	0.991154599338293	0.9797914037069023	0.9838820425439199	0.9866728146870125	0.9842152607906574	0.9827670346757194	0.9850297084270766	0.9811220545789237	0.9849401677556756	0.9852695950414813	0.9762375921974591
YuJ_2015__SZAXPI017588-123__bin.39	0.9838563116588195	0.982933050177826	0.9838464483402192	0.9880876693689293	0.9849848514841519	0.9836361189611089	0.9838355465696976	0.9897900488927236	0.9892082558389576	1.0	0.9861256820763677	0.9846338988082105	0.9839221647825864	0.9834793379796141	0.983491847113721	0.9831098956901875	0.9844602187786747	0.9838151512399628	0.9833633210159811	0.9829112800373976	0.9846001801645677	0.9832694701388719	0.9755120831031532	0.9832558798335368	0.9829979440223154	0.9899395195805465	0.9817497032330145	0.9835212669411583	0.9860884698234508	0.9837019634616092	0.9828493936569767	0.9852980211272462	0.9805466280695356	0.9832865387798585	0.9858584540948224	0.9762936455240204
