	NielsenHB_2014__V1_CD29_0__bin.31	XieH_2016__YSZC12003_36005__bin.30	LiJ_2014__MH0271__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	NielsenHB_2014__V1_UC15_3__bin.6	ZellerG_2014__CCIS70398272ST-4-0__bin.61	ZeeviD_2015__PNP_Main_759__bin.12	YuJ_2015__SZAXPI015268-109__bin.32	YuJ_2015__SZAXPI015253-44__bin.3	YuJ_2015__SZAXPI017588-123__bin.39	XieH_2016__YSZC12003_37322__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	LeChatelierE_2013__MH0136__bin.24	NielsenHB_2014__MH0111__bin.16	NielsenHB_2014__V1_UC1_0__bin.3	ZeeviD_2015__PNP_Main_565__bin.34	ZeeviD_2015__PNP_Main_59__bin.13	NielsenHB_2014__MH0136__bin.7	LeChatelierE_2013__MH0111__bin.11	XieH_2016__YSZC12003_35506__bin.79	BackhedF_2015__SID128_12M__bin.24	VatanenT_2016__G78545__bin.5	VogtmannE_2016__MMRS81135225ST-27-0-0__bin.12	HMP_2012__SRS045645__bin.35	ZeeviD_2015__PNP_Main_555__bin.28	QinJ_2012__CON-083__bin.1	LiJ_2014__MH0399__bin.87	ZeeviD_2015__PNP_Main_599__bin.21	HeQ_2017__SZAXPI029573-88__bin.45	LeChatelierE_2013__MH0229__bin.57	ZeeviD_2015__PNP_Main_467__bin.22	ZeeviD_2015__PNP_Main_409__bin.35	LeChatelierE_2013__MH0431__bin.12	ZeeviD_2015__PNP_Main_662__bin.2	FengQ_2015__SID31428__bin.21	XieH_2016__YSZC12003_36674__bin.4
NielsenHB_2014__V1_CD29_0__bin.31	1801957.0	1416732.0	1369395.0	1054725.0	1262518.0	1200212.0	1237088.0	1092513.0	1262201.0	1261174.0	1268402.0	1202830.0	1475978.0	1339790.0	992491.0	1346174.0	1226987.0	1492064.0	1337846.0	1281297.0	1360510.0	1102495.0	855952.0	1246166.0	1264481.0	1133605.0	1252394.0	1422994.0	1140812.0	1278194.0	1002873.0	1085715.0	1069843.0	1365674.0	1370797.0	909511.0
XieH_2016__YSZC12003_36005__bin.30	1416732.0	1741243.0	1370404.0	1086448.0	1238759.0	1254032.0	1171483.0	1126569.0	1316995.0	1288338.0	1317078.0	1229861.0	1439232.0	1401047.0	1018705.0	1384650.0	1245381.0	1445748.0	1401202.0	1360804.0	1325071.0	1110103.0	876989.0	1247470.0	1306387.0	1180425.0	1189782.0	1366971.0	1176801.0	1307196.0	999662.0	1099077.0	1114604.0	1392263.0	1425027.0	858441.0
LiJ_2014__MH0271__bin.47	1369395.0	1370404.0	1675206.0	1066517.0	1206806.0	1209823.0	1105503.0	1111583.0	1278496.0	1253780.0	1295263.0	1246782.0	1360276.0	1324371.0	993174.0	1350311.0	1231244.0	1366072.0	1332666.0	1348504.0	1349299.0	1117936.0	890676.0	1212506.0	1254505.0	1149663.0	1223333.0	1483876.0	1160653.0	1324254.0	939228.0	1081910.0	1106886.0	1376312.0	1367515.0	882394.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	1054725.0	1086448.0	1066517.0	1300570.0	971795.0	944415.0	927236.0	979086.0	1158258.0	1099449.0	1131116.0	1145682.0	1102277.0	1061266.0	821905.0	1130115.0	1008175.0	1100132.0	1063052.0	1046093.0	1010498.0	923509.0	755921.0	1012922.0	1029604.0	1063656.0	1055150.0	1080891.0	988156.0	1020231.0	750020.0	894679.0	907513.0	1071412.0	1111150.0	752734.0
NielsenHB_2014__V1_UC15_3__bin.6	1262518.0	1238759.0	1206806.0	971795.0	1536289.0	1120879.0	1050545.0	988370.0	1220243.0	1192196.0	1217324.0	1145182.0	1332682.0	1201010.0	912565.0	1277502.0	1106144.0	1334342.0	1203014.0	1168288.0	1207636.0	1014158.0	776006.0	1154063.0	1147681.0	1064389.0	1073256.0	1257076.0	1087397.0	1153005.0	876052.0	1010679.0	986409.0	1228579.0	1293702.0	751917.0
ZellerG_2014__CCIS70398272ST-4-0__bin.61	1200212.0	1254032.0	1209823.0	944415.0	1120879.0	1355425.0	1063571.0	1017116.0	1161218.0	1151805.0	1154536.0	1102842.0	1229022.0	1265814.0	904444.0	1215676.0	1094045.0	1236023.0	1252099.0	1170700.0	1212855.0	994625.0	798000.0	1093250.0	1145579.0	1062193.0	1055097.0	1203719.0	1069651.0	1127606.0	867793.0	964164.0	989981.0	1244301.0	1261135.0	761275.0
ZeeviD_2015__PNP_Main_759__bin.12	1237088.0	1171483.0	1105503.0	927236.0	1050545.0	1063571.0	1356751.0	924685.0	1092389.0	1090108.0	1092327.0	1052753.0	1210094.0	1104328.0	874711.0	1162799.0	1023302.0	1232441.0	1098963.0	1079707.0	1140680.0	928356.0	779602.0	1056552.0	1067934.0	986792.0	1013766.0	1137967.0	990415.0	1040589.0	842892.0	891414.0	939395.0	1134014.0	1141077.0	770788.0
YuJ_2015__SZAXPI015268-109__bin.32	1092513.0	1126569.0	1111583.0	979086.0	988370.0	1017116.0	924685.0	1366049.0	1148148.0	1119594.0	1095937.0	1097246.0	1117848.0	1107466.0	846422.0	1120325.0	1004068.0	1123662.0	1109007.0	1082511.0	1090723.0	937465.0	777522.0	1040655.0	1061420.0	1071188.0	1009813.0	1113098.0	1018906.0	1063403.0	770740.0	935448.0	926963.0	1136435.0	1128360.0	747123.0
YuJ_2015__SZAXPI015253-44__bin.3	1262201.0	1316995.0	1278496.0	1158258.0	1220243.0	1161218.0	1092389.0	1148148.0	1772178.0	1325365.0	1339264.0	1284334.0	1323725.0	1288389.0	966737.0	1408306.0	1187770.0	1328879.0	1288544.0	1285640.0	1310833.0	1102045.0	880549.0	1201864.0	1236181.0	1221991.0	1204240.0	1303453.0	1184121.0	1267300.0	891373.0	1059632.0	1078878.0	1304397.0	1351694.0	878278.0
YuJ_2015__SZAXPI017588-123__bin.39	1261174.0	1288338.0	1253780.0	1099449.0	1192196.0	1151805.0	1090108.0	1119594.0	1325365.0	1977072.0	1288712.0	1246445.0	1330092.0	1273133.0	953650.0	1313491.0	1163916.0	1332419.0	1272189.0	1227886.0	1223326.0	1065298.0	923190.0	1186088.0	1205266.0	1174099.0	1145680.0	1299129.0	1198646.0	1195236.0	895945.0	1058633.0	1052928.0	1274721.0	1349216.0	838889.0
XieH_2016__YSZC12003_37322__bin.37	1268402.0	1317078.0	1295263.0	1131116.0	1217324.0	1154536.0	1092327.0	1095937.0	1339264.0	1288712.0	1517687.0	1309773.0	1326215.0	1294553.0	951703.0	1379068.0	1175926.0	1329842.0	1304155.0	1279401.0	1287752.0	1111970.0	881374.0	1198127.0	1246131.0	1194402.0	1175523.0	1326563.0	1154217.0	1224515.0	892095.0	1070818.0	1075399.0	1313631.0	1369975.0	852289.0
Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	1202830.0	1229861.0	1246782.0	1145682.0	1145182.0	1102842.0	1052753.0	1097246.0	1284334.0	1246445.0	1309773.0	1470716.0	1261361.0	1228941.0	908639.0	1283378.0	1102771.0	1264733.0	1232422.0	1239623.0	1203221.0	1057263.0	866384.0	1140244.0	1134754.0	1174431.0	1147077.0	1272627.0	1090016.0	1176527.0	846557.0	1002051.0	1044874.0	1236951.0	1287471.0	837478.0
