	LeChatelierE_2013__MH0079__bin.19	LiJ_2014__MH0385__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.8	KarlssonFH_2013__S126__bin.3	XieH_2016__YSZC12003_36034__bin.56	CosteaPI_2017__mickey1-11-30-0__bin.4	ZeeviD_2015__PNP_Validation_13__bin.57	LeChatelierE_2013__MH0426__bin.85	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.53	ZeeviD_2015__PNP_Main_553__bin.24	LiJ_2014__MH0309__bin.10	FengQ_2015__SID31223__bin.58	CosteaPI_2017__SID713B051-11-0-0__bin.73	VogtmannE_2016__MMRS20257302ST-27-0-0__bin.74	ZeeviD_2015__PNP_Main_438__bin.39	CosteaPI_2017__SID713B051-11-90-0__bin.68	XieH_2016__YSZC12003_37223__bin.28	LeChatelierE_2013__MH0132__bin.8	LiJ_2014__MH0362__bin.58	RampelliS_2015__H21__bin.19	RampelliS_2015__H14__bin.79	ZeeviD_2015__PNP_Main_82__bin.39	LeChatelierE_2013__MH0189__bin.85	SchirmerM_2016__G89006__bin.14	LeChatelierE_2013__MH0415__bin.1	NielsenHB_2014__MH0079__bin.17	ZeeviD_2015__PNP_Main_225__bin.4	LiJ_2014__MH0402__bin.12	ZellerG_2014__CCIS36797902ST-4-0__bin.3	ZeeviD_2015__PNP_Main_403__bin.9	LiJ_2014__MH0315__bin.76	NielsenHB_2014__MH0132__bin.49	LeChatelierE_2013__MH0437__bin.12	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.61	LeChatelierE_2013__MH0224__bin.40	CosteaPI_2017__mickey1-11-0-0__bin.28
LeChatelierE_2013__MH0079__bin.19	1598030.0	1465248.0	1002369.0	1460842.0	848938.0	1367679.0	1377655.0	1168764.0	1378942.0	1291242.0	1489136.0	884787.0	1440706.0	1452035.0	1364177.0	1219923.0	1455710.0	1092400.0	1501347.0	1468027.0	1443049.0	1398425.0	1463508.0	1430777.0	1452564.0	1275489.0	1488633.0	1474193.0	1447364.0	1471389.0	1342420.0	834257.0	1443597.0	1435966.0	1408826.0	1489992.0
LiJ_2014__MH0385__bin.37	1465248.0	1752060.0	1077247.0	1600982.0	939105.0	1531994.0	1527369.0	1256523.0	1496477.0	1443588.0	1645384.0	963828.0	1608013.0	1584972.0	1491168.0	1331948.0	1596149.0	1156818.0	1700932.0	1610192.0	1563295.0	1501533.0	1594259.0	1570444.0	1598433.0	1301632.0	1615635.0	1622731.0	1585362.0	1610849.0	1475111.0	875455.0	1580236.0	1588247.0	1530661.0	1681567.0
ZellerG_2014__CCIS74726977ST-3-0__bin.8	1002369.0	1077247.0	1165039.0	1063298.0	708502.0	1046975.0	1051677.0	905600.0	1002926.0	957595.0	1103732.0	697115.0	1083109.0	1088210.0	981772.0	959581.0	1085238.0	887129.0	1111928.0	1115957.0	1094782.0	1039254.0	1073905.0	1050205.0	1065296.0	975953.0	1081764.0	1125721.0	1089303.0	1085190.0	1062018.0	717331.0	1090972.0	1086544.0	1064786.0	1106676.0
KarlssonFH_2013__S126__bin.3	1460842.0	1600982.0	1063298.0	1770301.0	914869.0	1492916.0	1524724.0	1240409.0	1463040.0	1399342.0	1629848.0	940138.0	1575630.0	1574770.0	1444714.0	1321270.0	1596379.0	1154575.0	1630851.0	1570725.0	1562497.0	1502263.0	1589746.0	1547952.0	1639470.0	1298358.0	1586924.0	1596891.0	1575782.0	1581369.0	1467082.0	877482.0	1568884.0	1588140.0	1515883.0	1629734.0
XieH_2016__YSZC12003_36034__bin.56	848938.0	939105.0	708502.0	914869.0	1040939.0	886823.0	929976.0	767890.0	824882.0	814161.0	955168.0	852677.0	945032.0	933462.0	804653.0	787569.0	932320.0	738502.0	962346.0	961221.0	948173.0	886400.0	923141.0	928058.0	943753.0	805609.0	925125.0	963773.0	952657.0	922428.0	889693.0	569892.0	939510.0	919394.0	926853.0	956301.0
CosteaPI_2017__mickey1-11-30-0__bin.4	1367679.0	1531994.0	1046975.0	1492916.0	886823.0	1599742.0	1461461.0	1208821.0	1388201.0	1327809.0	1511699.0	894487.0	1500958.0	1466142.0	1361811.0	1295824.0	1484733.0	1119185.0	1550212.0	1494565.0	1472276.0	1411549.0	1476524.0	1449583.0	1475069.0	1249363.0	1480698.0	1488637.0	1491591.0	1484861.0	1408393.0	854327.0	1480053.0	1458887.0	1442269.0	1572337.0
ZeeviD_2015__PNP_Validation_13__bin.57	1377655.0	1527369.0	1051677.0	1524724.0	929976.0	1461461.0	1730505.0	1190610.0	1413896.0	1343749.0	1541288.0	924838.0	1603609.0	1510820.0	1383680.0	1340248.0	1515201.0	1117562.0	1556753.0	1521921.0	1503616.0	1474294.0	1523950.0	1517639.0	1524986.0	1266522.0	1527473.0	1540727.0	1545759.0	1519701.0	1473383.0	856877.0	1502727.0	1491412.0	1516969.0	1558436.0
LeChatelierE_2013__MH0426__bin.85	1168764.0	1256523.0	905600.0	1240409.0	767890.0	1208821.0	1190610.0	1344970.0	1167086.0	1119145.0	1263857.0	786865.0	1228624.0	1240774.0	1147452.0	1085926.0	1240463.0	987259.0	1302005.0	1232967.0	1242912.0	1201725.0	1243338.0	1220524.0	1234246.0	1071378.0	1252751.0	1256679.0	1220970.0	1237528.0	1186726.0	770670.0	1228812.0	1225132.0	1196052.0	1294523.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.53	1378942.0	1496477.0	1002926.0	1463040.0	824882.0	1388201.0	1413896.0	1167086.0	1690974.0	1324114.0	1568249.0	863672.0	1495574.0	1523548.0	1389856.0	1245122.0	1500694.0	1117381.0	1541316.0	1498084.0	1462009.0	1444680.0	1492701.0	1498573.0	1475037.0	1207663.0	1546033.0	1543869.0	1474936.0	1508914.0	1391805.0	862401.0	1496127.0	1510044.0	1449400.0	1519117.0
ZeeviD_2015__PNP_Main_553__bin.24	1291242.0	1443588.0	957595.0	1399342.0	814161.0	1327809.0	1343749.0	1119145.0	1324114.0	1558816.0	1449352.0	822639.0	1412654.0	1409808.0	1290918.0	1177272.0	1420264.0	1042662.0	1495114.0	1419652.0	1396479.0	1340753.0	1415673.0	1384697.0	1407181.0	1167277.0	1417690.0	1434892.0	1384814.0	1414939.0	1311481.0	801580.0	1398714.0	1391043.0	1354195.0	1490364.0
