	HMP_2012__SRS022536__bin.11	HMP_2012__SRS063603__bin.51	HMP_2012__SRS014578__bin.3	HMP_2012__SRS043755__bin.17	HMP_2012__SRS064449__bin.29	HMP_2012__SRS013533__bin.32	HMP_2012__SRS013252__bin.10	HMP_2012__SRS075410__bin.24	HMP_2012__SRS024649__bin.34	HMP_2012__SRS011098__bin.20	HMP_2012__SRS047113__bin.58	HMP_2012__SRS065099__bin.2	HMP_2012__SRS018394__bin.36	HMP_2012__SRS024561__bin.37	HMP_2012__SRS016043__bin.29	HMP_2012__SRS055401__bin.30	HMP_2012__SRS018665__bin.15	HMP_2012__SRS011126__bin.26	HMP_2012__SRS047634__bin.13	HMP_2012__SRS019906__bin.5	HMP_2012__SRS018157__bin.6	HMP_2012__SRS014690__bin.19	HMP_2012__SRS054430__bin.12	HMP_2012__SRS023841__bin.32	HMP_2012__SRS014476__bin.2	HMP_2012__SRS063932__bin.48
HMP_2012__SRS022536__bin.11	1.0	0.8488309254994665	0.8766878607080335	0.8451291828006572	0.7375863580483741	0.7378315005363062	0.8514217808644873	0.8851940316461637	0.7414949681998249	0.6555684252830302	0.7839392484058904	0.8211444053289785	0.7875361904128327	0.7945040694564307	0.7551609784192592	0.8120741332754955	0.8756708383417432	0.9651934119551161	0.5783148231009887	0.8370166979398007	0.8500229194556561	0.8290864751517559	0.7868782243299819	0.8117050525780515	0.7732349968696489	0.8549449067319408
HMP_2012__SRS063603__bin.51	0.8822000066299494	1.0	0.8841586831026269	0.8676699990055076	0.74957260504918	0.7400036938289378	0.870819224958918	0.8858351131590289	0.7996685025312199	0.6786018383902483	0.8272794002737222	0.8081974588351178	0.8179889469272552	0.8044041806566491	0.8118723450604509	0.8224187002457817	0.884997845266453	0.900557389315363	0.600298347721902	0.8444433920715276	0.8937285414584941	0.92408329110687	0.8219299782632374	0.8132428503099501	0.8048389159085635	0.8785080719633648
HMP_2012__SRS014578__bin.3	0.8870668208416552	0.8607869932373243	1.0	0.8586053064965578	0.7706222878756863	0.7487307304316715	0.8676566323830179	0.9357158532829498	0.7619582436591847	0.6692236477876073	0.7886105993460473	0.8013457115931846	0.7992055193170564	0.797975438965331	0.7632768455354723	0.8266195289548375	0.9320182354340598	0.9173356496465593	0.5892195536670963	0.8779269734306332	0.8996488646192375	0.8324877683539238	0.8043047279715109	0.8501219937260369	0.7753157728758984	0.8761039832841855
HMP_2012__SRS043755__bin.17	0.8754076726951094	0.8647607486357419	0.8789607378745987	1.0	0.7428030134976831	0.7413294920457216	0.8592980525162668	0.8889204591043519	0.7568066590709358	0.6717738045455447	0.7856540745558432	0.7954561544771548	0.794381928075917	0.8087102958653611	0.784506219280004	0.8367326903707591	0.8731223457026697	0.8999034328990803	0.5931664852690333	0.8361899134105556	0.8655612266570508	0.8395806174819491	0.8040631811260875	0.8214707462097649	0.7794012839742979	0.8882011616370908
HMP_2012__SRS064449__bin.29	0.934024896744405	0.9132999207190905	0.9644413003915577	0.9080964619018879	1.0	0.8043781064672219	0.9280205507195868	0.9628533741701182	0.800603319642855	0.7178338193664682	0.8535415024597854	0.8631094503536483	0.8466381778546609	0.8605556126152429	0.8318771572889391	0.8914636271419982	0.9632422776124329	0.9562708660544995	0.6606569352331516	0.9153933060139243	0.9348396321458122	0.8865659826043606	0.8643719440209846	0.8934335327088567	0.8300122671916671	0.9408428241544812
HMP_2012__SRS013533__bin.32	0.8444716094168351	0.8149217054271651	0.8469195860030394	0.8191282199444903	0.7270135832974359	1.0	0.8151011055008026	0.8536283143381337	0.7268133227501197	0.6527784586404604	0.748977576033819	0.7714995864411093	0.7654740386189949	0.7764184861345647	0.7395152651731263	0.7798750666231378	0.8438864731301454	0.8487000274315228	0.5776963987521264	0.8137795944932522	0.8344846576431211	0.7954494962717118	0.7761827627819945	0.8071417917686657	0.7324185320276068	0.8288763192945823
HMP_2012__SRS013252__bin.10	0.9162556696986786	0.9016833795081767	0.9228018731458553	0.8927471988623826	0.7886493245396817	0.7664000784563709	1.0	0.9318194522764607	0.7879412557922868	0.6961355333807341	0.8131904773579817	0.8235084708362959	0.8346747738249932	0.881098389192635	0.8019231617917474	0.8698820702674872	0.9216162012405914	0.94611812587344	0.6172809963959105	0.8922568465442421	0.8969102900433962	0.867247897614436	0.8377738004756418	0.8579204158187658	0.795894770392527	0.9144403854169221
HMP_2012__SRS075410__bin.24	0.9064112314360766	0.8727579819621419	0.9469334241602785	0.8787441619581294	0.7785766608966672	0.7637087254522296	0.886638640955176	1.0	0.7616389908877557	0.6700574356007409	0.8033602859182464	0.8143948265967423	0.8116821492392465	0.8193638692278621	0.7746760790754315	0.8398465895570787	0.9442002174247761	0.9410657546646013	0.5949143131756615	0.8890219151110219	0.8979428630083938	0.8428429455924825	0.8128999146164506	0.9024080027248084	0.7793045206623523	0.8900623813145334
HMP_2012__SRS024649__bin.34	0.8925035484798027	0.9261170307286285	0.9064034978029042	0.8794262760816007	0.7609805431422748	0.7643579061446288	0.8812997856652385	0.8952907779013621	1.0	0.7042542269140402	0.8416368857619853	0.8302356804854452	0.8417016030134107	0.8208132874389299	0.8301764477468524	0.8307764534507458	0.8998922841679665	0.9119680845229242	0.6253024708827214	0.8661833713958524	0.9001873509583638	0.8971445432388022	0.8463974429007369	0.8383944417753149	0.8193642791485404	0.887905332920898
HMP_2012__SRS011098__bin.20	0.8618128800693888	0.8583494266313333	0.8694705744229175	0.8525714135107031	0.7452007628942059	0.7497783677322586	0.850387437164257	0.8602410879868123	0.7691705921534989	1.0	0.7808188653386301	0.7798664455934713	0.8308370751249526	0.8225612064462644	0.7715558345592992	0.8160488118114425	0.8578690237158506	0.8802059622674059	0.7064199080884995	0.8346359719952654	0.8610377661384231	0.8451377474494319	0.8219130818146532	0.8243162944043243	0.76759400802189	0.8668517196267952
HMP_2012__SRS047113__bin.58	0.8577694860361043	0.8709526240636891	0.8527848020485167	0.8299124913249148	0.7375088745124004	0.7160265716861175	0.8268153862108025	0.8584435501240437	0.7650876682168811	0.6498955001236449	1.0	0.7850972008391899	0.8000313100774575	0.7702199283657336	0.7820000957250776	0.7714823028262829	0.8597208816279645	0.8650824831085123	0.5872573967565153	0.8082586810679728	0.8542834977943347	0.8394151995469012	0.7813888512192981	0.785864995732257	0.7780973045413572	0.8310113354446031
HMP_2012__SRS065099__bin.2	0.9713183408683729	0.9198429176018093	0.9368080753202123	0.9083872859412763	0.8062362962531773	0.7973516330230923	0.9051867805869785	0.9407847220874754	0.8159089586122592	0.7017256210748265	0.8487451302516207	1.0	0.8512384845407722	0.8514432996358603	0.8325658157138452	0.8688525827183491	0.9401918362859046	0.976572387044475	0.6376961104535469	0.9084023775798618	0.9276841018211296	0.8892047353249984	0.856394435066069	0.8704932594274233	0.8293254253147145	0.9330405555447758
