	HMP_2012__SRS022536__bin.11	HMP_2012__SRS063603__bin.51	HMP_2012__SRS014578__bin.3	HMP_2012__SRS043755__bin.17	HMP_2012__SRS064449__bin.29	HMP_2012__SRS013533__bin.32	HMP_2012__SRS013252__bin.10	HMP_2012__SRS075410__bin.24	HMP_2012__SRS024649__bin.34	HMP_2012__SRS011098__bin.20	HMP_2012__SRS047113__bin.58	HMP_2012__SRS065099__bin.2	HMP_2012__SRS018394__bin.36	HMP_2012__SRS024561__bin.37	HMP_2012__SRS016043__bin.29	HMP_2012__SRS055401__bin.30	HMP_2012__SRS018665__bin.15	HMP_2012__SRS011126__bin.26	HMP_2012__SRS047634__bin.13	HMP_2012__SRS019906__bin.5	HMP_2012__SRS018157__bin.6	HMP_2012__SRS014690__bin.19	HMP_2012__SRS054430__bin.12	HMP_2012__SRS023841__bin.32	HMP_2012__SRS014476__bin.2	HMP_2012__SRS063932__bin.48
HMP_2012__SRS022536__bin.11	1097321.0	931440.0	962008.0	927378.0	809369.0	809638.0	934283.0	971342.0	813658.0	719369.0	860233.0	901059.0	864180.0	871826.0	828654.0	891106.0	960892.0	1059127.0	634597.0	918476.0	932748.0	909774.0	863458.0	890701.0	848487.0	938149.0
HMP_2012__SRS063603__bin.51	931440.0	1055815.0	933508.0	916099.0	791410.0	781307.0	919424.0	935278.0	844302.0	716478.0	873454.0	853307.0	863645.0	849302.0	857187.0	868322.0	934394.0	950822.0	633804.0	891576.0	943612.0	975661.0	867806.0	858634.0	849761.0	927542.0
HMP_2012__SRS014578__bin.3	962008.0	933508.0	1084482.0	931142.0	835726.0	811985.0	940958.0	1014767.0	826330.0	725761.0	855234.0	869045.0	866724.0	865390.0	827760.0	896454.0	1010757.0	994834.0	638998.0	952096.0	975653.0	902818.0	872254.0	921942.0	840816.0	950119.0
HMP_2012__SRS043755__bin.17	927378.0	916099.0	931142.0	1059367.0	786901.0	785340.0	910312.0	941693.0	801736.0	711655.0	832296.0	842680.0	841542.0	856721.0	831080.0	886407.0	924957.0	953328.0	628381.0	885832.0	916947.0	889424.0	851798.0	870239.0	825672.0	940931.0
HMP_2012__SRS064449__bin.29	809369.0	791410.0	835726.0	786901.0	866539.0	697025.0	804166.0	834350.0	693754.0	622031.0	739627.0	747918.0	733645.0	745705.0	720854.0	772488.0	834687.0	828646.0	572485.0	793224.0	810075.0	768244.0	749012.0	774195.0	719238.0	815277.0
HMP_2012__SRS013533__bin.32	809638.0	781307.0	811985.0	785340.0	697025.0	958751.0	781479.0	818417.0	696833.0	625852.0	718083.0	739676.0	733899.0	744392.0	709011.0	747706.0	809077.0	813692.0	553867.0	780212.0	800063.0	762638.0	744166.0	773848.0	702207.0	794686.0
HMP_2012__SRS013252__bin.10	934283.0	919424.0	940958.0	910312.0	804166.0	781479.0	1019675.0	950153.0	803444.0	709832.0	829190.0	839711.0	851097.0	898434.0	817701.0	886997.0	939749.0	964733.0	629426.0	909812.0	914557.0	884311.0	854257.0	874800.0	811554.0	932432.0
HMP_2012__SRS075410__bin.24	971342.0	935278.0	1014767.0	941693.0	834350.0	818417.0	950153.0	1071635.0	816199.0	718057.0	860909.0	872734.0	869827.0	878059.0	830170.0	900009.0	1011838.0	1008479.0	637531.0	952707.0	962267.0	903220.0	871132.0	967052.0	835130.0	953822.0
HMP_2012__SRS024649__bin.34	813658.0	844302.0	826330.0	801736.0	693754.0	696833.0	803444.0	816199.0	911658.0	642039.0	767285.0	756891.0	767344.0	748301.0	756837.0	757384.0	820394.0	831403.0	570062.0	789663.0	820663.0	817889.0	771625.0	764329.0	746980.0	809466.0
HMP_2012__SRS011098__bin.20	719369.0	716478.0	725761.0	711655.0	622031.0	625852.0	709832.0	718057.0	642039.0	834716.0	651762.0	650967.0	693513.0	686605.0	644030.0	681169.0	716077.0	734722.0	589660.0	696684.0	718722.0	705450.0	686064.0	688070.0	640723.0	723575.0
