	ZeeviD_2015__PNP_Main_415__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	BritoIL_2016__WL.15.ST__bin.16	ZeeviD_2015__PNP_Main_487__bin.14	BritoIL_2016__WL.39.ST__bin.32	ZeeviD_2015__PNP_Main_607__bin.26	LiuW_2016__SRR3993015__bin.15	ZeeviD_2015__PNP_Validation_27__bin.17	ZellerG_2014__CCIS22958137ST-20-0__bin.2	ZeeviD_2015__PNP_Main_16__bin.15	ZeeviD_2015__PNP_Main_727__bin.17	ZeeviD_2015__PNP_Main_602__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES23__bin.47	ZeeviD_2015__PNP_Main_769__bin.12	ZeeviD_2015__PNP_Main_539__bin.51	BritoIL_2016__W2.46.ST__bin.25	ZeeviD_2015__PNP_Main_741__bin.63	ZeeviD_2015__PNP_Main_547__bin.27	LiJ_2014__MH0401__bin.50	ZeeviD_2015__PNP_Main_38__bin.17	LiSS_2016__FAT_017-22-84-0__bin.29	ZeeviD_2015__PNP_Main_29__bin.19	ZeeviD_2015__PNP_Main_561__bin.28	ZeeviD_2015__PNP_Main_482__bin.15	NielsenHB_2014__V1_UC23_1__bin.16	LiuW_2016__SRR3992960__bin.11	ZeeviD_2015__PNP_Main_122__bin.30	ZeeviD_2015__PNP_Main_668__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.108	ZeeviD_2015__PNP_Main_650__bin.28	RaymondF_2016__P9E0__bin.30	ZeeviD_2015__PNP_Validation_74__bin.28
ZeeviD_2015__PNP_Main_415__bin.46	0.0	51543.0	34795.0	50924.0	29554.0	1731.0	52151.0	32015.0	28937.0	3843.0	48580.0	37123.0	47290.0	1665.0	46142.0	49973.0	33552.0	48183.0	42487.0	50310.0	25397.0	42629.0	43104.0	51092.0	38191.0	34836.0	47335.0	989.0	1362.0	49668.0	48408.0	49255.0
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	51543.0	0.0	17757.0	36806.0	15200.0	78689.0	29055.0	20659.0	20177.0	78519.0	29914.0	18989.0	89.0	73786.0	31748.0	26547.0	20062.0	6160.0	22975.0	37610.0	17800.0	28864.0	30656.0	36905.0	26307.0	17448.0	25073.0	39917.0	79134.0	34793.0	33067.0	33420.0
BritoIL_2016__WL.15.ST__bin.16	34795.0	17757.0	0.0	15483.0	1155.0	47397.0	3296.0	9855.0	10839.0	46082.0	14288.0	3863.0	15219.0	45572.0	13423.0	1951.0	10424.0	16356.0	4693.0	18197.0	9194.0	13027.0	13070.0	16304.0	11954.0	3604.0	2992.0	26676.0	45369.0	15054.0	14048.0	13820.0
ZeeviD_2015__PNP_Main_487__bin.14	50924.0	36806.0	15483.0	0.0	12625.0	79492.0	28538.0	2928.0	5366.0	79209.0	7182.0	14999.0	32090.0	73891.0	5372.0	24318.0	4101.0	33991.0	20004.0	10699.0	3466.0	3256.0	4431.0	6133.0	6721.0	15516.0	21204.0	39901.0	78387.0	1499.0	6558.0	5985.0
BritoIL_2016__WL.39.ST__bin.32	29554.0	15200.0	1155.0	12625.0	0.0	39370.0	3440.0	8652.0	8649.0	38694.0	11253.0	3608.0	13043.0	38123.0	11306.0	1326.0	8467.0	14511.0	3685.0	14794.0	8137.0	10606.0	11002.0	13601.0	10352.0	3320.0	2623.0	24386.0	37259.0	12455.0	11477.0	11408.0
ZeeviD_2015__PNP_Main_607__bin.26	1731.0	78689.0	47397.0	79492.0	39370.0	0.0	78155.0	42951.0	37833.0	5044.0	74144.0	49874.0	71649.0	1869.0	69327.0	75808.0	44947.0	74012.0	60944.0	75278.0	33708.0	60682.0	63508.0	76332.0	53872.0	49079.0	71539.0	932.0	1759.0	74079.0	75701.0	75689.0
LiuW_2016__SRR3993015__bin.15	52151.0	29055.0	3296.0	28538.0	3440.0	78155.0	0.0	15452.0	14722.0	78505.0	26727.0	7137.0	25062.0	73535.0	23304.0	4736.0	15683.0	26823.0	9768.0	30457.0	12932.0	22338.0	22999.0	28671.0	19539.0	7139.0	6885.0	38705.0	79179.0	26805.0	26897.0	26313.0
ZeeviD_2015__PNP_Validation_27__bin.17	32015.0	20659.0	9855.0	2928.0	8652.0	42951.0	15452.0	0.0	3734.0	42325.0	3826.0	9635.0	16947.0	41484.0	2271.0	13105.0	2787.0	19312.0	11578.0	5023.0	2798.0	2321.0	2976.0	4129.0	4386.0	9914.0	11261.0	26441.0	40424.0	3436.0	2342.0	1966.0
ZellerG_2014__CCIS22958137ST-20-0__bin.2	28937.0	20177.0	10839.0	5366.0	8649.0	37833.0	14722.0	3734.0	0.0	38272.0	6370.0	10812.0	16459.0	37846.0	4672.0	13873.0	4596.0	19750.0	12624.0	8438.0	3907.0	4779.0	4698.0	6838.0	5651.0	9523.0	12726.0	24631.0	36857.0	5513.0	5124.0	5208.0
ZeeviD_2015__PNP_Main_16__bin.15	3843.0	78519.0	46082.0	79209.0	38694.0	5044.0	78505.0	42325.0	38272.0	0.0	73547.0	49363.0	70815.0	4791.0	67975.0	75531.0	43532.0	74176.0	59760.0	75245.0	33485.0	61086.0	62849.0	77354.0	53444.0	47890.0	72210.0	3177.0	4774.0	74067.0	74527.0	74819.0
ZeeviD_2015__PNP_Main_727__bin.17	48580.0	29914.0	14288.0	7182.0	11253.0	74144.0	26727.0	3826.0	6370.0	73547.0	0.0	13546.0	28337.0	68444.0	7689.0	21789.0	4462.0	28144.0	19240.0	12483.0	3713.0	4876.0	5088.0	8775.0	7266.0	13957.0	19313.0	36501.0	75826.0	5274.0	8134.0	8236.0
ZeeviD_2015__PNP_Main_602__bin.12	37123.0	18989.0	3863.0	14999.0	3608.0	49874.0	7137.0	9635.0	10812.0	49363.0	13546.0	0.0	15922.0	48523.0	13974.0	4550.0	10240.0	17527.0	4182.0	17594.0	8906.0	12424.0	13573.0	16464.0	12301.0	5021.0	4526.0	30391.0	46902.0	15003.0	13866.0	13365.0
