	ZeeviD_2015__PNP_Main_415__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	BritoIL_2016__WL.15.ST__bin.16	ZeeviD_2015__PNP_Main_487__bin.14	BritoIL_2016__WL.39.ST__bin.32	ZeeviD_2015__PNP_Main_607__bin.26	LiuW_2016__SRR3993015__bin.15	ZeeviD_2015__PNP_Validation_27__bin.17	ZellerG_2014__CCIS22958137ST-20-0__bin.2	ZeeviD_2015__PNP_Main_16__bin.15	ZeeviD_2015__PNP_Main_727__bin.17	ZeeviD_2015__PNP_Main_602__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES23__bin.47	ZeeviD_2015__PNP_Main_769__bin.12	ZeeviD_2015__PNP_Main_539__bin.51	BritoIL_2016__W2.46.ST__bin.25	ZeeviD_2015__PNP_Main_741__bin.63	ZeeviD_2015__PNP_Main_547__bin.27	LiJ_2014__MH0401__bin.50	ZeeviD_2015__PNP_Main_38__bin.17	LiSS_2016__FAT_017-22-84-0__bin.29	ZeeviD_2015__PNP_Main_29__bin.19	ZeeviD_2015__PNP_Main_561__bin.28	ZeeviD_2015__PNP_Main_482__bin.15	NielsenHB_2014__V1_UC23_1__bin.16	LiuW_2016__SRR3992960__bin.11	ZeeviD_2015__PNP_Main_122__bin.30	ZeeviD_2015__PNP_Main_668__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.108	ZeeviD_2015__PNP_Main_650__bin.28	RaymondF_2016__P9E0__bin.30	ZeeviD_2015__PNP_Validation_74__bin.28
ZeeviD_2015__PNP_Main_415__bin.46	1573816.0	1301684.0	899559.0	1310661.0	784374.0	1498053.0	1298405.0	883946.0	801045.0	1450548.0	1209510.0	1000684.0	1142783.0	1440501.0	1168861.0	1286530.0	931310.0	1218241.0	1056147.0	1287334.0	683723.0	1122205.0	1133873.0	1294517.0	989012.0	907170.0	1224322.0	887895.0	1412095.0	1274582.0	1196230.0	1212298.0
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	1301684.0	2266011.0	1259943.0	2058126.0	1061832.0	1924512.0	1997252.0	1205469.0	1061509.0	1941002.0	1873305.0	1401869.0	1942330.0	1810468.0	1772577.0	2024345.0	1253661.0	1947801.0	1561459.0	1982006.0	945344.0	1631262.0	1674863.0	1990538.0	1441022.0	1306601.0	1883216.0	1056333.0	1841667.0	1943174.0	1883545.0	1922477.0
BritoIL_2016__WL.15.ST__bin.16	899559.0	1259943.0	1378022.0	1274821.0	775508.0	1216251.0	1259446.0	854311.0	763325.0	1207901.0	1157034.0	980102.0	1103103.0	1174404.0	1152809.0	1267062.0	879776.0	1187420.0	1043548.0	1258604.0	673223.0	1087077.0	1089022.0	1259434.0	949053.0	864084.0	1214600.0	743390.0	1116498.0	1235049.0	1156820.0	1162303.0
ZeeviD_2015__PNP_Main_487__bin.14	1310661.0	2058126.0	1274821.0	2385909.0	1083790.0	1942133.0	2071502.0	1250985.0	1097276.0	1951956.0	2009124.0	1429100.0	1810129.0	1820753.0	1872003.0	2036338.0	1303968.0	1931286.0	1576595.0	2054671.0	970285.0	1724177.0	1813998.0	2112676.0	1473724.0	1317932.0	1930474.0	1059236.0	1831142.0	2120424.0	1972751.0	1999846.0
BritoIL_2016__WL.39.ST__bin.32	784374.0	1061832.0	775508.0	1083790.0	1125256.0	1022246.0	1071531.0	757222.0	675551.0	1026206.0	966708.0	857588.0	905734.0	980989.0	973765.0	1073737.0	755377.0	994187.0	894640.0	1073900.0	622995.0	910794.0	950961.0	1076276.0	846385.0	766856.0	1025305.0	666311.0	932145.0	1042290.0	965965.0	975891.0
ZeeviD_2015__PNP_Main_607__bin.26	1498053.0	1924512.0	1216251.0	1942133.0	1022246.0	2457905.0	1875263.0	1169863.0	1020028.0	2208867.0	1768082.0	1334328.0	1679452.0	2150860.0	1691095.0	1884123.0	1223110.0	1808693.0	1476291.0	1853354.0	895814.0	1567426.0	1605882.0	1870916.0	1366000.0	1245732.0	1762674.0	1179510.0	2154204.0	1843148.0	1789747.0	1788345.0
LiuW_2016__SRR3993015__bin.15	1298405.0	1997252.0	1259446.0	2071502.0	1071531.0	1875263.0	2325821.0	1196893.0	1056371.0	1899991.0	1903874.0	1370310.0	1767150.0	1772400.0	1745414.0	2027195.0	1231163.0	1887745.0	1567226.0	1948576.0	911316.0	1628963.0	1667001.0	1970401.0	1381602.0	1326264.0	1914665.0	1022297.0	1821593.0	1955562.0	1864370.0	1900458.0
ZeeviD_2015__PNP_Validation_27__bin.17	883946.0	1205469.0	854311.0	1250985.0	757222.0	1169863.0	1196893.0	1276452.0	776712.0	1166112.0	1103598.0	951822.0	1008982.0	1122524.0	1116783.0	1203490.0	904150.0	1123911.0	973067.0	1239936.0	693454.0	1079407.0	1080334.0	1221195.0	951441.0	849229.0	1160030.0	755078.0	1054738.0	1223650.0	1119436.0	1124702.0
ZellerG_2014__CCIS22958137ST-20-0__bin.2	801045.0	1061509.0	763325.0	1097276.0	675551.0	1020028.0	1056371.0	776712.0	1142453.0	1033708.0	977321.0	845682.0	870621.0	1003092.0	1002313.0	1057938.0	769201.0	1018308.0	893845.0	1086536.0	632506.0	965980.0	981698.0	1082700.0	879982.0	711016.0	1022944.0	689837.0	931000.0	1058981.0	977413.0	968725.0
ZeeviD_2015__PNP_Main_16__bin.15	1450548.0	1941002.0	1207901.0	1951956.0	1026206.0	2208867.0	1899991.0	1166112.0	1033708.0	2473664.0	1767227.0	1342764.0	1683974.0	2084754.0	1687726.0	1901666.0	1217942.0	1828911.0	1479243.0	1878742.0	898828.0	1589681.0	1601106.0	1896006.0	1375427.0	1248068.0	1796268.0	1151604.0	2148372.0	1859480.0	1784546.0	1778970.0
