	ZeeviD_2015__PNP_Main_415__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	BritoIL_2016__WL.15.ST__bin.16	ZeeviD_2015__PNP_Main_487__bin.14	BritoIL_2016__WL.39.ST__bin.32	ZeeviD_2015__PNP_Main_607__bin.26	LiuW_2016__SRR3993015__bin.15	ZeeviD_2015__PNP_Validation_27__bin.17	ZellerG_2014__CCIS22958137ST-20-0__bin.2	ZeeviD_2015__PNP_Main_16__bin.15	ZeeviD_2015__PNP_Main_727__bin.17	ZeeviD_2015__PNP_Main_602__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES23__bin.47	ZeeviD_2015__PNP_Main_769__bin.12	ZeeviD_2015__PNP_Main_539__bin.51	BritoIL_2016__W2.46.ST__bin.25	ZeeviD_2015__PNP_Main_741__bin.63	ZeeviD_2015__PNP_Main_547__bin.27	LiJ_2014__MH0401__bin.50	ZeeviD_2015__PNP_Main_38__bin.17	LiSS_2016__FAT_017-22-84-0__bin.29	ZeeviD_2015__PNP_Main_29__bin.19	ZeeviD_2015__PNP_Main_561__bin.28	ZeeviD_2015__PNP_Main_482__bin.15	NielsenHB_2014__V1_UC23_1__bin.16	LiuW_2016__SRR3992960__bin.11	ZeeviD_2015__PNP_Main_122__bin.30	ZeeviD_2015__PNP_Main_668__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.108	ZeeviD_2015__PNP_Main_650__bin.28	RaymondF_2016__P9E0__bin.30	ZeeviD_2015__PNP_Validation_74__bin.28
ZeeviD_2015__PNP_Main_415__bin.46	1.0	0.7943374574918541	0.5494695695049484	0.8004347395121157	0.4796113395720974	0.9507604446771415	0.7918676643267065	0.5413155032100322	0.49059610526262276	0.9192338875700844	0.737652940369141	0.6122450146649926	0.6960743822657794	0.914233938401948	0.7133737361927951	0.7857062070788452	0.5704339007863689	0.7434528559882476	0.6440778337493074	0.7860029380817072	0.4182992166809843	0.6859607476350476	0.6930727607293355	0.7900701225556227	0.6041500404113315	0.5542795345834584	0.7478555307609022	0.5635385585100163	0.8963773401719134	0.7783082647526776	0.7293241395436316	0.7389955369623895
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	0.5516923792514687	1.0	0.5481818049426944	0.8920168525218987	0.46188301822012334	0.8145693026203316	0.8685734535269247	0.5228615395070898	0.45954410636135484	0.8219214293311021	0.8134960509900437	0.6102706474063895	0.8571189636766988	0.7664049291905467	0.7682350173940021	0.8816364969102092	0.5443923264273651	0.8568541812021212	0.6789393343633372	0.8580699740645567	0.4093289926659668	0.7071448461635889	0.7255953302962784	0.8621463002606784	0.6243195642033512	0.5689085357485025	0.8200061694316576	0.44854857280039684	0.7778130821077215	0.8421764060280378	0.8166235733189292	0.8336486451301428
BritoIL_2016__WL.15.ST__bin.16	0.6275400537872399	0.9014268277284397	1.0	0.9138736536862256	0.5619307964604339	0.8482114218786058	0.9115601927980831	0.6128029886315313	0.5460623995843318	0.8431062784193577	0.8292654253705674	0.7084349887011964	0.7894532888444452	0.8191683441918924	0.8268271478974937	0.9180629917374323	0.6308694636224965	0.8498151698594072	0.7538740310386917	0.9001358468877856	0.4818711167165691	0.7794142618913196	0.7807945011037559	0.9021118675899223	0.680031958851165	0.624431250009071	0.8792370513678301	0.520103452629929	0.7772945569809481	0.8853233112388627	0.8292842929938709	0.833428639020277
ZeeviD_2015__PNP_Main_487__bin.14	0.5279903801863357	0.8471907352711272	0.5278231483262773	1.0	0.44895467513639453	0.7806840076465615	0.8562623302062233	0.5230949713505418	0.4576494744770232	0.7849197098464359	0.8390688831803726	0.592688572782952	0.7452249855296241	0.7321578484342864	0.7823563262471452	0.8432928498111202	0.5448099655100006	0.7952084509509793	0.6524100458148236	0.8566848106947917	0.40522040027511524	0.7212852627656796	0.7584392363665169	0.8829100355462007	0.6148612541383599	0.5458783214280176	0.8002275023900745	0.4272312984275595	0.7346277666080308	0.8880996718651046	0.8240854952975994	0.8356819141048547
BritoIL_2016__WL.39.ST__bin.32	0.6707984671932431	0.9301278997845823	0.6881571837875115	0.9519300496953582	1.0	0.8734687928791315	0.9491982268923694	0.6652441755476087	0.5926669131291014	0.8775887442501973	0.849100115884741	0.7589206367262206	0.7933225861492851	0.8379124394804383	0.8553244772745047	0.9530373532778319	0.6637689556865282	0.8706249955565667	0.7917798261017938	0.9412133772226053	0.5464161044242377	0.7999850700640565	0.8353290273502207	0.9443850999239284	0.7429713771799484	0.678544260150579	0.9088438541985112	0.5704701863398195	0.7952732533752319	0.915200629901107	0.8482407558813284	0.8571231790810269
ZeeviD_2015__PNP_Main_607__bin.26	0.6087794280088125	0.7509741019282683	0.47554889224766617	0.757816514470657	0.39988364074282773	1.0	0.7311543774067752	0.45848476649829834	0.39960657551858186	0.8966265986683781	0.6891796062093531	0.5225808157760369	0.6541355341235727	0.8743181693352672	0.6598172020480856	0.73571395151562	0.47933626401345863	0.7057559181498064	0.5758347047587274	0.7234111977476754	0.35074829987326606	0.6130196244362578	0.6275157095168447	0.7301274866197026	0.5338399978843771	0.48685893067470054	0.688039204118955	0.47950510699152327	0.8757234311334245	0.719746694847848	0.6973605570597724	0.6967950347958932
LiuW_2016__SRR3993015__bin.15	0.5358340130216384	0.8462375221480931	0.5400888546453059	0.8783840200944096	0.4592318153460649	0.7726768311060911	1.0	0.5079672941296858	0.44786292668266386	0.7831582912012576	0.8070900555115806	0.5861040037044983	0.7490206684005346	0.7304366931075091	0.7404310133926901	0.8695677784317882	0.5226025562586287	0.8001140242520813	0.6696379472022997	0.8247062005201603	0.38626532308376266	0.6907775791860165	0.706848033447114	0.8348578845921505	0.5856267528756512	0.5671653149575999	0.8202608885206557	0.42290098851115376	0.7491608339592771	0.8292800692744626	0.7900319930037608	0.8057993284951852
ZeeviD_2015__PNP_Validation_27__bin.17	0.667421101616042	0.9282056826265304	0.6615650255552109	0.9777547451843077	0.586445867137973	0.8828471419215136	0.9255663354360367	1.0	0.6055676202473732	0.8803989495883903	0.8615850811468039	0.7381295967259247	0.7771815939808155	0.8469100287359023	0.8731327147436801	0.9325732577488226	0.7061471955075475	0.8653666569522395	0.7532511994183878	0.9674574523758042	0.5410747916882108	0.8438123799406481	0.8440254706013229	0.9534757280336432	0.741943292814771	0.657537455384143	0.8999703866655385	0.5708299254496056	0.7946354426175054	0.9559419390623385	0.875155509177	0.8795755735429143
ZellerG_2014__CCIS22958137ST-20-0__bin.2	0.6758334916184735	0.9114878248820739	0.6586581679946572	0.9557592303578353	0.5837456770650521	0.8597246451276331	0.9117652980035065	0.6765950109107333	1.0	0.8713146186320138	0.8498826647573248	0.7307696684239965	0.7476561399024729	0.84488902388107	0.873244676148603	0.9138800458312071	0.6692660442048819	0.8740473349888354	0.771341140510813	0.9436694551110636	0.5502186960864035	0.8413483968268279	0.8551774121123582	0.941712262999003	0.7653102578399287	0.6140235090633925	0.8842534441241784	0.5822611520999114	0.7826518902746984	0.9221105813543314	0.8510538289102484	0.8433756137013951
ZeeviD_2015__PNP_Main_16__bin.15	0.5848429697808595	0.7529248111303718	0.46967534798582183	0.757074121626866	0.39921024035600633	0.8909144491733719	0.7363514204030943	0.4543005840728571	0.4024135856769553	1.0	0.6846847429561977	0.5228685059894959	0.65213343445189	0.8408429762489975	0.6547983072882978	0.7382308187369021	0.474765368295775	0.7093667531241106	0.5738382415720162	0.7290792120514346	0.34982236876148093	0.6179477083387235	0.6218536551447569	0.7352057514682673	0.5344230259242969	0.4851823044681897	0.696965311376161	0.46426151651962433	0.8665679736617423	0.7217685991306823	0.6912899245815115	0.6889177349874518
