	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
VincentC_2016__MM094.1__bin.1	1.0	0.9872202419615826	0.9801567367754753	0.9748618469252888	0.9804776200174784	0.9688418626056744	0.9792638112302068	0.9751682964647109	0.976922760145591	0.9792814184783667	0.9797430783112504	0.9752960022287227	0.9789497684444918	0.9782114700590818	0.9662858778124106	0.9796054203940656	0.9786006826538741	0.9815667374024386	0.978263900637099	0.9818461899794837	0.9774509482249492	0.9763110596621631	0.9788765040169203	0.9782549853694117	0.9837051300683041	0.9777484580379061	0.9776402310417557	0.9799446863793156	0.9747045983670869	0.9823337491952526
VincentC_2016__MM002.2__bin.21	0.9872202419615826	1.0	0.9764613925172985	0.9734585123186159	0.9758865176468803	0.957160965168616	0.9736539180774229	0.9719501893157148	0.9723545521494983	0.975236955351913	0.9760082007382984	0.973345724008455	0.9731485940799467	0.9739937753864008	0.9589556430774762	0.9745796984227858	0.9751823197541373	0.9800302218727733	0.9737344694864326	0.9748619197603682	0.9731743300278323	0.96807532238962	0.9751981702135236	0.975561568615997	0.9857484213601396	0.9752481769360126	0.9699759897436881	0.975695166216281	0.9716972178312764	0.9814111338012877
GeversD_2014__SKBSTL066__bin.20	0.9801567367754753	0.9764613925172985	1.0	0.9687051915996837	0.9807682238921543	0.9708706786171575	0.9772662165977873	0.9699994552783527	0.9739234890266465	0.9798344681095744	0.9802405293281473	0.9689462706168643	0.9766392892810828	0.9741884629165174	0.9697785156816575	0.9745083946493482	0.9766197880917388	0.9772177234062107	0.9765983242564742	0.9813846697280113	0.9740318567797068	0.9758842926109172	0.9776320033088534	0.9763772195719732	0.9776821640061173	0.9793871662665025	0.9752765830831237	0.9782857575982479	0.9748819802109647	0.9781360513117024
VincentC_2016__MM103.2__bin.9	0.9748618469252888	0.9734585123186159	0.9687051915996837	1.0	0.9703516713091922	0.957032084093391	0.9660977907264042	0.9799226853714426	0.965877377371411	0.9712936716192616	0.972258156003739	0.9976983946933164	0.9647809235796097	0.9660895458990209	0.9565336043652263	0.9689104426764995	0.9675396380956297	0.9716708475152575	0.9679027369266275	0.9697840426493178	0.9662304936667364	0.964374429291542	0.9694059173187359	0.968455650020024	0.9726730111894941	0.9727335202380302	0.9633125207036024	0.9692619097108808	0.9631803312660046	0.9751728472658705
VincentC_2016__MM060.2__bin.9	0.9804776200174784	0.9758865176468803	0.9807682238921543	0.9703516713091922	1.0	0.9705442446811758	0.9912346729885826	0.9725813935599773	0.9742372017637608	0.9790172026194898	0.9764569375304113	0.9727767056868684	0.9903369405433239	0.9739635954088477	0.9688432584758844	0.9733008153523315	0.9758541001015143	0.9764825207924809	0.9768071594234575	0.9837932368124569	0.9739035087719298	0.9901539056918314	0.9773151537582498	0.9764677150657212	0.9768037751160938	0.9785274516026659	0.9864307192479176	0.9772706643672147	0.9771598723126738	0.977519145981979
VincentC_2016__MM004.2__bin.16	0.9688418626056744	0.957160965168616	0.9708706786171575	0.957032084093391	0.9705442446811758	1.0	0.9636137524023043	0.9575192535599365	0.9604361471822445	0.9648315878856496	0.9645460930838776	0.9544610079115741	0.9642057279077397	0.9607586737543289	0.987132644442215	0.9598032209489293	0.9614560500744318	0.9603371197624685	0.9613555706746594	0.9634624231641142	0.9596505786736432	0.9661151125503592	0.9628270188542007	0.9615717720270864	0.9596251195009952	0.9597862220631105	0.9638442571996004	0.959033177812338	0.9760806463144348	0.9665604552889858
VincentC_2016__MM089.1__bin.24	0.9792638112302068	0.9736539180774229	0.9772662165977873	0.9660977907264042	0.9912346729885826	0.9636137524023043	1.0	0.967874627281992	0.9703735954585796	0.9769678373756918	0.9762770778639837	0.9663809384528532	0.9842140313287199	0.9706623531200943	0.9636852203640637	0.9734689040188971	0.9734177605542592	0.9745956191932467	0.9740090791947721	0.9805063907583487	0.9704069103723499	0.984757351226453	0.9754628619765504	0.974147275640822	0.9749759280332362	0.976763907734057	0.982416171169112	0.97444715919306	0.9723142693906499	0.9758095398658494
VincentC_2016__MM096__bin.15	0.9751682964647109	0.9719501893157148	0.9699994552783527	0.9799226853714426	0.9725813935599773	0.9575192535599365	0.967874627281992	1.0	0.965393194612745	0.9695417466584039	0.9716655328634081	0.98190328726266	0.9654732361861191	0.967435937167096	0.9569678394985541	0.9671130430487292	0.9681337644451492	0.9711436629969975	0.9688758529009247	0.9715506252211616	0.966289577003317	0.9653816475164635	0.9705073640475738	0.9690661884628168	0.9734331949560026	0.972455978935715	0.9643153369055308	0.9696469863812337	0.9646762819514929	0.9734060947942854
NielsenHB_2014__O2_UC1_2__bin.30	0.976922760145591	0.9723545521494983	0.9739234890266465	0.965877377371411	0.9742372017637608	0.9604361471822445	0.9703735954585796	0.965393194612745	1.0	0.9708776907695573	0.9755289006960794	0.963391098857818	0.9694109246065528	0.9995031252542086	0.9602037847050618	0.9724232353209201	0.9721792375072726	0.9720793337768485	0.9718920036462396	0.9715076096062553	0.9992272149147522	0.9709467395425834	0.9725824285936513	0.9720152284119308	0.9742586897232055	0.9732881442447717	0.9698761182423481	0.9704552688901326	0.9661769311592007	0.9744417009602194
OhJ_2014__MET0251__bin.45	0.9792814184783667	0.975236955351913	0.9798344681095744	0.9712936716192616	0.9790172026194898	0.9648315878856496	0.9769678373756918	0.9695417466584039	0.9708776907695573	1.0	0.9746183238307357	0.9702716197582095	0.9763150855814592	0.9714014810939824	0.9621652981606569	0.9728089063533981	0.9744568933041258	0.9766992503090313	0.9756085892558917	0.9796613048348298	0.9708396905215452	0.9729650043323385	0.9767711480550716	0.9749710372415034	0.9754229334426979	0.9769079814539529	0.9705554998903244	0.9763216584599318	0.9739098200444833	0.9759889871405347
