	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
VincentC_2016__MM094.1__bin.1	1.0	0.7335337961037715	0.7474068075405879	0.45730260842920134	0.4604375049456276	0.40607011595076425	0.9030202421379253	0.8708378861167185	0.5314828127867411	0.6920208297205699	0.7090388393811694	0.4834677141014784	0.5685847002907608	0.44824811140162873	0.43536001643211064	0.655134445306831	0.9574112017832881	0.5617155392880654	0.9056298498717925	0.4874511540358846	0.6157596736475076	0.44213826206859397	0.8135342675167815	0.5909111571674139	0.7414383821105497	0.5767788685751036	0.4885253022515022	0.7140678060270154	0.7875173202190724	0.46287875089021296
VincentC_2016__MM002.2__bin.21	0.5218751085520444	1.0	0.6957308651942318	0.40571813241373034	0.47354324653561763	0.31562203166305924	0.8230922090475808	0.832327367812058	0.4163798896332648	0.7545891312602339	0.8261262761228624	0.44597432122780895	0.4849895730146505	0.3406048729536817	0.3731686895776861	0.5805237568769592	0.885124686621477	0.5849987961952583	0.8598651499126193	0.5046553105756343	0.5366705276258216	0.36206853182536325	0.7399829670612671	0.5741453884695868	0.7995479443686493	0.618269324060643	0.37465637663157464	0.7491019377063987	0.7319923387710172	0.49094750812418475
GeversD_2014__SKBSTL066__bin.20	0.35653625846909043	0.4664890660789838	1.0	0.4845034518872137	0.29144995325736717	0.48674661637951805	0.7821961969808435	0.7666884049357651	0.5495825288567491	0.4749003305716094	0.47120589567558363	0.4158488044487421	0.5388012040645209	0.5043505986590807	0.5204992948448177	0.6212979352927759	0.8202376324776165	0.39324448485121066	0.7876366539342519	0.3410525605646382	0.5939687547184359	0.5353541356789246	0.6524420214662731	0.4830160402725529	0.5010023162500522	0.3515632278438314	0.5344417708872105	0.5086040176176356	0.6879969416504165	0.29864285737232515
VincentC_2016__MM103.2__bin.9	0.25076674230995777	0.31271176582461957	0.5569503505503373	1.0	0.15909095105589788	0.6053174340860118	0.7174307623846655	0.7917018263330976	0.6970227686921712	0.3155977820328411	0.319015578578854	0.4761345108821091	0.5311987030468428	0.6259691604333271	0.6258602193224602	0.6910513186490563	0.7633198972629931	0.2660923562115821	0.7404588821164857	0.20434767355334513	0.7012493145019083	0.6217998548682828	0.577311259525423	0.5233060118875063	0.3554471478663237	0.23644098623095147	0.6633165736358819	0.373099300745785	0.6237247889035169	0.1733253073893463
VincentC_2016__MM060.2__bin.9	0.42390559656263854	0.612789973122363	0.5624912810433608	0.26710233032522873	1.0	0.15234226051157412	0.6610178161222421	0.6246818549599625	0.21900314037442686	0.6343370337877008	0.6211849720838384	0.35261630700647606	0.37327054651195235	0.18717313600332328	0.1958145908058021	0.3870565732407858	0.6626810055398313	0.45846986573581794	0.6382508765457742	0.4608956732274555	0.296863035653945	0.20827533612546617	0.5737600481131403	0.35542652360860955	0.6188459666494096	0.48841657547283873	0.22423606439472615	0.5806158605958961	0.5418990430073193	0.4264507568829381
VincentC_2016__MM004.2__bin.16	0.24021062213603991	0.2624291261691132	0.6035975471902939	0.6529923621091295	0.09788431717614157	1.0	0.8120554979568219	0.814324257300017	0.8285463307946733	0.28149347706790245	0.26515303170187826	0.4251115207758798	0.6283517234304677	0.7365012304882215	0.9232366570956494	0.7804412627368728	0.8496692969535083	0.2368144547259014	0.8124359483822391	0.17968514241494393	0.7861032016596403	0.8190071837406244	0.5915167522680124	0.5646272731165961	0.31774084155235727	0.19473683686345514	0.8555214610889845	0.38423501080100747	0.6965131021350042	0.11689986684235111
VincentC_2016__MM089.1__bin.24	0.38376179675593686	0.4916615985632821	0.6968403654758413	0.5560040926425449	0.30512582013837714	0.583389738342766	1.0	0.8516152343610255	0.6409099690189821	0.5088156379013044	0.48784728433133234	0.4549981039330867	0.6177779526770318	0.5692729835507252	0.6015018280947032	0.7003112411725564	0.9048739652125384	0.40615756673797787	0.8706510306733541	0.35848972904130566	0.6637300286914276	0.6351044267796198	0.6986677446820689	0.5630381431423195	0.5313029914927413	0.3796713007019025	0.6730229030573185	0.5531814571810851	0.7263581920823108	0.29707791046271187
VincentC_2016__MM096__bin.15	0.34437296851759874	0.46263603691655425	0.6355708656961269	0.570935603755571	0.2683194605527896	0.5443746995636433	0.7924482450522043	1.0	0.6142696783316978	0.46089700142877876	0.4599855391076591	0.46654021153382663	0.5556264988528491	0.5499826229608611	0.5771926694194738	0.673926185533515	0.85227452792377	0.36588321298124743	0.8153519815816701	0.31232997466014906	0.6404983548404708	0.5668689771248923	0.6576456974850564	0.5168091228789693	0.486431262158934	0.3560255715447988	0.5948014024136108	0.5081851846426921	0.684301143422491	0.2714579801888438
NielsenHB_2014__O2_UC1_2__bin.30	0.27292620213963475	0.30053793468355916	0.5916192162511261	0.652734717450283	0.12215405577851823	0.7192529088415989	0.7744417911789778	0.7976701601008434	1.0	0.3095813239314362	0.30330974213372114	0.43902801721529316	0.5859969255934833	0.7864860985988799	0.7487269224983271	0.7874518219057516	0.8559369072300427	0.29110376035537233	0.8279966385566543	0.19814532709229962	0.9129163114730003	0.7478796451118147	0.6169190919261381	0.6067941271573152	0.3724778367797926	0.2303522426049111	0.8027226999444946	0.41556448559023246	0.6846139614021922	0.15756765682845053
OhJ_2014__MET0251__bin.45	0.4635070202878481	0.7103971979742599	0.6667959724262985	0.38548264690393524	0.46148624190476406	0.3187236619391128	0.8019242501299636	0.7806372894505671	0.4037903126680928	1.0	0.7351562438330738	0.43588031849812864	0.4763973761455682	0.34490243993202424	0.3809685978707401	0.5504151504250739	0.8082098632478826	0.5345838403134011	0.7778553361743011	0.4912927230552545	0.49963294455151014	0.3748183047338312	0.678915004392261	0.5265965784342802	0.7149010980088792	0.5355581441766738	0.41641453922982635	0.693220581718045	0.6692475194155981	0.43907161471695005
