	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
VincentC_2016__MM094.1__bin.1	0.0	5568.0	8809.0	6828.0	5339.0	7515.0	11122.0	12844.0	7285.0	8516.0	8531.0	7094.0	7109.0	5801.0	8718.0	7936.0	12169.0	6150.0	11692.0	5256.0	8247.0	6221.0	10207.0	7632.0	7176.0	7623.0	6488.0	8506.0	11832.0	4857.0
VincentC_2016__MM002.2__bin.21	5568.0	0.0	13672.0	8990.0	9533.0	11288.0	18104.0	19491.0	9610.0	15600.0	16547.0	9924.0	10872.0	7395.0	12787.0	12320.0	18339.0	9753.0	18855.0	10591.0	12019.0	9650.0	15322.0	11714.0	9513.0	12776.0	9391.0	15200.0	17296.0	7619.0
GeversD_2014__SKBSTL066__bin.20	8809.0	13672.0	0.0	18879.0	6979.0	17654.0	22141.0	28639.0	17844.0	11924.0	11593.0	16079.0	15672.0	16209.0	19586.0	19720.0	23878.0	11155.0	22950.0	7905.0	19205.0	16075.0	18171.0	14207.0	13922.0	9023.0	16452.0	13751.0	21517.0	8130.0
VincentC_2016__MM103.2__bin.9	6828.0	8990.0	18879.0	0.0	5109.0	28172.0	26345.0	17217.0	25762.0	9813.0	9586.0	1187.0	20264.0	22992.0	29466.0	23271.0	26838.0	8165.0	25743.0	6688.0	25650.0	23994.0	19131.0	17880.0	10521.0	6983.0	26359.0	12422.0	24875.0	4661.0
VincentC_2016__MM060.2__bin.9	5339.0	9533.0	6979.0	5109.0	0.0	2895.0	3738.0	11050.0	3640.0	8587.0	9435.0	6193.0	2327.0	3144.0	3936.0	6667.0	10323.0	6956.0	9550.0	4819.0	4998.0	1323.0	8397.0	5396.0	9261.0	6766.0	1963.0	8514.0	7985.0	6185.0
VincentC_2016__MM004.2__bin.16	7515.0	11288.0	17654.0	28172.0	2895.0	0.0	29668.0	34734.0	32914.0	9940.0	9439.0	19438.0	22583.0	29019.0	11928.0	31499.0	32883.0	9431.0	31524.0	6592.0	31848.0	27865.0	22078.0	21786.0	12881.0	7863.0	31058.0	15805.0	16728.0	3925.0
VincentC_2016__MM089.1__bin.24	11122.0	18104.0	22141.0	26345.0	3738.0	29668.0	0.0	38237.0	26538.0	16379.0	16175.0	21379.0	13630.0	23342.0	30529.0	25968.0	33618.0	14421.0	31627.0	9767.0	27452.0	13530.0	23960.0	20344.0	18582.0	12330.0	16540.0	19756.0	28106.0	10044.0
VincentC_2016__MM096__bin.15	12844.0	19491.0	28639.0	17217.0	11050.0	34734.0	38237.0	0.0	31929.0	21085.0	19576.0	12681.0	28814.0	26900.0	37306.0	33289.0	40792.0	15858.0	38116.0	13346.0	32430.0	29475.0	29132.0	24012.0	19410.0	14729.0	31880.0	23168.0	36306.0	10843.0
NielsenHB_2014__O2_UC1_2__bin.30	7285.0	9610.0	17844.0	25762.0	3640.0	32914.0	26538.0	31929.0	0.0	10428.0	8585.0	18590.0	20733.0	452.0	34464.0	25117.0	27543.0	9401.0	26919.0	6530.0	816.0	25132.0	19564.0	19641.0	11090.0	7117.0	27969.0	14201.0	26783.0	4658.0
OhJ_2014__MET0251__bin.45	8516.0	15600.0	11924.0	9813.0	8587.0	9940.0	16379.0	21085.0	10428.0	0.0	16547.0	11491.0	10006.0	8747.0	12782.0	13272.0	18307.0	11046.0	16825.0	8861.0	12920.0	8986.0	13985.0	11688.0	15581.0	10967.0	10873.0	14556.0	15484.0	9349.0
