	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
VincentC_2016__MM094.1__bin.1	593959.0	435689.0	443929.0	271619.0	273481.0	241189.0	536357.0	517242.0	315679.0	411032.0	421140.0	287160.0	337716.0	266241.0	258586.0	389123.0	568663.0	333636.0	537907.0	289526.0	365736.0	262612.0	483206.0	350977.0	440384.0	342583.0	290164.0	424127.0	467753.0	274931.0
VincentC_2016__MM002.2__bin.21	435689.0	834853.0	580833.0	338715.0	395339.0	263498.0	687161.0	694871.0	347616.0	629971.0	689694.0	372323.0	404895.0	284355.0	311541.0	484652.0	738949.0	488388.0	717861.0	421313.0	448041.0	302274.0	617777.0	479327.0	667505.0	516164.0	312783.0	625390.0	611106.0	409869.0
GeversD_2014__SKBSTL066__bin.20	443929.0	580833.0	1245116.0	603263.0	362889.0	606056.0	973925.0	954616.0	684294.0	591306.0	586706.0	517780.0	670870.0	627975.0	648082.0	773588.0	1021291.0	489635.0	980699.0	424650.0	739560.0	666578.0	812366.0	601411.0	623806.0	437737.0	665442.0	633271.0	856636.0	371845.0
VincentC_2016__MM103.2__bin.9	271619.0	338715.0	603263.0	1083154.0	172320.0	655652.0	777088.0	857535.0	754983.0	341841.0	345543.0	515727.0	575370.0	678021.0	677903.0	748515.0	826793.0	288219.0	802031.0	221340.0	759561.0	673505.0	625317.0	566821.0	385004.0	256102.0	718474.0	404124.0	675590.0	187738.0
VincentC_2016__MM060.2__bin.9	273481.0	395339.0	362889.0	172320.0	645146.0	98283.0	426453.0	403011.0	141289.0	409240.0	400755.0	227489.0	240814.0	120754.0	126329.0	249708.0	427526.0	295780.0	411765.0	297345.0	191520.0	134368.0	370159.0	229302.0	399246.0	315100.0	144665.0	374582.0	349604.0	275123.0
VincentC_2016__MM004.2__bin.16	241189.0	263498.0	606056.0	655652.0	98283.0	1004073.0	815363.0	817641.0	831921.0	282640.0	266233.0	426843.0	630911.0	739501.0	926997.0	783620.0	853130.0	237779.0	815745.0	180417.0	789305.0	822343.0	593926.0	566927.0	319035.0	195530.0	859006.0	385800.0	699350.0	117376.0
VincentC_2016__MM089.1__bin.24	536357.0	687161.0	973925.0	777088.0	426453.0	815363.0	1397630.0	1190243.0	895755.0	711136.0	681830.0	635919.0	863425.0	795633.0	840677.0	978776.0	1264679.0	567658.0	1216848.0	501036.0	927649.0	887641.0	976479.0	786919.0	742565.0	530640.0	940637.0	773143.0	1015180.0	415205.0
VincentC_2016__MM096__bin.15	517242.0	694871.0	954616.0	857535.0	403011.0	817641.0	1190243.0	1501982.0	922622.0	692259.0	690890.0	700735.0	834541.0	826064.0	866933.0	1012225.0	1280101.0	549550.0	1224644.0	469114.0	962017.0	851427.0	987772.0	776238.0	730611.0	534744.0	893381.0	763285.0	1027808.0	407725.0
NielsenHB_2014__O2_UC1_2__bin.30	315679.0	347616.0	684294.0	754983.0	141289.0	831921.0	895755.0	922622.0	1156646.0	358076.0	350822.0	507800.0	677791.0	909686.0	866012.0	910803.0	990016.0	336704.0	957699.0	229184.0	1055921.0	865032.0	713557.0	701846.0	430825.0	266436.0	928466.0	480661.0	791856.0	182250.0
OhJ_2014__MET0251__bin.45	411032.0	629971.0	591306.0	341841.0	409240.0	282640.0	711136.0	692259.0	358076.0	886787.0	651927.0	386533.0	422463.0	305855.0	337838.0	488101.0	716710.0	474062.0	689792.0	435672.0	443068.0	332384.0	602053.0	466979.0	633965.0	474926.0	369271.0	614739.0	593480.0	389363.0
