	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
VincentC_2016__MM094.1__bin.1	1.0	0.7241594116765635	0.7325758175227584	0.44580686545704334	0.4514486690158749	0.3934177274862406	0.8842950439340089	0.8492134979013704	0.5192176564375656	0.6776831397453359	0.6946758951375431	0.4715241287698309	0.556615860690721	0.4384814440053943	0.42068223564252755	0.6417732537094312	0.9369232556455918	0.5513612892472377	0.8859449894689702	0.47860205839123576	0.6018748768854415	0.43166447515737616	0.796349579684793	0.5780617854094307	0.7293567401116912	0.5639446493781557	0.47760198936290216	0.6997469522307096	0.7675967533112555	0.4547014187847983
VincentC_2016__MM002.2__bin.21	0.5152056709384765	1.0	0.6793543294448244	0.39494976960015715	0.462124469816842	0.30210108845509326	0.8014069542781783	0.8089807427175802	0.4048688811084107	0.7359032069118755	0.8063060203413056	0.434087198584661	0.4719669211226408	0.3317470261231618	0.35785222069034905	0.5657666679044095	0.8631579451711857	0.5733165000305444	0.8372803355800362	0.4919692448850277	0.5222739811679421	0.3505096106739749	0.7216300354673217	0.5601141757890311	0.7881531239631407	0.602966031145603	0.3634076897369956	0.7308951396233828	0.7112749190576065	0.4818213505850731
GeversD_2014__SKBSTL066__bin.20	0.3494614156432011	0.4555085630575786	1.0	0.4693410091911115	0.2858448530096794	0.47256801775898793	0.7644139180606465	0.7436873351559212	0.5352513340122527	0.46532371281069396	0.4618951165995779	0.4029351482110904	0.5262144250013654	0.4913325344787152	0.5047690335679568	0.6054600535211176	0.8010603028151593	0.3842854802283482	0.7692046363551669	0.33470375450962003	0.5785444890275284	0.5224436919933564	0.6378482004889504	0.47160585840997943	0.4898210287234282	0.3443165134814748	0.5212285441677723	0.4975600666925813	0.6707158208552456	0.29211334526261007
VincentC_2016__MM103.2__bin.9	0.24446292955572338	0.3044119303441616	0.5395206960413754	1.0	0.1543741702472594	0.5793082054813997	0.6931082745389853	0.7758065796738045	0.6732385237925539	0.30653812846557366	0.31016549816554245	0.4750386371651677	0.5124903753298238	0.6047422619498243	0.5986563314173239	0.6695668390644359	0.7385422571490295	0.2585541852774398	0.7166921785821776	0.19817311296454612	0.6775684713346394	0.5996478801721639	0.5596489511186774	0.5067986639019013	0.34573384763385445	0.22999407286498505	0.6389811605736582	0.36163094075265384	0.6007594487949082	0.16902213351010104
VincentC_2016__MM060.2__bin.9	0.4156299504298252	0.5980134729193083	0.5516735746637196	0.2591831926416656	1.0	0.14785490416122862	0.6552237788035576	0.6075539490285919	0.21336100665585775	0.6210268683367796	0.6065603754808988	0.3430169295012292	0.3696636110275814	0.18229982050574597	0.18971364621341527	0.3767224783227362	0.6466799763154387	0.44768781020110177	0.6234480257182096	0.4534260461972949	0.2891159520480635	0.20622463752390932	0.5607443896420345	0.34706252538185156	0.6044910764385116	0.477929026917938	0.22119334228221207	0.5674188478266935	0.5295219996713922	0.41686377967157817
VincentC_2016__MM004.2__bin.16	0.23272610656794876	0.2511869156923849	0.5860151602522924	0.6249346412063664	0.09500106067985097	1.0	0.7825078455450949	0.7797311550056619	0.7957658457104215	0.271593798458877	0.25575232079739224	0.4057523705945683	0.6058603308723569	0.707599945422295	0.9113570427648189	0.7490700377363001	0.8169196861184396	0.22742171136959166	0.7810398247936156	0.17311988271769085	0.7543843923698775	0.7912552174991261	0.5695283111885291	0.5429296475455471	0.3049120930450276	0.18690573294969587	0.8245894471816292	0.3684941234352482	0.6798529588984068	0.11299078851836471
VincentC_2016__MM089.1__bin.24	0.37580403969577075	0.4787082418093487	0.6809985475411948	0.5371543255368016	0.30245129254523734	0.5621623748774712	1.0	0.8242567775448438	0.6219221110021965	0.4970965133833704	0.47627412119087315	0.4397014946731252	0.6080257292702647	0.5525718537810437	0.5796584217568312	0.681731216416362	0.8808203888010417	0.39583938524502194	0.848022008686133	0.351501470346229	0.6440882064637995	0.6254237530676932	0.6815244377982728	0.5484820732239577	0.5180076271974701	0.3708492233280625	0.6611885835306912	0.5390460994683858	0.7062484348504253	0.28989145911292685
VincentC_2016__MM096__bin.15	0.3358216010578023	0.4496591836653169	0.6165033935160341	0.5594727500063249	0.2609625148636935	0.5212492559830944	0.766990549820171	1.0	0.593011767118381	0.44685888379487904	0.4469520939665056	0.4580973673452811	0.5364425139582232	0.5320729542697582	0.552354821828757	0.6517628040815402	0.8251157470595519	0.3553251636837192	0.7899748465693996	0.30344438215637737	0.618906884370119	0.5472449070628009	0.6382499923434503	0.5008222468711343	0.473508337649852	0.3462191957027448	0.5735761147603633	0.49276023281237724	0.6601290827719639	0.26423885239636696
NielsenHB_2014__O2_UC1_2__bin.30	0.2666278187103055	0.29222942888316733	0.5761918512665068	0.6304616970101483	0.11900702548575796	0.6907964926174474	0.7514978653797272	0.7700653441070129	1.0	0.3005656008839351	0.2958874193141203	0.42295568393441035	0.568071821456176	0.7860953135185701	0.7189304246934671	0.765736448316944	0.832124089825236	0.2829759494261857	0.804723312059178	0.19249969307808956	0.9122108233634145	0.7261513029915808	0.6000046686713134	0.5898131321078359	0.36288976921201477	0.22419910672755536	0.7785415762471836	0.40328674460465863	0.6614582162563135	0.15354049553623147
OhJ_2014__MET0251__bin.45	0.453903812302165	0.6928056004429475	0.6533496769799286	0.3744168554568347	0.45180296959698324	0.30751465684544316	0.7834542003885939	0.7568604411205848	0.39203100631831544	1.0	0.71649674611829	0.42292230264990355	0.46511394506234305	0.33503874098289665	0.36655476456014807	0.5354487605253573	0.787565672478284	0.5221276360614218	0.7588823471701773	0.4813004701241673	0.48506349326275644	0.3646850934891918	0.6631445882720428	0.5134164122838969	0.6973309261412267	0.5231910255788594	0.4041534212838032	0.6768062680215203	0.651786731199262	0.4285290605297552
