	HMP_2012__SRS024561__bin.28	CM_periimplantitis__SP_261SPT_T016__bin.3	HMP_2012__SRS014578__bin.49	CM_periimplantitis__SP_201SPI_T016__bin.7	CM_periimplantitis__SP_304SPI_T016__bin.6	HMP_2012__SRS051941__bin.47	HMP_2012__SRS014107__bin.7	HMP_2012__SRS049268__bin.47	HMP_2012__SRS018157__bin.52	CM_periimplantitis__SP_326SPI_T016__bin.3	HMP_2012__SRS015650__bin.14	CM_periimplantitis__SP_125SPI_T016__bin.4	HMP_2012__SRS017691__bin.13	HMP_2012__SRS022602__bin.81	HMP_2012__SRS023964__bin.22	CM_periimplantitis__SP_325SPI_T016__bin.2	HMP_2012__SRS011126__bin.74	HMP_2012__SRS047634__bin.17	CM_periimplantitis__SP_189SPI_T016__bin.38	HMP_2012__SRS063603__bin.41	HMP_2012__SRS019128__bin.42	CM_periimplantitis__SP_281SPI_T016__bin.1	HMP_2012__SRS058808__bin.44	HMP_2012__SRS016043__bin.17	HMP_2012__SRS063999__bin.47	HMP_2012__SRS064449__bin.46	HMP_2012__SRS019029__bin.15	HMP_2012__SRS055378__bin.37	HMP_2012__SRS017511__bin.27	HMP_2012__SRS020226__bin.25	HMP_2012__SRS015215__bin.13	HMP_2012__SRS014476__bin.36	HMP_2012__SRS024087__bin.47	HMP_2012__SRS011255__bin.25	HMP_2012__SRS016331__bin.45
HMP_2012__SRS024561__bin.28	2054713.0	1817870.0	1839521.0	1880404.0	1745101.0	1467374.0	1181278.0	1891781.0	1945144.0	1477366.0	1817301.0	1853047.0	1903005.0	1774261.0	1236636.0	1091133.0	1390542.0	1890146.0	1808951.0	1263175.0	1742685.0	1478586.0	1907879.0	1877264.0	1837231.0	1832247.0	1788586.0	1205129.0	1745262.0	973599.0	883858.0	1828951.0	1114849.0	1702376.0	1474640.0
CM_periimplantitis__SP_261SPT_T016__bin.3	1817870.0	2060648.0	1832596.0	1801144.0	1931149.0	1373354.0	1215251.0	1794589.0	1815887.0	1499290.0	1796966.0	1833372.0	1794153.0	1685814.0	1186536.0	1133724.0	1510475.0	1776640.0	1948142.0	1198036.0	1647357.0	1567521.0	1787858.0	1833040.0	1834964.0	1735335.0	1823509.0	1174224.0	1710055.0	943118.0	909894.0	2012211.0	1079640.0	1758777.0	1426384.0
HMP_2012__SRS014578__bin.49	1839521.0	1832596.0	2072074.0	1866639.0	1791149.0	1390293.0	1210667.0	1862463.0	1858329.0	1468478.0	1893986.0	1939899.0	1845704.0	1719679.0	1185285.0	1087320.0	1406992.0	1807682.0	1839116.0	1218501.0	1687298.0	1479668.0	1808405.0	1891159.0	2068686.0	1774662.0	1786380.0	1247696.0	1725959.0	949268.0	882737.0	1852082.0	1158508.0	1719632.0	1436579.0
CM_periimplantitis__SP_201SPI_T016__bin.7	1880404.0	1801144.0	1866639.0	2119166.0	1763822.0	1427504.0	1214569.0	1882550.0	1888781.0	1498430.0	1829902.0	1891514.0	1860537.0	1729802.0	1217482.0	1080279.0	1355843.0	1852684.0	1792786.0	1232641.0	1700752.0	1470209.0	1848996.0	1873309.0	1867094.0	1802285.0	1782254.0	1209342.0	1747042.0	967879.0	852555.0	1802780.0	1104706.0	1713354.0	1456888.0
CM_periimplantitis__SP_304SPI_T016__bin.6	1745101.0	1931149.0	1791149.0	1763822.0	1993800.0	1319353.0	1176220.0	1730867.0	1752808.0	1456190.0	1755523.0	1772414.0	1725901.0	1625723.0	1144521.0	1091034.0	1457596.0	1710530.0	1896112.0	1153394.0	1577697.0	1495668.0	1705009.0	1762302.0	1792879.0	1663307.0	1761332.0	1138607.0	1644848.0	910025.0	883445.0	1933086.0	1052819.0	1677776.0	1378727.0
HMP_2012__SRS051941__bin.47	1467374.0	1373354.0	1390293.0	1427504.0	1319353.0	1515945.0	889764.0	1426804.0	1470133.0	1130756.0	1382664.0	1408628.0	1442731.0	1355103.0	953177.0	871940.0	1075900.0	1438423.0	1355727.0	1003435.0	1341489.0	1133468.0	1445436.0	1399975.0	1393934.0	1403459.0	1351241.0	967432.0	1347238.0	781983.0	713482.0	1383410.0	898255.0	1306692.0	1137095.0
HMP_2012__SRS014107__bin.7	1181278.0	1215251.0	1210667.0	1214569.0	1176220.0	889764.0	1308443.0	1197590.0	1191185.0	1004512.0	1188447.0	1210780.0	1183357.0	1126419.0	822363.0	747701.0	894547.0	1167808.0	1210515.0	760382.0	1078068.0	999426.0	1160674.0	1202723.0	1207538.0	1142779.0	1183061.0	765639.0	1139160.0	647208.0	560843.0	1221607.0	707001.0	1192564.0	962008.0
HMP_2012__SRS049268__bin.47	1891781.0	1794589.0	1862463.0	1882550.0	1730867.0	1426804.0	1197590.0	2022378.0	1911617.0	1497283.0	1801184.0	1858798.0	1901949.0	1767700.0	1221267.0	1071031.0	1364732.0	1869680.0	1786600.0	1226923.0	1732876.0	1452598.0	1853339.0	1856634.0	1862713.0	1905610.0	1780596.0	1189577.0	1748823.0	967930.0	863679.0	1804816.0	1099865.0	1736331.0	1467189.0
HMP_2012__SRS018157__bin.52	1945144.0	1815887.0	1858329.0	1888781.0	1752808.0	1470133.0	1191185.0	1911617.0	2078272.0	1490336.0	1814794.0	1860458.0	1914224.0	1757036.0	1230175.0	1090156.0	1396953.0	1999902.0	1819422.0	1250200.0	1756807.0	1466084.0	1912774.0	1855915.0	1857846.0	1839967.0	1805802.0	1201865.0	1766500.0	970720.0	878755.0	1838587.0	1109683.0	1717881.0	1481560.0
CM_periimplantitis__SP_326SPI_T016__bin.3	1477366.0	1499290.0	1468478.0	1498430.0	1456190.0	1130756.0	1004512.0	1497283.0	1490336.0	1644971.0	1452677.0	1473246.0	1483492.0	1388912.0	1018410.0	928109.0	1137248.0	1458968.0	1499618.0	961862.0	1348099.0	1236510.0	1454651.0	1473194.0	1478174.0	1434488.0	1490314.0	950347.0	1396475.0	808106.0	751583.0	1516198.0	888317.0	1425512.0	1207658.0
HMP_2012__SRS015650__bin.14	1817301.0	1796966.0	1893986.0	1829902.0	1755523.0	1382664.0	1188447.0	1801184.0	1814794.0	1452677.0	1991175.0	1898208.0	1804344.0	1699024.0	1186934.0	1092396.0	1378455.0	1764278.0	1798274.0	1213192.0	1662518.0	1466711.0	1790348.0	1847525.0	1897857.0	1748172.0	1767262.0	1223190.0	1706428.0	939427.0	871517.0	1809465.0	1135971.0	1689376.0	1436106.0
