	HMP_2012__SRS024561__bin.28	CM_periimplantitis__SP_261SPT_T016__bin.3	HMP_2012__SRS014578__bin.49	CM_periimplantitis__SP_201SPI_T016__bin.7	CM_periimplantitis__SP_304SPI_T016__bin.6	HMP_2012__SRS051941__bin.47	HMP_2012__SRS014107__bin.7	HMP_2012__SRS049268__bin.47	HMP_2012__SRS018157__bin.52	CM_periimplantitis__SP_326SPI_T016__bin.3	HMP_2012__SRS015650__bin.14	CM_periimplantitis__SP_125SPI_T016__bin.4	HMP_2012__SRS017691__bin.13	HMP_2012__SRS022602__bin.81	HMP_2012__SRS023964__bin.22	CM_periimplantitis__SP_325SPI_T016__bin.2	HMP_2012__SRS011126__bin.74	HMP_2012__SRS047634__bin.17	CM_periimplantitis__SP_189SPI_T016__bin.38	HMP_2012__SRS063603__bin.41	HMP_2012__SRS019128__bin.42	CM_periimplantitis__SP_281SPI_T016__bin.1	HMP_2012__SRS058808__bin.44	HMP_2012__SRS016043__bin.17	HMP_2012__SRS063999__bin.47	HMP_2012__SRS064449__bin.46	HMP_2012__SRS019029__bin.15	HMP_2012__SRS055378__bin.37	HMP_2012__SRS017511__bin.27	HMP_2012__SRS020226__bin.25	HMP_2012__SRS015215__bin.13	HMP_2012__SRS014476__bin.36	HMP_2012__SRS024087__bin.47	HMP_2012__SRS011255__bin.25	HMP_2012__SRS016331__bin.45
HMP_2012__SRS024561__bin.28	1.0	0.9699450455753161	0.9709027513140649	0.9734982482487806	0.9698177927810482	0.9796357302228335	0.971551997074355	0.9761002991361051	0.9784067400665452	0.9736287419637382	0.9716464141053133	0.971466994631005	0.9769948055838004	0.9778876952150782	0.9795768520405358	0.9701887854184595	0.9688560288002808	0.9788386717216554	0.9702689569811455	0.972076711461199	0.9768495166940669	0.9690393389359835	0.9794924101580865	0.9697400046024427	0.9708724705820879	0.9765533795388941	0.9724955914895901	0.9705749343016391	0.9742342410480489	0.9773037975593648	0.9715633054178386	0.9691342195608302	0.9714750607481372	0.9707614534039484	0.9821183475288884
CM_periimplantitis__SP_261SPT_T016__bin.3	0.9699450455753161	1.0	0.9789238872070003	0.973258107069729	0.9963902319292814	0.96957594327464	0.9786537925087081	0.9686970108476092	0.9693372990720237	0.9714124685684558	0.9782438844140624	0.979476614675036	0.968826515910293	0.9693803705509624	0.9691859328330535	0.9953242588143146	0.9939257518330327	0.9691062905259366	0.9961922693520288	0.9743129588760271	0.9691408723185078	0.9947445680153567	0.9695009335193288	0.9784009077816087	0.9789843288478685	0.9689789003276025	0.9725589509018052	0.9788430486857703	0.9732026162901193	0.9699358934937091	0.9739442176781031	0.9959686136294852	0.9777916712978401	0.9788858962790621	0.9729371613815073
HMP_2012__SRS014578__bin.49	0.9709027513140649	0.9789238872070003	1.0	0.972707631202391	0.9797392623394257	0.9697308409090746	0.9784044662983298	0.9689583095073566	0.9697093464074446	0.9708684774303735	0.9826250035639122	0.9828449831666494	0.9690410813434873	0.9697868032347897	0.970323593059897	0.9793253136151271	0.9780041393270182	0.9698542110835866	0.979179671102856	0.9763964083738955	0.9691157104435613	0.9792764322807549	0.9695776112098783	0.978065831587931	0.9998912353058899	0.9691665229773332	0.9726239657855551	0.9839680499095934	0.9744959179215729	0.9700969589199256	0.9731890699041731	0.9799857673688314	0.9797308262005959	0.9782750030239028	0.9732280647287758
CM_periimplantitis__SP_201SPI_T016__bin.7	0.9734982482487806	0.973258107069729	0.972707631202391	1.0	0.9732240554885924	0.9737107566773894	0.9723704458124651	0.9722721840057369	0.973478661634144	0.9725085589583764	0.9734674315892327	0.972101184553749	0.9728728856238817	0.9738750446582903	0.9740324702952488	0.9721581184120028	0.9717939318932944	0.9732415241886906	0.9731830792966925	0.9737571604384407	0.9728814077537465	0.9722753703725117	0.9735629498387233	0.972412986859082	0.9725461064092114	0.9726708040071353	0.9726200642557121	0.9720633203841428	0.9746113716785286	0.9746796862004444	0.9727067461923278	0.9726505730039162	0.972160918832703	0.9726845707308589	0.9767243604175475
CM_periimplantitis__SP_304SPI_T016__bin.6	0.9698177927810482	0.9963902319292814	0.9797392623394257	0.9732240554885924	1.0	0.9699610339310253	0.9792411283603407	0.9687688308807089	0.9694176430048242	0.9710339996841072	0.9788763804290801	0.9798427455436484	0.9685978512093104	0.9693422557225309	0.9698100777530513	0.9947966791135748	0.9937390058699392	0.9692130509257365	0.9962338722607104	0.9746998857285541	0.9691265179562362	0.9943577050521907	0.9692752354972907	0.9785473772372726	0.9799183324697316	0.9691734598603866	0.9723646649240462	0.9797875825460409	0.9733282345845938	0.9699623636713277	0.973567115100544	0.9958744722169629	0.9780874015381561	0.9789727591764336	0.9732122457890503
HMP_2012__SRS051941__bin.47	0.9796357302228335	0.96957594327464	0.9697308409090746	0.9737107566773894	0.9699610339310253	1.0	0.9711091929994919	0.9783305906066986	0.9811064713192615	0.9735239078987863	0.9707528365532045	0.9695093381645119	0.9776541850143928	0.9786982982105419	0.9809951352162295	0.9692937587448678	0.9681791988102983	0.9810639846554178	0.9699187225746776	0.9724197381992854	0.9783867031336075	0.9684155176855456	0.9818642956173778	0.9696187431918427	0.9696692956768398	0.9782629916513415	0.9724038865013717	0.9689197793746744	0.9741760550103248	0.9792680915058256	0.972344081560572	0.9685588509552483	0.9696689692793249	0.9701306811398555	0.979923401298924
HMP_2012__SRS014107__bin.7	0.971551997074355	0.9786537925087081	0.9784044662983298	0.9723704458124651	0.9792411283603407	0.9711091929994919	1.0	0.9700607052497099	0.9705050013222127	0.9727469656908031	0.9777188212852571	0.9791836667272337	0.9697293378076101	0.9704381762026386	0.9705045095657271	0.9781944921833727	0.9777194490619274	0.9702844988217241	0.9780663601855408	0.9745272770791523	0.9706113157982613	0.9786697564401967	0.9700544683520093	0.9773131469174532	0.9783675544786168	0.9699985736524734	0.9733132949188588	0.977967423289566	0.9734690473682363	0.9704098218810645	0.9741175337839645	0.979242915274716	0.9767143186501858	0.9933697478709738	0.973616643520636
HMP_2012__SRS049268__bin.47	0.9761002991361051	0.9686970108476092	0.9689583095073566	0.9722721840057369	0.9687688308807089	0.9783305906066986	0.9700607052497099	1.0	0.9771952226832048	0.9747081880980416	0.969919230905893	0.9686092840642179	0.9791014375254016	0.9795372517961193	0.9785878108554477	0.9685788740008459	0.9672668333416378	0.9773399726156348	0.9686661815739394	0.9712402489805799	0.9791768135746586	0.9677557039180833	0.9780353189567585	0.9688113004501695	0.9689114748219398	0.9980043135793788	0.9728663885575392	0.9687847024614632	0.9733620840988482	0.9810316861756532	0.9732400579381923	0.9679280325529029	0.9692780477604069	0.9695760773723443	0.9798676244164862
HMP_2012__SRS018157__bin.52	0.9784067400665452	0.9693372990720237	0.9697093464074446	0.973478661634144	0.9694176430048242	0.9811064713192615	0.9705050013222127	0.9771952226832048	1.0	0.9741380467223498	0.9707019088667915	0.9698251720812832	0.9769755263751787	0.9778171875818139	0.9813384274595078	0.9691851441445077	0.9672386973649078	0.999630981918114	0.969151191971956	0.9720060790273556	0.9775701030335148	0.9684451914078593	0.9815937481375218	0.9691769289002998	0.9695948964553575	0.9771767645832778	0.9726381962142029	0.9692918921842304	0.9738080951033117	0.9785756963903083	0.972393898185501	0.9682919546369032	0.9697391056725209	0.97027267895739	0.9795857069575312
CM_periimplantitis__SP_326SPI_T016__bin.3	0.9736287419637382	0.9714124685684558	0.9708684774303735	0.9725085589583764	0.9710339996841072	0.9735239078987863	0.9727469656908031	0.9747081880980416	0.9741380467223498	1.0	0.9713102086699246	0.9708147858538221	0.9738549314724987	0.974657141705162	0.9741695387908602	0.9710734407273284	0.9704954416275078	0.9740453526054033	0.9712413427952985	0.9709459361114172	0.9748453192235882	0.9704118850636064	0.973676847573748	0.9702761482873267	0.9707416041683862	0.9748223756490121	0.9747442485274915	0.9703908151443631	0.9729311301670277	0.9760662586343871	0.974638862241429	0.9707254593397432	0.9709720741582115	0.9723636139155616	0.9772758512757751
HMP_2012__SRS015650__bin.14	0.9716464141053133	0.9782438844140624	0.9826250035639122	0.9734674315892327	0.9788763804290801	0.9707528365532045	0.9777188212852571	0.969919230905893	0.9707019088667915	0.9713102086699246	1.0	0.9820235717055243	0.9696665380880808	0.9705666311953216	0.9707945007894289	0.977584136155753	0.9775995589264793	0.9709280510214376	0.9785216268488561	0.9763738963000086	0.969822281623417	0.9781797504757243	0.9703281149809981	0.9786617231160607	0.982723672015331	0.9702346222225273	0.9727646494973581	0.9830116335156436	0.9745931266950613	0.9706831930527864	0.9731124005613201	0.9787926265498366	0.9789721744657214	0.9776828840944822	0.9739176634593826
CM_periimplantitis__SP_125SPI_T016__bin.4	0.971466994631005	0.979476614675036	0.9828449831666494	0.972101184553749	0.9798427455436484	0.9695093381645119	0.9791836667272337	0.9686092840642179	0.9698251720812832	0.9708147858538221	0.9820235717055243	1.0	0.9682939662666986	0.9696286837138768	0.9700573600170005	0.9794090121427281	0.9784847063313482	0.9697683238519251	0.9792415801433817	0.9755121254449528	0.969309404106112	0.9794569930371879	0.9691933962212466	0.9782849986741072	0.9828862837781203	0.9688077875665079	0.9721785724061535	0.9849289975526194	0.974037323093814	0.9700450863922485	0.9726217401338565	0.980273423980492	0.9807390995931808	0.9787727069899497	0.9728253963020282
HMP_2012__SRS017691__bin.13	0.9769948055838004	0.968826515910293	0.9690410813434873	0.9728728856238817	0.9685978512093104	0.9776541850143928	0.9697293378076101	0.9791014375254016	0.9769755263751787	0.9738549314724987	0.9696665380880808	0.9682939662666986	1.0	0.9868970020750921	0.9788660031106244	0.9688299805309176	0.9672301318711158	0.9773750945895582	0.9688338241795955	0.9719888518607319	0.9787645904492146	0.9679220189860032	0.9778537324477176	0.9687377341005441	0.9689432051590835	0.979494744485676	0.9726226547742317	0.9691391199001667	0.9732026923522465	0.9840625617685965	0.9725780425920119	0.9676036218164118	0.9697750888755886	0.9693159321234975	0.9799923044700932
HMP_2012__SRS022602__bin.81	0.9778876952150782	0.9693803705509624	0.9697868032347897	0.9738750446582903	0.9693422557225309	0.9786982982105419	0.9704381762026386	0.9795372517961193	0.9778171875818139	0.974657141705162	0.9705666311953216	0.9696286837138768	0.9868970020750921	1.0	0.978972394955344	0.9700263536689644	0.9683888362266797	0.9778177242495056	0.969642335317139	0.9725209239481728	0.9789371295033127	0.9682950301192895	0.9792811890655088	0.9694907024787388	0.9699455309157073	0.9796351497759949	0.9736180091052514	0.9696807586757912	0.9737062649703432	0.9826633836470032	0.9732620128232836	0.9688036707139704	0.9704673656724631	0.9701717291013562	0.980104836099681
HMP_2012__SRS023964__bin.22	0.9795768520405358	0.9691859328330535	0.970323593059897	0.9740324702952488	0.9698100777530513	0.9809951352162295	0.9705045095657271	0.9785878108554477	0.9813384274595078	0.9741695387908602	0.9707945007894289	0.9700573600170005	0.9788660031106244	0.978972394955344	1.0	0.9700566038712081	0.9687750687847227	0.9816313722766432	0.9698941577498741	0.9731627843611226	0.9784645003530775	0.96867251999468	0.981294704564198	0.9695644469944986	0.9701725316811457	0.9785146768470033	0.9733618145205781	0.9700798891406756	0.973885709951712	0.9793934434220769	0.9730667160402394	0.9689177250742591	0.9708253766178655	0.9696736411358947	0.9806398854550452
CM_periimplantitis__SP_325SPI_T016__bin.2	0.9701887854184595	0.9953242588143146	0.9793253136151271	0.9721581184120028	0.9947966791135748	0.9692937587448678	0.9781944921833727	0.9685788740008459	0.9691851441445077	0.9710734407273284	0.977584136155753	0.9794090121427281	0.9688299805309176	0.9700263536689644	0.9700566038712081	1.0	0.9924213111816477	0.9692578660400946	0.9953475075681308	0.9750699984294356	0.9690550980558621	0.9940912870398305	0.969329413563101	0.9782917317765017	0.9793050290601076	0.9689101034512769	0.9726139719449427	0.9792616743080319	0.973183906870285	0.9704922847092322	0.9739859084487887	0.9949523525517642	0.9771515231088563	0.9787415089182316	0.9724258329015836
HMP_2012__SRS011126__bin.74	0.9688560288002808	0.9939257518330327	0.9780041393270182	0.9717939318932944	0.9937390058699392	0.9681791988102983	0.9777194490619274	0.9672668333416378	0.9672386973649078	0.9704954416275078	0.9775995589264793	0.9784847063313482	0.9672301318711158	0.9683888362266797	0.9687750687847227	0.9924213111816477	1.0	0.9670475095247292	0.9934380166592631	0.9747778078446394	0.9675260659693043	0.9935244281137935	0.9675741299228932	0.9773825812010822	0.9779134807603257	0.9680655435137355	0.9722481152945724	0.9784770141380685	0.9723014915938667	0.9691663763900319	0.9740991526363807	0.9946912329780222	0.9771738195080304	0.9783997040124436	0.9724194660847345
HMP_2012__SRS047634__bin.17	0.9788386717216554	0.9691062905259366	0.9698542110835866	0.9732415241886906	0.9692130509257365	0.9810639846554178	0.9702844988217241	0.9773399726156348	0.999630981918114	0.9740453526054033	0.9709280510214376	0.9697683238519251	0.9773750945895582	0.9778177242495056	0.9816313722766432	0.9692578660400946	0.9670475095247292	1.0	0.969125110485866	0.9718873389012014	0.9778464393963211	0.9684766619852458	0.9816196474930322	0.9693776501708072	0.9697016263569097	0.9773718789898292	0.9729333695817581	0.9691627370355713	0.973680763645054	0.9786119302375571	0.9732495932022717	0.9682666869172604	0.9699037594511277	0.9701199628334192	0.9797263037205006
CM_periimplantitis__SP_189SPI_T016__bin.38	0.9702689569811455	0.9961922693520288	0.979179671102856	0.9731830792966925	0.9962338722607104	0.9699187225746776	0.9780663601855408	0.9686661815739394	0.969151191971956	0.9712413427952985	0.9785216268488561	0.9792415801433817	0.9688338241795955	0.969642335317139	0.9698941577498741	0.9953475075681308	0.9934380166592631	0.969125110485866	1.0	0.9749220253275952	0.9690772211336907	0.9944902909193163	0.9695089804913589	0.9785504556766818	0.979238354371374	0.9691754070811844	0.9727651597071116	0.9790549968683324	0.973555938359719	0.970246782145912	0.9738902678618415	0.9955063383829361	0.9776274680084563	0.9787890786911287	0.9730435070333989
HMP_2012__SRS063603__bin.41	0.972076711461199	0.9743129588760271	0.9763964083738955	0.9737571604384407	0.9746998857285541	0.9724197381992854	0.9745272770791523	0.9712402489805799	0.9720060790273556	0.9709459361114172	0.9763738963000086	0.9755121254449528	0.9719888518607319	0.9725209239481728	0.9731627843611226	0.9750699984294356	0.9747778078446394	0.9718873389012014	0.9749220253275952	1.0	0.9716814962400122	0.974869398844832	0.9722517841617374	0.9742329438985841	0.9764006606827933	0.9712958163247702	0.9715633416528602	0.9766477624324933	0.9774229658171009	0.9724990059701581	0.9728493371172011	0.974916882280066	0.97626239910238	0.9748493560571685	0.9750474742482018
HMP_2012__SRS019128__bin.42	0.9768495166940669	0.9691408723185078	0.9691157104435613	0.9728814077537465	0.9691265179562362	0.9783867031336075	0.9706113157982613	0.9791768135746586	0.9775701030335148	0.9748453192235882	0.969822281623417	0.969309404106112	0.9787645904492146	0.9789371295033127	0.9784645003530775	0.9690550980558621	0.9675260659693043	0.9778464393963211	0.9690772211336907	0.9716814962400122	1.0	0.9680906358354229	0.9777728465430076	0.9691449311529228	0.9689974159071603	0.9791609468444487	0.9732930108599379	0.9689325096370599	0.973435999376703	0.9801222037793946	0.9730496386784943	0.9681720826328274	0.9693873594058436	0.9702393578386189	0.9799681879865302
CM_periimplantitis__SP_281SPI_T016__bin.1	0.9690393389359835	0.9947445680153567	0.9792764322807549	0.9722753703725117	0.9943577050521907	0.9684155176855456	0.9786697564401967	0.9677557039180833	0.9684451914078593	0.9704118850636064	0.9781797504757243	0.9794569930371879	0.9679220189860032	0.9682950301192895	0.96867251999468	0.9940912870398305	0.9935244281137935	0.9684766619852458	0.9944902909193163	0.974869398844832	0.9680906358354229	1.0	0.9683771244822734	0.9792647259731618	0.9793574853590329	0.9679310139705632	0.9720674203307327	0.9792431764121962	0.9731778999941477	0.9687789017970616	0.9739524126590856	0.9974496618652811	0.9781558921218115	0.9793432300471338	0.9717655889406098
