	FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	BackhedF_2015__SID637_12M__bin.13	HanniganGD_2017__MG100141__bin.3	LiJ_2017__H3M515101__bin.28	BritoIL_2016__M2.11.ST__bin.78	BackhedF_2015__SID532_B__bin.4	BackhedF_2015__SID532_4M__bin.27	FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	BackhedF_2015__SID150_4M__bin.4	FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	LiJ_2017__H1M513852__bin.3	HeQ_2017__SZAXPI029549-142__bin.2	RaymondF_2016__P12E7__bin.2	NielsenHB_2014__V1_UC21_4__bin.50	QinJ_2012__CON-028__bin.32	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	FengQ_2015__SID530756__bin.23	QinJ_2012__CON-092__bin.31	QinN_2014__LV-7__bin.2	LiJ_2017__H1M613825__bin.35	FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	VatanenT_2016__G80482__bin.10	LiuW_2016__SRR3992991__bin.57	LiJ_2017__H1F513818__bin.2	QinJ_2012__DOM005__bin.7	LiJ_2017__H3M516909__bin.27	VatanenT_2016__G80272__bin.10	QinJ_2012__DOF008__bin.42	KosticAD_2015__PRJNA231909.3113669__bin.9	VincentC_2016__MM074.2__bin.4	VatanenT_2016__G78861__bin.2	XieH_2016__YSZC12003_35550__bin.126	BackhedF_2015__SID335_4M__bin.7	LiJ_2017__nHM612836__bin.16	LiJ_2014__DOM005-IE__bin.4	ZellerG_2014__CCIS78318719ST-4-0__bin.28	BackhedF_2015__SID70_4M__bin.12	VatanenT_2016__G78488__bin.1
FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	1.0	0.9843392496055805	0.9558107747349304	0.9753705213459053	0.9860041966471691	0.983948825175246	0.9543992511273275	0.9856556381346739	0.9666460328309937	0.9840697144896178	0.9674137788661601	0.9671649098400128	0.9707972151204989	0.9842964889412772	0.9663917945022988	0.9557081704639353	0.9558531213451381	0.954056557133472	0.9857117453326577	0.9556399034024317	0.9569812531941874	0.9842564927007469	0.9555028930812326	0.955404590369445	0.9589362395289274	0.9551816821837371	0.9549467650910544	0.9749120731204273	0.973294365326975	0.9584964104399168	0.9928308762871464	0.9852426943151302	0.9573589934966085	0.9836026243959499	0.957477372777782	0.9563497707319708	0.972729395064185	0.9841611527319303	0.9578372786950468
BackhedF_2015__SID637_12M__bin.13	0.9843392496055805	1.0	0.9596730464266469	0.9803022002721791	0.9904650398102262	0.9905829784878796	0.9572245254526542	0.9912791614241293	0.9706359669373424	0.9910130974590109	0.9728503998224393	0.9719677799829715	0.9751672058790413	0.9908475176911735	0.9716912218755112	0.959138257480991	0.9598009808677728	0.9568124537243622	0.990610759897342	0.9587331931399078	0.9600469477593501	0.9908237700518141	0.958864059811427	0.9582603557611395	0.9619000405872353	0.9587794949589907	0.9572045583750813	0.9799459926805274	0.9788970849151652	0.9601470704452132	0.9903565485824725	0.9915720897326298	0.9593226252504496	0.9900530398281573	0.9606573530380058	0.9595936500387555	0.9785361881960667	0.9898898452117348	0.9603123068009939
HanniganGD_2017__MG100141__bin.3	0.9558107747349304	0.9596730464266469	1.0	0.9718226516494197	0.9592061747405747	0.9594645757023018	0.9889901859383263	0.9609619894256614	0.9574267671363187	0.9597089363013049	0.9596537824309929	0.9585978498749252	0.966381893228614	0.9596223219047022	0.9585014055357697	0.9915451100466417	0.9912538708721393	0.9890725650879457	0.96249301775194	0.9901568129185162	0.9908048630144584	0.9596521564857097	0.9910140859498071	0.9896976737920545	0.9923906823623779	0.9901940511629761	0.9891632379059655	0.9601646253638368	0.9591086325167413	0.9920788478117839	0.9592904458759154	0.9604753110337435	0.9903459884725325	0.9591430602444518	0.9895503282616762	0.991127295435551	0.960158370984528	0.9585881016042404	0.9913666313124484
LiJ_2017__H3M515101__bin.28	0.9753705213459053	0.9803022002721791	0.9718226516494197	1.0	0.9799446225359348	0.9800893768161264	0.9695514118392868	0.9800442167097659	0.980582383623539	0.9800517022321985	0.9828470679756806	0.9823294080196296	0.9777376371273574	0.9798714956156956	0.9814536270654342	0.9716391856122187	0.9717566482077017	0.9694358074696076	0.981788963937248	0.9701346911214999	0.972356475296403	0.9801317085183268	0.9710799893528634	0.970102864027647	0.9736756985925205	0.9707615346848842	0.9694908252748242	0.980576381380319	0.9793583923158926	0.972217621276492	0.9797094111092358	0.9802136946738641	0.9705818609617854	0.9795078201626741	0.9719742430759757	0.9716920807631327	0.9796603427686996	0.9789156540151459	0.9719906292313301
BritoIL_2016__M2.11.ST__bin.78	0.9860041966471691	0.9904650398102262	0.9592061747405747	0.9799446225359348	1.0	0.9902082252794542	0.9572679653435274	0.9900605403150655	0.9701713221247392	0.9907206854044557	0.9727383756325224	0.9721110925105981	0.9749879079355624	0.9902294395454154	0.9715914188609157	0.959096571088362	0.9595155873838184	0.9568906055835785	0.9906821699802569	0.9585086608311635	0.9601033931514712	0.9901854544801709	0.958494788587724	0.9579610922317209	0.9622417923035691	0.958536954952113	0.9571917864884094	0.9800118695860798	0.9787610929836564	0.9607034207130415	0.9919450890767132	0.9910184115064689	0.9593673744650328	0.9899027578801717	0.9607478121613263	0.9594541113568242	0.9782826407653935	0.989550272326073	0.9601999622981081
BackhedF_2015__SID532_B__bin.4	0.983948825175246	0.9905829784878796	0.9594645757023018	0.9800893768161264	0.9902082252794542	1.0	0.9572814696669314	0.9991125102402665	0.97017954424776	0.9994209797236294	0.9723826095541322	0.9719594336934463	0.9750133759908324	0.9994023711182012	0.9714345564903006	0.9595096045825788	0.9595326039036705	0.957316485106464	0.9902108104818733	0.9585629525186379	0.9598461476030443	0.9993743826815712	0.958828355807621	0.9581201513360763	0.9620402467970068	0.9586407079061441	0.9573298411142142	0.980536997104182	0.9790321406527789	0.9607265659390503	0.9900288108676658	0.9912864539588269	0.9592847971888928	0.999076611623527	0.9603575738326391	0.9596924662509226	0.9786725515367383	0.989183356000321	0.9597623621104305
BackhedF_2015__SID532_4M__bin.27	0.9543992511273275	0.9572245254526542	0.9889901859383263	0.9695514118392868	0.9572679653435274	0.9572814696669314	1.0	0.958573337757519	0.9559051122212464	0.9572562945618602	0.9573197928123871	0.9569502183739977	0.9630012429037825	0.9571424531283335	0.9568113693108901	0.9976829100906655	0.9893441744408275	0.9889000112912323	0.960044155091139	0.9883336598880265	0.996579017653268	0.9575028547243827	0.9896493245185398	0.9890614865450545	0.9928360674310897	0.9966512672876995	0.9958658246419173	0.9579639925793451	0.9571119741997147	0.9902817925891642	0.9571345388072727	0.9580805812123192	0.9884853388988218	0.9565212933279403	0.9952332102532904	0.9976057604158323	0.9577656114368577	0.9563290751087044	0.9893074868630599
FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	0.9856556381346739	0.9912791614241293	0.9609619894256614	0.9800442167097659	0.9900605403150655	0.9991125102402665	0.958573337757519	1.0	0.971166711140885	0.9992745099190543	0.9733039994167965	0.9724398994341931	0.9750527061236782	0.9990889306397926	0.9715574371380398	0.960945799490908	0.9611910838531774	0.9580180137323557	0.9905487303227866	0.9600154585224825	0.9610575311944305	0.9990418022798134	0.9599639597289145	0.9591594210167896	0.9630335716754743	0.9600988877523046	0.9582290241323548	0.9810979606960141	0.9798478131803607	0.961712557768672	0.9906718136791021	0.9914629696920808	0.9602618264575529	0.9978498124387926	0.961679742299398	0.9610974397717396	0.9796052248864056	0.9895026558488961	0.9607133040867
BackhedF_2015__SID150_4M__bin.4	0.9666460328309937	0.9706359669373424	0.9574267671363187	0.980582383623539	0.9701713221247392	0.97017954424776	0.9559051122212464	0.971166711140885	1.0	0.9708200901196475	0.9900557965954531	0.9897511445389143	0.96968200747916	0.970900142655274	0.9893945284357677	0.9575501040086659	0.9578282771418997	0.9553951586882627	0.9752954986339196	0.9569138174912228	0.9591177044443616	0.9706929648559954	0.9568204987649535	0.9567127126761014	0.959614217469701	0.9569812603818271	0.9559852479792632	0.9720708151627663	0.9707172692713445	0.9586740823618012	0.9712558355464638	0.9713340613524263	0.957997759803738	0.9705615649440744	0.9583114286875858	0.9579814971710481	0.9717503680701888	0.9702370091179677	0.9584088675433351
FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	0.9840697144896178	0.9910130974590109	0.9597089363013049	0.9800517022321985	0.9907206854044557	0.9994209797236294	0.9572562945618602	0.9992745099190543	0.9708200901196475	1.0	0.9733091320930197	0.9718993112308554	0.9752619291324999	0.9993769744259513	0.9716062021881806	0.9594218847808089	0.9597726429464146	0.957252039804401	0.9903084078818875	0.9587781676951838	0.9601575748032934	0.9999133883237913	0.9587548809365465	0.9581026175374309	0.9619997433802228	0.9587981588312039	0.9573571282693681	0.9805203990611814	0.9793980065154121	0.9605522325110187	0.9905117792961425	0.9912782979983235	0.9591715331469878	0.9989575020112539	0.9607280737348559	0.9599231542582517	0.9790200034340659	0.9896917712541906	0.9602914552997108
