	FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	BackhedF_2015__SID637_12M__bin.13	HanniganGD_2017__MG100141__bin.3	LiJ_2017__H3M515101__bin.28	BritoIL_2016__M2.11.ST__bin.78	BackhedF_2015__SID532_B__bin.4	BackhedF_2015__SID532_4M__bin.27	FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	BackhedF_2015__SID150_4M__bin.4	FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	LiJ_2017__H1M513852__bin.3	HeQ_2017__SZAXPI029549-142__bin.2	RaymondF_2016__P12E7__bin.2	NielsenHB_2014__V1_UC21_4__bin.50	QinJ_2012__CON-028__bin.32	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	FengQ_2015__SID530756__bin.23	QinJ_2012__CON-092__bin.31	QinN_2014__LV-7__bin.2	LiJ_2017__H1M613825__bin.35	FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	VatanenT_2016__G80482__bin.10	LiuW_2016__SRR3992991__bin.57	LiJ_2017__H1F513818__bin.2	QinJ_2012__DOM005__bin.7	LiJ_2017__H3M516909__bin.27	VatanenT_2016__G80272__bin.10	QinJ_2012__DOF008__bin.42	KosticAD_2015__PRJNA231909.3113669__bin.9	VincentC_2016__MM074.2__bin.4	VatanenT_2016__G78861__bin.2	XieH_2016__YSZC12003_35550__bin.126	BackhedF_2015__SID335_4M__bin.7	LiJ_2017__nHM612836__bin.16	LiJ_2014__DOM005-IE__bin.4	ZellerG_2014__CCIS78318719ST-4-0__bin.28	BackhedF_2015__SID70_4M__bin.12	VatanenT_2016__G78488__bin.1
FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	1.0	0.8727406344171258	0.8396426536187686	0.720643167006903	0.8850868799657947	0.879991828149334	0.7631471597193067	0.6038814525685181	0.6087459540624621	0.8730144267140093	0.8148806664911984	0.8246421009598616	0.6690413717589754	0.8489952749318112	0.7985693966398779	0.8164830463882693	0.844530982323078	0.8278047218912274	0.5434086545281738	0.7156930640534983	0.7671079921979124	0.8516590688017318	0.8402934894574522	0.7546406249965528	0.7638818320389055	0.7878215597865523	0.7513646041936332	0.8129667678808322	0.8062911777768021	0.5524223999604645	0.8491150728505926	0.7385021024203813	0.47029110894263887	0.8653411824870886	0.7904816030770636	0.8004327727393769	0.8448506640621467	0.7513544555669961	0.5545341967902542
BackhedF_2015__SID637_12M__bin.13	0.8244234702532867	1.0	0.8659279433163314	0.7464065233402483	0.8873391662592288	0.9074595094323422	0.7805850348812636	0.6279363138192493	0.6364445744910987	0.8991769547325102	0.8385114409794514	0.8385995976056411	0.6940979659786282	0.8833195992395605	0.8116855671972321	0.8330205127756249	0.8759419525087959	0.8430222258902048	0.5603945832233981	0.7520089498774352	0.7860845078171794	0.8852125700094909	0.8425047485785525	0.7484530908796864	0.776898087188779	0.8091767504925725	0.7573762920781164	0.8289659331952004	0.8187233003173222	0.5775382335079376	0.8260077886275035	0.7776810764194988	0.4874236132212431	0.889116470533804	0.8134520342506207	0.8203386714984	0.8600502096793892	0.7905163060581317	0.5895892234672522
HanniganGD_2017__MG100141__bin.3	0.8225500835238709	0.8980168024654509	1.0	0.7560698803779096	0.8827060739976758	0.8899806151999397	0.8312649225029454	0.615301953544345	0.6493493048466755	0.8755627243846261	0.8535435021151672	0.8562315248417867	0.7067924175151794	0.8612554927022247	0.8237530693320533	0.8786719866621164	0.9261672323178268	0.8957405095204677	0.5552440865985522	0.7981307251782596	0.8183714044697212	0.8670508325262637	0.903040338063651	0.7941969226819019	0.8169693619009682	0.8623028641047492	0.7978099865977093	0.841967519383179	0.8211439344638576	0.6096903251714298	0.823775979230664	0.7641942491399603	0.5125664035846643	0.8704769430241628	0.85975316529427	0.8777071773470381	0.8701417236586416	0.7668675749504897	0.6249835470185685
LiJ_2017__H3M515101__bin.28	0.8728519480908165	0.9570410995802501	0.9347907182566108	1.0	0.9446276389359494	0.9365308580877488	0.861174412676085	0.66961179276089	0.7009412574541156	0.9403481027879648	0.9322609418774056	0.9200273206229016	0.766010782881214	0.9302698820061204	0.8968117388892393	0.904848929568161	0.9414525250732986	0.920009416850069	0.617257419911347	0.8271088773853437	0.8924838358325575	0.9256146338491401	0.9266135040409083	0.8321542674577819	0.8773693104749363	0.8926126361087566	0.851301150010101	0.9139384345368587	0.8953778337396866	0.6356475340358738	0.8834614032068596	0.8297671868202579	0.5412783507578908	0.9306733849460802	0.9094881444957389	0.9072571206243981	0.9378362301815923	0.8388588295528759	0.6567894847668287
BritoIL_2016__M2.11.ST__bin.78	0.8545928110892007	0.9069802565584427	0.8700046800752135	0.7530324096806195	1.0	0.9031635561669736	0.7886642485923028	0.6393768789799013	0.6497612352160642	0.9020552069937408	0.8562222100563462	0.8500252110560546	0.7059856180883949	0.8779806189074613	0.8191339453715718	0.8418995183378213	0.8737862319728168	0.8545525500871363	0.5755197343881574	0.7617481710534473	0.7983260370030563	0.8899119349160665	0.8677136373386923	0.7702709352417758	0.7900606023940597	0.825203770730422	0.7724616450048984	0.8434999464251745	0.8260511689643486	0.5832138462059544	0.8463288676284288	0.7811371453756618	0.4965489504553221	0.8879924011086474	0.8279033880804854	0.8369927885941646	0.8795450464162489	0.789972411627633	0.5989154239898908
BackhedF_2015__SID532_B__bin.4	0.8258900979034706	0.9015830243502867	0.8526215573159669	0.7256804097604892	0.8778831084367436	1.0	0.7778823423202934	0.6460299742025815	0.6289913372935342	0.9322670234698739	0.8389285716504198	0.8334748578181045	0.6822749434575001	0.9094750590789665	0.8006475961646968	0.8270088349791378	0.8580816899617832	0.8480501197522835	0.5546200652524157	0.736314313146579	0.775572397693948	0.9137990617351129	0.8519687018653693	0.7456160021434696	0.7683742159988719	0.8024405157164649	0.7454903176339508	0.818776189017907	0.8078080932127674	0.5729172037246512	0.8301494983076073	0.7696542516460633	0.4859023184961424	0.9160110676909436	0.8122892532704372	0.8104491243806622	0.8485656954173606	0.7791988202634902	0.5851083940894737
BackhedF_2015__SID532_4M__bin.27	0.8279682778588416	0.8965210197961786	0.9206127853671427	0.7713939186782632	0.8861846590147485	0.899240169889434	1.0	0.6261522877243778	0.6650524106606003	0.8922314169069859	0.8683160609855579	0.8766135379206544	0.708897030381715	0.87176023798308	0.8490048293637572	0.9120601487489994	0.9245545955551471	0.913672968584242	0.5622592020251923	0.8038473101477915	0.8433331514183623	0.8839633814737794	0.916013687665399	0.8008112450260617	0.83874314946517	0.8991973241265209	0.827830166097943	0.8605942491890423	0.8464778867991007	0.6216180570715136	0.8406470332540567	0.7737169249859255	0.5209156737939037	0.887090882804631	0.887590909613153	0.9143625699415191	0.8771588041101294	0.7805923534435547	0.6371258296280126
FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	0.8214090010173184	0.9041869105029874	0.8543350068571463	0.7519873720474508	0.9007232263698538	0.9363038631091531	0.7850229121715097	1.0	0.6432705436801719	0.9199421418904117	0.8521134114977988	0.8453231861572672	0.7373367864141477	0.9058128194124762	0.8187162581888131	0.8401111547914497	0.862355317214288	0.8453198851240439	0.6091564659738499	0.771854790549442	0.7951984971296016	0.9126234511402069	0.857975746408626	0.7777789448097254	0.7952405102797175	0.8143901041025841	0.7719856315026603	0.8423156447968214	0.8274396886225388	0.6255130855957914	0.840362033316428	0.8109924406339184	0.564367146916985	0.9180677552073799	0.8218618427567829	0.8182691182340073	0.8563402344933965	0.8213504827010855	0.6452676687803283
BackhedF_2015__SID150_4M__bin.4	0.7966408079984502	0.8817021507571232	0.8674350836174572	0.7573345544237435	0.880657275395827	0.8770563675466736	0.8021894166454218	0.618888424692319	1.0	0.8703263192814583	0.8831832810703173	0.8829038007305178	0.7092948289496592	0.8573221106193579	0.8495948256871304	0.8363836052444139	0.8718735663279314	0.8581348556157792	0.5947353179709611	0.7684944238186542	0.7901977467763762	0.8648270816449266	0.863787691951457	0.7578207578247999	0.7863580680170841	0.8372569813062877	0.7645415670705177	0.839357414645174	0.8489509815158979	0.5873256243339605	0.8234039377278537	0.7725419805166402	0.5013481750482378	0.8625360935289041	0.8237960186177792	0.8468326475767352	0.8840344257415251	0.7958967782095415	0.6122155428602445
FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	0.8427061551209832	0.9188291463739533	0.8627285119784243	0.7494162151318315	0.901808929155936	0.9588517119351502	0.7938288003090519	0.6528411076547214	0.6419635956760841	1.0	0.8518084073965463	0.8500350643606179	0.7036591944333171	0.9157375622677238	0.8210467515579842	0.8437253961165342	0.8724328107007953	0.858563381307512	0.5702691703450704	0.7584545785025335	0.7925761518477417	0.93681259531426	0.8613966412750862	0.7613268107020731	0.7883837619107553	0.8197572604948706	0.764347904049939	0.8415819233584438	0.8242111690157552	0.5877464061958608	0.8422033494397263	0.7941335503852395	0.4943921513758156	0.9270292873128774	0.8266106233193224	0.8274009290724544	0.8731688108847954	0.7927676055993088	0.5989891497472875
