	FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	BackhedF_2015__SID637_12M__bin.13	HanniganGD_2017__MG100141__bin.3	LiJ_2017__H3M515101__bin.28	BritoIL_2016__M2.11.ST__bin.78	BackhedF_2015__SID532_B__bin.4	BackhedF_2015__SID532_4M__bin.27	FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	BackhedF_2015__SID150_4M__bin.4	FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	LiJ_2017__H1M513852__bin.3	HeQ_2017__SZAXPI029549-142__bin.2	RaymondF_2016__P12E7__bin.2	NielsenHB_2014__V1_UC21_4__bin.50	QinJ_2012__CON-028__bin.32	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	FengQ_2015__SID530756__bin.23	QinJ_2012__CON-092__bin.31	QinN_2014__LV-7__bin.2	LiJ_2017__H1M613825__bin.35	FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	VatanenT_2016__G80482__bin.10	LiuW_2016__SRR3992991__bin.57	LiJ_2017__H1F513818__bin.2	QinJ_2012__DOM005__bin.7	LiJ_2017__H3M516909__bin.27	VatanenT_2016__G80272__bin.10	QinJ_2012__DOF008__bin.42	KosticAD_2015__PRJNA231909.3113669__bin.9	VincentC_2016__MM074.2__bin.4	VatanenT_2016__G78861__bin.2	XieH_2016__YSZC12003_35550__bin.126	BackhedF_2015__SID335_4M__bin.7	LiJ_2017__nHM612836__bin.16	LiJ_2014__DOM005-IE__bin.4	ZellerG_2014__CCIS78318719ST-4-0__bin.28	BackhedF_2015__SID70_4M__bin.12	VatanenT_2016__G78488__bin.1
FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	1.0	0.8590728611824519	0.802539495255848	0.7028941015078873	0.8726993780436229	0.8658669254713541	0.7283470777360533	0.5952191584891166	0.5884418614963973	0.8591070576417725	0.7883267848952253	0.7975649032251233	0.6495035005040117	0.8356630682431161	0.7717309122534297	0.7803195184785533	0.8072475755261898	0.7897725229463758	0.5356442932838374	0.6839448505978755	0.7341079677088351	0.8382509680355766	0.8029028602139198	0.7209871172009735	0.7325139714598558	0.7525127227375347	0.7175131981786305	0.7925711170527153	0.7847586601430118	0.5294948874087093	0.843027661846878	0.7276038011460447	0.4502374227077286	0.851151858092195	0.7568682485433963	0.7654936986956588	0.8218110753727469	0.7394538671010867	0.5311535259969206
BackhedF_2015__SID637_12M__bin.13	0.8115123800663488	1.0	0.8310077073483445	0.731703957127953	0.87887842263412	0.8989139437106396	0.7471951395896611	0.6224601825905044	0.6177559949631931	0.8910961390732258	0.8157461906125489	0.8150917891793681	0.6768615740897047	0.8752350322344807	0.7887077405685957	0.7989818430695346	0.8407299452011744	0.8066141644981804	0.5551329039292846	0.7209759417857823	0.754678032410794	0.8770896559140593	0.8078475236324364	0.7172129251368927	0.747298301599032	0.7758220761698259	0.72496403918239	0.8123418443033105	0.8014458520327501	0.5545216429727498	0.8180422226473748	0.7711268500908034	0.4675965002444627	0.8802724644132749	0.7814486780465826	0.7871917800510932	0.8415902538368973	0.7825240638412364	0.5661897872528436
HanniganGD_2017__MG100141__bin.3	0.7862022325912328	0.8618025205643356	1.0	0.7347658359811197	0.8466971166595813	0.8539048733460837	0.8221128502701963	0.5912817893754697	0.6217044056815684	0.8402853708842422	0.8191062502742164	0.8207816987084653	0.683031394557948	0.8264799956600871	0.7895684747691774	0.8712429117097895	0.9180668541099818	0.8859523634045925	0.5344185564991599	0.7902745751348497	0.810846367300572	0.8320672012165589	0.894925695201954	0.7860148469110865	0.8107527825260583	0.8538471663373188	0.789164309576705	0.8084274278170691	0.7875662360830471	0.604860875318064	0.7902404264180525	0.7339897091329014	0.5076180816158654	0.8349119190044308	0.8507690269409601	0.8699195408683413	0.8354738599137507	0.7351101328536375	0.6195878336335034
LiJ_2017__H3M515101__bin.28	0.8513540596671287	0.9381894956694248	0.908450794553405	1.0	0.9256827750741002	0.9178839450722939	0.8349528676499668	0.6562491649359685	0.6873306490144374	0.9215897588281633	0.9162699333124544	0.903769893229381	0.7489575728683554	0.9115449406075739	0.880179133927703	0.8791866770276958	0.9148627502119059	0.8918900719036894	0.6060165227773402	0.8024070152860808	0.8678124368691592	0.9072242525041232	0.8998158316382646	0.8072752381736228	0.8542731763003215	0.8665140125080567	0.8253286544806997	0.8961864429425465	0.876895795766586	0.6179877335106252	0.8655354510735316	0.8133491599122233	0.5253549489769197	0.9116018585719523	0.8839990508328194	0.8815745593266899	0.9187609627206038	0.8211720397581334	0.638393224571031
BritoIL_2016__M2.11.ST__bin.78	0.8426320981584533	0.8983322359192472	0.834513861181343	0.7379300604618001	1.0	0.8943199820891796	0.7549630205891356	0.6330218182678012	0.6303797166349727	0.893684752945497	0.8328802017906987	0.826318936581253	0.6883274408125991	0.8694022561924724	0.7958635122207053	0.807462941238748	0.8384115096192907	0.8177133071558711	0.5701571393301209	0.7301422193270278	0.7664755369678012	0.8811778537221936	0.8316989993756349	0.7378895864385607	0.7602293300760975	0.7909883096109402	0.7393939419760143	0.8266399594918934	0.8085067449959729	0.5602955370572701	0.8395117639878756	0.774121292978886	0.47637286289169006	0.8790261268340857	0.7954063687792758	0.8030561721926844	0.8604436506802086	0.7817174150562088	0.5750785675348487
BackhedF_2015__SID532_B__bin.4	0.8126335915559887	0.8930927976150175	0.8180601807248	0.7112316605698291	0.8692870748079584	1.0	0.7446523518843255	0.6454566292159958	0.6102345289512301	0.9317272219602932	0.815759553730956	0.8101037508026105	0.6652271959744515	0.9089315305163852	0.7777767424852776	0.7935229202371317	0.8233573583310919	0.811852359835372	0.549190784323104	0.7058036219915177	0.7444301781137922	0.9132273732165275	0.8168917496091254	0.7143897168123012	0.7392069203920114	0.7692521440390032	0.7136801273326951	0.8028403456800247	0.7908700867347351	0.5504167777017873	0.8218719206518699	0.7629478338885607	0.4661187070521848	0.9151652337183173	0.7800881365211232	0.7777819189477785	0.830467954280655	0.7707705040197301	0.5615650144019539
BackhedF_2015__SID532_4M__bin.27	0.7902123043456615	0.8581719077327267	0.910477009777451	0.7479060629387502	0.8483161854536959	0.8608259514152985	1.0	0.6002128883884632	0.6357269992455316	0.8540941400400597	0.8312561515983624	0.838875516542773	0.6826687213483921	0.834398732722865	0.8123374733350951	0.9099468233816269	0.9147027030649801	0.9035312089494506	0.5397936605504938	0.7944693540295124	0.8404481235949461	0.8463974612329622	0.9065323272477989	0.7920515604474725	0.8327344500997661	0.8961861526324053	0.8244077710245834	0.8244183029439587	0.81017412135069	0.6155770438625718	0.8046123104733236	0.7412831611843239	0.514917506347875	0.84852131851971	0.8833599503659364	0.9121733668822838	0.8401125383457609	0.7465031634056015	0.6303133533248312
FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	0.80962641306729	0.8963016424140756	0.8209834678254293	0.7369808750138792	0.8917705241740665	0.9354729030186448	0.7525020331363717	1.0	0.6247229382796816	0.9192747329914263	0.8293653913674981	0.8220259941361646	0.7189422289176512	0.9049875611066264	0.7954298695491689	0.8073012853022996	0.8288882420197522	0.8098316773149996	0.6033991639383127	0.7409925306620972	0.7642315044608963	0.9117489774299355	0.8236257948737955	0.7460140023827458	0.7658433089557032	0.7818950331453745	0.7397390383189938	0.8263941613725097	0.8107649694354333	0.6015637894661029	0.8325229796926438	0.8040689735887333	0.5419402272911421	0.9160937373397874	0.7903678851480513	0.7864363545789832	0.8388753679901809	0.8127284840154968	0.6199172340942715
BackhedF_2015__SID150_4M__bin.4	0.7700696766429792	0.8558118196508747	0.8305055678084844	0.7426289225773053	0.8543884332095402	0.8509021469460276	0.7668169643411381	0.6010438359716027	1.0	0.8449302757183265	0.8744007268798589	0.8738550472907876	0.687790433630493	0.8323741595018552	0.8405844719221867	0.8008792081929315	0.8351051559214464	0.8198578865569668	0.5800426784956912	0.735382932817026	0.7578926489452649	0.8394815639696719	0.826489770240021	0.7250167529408231	0.7546003820912001	0.801239241233975	0.7308904595863633	0.8159148462670464	0.82409137852234	0.5630538539559315	0.7997358795301149	0.7503963395004751	0.4802904285779041	0.8371443807561617	0.789453139548749	0.8112500075788832	0.859060778601045	0.7722085096566521	0.5867528051251151
FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	0.8292816054685496	0.9105717183836703	0.8279682625476211	0.734466637320363	0.8934407603972272	0.9582965173519071	0.7598976159003299	0.6523674779066843	0.6232311558077889	1.0	0.8290729017126698	0.8261484935741604	0.6862520234148577	0.9151670343473141	0.7977341161001957	0.8094886097795598	0.8373371445194713	0.8218615480579795	0.5647423541485516	0.727189691056682	0.7609979958050545	0.9367314564050864	0.8258682342448364	0.7294292101350803	0.7584249766432812	0.7859817520509935	0.7317539144199602	0.8251882433340979	0.8072307758817681	0.5645611226217622	0.8342123381827142	0.787207354209246	0.4742068778109787	0.926062861145345	0.7941480318703412	0.7942413096714385	0.8548497322309516	0.7845955757785236	0.5752041623195591
