	FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	BackhedF_2015__SID637_12M__bin.13	HanniganGD_2017__MG100141__bin.3	LiJ_2017__H3M515101__bin.28	BritoIL_2016__M2.11.ST__bin.78	BackhedF_2015__SID532_B__bin.4	BackhedF_2015__SID532_4M__bin.27	FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	BackhedF_2015__SID150_4M__bin.4	FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	LiJ_2017__H1M513852__bin.3	HeQ_2017__SZAXPI029549-142__bin.2	RaymondF_2016__P12E7__bin.2	NielsenHB_2014__V1_UC21_4__bin.50	QinJ_2012__CON-028__bin.32	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.12	FerrettiP_2018__CA_C10002IS2028FE_t4M15__bin.1	FengQ_2015__SID530756__bin.23	QinJ_2012__CON-092__bin.31	QinN_2014__LV-7__bin.2	LiJ_2017__H1M613825__bin.35	FerrettiP_2018__CA_C10008IS2127FE_t3M15__bin.2	VatanenT_2016__G80482__bin.10	LiuW_2016__SRR3992991__bin.57	LiJ_2017__H1F513818__bin.2	QinJ_2012__DOM005__bin.7	LiJ_2017__H3M516909__bin.27	VatanenT_2016__G80272__bin.10	QinJ_2012__DOF008__bin.42	KosticAD_2015__PRJNA231909.3113669__bin.9	VincentC_2016__MM074.2__bin.4	VatanenT_2016__G78861__bin.2	XieH_2016__YSZC12003_35550__bin.126	BackhedF_2015__SID335_4M__bin.7	LiJ_2017__nHM612836__bin.16	LiJ_2014__DOM005-IE__bin.4	ZellerG_2014__CCIS78318719ST-4-0__bin.28	BackhedF_2015__SID70_4M__bin.12	VatanenT_2016__G78488__bin.1
FerrettiP_2018__CA_C10052IS2920FE_t5M16__bin.18	0.0	61951.0	168175.0	80450.0	56148.0	64023.0	157736.0	39263.0	92031.0	63037.0	120359.0	122731.0	88558.0	60430.0	121649.0	163916.0	168992.0	172386.0	35193.0	143903.0	149577.0	60774.0	169478.0	152539.0	142179.0	160042.0	153436.0	92446.0	97599.0	103922.0	27592.0	49398.0	90896.0	64315.0	152357.0	158366.0	104430.0	53941.0	105976.0
BackhedF_2015__SID637_12M__bin.13	61951.0	0.0	167557.0	70547.0	40597.0	41004.0	160214.0	26276.0	89673.0	38774.0	109234.0	112797.0	82705.0	38792.0	110254.0	163327.0	168957.0	174696.0	25247.0	148905.0	150697.0	38976.0	166295.0	149899.0	142028.0	160045.0	155523.0	79767.0	82902.0	110440.0	38221.0	31449.0	95136.0	42436.0	153561.0	159048.0	88576.0	38349.0	112277.0
HanniganGD_2017__MG100141__bin.3	168175.0	167557.0	0.0	98570.0	166607.0	166916.0	42345.0	111137.0	127908.0	163222.0	159335.0	164020.0	109938.0	160900.0	158166.0	34373.0	37479.0	45288.0	96356.0	36349.0	34817.0	161863.0	37545.0	37857.0	28763.0	39123.0	40002.0	155184.0	155358.0	22345.0	155163.0	139751.0	22895.0	164553.0	41568.0	36032.0	160402.0	146936.0	24965.0
LiJ_2017__H3M515101__bin.28	80450.0	70547.0	98570.0	0.0	70896.0	69781.0	98127.0	50006.0	50934.0	70198.0	59842.0	60839.0	63817.0	70073.0	62243.0	96034.0	99505.0	105229.0	42066.0	92440.0	92326.0	68821.0	100283.0	93103.0	86431.0	97667.0	97195.0	66432.0	69164.0	66087.0	67083.0	61440.0	59589.0	71370.0	95386.0	96110.0	71384.0	66188.0	68843.0
BritoIL_2016__M2.11.ST__bin.78	56148.0	40597.0	166607.0	70896.0	0.0	41515.0	158206.0	29833.0	90984.0	39294.0	109576.0	111286.0	82894.0	40270.0	109240.0	161658.0	166062.0	172937.0	25174.0	148370.0	149518.0	41001.0	169066.0	152010.0	140039.0	160620.0	155232.0	79147.0	82360.0	107587.0	32002.0	32935.0	94714.0	42091.0	152553.0	159311.0	89669.0	38752.0	111899.0
BackhedF_2015__SID532_B__bin.4	64023.0	41004.0	166916.0	69781.0	41515.0	0.0	160486.0	2769.0	90587.0	2607.0	111896.0	112872.0	82333.0	2625.0	110456.0	161722.0	167703.0	174819.0	26221.0	147353.0	150403.0	2761.0	169406.0	150809.0	140865.0	160285.0	153629.0	76963.0	81803.0	108667.0	39977.0	32389.0	95546.0	4085.0	155517.0	157768.0	87404.0	40705.0	113704.0
BackhedF_2015__SID532_4M__bin.27	157736.0	160214.0	42345.0	98127.0	158206.0	160486.0	0.0	108369.0	122515.0	159329.0	154828.0	157661.0	109576.0	156088.0	153188.0	8829.0	41159.0	42370.0	93856.0	39179.0	12053.0	156942.0	39611.0	36596.0	25103.0	12580.0	14298.0	151135.0	151669.0	25238.0	150545.0	135501.0	25059.0	161135.0	17676.0	9146.0	154771.0	142417.0	28461.0
FerrettiP_2018__CA_C10055IS2962FE_t1M16__bin.7	39263.0	26276.0	111137.0	50006.0	29833.0	2769.0	108369.0	0.0	61806.0	2224.0	75803.0	77633.0	61296.0	2750.0	77597.0	109332.0	111522.0	118257.0	19185.0	102842.0	103191.0	2914.0	114464.0	105850.0	97960.0	108283.0	107455.0	53055.0	55565.0	79806.0	26122.0	23071.0	74733.0	6578.0	104947.0	106076.0	58198.0	28731.0	84475.0
BackhedF_2015__SID150_4M__bin.4	92031.0	89673.0	127908.0	50934.0	90984.0	90587.0	122515.0	61806.0	0.0	87961.0	30419.0	31341.0	74482.0	86409.0	31208.0	122972.0	127350.0	132575.0	50889.0	114684.0	111891.0	87786.0	129184.0	113619.0	109995.0	124750.0	116553.0	81195.0	86103.0	84067.0	81976.0	76703.0	72935.0	87946.0	118949.0	123243.0	86498.0	82046.0	88192.0
FerrettiP_2018__CA_C10008IS2123FE_t2M15__bin.1	63037.0	38774.0	163222.0	70198.0	39294.0	2607.0	159329.0	2224.0	87961.0	0.0	106758.0	112163.0	81738.0	2679.0	109468.0	160764.0	164797.0	172339.0	25952.0	146809.0	148280.0	381.0	166829.0	149780.0	140676.0	158598.0	153050.0	76979.0	79734.0	108870.0	37523.0	32523.0	94783.0	4538.0	152433.0	155706.0	86020.0	38373.0	111686.0
LiJ_2017__H1M513852__bin.3	120359.0	109234.0	159335.0	59842.0	109576.0	111896.0	154828.0	75803.0	30419.0	106758.0	0.0	30499.0	94790.0	107183.0	32773.0	155238.0	158515.0	167696.0	57518.0	142381.0	147106.0	108082.0	160691.0	148720.0	141493.0	156318.0	152681.0	101526.0	106872.0	106624.0	102519.0	92269.0	93740.0	109744.0	154423.0	153152.0	108468.0	98013.0	109131.0
HeQ_2017__SZAXPI029549-142__bin.2	122731.0	112797.0	164020.0	60839.0	111286.0	112872.0	157661.0	77633.0	31341.0	112163.0	30499.0	0.0	94605.0	108349.0	31286.0	160235.0	163796.0	172046.0	59335.0	146185.0	146248.0	109653.0	163369.0	145385.0	140102.0	156826.0	153479.0	103676.0	108574.0	107339.0	104258.0	94007.0	92945.0	110955.0	153972.0	155561.0	111471.0	100058.0	111914.0
