	CosteaPI_2017__SID713B014-11-0-0__bin.32	LeChatelierE_2013__MH0013__bin.12	ZeeviD_2015__PNP_Main_172__bin.54	FengQ_2015__SID31866__bin.74	CM_madagascar__A79_02_1FE__bin.27	BritoIL_2016__W3.22.ST__bin.39	ZeeviD_2015__PNP_Main_587__bin.15	Obregon-TitoAJ_2015__SM20__bin.34	XieH_2016__YSZC12003_37100__bin.77	BritoIL_2016__W2.9.ST__bin.25	LeChatelierE_2013__MH0437__bin.97	XieH_2016__YSZC12003_36244__bin.27	FengQ_2015__SID31223__bin.56	BritoIL_2016__M1.61.ST__bin.72	BritoIL_2016__M1.16.ST__bin.34	NielsenHB_2014__V1_UC21_4__bin.3	BritoIL_2016__W1.41.ST__bin.31	ZeeviD_2015__PNP_Main_113__bin.57	BritoIL_2016__W2.69.ST__bin.15	XieH_2016__YSZC12003_35980__bin.71	FengQ_2015__SID530295__bin.42	BritoIL_2016__W1.11.ST__bin.11	BritoIL_2016__W1.9.ST__bin.39	BritoIL_2016__M1.15.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.14	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	NielsenHB_2014__MH0013__bin.1	NielsenHB_2014__V1_UC40_0__bin.13	BritoIL_2016__M1.29.ST__bin.3	ZeeviD_2015__PNP_Main_134__bin.48	BritoIL_2016__W2.39.ST__bin.73	ZeeviD_2015__PNP_Main_238__bin.8	Obregon-TitoAJ_2015__HCO07__bin.22
CosteaPI_2017__SID713B014-11-0-0__bin.32	1.0	0.8466274890030938	0.5750103558309018	0.8596773532772222	0.8860001304910561	0.7804495568614777	0.8680902330479221	0.8649296182833143	0.800418481782083	0.8536891794085113	0.6939650921251682	0.8062291271210487	0.9187655242629911	0.6496413771965363	0.8326952927627536	0.6911284289938988	0.8026679351611186	0.8694179036763579	0.5098391773601052	0.8881486809023305	0.7164717646184123	0.8683754925658032	0.8360395054085508	0.8262299161367365	0.8948151047949394	0.7298121990929354	0.7941283576790193	0.7851221988046412	0.8755054631749688	0.8052967230054214	0.7764673036451007	0.6011821579275592	0.7896893857664604
LeChatelierE_2013__MH0013__bin.12	0.5566741758669335	1.0	0.5420352260641748	0.7822280375845783	0.78903869599312	0.6952343848209066	0.7835953571991547	0.7886994849978949	0.7274085477180079	0.7597523161127218	0.6000388097285714	0.7195892354383704	0.8135017948252365	0.6012709437847567	0.7316102745015095	0.6504565380923971	0.7037051817472559	0.7994509770274342	0.46654830863411706	0.7811355786440739	0.6184290340667608	0.7659738448369093	0.7610338352990943	0.7325181627534355	0.8189950175890878	0.650614171437237	0.8372565412849712	0.699622677651782	0.7860621195100197	0.7636023609085267	0.6903761849937047	0.5655156106895362	0.7052111787981156
ZeeviD_2015__PNP_Main_172__bin.54	0.6258598223295343	0.8972639276766589	1.0	0.8923341420273723	0.9144322984361762	0.7900926997884403	0.899652024845459	0.9121408151569852	0.8525160073525647	0.881456408969072	0.7218915513217936	0.8379132721060011	0.9198946991179234	0.7245950887113689	0.8627925873199638	0.7510086655227142	0.8284682321970329	0.9153769675790211	0.5567685048628991	0.9092242317544257	0.6994787804519548	0.8703392055860995	0.8760675009042069	0.8704201300406439	0.9278376820593788	0.7558748676720016	0.8363930484242027	0.8227399368789254	0.9089327385661178	0.8658660650731705	0.8057218543921335	0.6723211941146452	0.8332014870281402
FengQ_2015__SID31866__bin.74	0.6341002225513891	0.87749992585351	0.6047119115077031	1.0	0.8987461129052385	0.7700725740247778	0.9055591960394023	0.8935217232427701	0.8264653165103808	0.8653354247306804	0.6889255362190214	0.8321273103626575	0.9342491310870771	0.6833144656164539	0.8296119256654857	0.7123519098736824	0.8072762049084417	0.924985576409217	0.5268256404717844	0.8969733122999793	0.7111985822071927	0.8936358808575028	0.8925732077674184	0.8393024522062917	0.9296761113439653	0.7265981086769301	0.8198128374714536	0.7886276631880305	0.8990309473459194	0.8506191651608866	0.8198525687981497	0.6443811230311309	0.8089796155910203
CM_madagascar__A79_02_1FE__bin.27	0.6017519226062426	0.8150294348761417	0.5706027386672506	0.8275577425961947	1.0	0.7457980909196306	0.8275737160081929	0.8557523605868941	0.7719692383001198	0.804038181607389	0.6707003825889809	0.7733754138273068	0.8732149068002937	0.6450919115279083	0.7764799237398395	0.6779852890028211	0.7583779257751614	0.8490404359195661	0.5006010640353477	0.8404812634453619	0.6544956137525925	0.8320498782671424	0.81813239897461	0.7864437259271664	0.865362171353489	0.6934037537518195	0.7592121500985457	0.7359899006814463	0.8408584420770588	0.7822813639232761	0.7383019232503317	0.5971304538252458	0.7470476239549653
BritoIL_2016__W3.22.ST__bin.39	0.4203645579427448	0.5695131912897401	0.39098302006838065	0.5623290125830394	0.591451068432561	1.0	0.5700023251223958	0.574219418817473	0.5487717918929643	0.5588973117253593	0.463577509323986	0.5338991812218375	0.5937790512601632	0.458187229970133	0.5551268540194991	0.4563610486015962	0.5376447123079884	0.5727957410622745	0.35068770909245445	0.5764064232221293	0.4449663143295781	0.5633763392439388	0.5587064800629948	0.5444157629404912	0.5821293299275125	0.4726573370279215	0.5334615351610402	0.5103480205607835	0.5861629473562051	0.5316006199781544	0.502713528166876	0.4237652026840657	0.5225632901176578
ZeeviD_2015__PNP_Main_587__bin.15	0.6317216782560447	0.8672494941436605	0.601497831649906	0.8934193128083101	0.8867146804616612	0.7701162434404304	1.0	0.8954708949723539	0.8128643476868632	0.852513547012204	0.6800227462823355	0.8472526410807797	0.9405046693369624	0.6826810800067356	0.821682948845709	0.6959131224517401	0.8022829096470185	0.9145772200399164	0.5260066748192581	0.8995249229138429	0.6964188407677422	0.862311011243399	0.8713410644928876	0.8301846479157062	0.9118404889346514	0.7067336172937997	0.8046298622248845	0.7868496675012491	0.884345092020306	0.8478439340026556	0.8012195761572585	0.6378239757961889	0.8103986948492369
Obregon-TitoAJ_2015__SM20__bin.34	0.59148382250017	0.8202853391067316	0.5730896760038205	0.8284089794812969	0.8616412990976212	0.729052364743048	0.8414971820441504	1.0	0.7682531579108475	0.8026875770767865	0.6553434803609516	0.7796230377683387	0.8601548876994138	0.6439684123310406	0.7859873688754273	0.6767182319123448	0.7577206490818751	0.8374374371258355	0.4916701297717567	0.842033120255092	0.6507618052972278	0.8127505563017877	0.8201405890962256	0.7820625164400213	0.8478096314270431	0.6743612451821334	0.7639817355578141	0.7350555990497344	0.8341631815118438	0.7920985171684407	0.7488893419892801	0.593759873740636	0.7558497941073775
XieH_2016__YSZC12003_37100__bin.77	0.6303179699439481	0.8711887757601539	0.6167990794632114	0.8823579315643509	0.8950738616064228	0.802330138618215	0.8796294194189769	0.884677196759959	1.0	0.879086943170236	0.7049371313043447	0.8422164814799326	0.9058110677103559	0.7097513092915189	0.8571244218266633	0.7078454731312948	0.8183021210343373	0.8960936930564235	0.5412341693123337	0.8902799966065362	0.6916637889934676	0.8613250281095898	0.855258614200212	0.8688593540709019	0.9065907279577203	0.7373405281137718	0.8203101195718022	0.8022829407948113	0.8907035821355641	0.8405287112126495	0.7750796687310237	0.640949429025825	0.8115719503932953
BritoIL_2016__W2.9.ST__bin.25	0.6239380124183652	0.8445103795042634	0.591890135506344	0.8574399847404265	0.8652361186121329	0.7583897157571732	0.8562134521569119	0.8578791410723178	0.8158886982674396	1.0	0.6612330312100421	0.8096268391057624	0.8819601010946748	0.6821650407162241	0.8477242053876497	0.6757867385877575	0.8001206570932065	0.8655122547905191	0.5298005276529867	0.8681854526138119	0.6700294656155009	0.849595055720732	0.8433675749587737	0.8429905215425033	0.8762876651410789	0.7056981643043531	0.7900117441049361	0.7827002347712007	0.869605502318324	0.8252102350040866	0.7741816000150822	0.6057878808378127	0.7858353230294246
