	CosteaPI_2017__SID713B014-11-0-0__bin.32	LeChatelierE_2013__MH0013__bin.12	ZeeviD_2015__PNP_Main_172__bin.54	FengQ_2015__SID31866__bin.74	CM_madagascar__A79_02_1FE__bin.27	BritoIL_2016__W3.22.ST__bin.39	ZeeviD_2015__PNP_Main_587__bin.15	Obregon-TitoAJ_2015__SM20__bin.34	XieH_2016__YSZC12003_37100__bin.77	BritoIL_2016__W2.9.ST__bin.25	LeChatelierE_2013__MH0437__bin.97	XieH_2016__YSZC12003_36244__bin.27	FengQ_2015__SID31223__bin.56	BritoIL_2016__M1.61.ST__bin.72	BritoIL_2016__M1.16.ST__bin.34	NielsenHB_2014__V1_UC21_4__bin.3	BritoIL_2016__W1.41.ST__bin.31	ZeeviD_2015__PNP_Main_113__bin.57	BritoIL_2016__W2.69.ST__bin.15	XieH_2016__YSZC12003_35980__bin.71	FengQ_2015__SID530295__bin.42	BritoIL_2016__W1.11.ST__bin.11	BritoIL_2016__W1.9.ST__bin.39	BritoIL_2016__M1.15.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.14	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	NielsenHB_2014__MH0013__bin.1	NielsenHB_2014__V1_UC40_0__bin.13	BritoIL_2016__M1.29.ST__bin.3	ZeeviD_2015__PNP_Main_134__bin.48	BritoIL_2016__W2.39.ST__bin.73	ZeeviD_2015__PNP_Main_238__bin.8	Obregon-TitoAJ_2015__HCO07__bin.22
CosteaPI_2017__SID713B014-11-0-0__bin.32	1.0	0.8327028794520589	0.5663744273946246	0.8455653525003453	0.8722796028823351	0.7687311565604379	0.859203185195638	0.8520466611739036	0.787770712041138	0.8390567317452874	0.6827754840687111	0.7934281062561357	0.9098155068894725	0.6391542965697543	0.8191242229333479	0.6789032378472618	0.7895323412978398	0.8567959286790511	0.501126623361844	0.8743287676637094	0.6911238769803156	0.8536876620706503	0.8221262758914738	0.8131352903957066	0.8811173372541344	0.717101459830756	0.7810906321077795	0.77300473864614	0.8603480166118149	0.7934007941746365	0.7634326127495832	0.5915083703943106	0.7776242737641662
LeChatelierE_2013__MH0013__bin.12	0.5475184720340488	1.0	0.5336078281916263	0.7705162791347325	0.7768954412037601	0.6843581828666523	0.7718177519090595	0.7768445595544763	0.7155915340917027	0.7474369616272549	0.5906142312980008	0.7087160265223091	0.8015780295033752	0.5921511564101899	0.7200930635342194	0.6400567280505545	0.6933063693848109	0.7875636270035896	0.4594453301620431	0.7687044933484715	0.5971949246053679	0.7545035248013121	0.7497061834173712	0.7213082370406434	0.8066741758669336	0.6400991294249575	0.8356567623707257	0.6878565456747605	0.7742461035631122	0.7539373417431054	0.6797713518356303	0.5565359972703492	0.6936665316473881
ZeeviD_2015__PNP_Main_172__bin.54	0.6164601992062797	0.8833135426248919	1.0	0.8786917653587183	0.9016478861376409	0.7788194278145608	0.8878882515858716	0.899353099819489	0.8398174740670153	0.8674663874497731	0.7119105933414037	0.8263980525282285	0.9080582590011941	0.7133086045816454	0.8499156899305207	0.7395702416007849	0.8156243651971997	0.9031003975207389	0.5482582249798927	0.896418349702644	0.6764656822509549	0.8564705707486172	0.8623797074498393	0.8574499218005526	0.9153472402283722	0.7438848362435859	0.8232048396126856	0.8105475943141487	0.8947478377481202	0.853113857404505	0.7922314175156854	0.6617134844914063	0.8207564619828472
FengQ_2015__SID31866__bin.74	0.6236911745531485	0.8643617274285493	0.5954668235028144	1.0	0.8851619163482098	0.7583294488033876	0.8926224522286755	0.8804831329326251	0.8133679686044175	0.8511742845423315	0.6780223648197569	0.8194714838195571	0.920687877972225	0.6726519205619689	0.8162756302031949	0.7008259079587443	0.7946589904997361	0.9120857659444331	0.5182425547131148	0.883198293455579	0.6878264893791448	0.8792632133242082	0.8783158170411577	0.82615474064677	0.9163123956702927	0.7149797733971348	0.8069410068142023	0.7754833092054126	0.8843393100067544	0.8385548317490233	0.8063730167212926	0.6344135963957531	0.7964642476817331
CM_madagascar__A79_02_1FE__bin.27	0.5924332401550967	0.8024861842868	0.5626253075525899	0.815049530458978	1.0	0.7349057697509952	0.8161310850326554	0.8425495626634376	0.7599835113166471	0.7915959242035838	0.6604743072820723	0.761921962153319	0.8610591402697445	0.6353373095106211	0.7649533035334733	0.6670733875227041	0.746454031354262	0.8374890826881707	0.4930935603962437	0.8279833567352406	0.6324734313207693	0.8189223099614834	0.8055123729534066	0.774676989269474	0.8536943667959139	0.6820409898362725	0.7469801234074895	0.7242880882144559	0.8275556815107756	0.7711654149866674	0.7264073992966547	0.5875907199629006	0.736030091847119
BritoIL_2016__W3.22.ST__bin.39	0.41405281092586865	0.5606037635926696	0.3854043608508232	0.5537538467699391	0.5828129731205226	1.0	0.5619718672449097	0.5652384803261545	0.5404181052254776	0.5506110495210207	0.45638393205575556	0.5262495694028604	0.5855745156778221	0.4515040354562777	0.5469055644796487	0.44884873750757504	0.5294099378755083	0.5649381349903134	0.3453109146312311	0.5678598617267283	0.4296013007609157	0.5545327014775765	0.5500520394265569	0.5366864676650664	0.5739207080140717	0.4649202777234069	0.5249280499251587	0.5022579022492393	0.5770818937529396	0.5240400901771547	0.4946417983452811	0.4167645002437496	0.5149226682271003
ZeeviD_2015__PNP_Main_587__bin.15	0.6252544464289165	0.8542145493392812	0.593632697228763	0.880655998365801	0.8744543238639972	0.7592664876041042	1.0	0.8833623642883367	0.8006757633392868	0.8397364302139089	0.6699895378143143	0.8357376116955642	0.9312598514314423	0.6728206770331561	0.8095595116174429	0.6852096715867465	0.7903256527824168	0.9033266437915624	0.5181547906596697	0.8871320637006325	0.6727903118504266	0.8494162983738064	0.858344214190478	0.818174390004886	0.899475234433013	0.6958054640766086	0.7922364509174425	0.7753771493718548	0.8704820058687617	0.8368550504200057	0.789026022961599	0.6281744728190207	0.7992872463472065
Obregon-TitoAJ_2015__SM20__bin.34	0.5826737869144953	0.8079556473516196	0.565055272194872	0.816320537743695	0.8483476449069528	0.7176497993993134	0.8301184822935458	1.0	0.7558280037832154	0.7903801944630786	0.644365307521138	0.7686235934216049	0.8484399943760211	0.6341067341959189	0.773794644872192	0.6673520242432921	0.7460389600619676	0.8267513583932438	0.48405856201500314	0.8299156247519405	0.6288765375797487	0.8000467973152245	0.8076308677581544	0.7702770639717224	0.8357403859273935	0.6637161530116562	0.7520603529721224	0.724002197709837	0.821381081121745	0.7811883093873234	0.7371843061934845	0.5848507440617475	0.744990430415972
XieH_2016__YSZC12003_37100__bin.77	0.6203580343241689	0.8570360005878818	0.6076116348011658	0.868374829580011	0.8811767910976541	0.7901166562911114	0.8664397188204607	0.8703690869790167	1.0	0.8651008539818832	0.6940416033877282	0.8295160848987279	0.8924546811279204	0.698362295271973	0.8437274092696525	0.6954874101299672	0.8049708269656101	0.8828155712191258	0.5324541792776463	0.8765000244950729	0.6669900812877956	0.8470533622176047	0.8409845585450166	0.8552693681346584	0.8930031317846872	0.7247273578897434	0.8066006454750431	0.789076511853823	0.875927676206203	0.8277016571812982	0.7619497122127654	0.6301709995065139	0.7987777556060858
BritoIL_2016__W2.9.ST__bin.25	0.6132435576542398	0.8308211225323794	0.5824959605380331	0.8434080527519909	0.851846840902311	0.7471457610878657	0.8433808827264068	0.8447255217476648	0.8029080799220165	1.0	0.6506001248712197	0.7971064477243163	0.8687682219380767	0.6729078248564702	0.8442214900485623	0.6637997668922703	0.7891301044992454	0.8525172196968268	0.5223043730433423	0.854895983161238	0.6465068773434147	0.8376901485923154	0.8314842929527608	0.839603140189569	0.862886743134578	0.6941753010050692	0.7769085833992252	0.7698732102438759	0.8575497738233993	0.8119784325445893	0.7628090035919883	0.5954477453869178	0.7731108792109381
