	CosteaPI_2017__SID713B014-11-0-0__bin.32	LeChatelierE_2013__MH0013__bin.12	ZeeviD_2015__PNP_Main_172__bin.54	FengQ_2015__SID31866__bin.74	CM_madagascar__A79_02_1FE__bin.27	BritoIL_2016__W3.22.ST__bin.39	ZeeviD_2015__PNP_Main_587__bin.15	Obregon-TitoAJ_2015__SM20__bin.34	XieH_2016__YSZC12003_37100__bin.77	BritoIL_2016__W2.9.ST__bin.25	LeChatelierE_2013__MH0437__bin.97	XieH_2016__YSZC12003_36244__bin.27	FengQ_2015__SID31223__bin.56	BritoIL_2016__M1.61.ST__bin.72	BritoIL_2016__M1.16.ST__bin.34	NielsenHB_2014__V1_UC21_4__bin.3	BritoIL_2016__W1.41.ST__bin.31	ZeeviD_2015__PNP_Main_113__bin.57	BritoIL_2016__W2.69.ST__bin.15	XieH_2016__YSZC12003_35980__bin.71	FengQ_2015__SID530295__bin.42	BritoIL_2016__W1.11.ST__bin.11	BritoIL_2016__W1.9.ST__bin.39	BritoIL_2016__M1.15.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.14	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	NielsenHB_2014__MH0013__bin.1	NielsenHB_2014__V1_UC40_0__bin.13	BritoIL_2016__M1.29.ST__bin.3	ZeeviD_2015__PNP_Main_134__bin.48	BritoIL_2016__W2.39.ST__bin.73	ZeeviD_2015__PNP_Main_238__bin.8	Obregon-TitoAJ_2015__HCO07__bin.22
CosteaPI_2017__SID713B014-11-0-0__bin.32	1318098.0	1115938.0	757920.0	1133139.0	1167835.0	1028709.0	1144228.0	1140062.0	1055030.0	1125246.0	914714.0	1062689.0	1211023.0	856291.0	1097574.0	910975.0	1057995.0	1145978.0	672018.0	1170667.0	944380.0	1144604.0	1101982.0	1089052.0	1179454.0	961964.0	1046739.0	1034868.0	1154002.0	1061460.0	1023460.0	792417.0	1040888.0
LeChatelierE_2013__MH0013__bin.12	1115938.0	2004652.0	1086592.0	1568095.0	1581748.0	1393703.0	1570836.0	1581068.0	1458201.0	1523039.0	1202869.0	1442526.0	1630788.0	1205339.0	1466624.0	1303939.0	1410684.0	1602621.0	935267.0	1565905.0	1239735.0	1535511.0	1525608.0	1468444.0	1641800.0	1304255.0	1678408.0	1402500.0	1575781.0	1530757.0	1383964.0	1133662.0	1413703.0
ZeeviD_2015__PNP_Main_172__bin.54	757920.0	1086592.0	1211006.0	1080622.0	1107383.0	956807.0	1089484.0	1104608.0	1032402.0	1067449.0	874215.0	1014718.0	1113998.0	877489.0	1044847.0	909476.0	1003280.0	1108527.0	674250.0	1101076.0	847073.0	1053986.0	1060923.0	1054084.0	1123617.0	915369.0	1012877.0	996343.0	1100723.0	1048569.0	975734.0	814185.0	1009012.0
FengQ_2015__SID31866__bin.74	1133139.0	1568095.0	1080622.0	1787003.0	1606062.0	1376122.0	1618237.0	1596726.0	1476896.0	1546357.0	1231112.0	1487014.0	1669506.0	1221085.0	1482519.0	1272975.0	1442605.0	1652952.0	941439.0	1602894.0	1270914.0	1596930.0	1595031.0	1499836.0	1661334.0	1298433.0	1465008.0	1409280.0	1606571.0	1520059.0	1465079.0	1151511.0	1445649.0
CM_madagascar__A79_02_1FE__bin.27	1167835.0	1581748.0	1107383.0	1606062.0	1940725.0	1447389.0	1606093.0	1660780.0	1498180.0	1560417.0	1301645.0	1500909.0	1694670.0	1251946.0	1506934.0	1315783.0	1471803.0	1647754.0	971529.0	1631143.0	1270196.0	1614780.0	1587770.0	1526271.0	1679430.0	1345706.0	1473422.0	1428354.0	1631875.0	1518193.0	1432841.0	1158866.0	1449814.0
BritoIL_2016__W3.22.ST__bin.39	1028709.0	1393703.0	956807.0	1376122.0	1447389.0	2447183.0	1394900.0	1405220.0	1342945.0	1367724.0	1134459.0	1306549.0	1453086.0	1121268.0	1358497.0	1116799.0	1315715.0	1401736.0	858197.0	1410572.0	1088914.0	1378685.0	1367257.0	1332285.0	1424577.0	1156679.0	1305478.0	1248915.0	1434448.0	1300924.0	1230232.0	1037031.0	1278808.0
ZeeviD_2015__PNP_Main_587__bin.15	1144228.0	1570836.0	1089484.0	1618237.0	1606093.0	1394900.0	1811285.0	1621953.0	1472329.0	1544145.0	1231715.0	1534616.0	1703522.0	1236530.0	1488302.0	1260497.0	1453163.0	1656560.0	952748.0	1629296.0	1261413.0	1561891.0	1578247.0	1503701.0	1651603.0	1280096.0	1457414.0	1425209.0	1601801.0	1535687.0	1451237.0	1155281.0	1467863.0
Obregon-TitoAJ_2015__SM20__bin.34	1140062.0	1581068.0	1104608.0	1596726.0	1660780.0	1405220.0	1621953.0	1927461.0	1480778.0	1547149.0	1263149.0	1502693.0	1657915.0	1241224.0	1514960.0	1304348.0	1460477.0	1614128.0	947675.0	1622986.0	1254318.0	1566545.0	1580789.0	1507395.0	1634120.0	1299805.0	1472545.0	1416791.0	1607817.0	1526739.0	1443455.0	1144449.0	1456871.0
XieH_2016__YSZC12003_37100__bin.77	1055030.0	1458201.0	1032402.0	1476896.0	1498180.0	1342945.0	1472329.0	1480778.0	1673806.0	1471421.0	1179928.0	1409707.0	1516152.0	1187986.0	1434660.0	1184796.0	1369679.0	1499887.0	905921.0	1490156.0	1157711.0	1441691.0	1431537.0	1454302.0	1517457.0	1234165.0	1373040.0	1342866.0	1490865.0	1406882.0	1297333.0	1072825.0	1358414.0
BritoIL_2016__W2.9.ST__bin.25	1125246.0	1523039.0	1067449.0	1546357.0	1560417.0	1367724.0	1544145.0	1547149.0	1471421.0	1803458.0	1192506.0	1460128.0	1590578.0	1230256.0	1528835.0	1218753.0	1442984.0	1560915.0	955473.0	1565736.0	1208370.0	1532209.0	1520978.0	1520298.0	1580348.0	1272697.0	1424753.0	1411567.0	1568297.0	1488232.0	1396204.0	1092513.0	1417221.0
LeChatelierE_2013__MH0437__bin.97	914714.0	1202869.0	874215.0	1231112.0	1301645.0	1134459.0	1231715.0	1263149.0	1179928.0	1192506.0	1494207.0	1160022.0	1266465.0	978806.0	1155849.0	1043098.0	1147664.0	1257061.0	728896.0	1255237.0	967027.0	1213796.0	1205501.0	1169176.0	1263494.0	1029680.0	1140917.0	1135649.0	1234656.0	1163265.0	1081072.0	899678.0	1115278.0
XieH_2016__YSZC12003_36244__bin.27	1062689.0	1442526.0	1014718.0	1487014.0	1500909.0	1306549.0	1534616.0	1502693.0	1409707.0	1460128.0	1160022.0	1620460.0	1521565.0	1171378.0	1409364.0	1158654.0	1380280.0	1521636.0	914878.0	1522342.0	1169306.0	1448698.0	1461576.0	1442460.0	1527165.0	1213549.0	1352502.0	1339391.0	1490489.0	1419277.0	1330898.0	1071112.0	1363514.0
