	BritoIL_2016__WL.37.ST__bin.67	ZeeviD_2015__PNP_Main_172__bin.30	ZeeviD_2015__PNP_Main_309__bin.11	ZeeviD_2015__PNP_Main_666__bin.1	CM_madagascar__A43_02_1FE__bin.3	QinJ_2012__T2D-024__bin.67	BritoIL_2016__W1.3.ST__bin.39	ZeeviD_2015__PNP_Main_82__bin.22	ZeeviD_2015__PNP_Main_680__bin.1	LiuW_2016__SRR3992974__bin.25	ZeeviD_2015__PNP_Main_480__bin.32	ZeeviD_2015__PNP_Main_72__bin.48	ZeeviD_2015__PNP_Main_626__bin.26	LiJ_2017__H3M517925__bin.71	ZeeviD_2015__PNP_Main_670__bin.20	ZeeviD_2015__PNP_Validation_94__bin.6	ZeeviD_2015__PNP_Main_609__bin.36	ZeeviD_2015__PNP_Main_85__bin.7	ZeeviD_2015__PNP_Main_610__bin.35	LiJ_2014__MH0329__bin.66	LeChatelierE_2013__MH0157__bin.21	BritoIL_2016__W2.39.ST__bin.67	NielsenHB_2014__MH0157__bin.34	CosteaPI_2017__SID713A062-11-0-0__bin.40	ZeeviD_2015__PNP_Main_632__bin.19	ZeeviD_2015__PNP_Main_630__bin.15	CosteaPI_2017__SID713B040-11-90-0__bin.65	ZeeviD_2015__PNP_Main_287__bin.58	ZeeviD_2015__PNP_Main_372__bin.36	LiJ_2014__MH0262__bin.24	LiJ_2014__MH0374__bin.32	ZeeviD_2015__PNP_Main_16__bin.42	CosteaPI_2017__SID713B032-11-90-0__bin.23	ZeeviD_2015__PNP_Main_751__bin.17	CosteaPI_2017__SID713B049-11-0-0__bin.41	ZeeviD_2015__PNP_Validation_73__bin.3	BritoIL_2016__M1.15.ST__bin.85	LiJ_2014__MH0389__bin.39	ZeeviD_2015__PNP_Main_225__bin.2	BritoIL_2016__W2.46.ST__bin.69	CosteaPI_2017__SID713A013-11-0-0__bin.81	BritoIL_2016__M2.57.ST__bin.84	ZeeviD_2015__PNP_Main_73__bin.31
BritoIL_2016__WL.37.ST__bin.67	0.0	13419.0	11925.0	22571.0	21088.0	20929.0	10419.0	21701.0	11279.0	3931.0	23414.0	21433.0	19878.0	19999.0	18885.0	3614.0	20112.0	23391.0	22595.0	3110.0	19302.0	230.0	19492.0	25455.0	2915.0	21582.0	21696.0	22367.0	21168.0	16949.0	22465.0	16996.0	17463.0	15904.0	19727.0	24501.0	25415.0	23347.0	15905.0	319.0	23171.0	487.0	19847.0
ZeeviD_2015__PNP_Main_172__bin.30	13419.0	0.0	16526.0	15764.0	5497.0	17621.0	14664.0	18280.0	1608.0	15562.0	5093.0	5090.0	18454.0	17611.0	17914.0	17323.0	15194.0	4037.0	18110.0	15337.0	18545.0	17564.0	18340.0	6907.0	19570.0	18489.0	6800.0	18709.0	17470.0	14466.0	17860.0	13859.0	17523.0	6263.0	4121.0	4171.0	17361.0	17759.0	14056.0	15946.0	19905.0	17500.0	18985.0
ZeeviD_2015__PNP_Main_309__bin.11	11925.0	16526.0	0.0	14094.0	15227.0	16132.0	14511.0	16329.0	6339.0	13220.0	16975.0	16159.0	16201.0	15840.0	14981.0	14602.0	15124.0	17147.0	16184.0	14080.0	15768.0	15883.0	16102.0	18687.0	16264.0	16622.0	16187.0	1138.0	15611.0	12851.0	17534.0	514.0	15926.0	16778.0	9708.0	18691.0	17399.0	16888.0	11490.0	14096.0	17631.0	15746.0	16481.0
ZeeviD_2015__PNP_Main_666__bin.1	22571.0	15764.0	14094.0	0.0	23328.0	25403.0	12668.0	25108.0	11866.0	22202.0	26399.0	24502.0	25440.0	24546.0	24454.0	23609.0	20967.0	25555.0	22669.0	24231.0	25254.0	25074.0	25437.0	27114.0	25889.0	26338.0	24090.0	24999.0	24560.0	21649.0	24561.0	19451.0	25165.0	17750.0	19866.0	26508.0	26803.0	23602.0	19871.0	24358.0	22977.0	25126.0	25657.0
CM_madagascar__A43_02_1FE__bin.3	21088.0	5497.0	15227.0	23328.0	0.0	24423.0	12720.0	24828.0	5369.0	21809.0	12194.0	12189.0	25005.0	24716.0	24140.0	23976.0	22752.0	10995.0	25214.0	22393.0	24644.0	25137.0	24685.0	10253.0	25501.0	25077.0	9931.0	25083.0	24044.0	22147.0	24333.0	20093.0	24282.0	7159.0	7590.0	11477.0	26234.0	24535.0	19652.0	23851.0	26275.0	25068.0	24976.0
QinJ_2012__T2D-024__bin.67	20929.0	17621.0	16132.0	25403.0	24423.0	0.0	14851.0	24585.0	12161.0	20734.0	27648.0	25843.0	24994.0	24377.0	23485.0	22444.0	24194.0	26904.0	26290.0	23295.0	23736.0	23986.0	24187.0	29294.0	25527.0	25636.0	26206.0	25516.0	24127.0	21216.0	27096.0	20098.0	24025.0	19809.0	20482.0	28825.0	28941.0	28285.0	18162.0	22461.0	28879.0	24324.0	25141.0
BritoIL_2016__W1.3.ST__bin.39	10419.0	14664.0	14511.0	12668.0	12720.0	14851.0	0.0	13986.0	5032.0	12850.0	13604.0	13248.0	15783.0	14792.0	14503.0	14559.0	11328.0	13379.0	13973.0	12723.0	14929.0	14015.0	15101.0	14676.0	16380.0	15206.0	12911.0	14426.0	13768.0	13433.0	13606.0	10921.0	14696.0	15605.0	6343.0	14725.0	12171.0	14513.0	11168.0	12841.0	15237.0	14111.0	17147.0
ZeeviD_2015__PNP_Main_82__bin.22	21701.0	18280.0	16329.0	25108.0	24828.0	24585.0	13986.0	0.0	12571.0	21254.0	28147.0	26223.0	26079.0	25891.0	24901.0	22711.0	24272.0	27871.0	26623.0	23367.0	25620.0	24546.0	25631.0	29794.0	25649.0	25691.0	25352.0	26535.0	807.0	21902.0	26889.0	20061.0	24368.0	20401.0	20265.0	29394.0	29527.0	27761.0	18698.0	23432.0	28426.0	24698.0	26511.0
ZeeviD_2015__PNP_Main_680__bin.1	11279.0	1608.0	6339.0	11866.0	5369.0	12161.0	5032.0	12571.0	0.0	10276.0	2839.0	2654.0	12473.0	12432.0	12016.0	11430.0	11745.0	677.0	12024.0	10923.0	12365.0	12149.0	12330.0	6032.0	12298.0	12465.0	5558.0	12787.0	11912.0	10890.0	11590.0	10733.0	11912.0	3291.0	4288.0	425.0	12401.0	12175.0	9787.0	11884.0	12898.0	12244.0	12532.0
LiuW_2016__SRR3992974__bin.25	3931.0	15562.0	13220.0	22202.0	21809.0	20734.0	12850.0	21254.0	10276.0	0.0	23189.0	22047.0	20831.0	20203.0	19699.0	4381.0	21521.0	23592.0	23135.0	5799.0	20045.0	4533.0	20421.0	25688.0	6665.0	22022.0	22348.0	21844.0	21047.0	17372.0	23044.0	16669.0	17594.0	17606.0	17660.0	24833.0	25209.0	24235.0	16843.0	4267.0	24296.0	4772.0	21023.0
