	CosteaPI_2017__SID713B072-11-0-0__bin.18	LiuW_2016__SRR3993030__bin.73	CosteaPI_2017__SID713B064-11-90-0__bin.6	LiuW_2016__SRR3993012__bin.46	CosteaPI_2017__SID713A023-11-0-0__bin.73	NielsenHB_2014__MH0006__bin.37	SchirmerM_2016__G88960__bin.8	CosteaPI_2017__SID713A081-11-90-0__bin.19	CosteaPI_2017__SID713A040-11-0-0__bin.53	ChengpingW_2017__AS119raw__bin.13	BritoIL_2016__M1.4.ST__bin.14	FengQ_2015__SID530743__bin.84	QinN_2014__LD-17__bin.18	LiuW_2016__SRR3993058__bin.36	CosteaPI_2017__SID713B058-11-0-0__bin.63	CosteaPI_2017__SID713A057-11-90-0__bin.38	LeChatelierE_2013__MH0006__bin.11	RampelliS_2015__H10__bin.1	CosteaPI_2017__SID713A038-11-90-0__bin.47	CosteaPI_2017__SID713B065-11-0-0__bin.30	LeChatelierE_2013__MH0175__bin.3	WenC_2017__RA042__bin.45	RampelliS_2015__H14__bin.88	CosteaPI_2017__SID713A058-11-0-0__bin.5	CosteaPI_2017__SID713A014-11-0-0__bin.4	CosteaPI_2017__SID713B072-11-90-0__bin.33	CosteaPI_2017__SID713B002-11-90-0__bin.87	CM_madagascar__A89_02_1FE__bin.65	CosteaPI_2017__SID713A028-11-90-0__bin.22	CosteaPI_2017__SID713B016-11-90-0__bin.43	BritoIL_2016__M2.39.ST__bin.73	CosteaPI_2017__SID713A073-11-0-0__bin.29	SchirmerM_2016__G88808__bin.1	ZeeviD_2015__PNP_Main_60__bin.58	RampelliS_2015__H17__bin.31	NielsenHB_2014__MH0175__bin.17	LiJ_2014__V1.CD6-0-PT__bin.10	CosteaPI_2017__SID713A058-11-90-0__bin.72	LeChatelierE_2013__MH0189__bin.83	CM_madagascar__A43_02_1FE__bin.25	LiJ_2014__O2.CD2-0__bin.23	LiuW_2016__SRR3993041__bin.71	CosteaPI_2017__SID713B058-11-90-0__bin.39	CosteaPI_2017__SID713B056-11-90-0__bin.21	CosteaPI_2017__SID713A013-11-0-0__bin.83	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.50	ZeeviD_2015__PNP_Main_763__bin.39	CosteaPI_2017__SID713B002-11-0-0__bin.27	YuJ_2015__SZAXPI015220-136__bin.55
CosteaPI_2017__SID713B072-11-0-0__bin.18	1.0	0.8091910648685887	0.8671672637841434	0.8522991294990575	0.9166518523365743	0.8506402880705562	0.5410953152180433	0.9026049590742771	0.8884311897088575	0.8992022074260693	0.8756297907998466	0.7828713625366496	0.7611915447438211	0.871766795178708	0.881646408297479	0.9080962586091252	0.8444320840217907	0.7222264029534139	0.9000227213651724	0.6534850029901317	0.587272036543226	0.8501473253317774	0.8554772122884414	0.8489400028719806	0.8589486733449303	0.8035463506760969	0.8838709208333106	0.6697360504450661	0.8597426487295121	0.9196732485917298	0.9225623156161217	0.6847539639693679	0.7425865638570336	0.6116562421043256	0.8235527853667137	0.7484454041949093	0.8823687659390377	0.9133676153291054	0.8406312540557637	0.861153554621253	0.9211877639086565	0.8868177910107009	0.5772233764675729	0.8191553832367221	0.9157168227170027	0.8279832698043963	0.8783770765055631	0.8400270475131011	0.8065710188078372
LiuW_2016__SRR3993030__bin.73	0.8999028882066177	1.0	0.9304150740790753	0.9393560703765367	0.9518399086615472	0.9110440609386611	0.5840950935499495	0.9420507002803385	0.9375023752364118	0.9510515323205999	0.9276614170235923	0.8423821417799839	0.8433738787873397	0.9590363696199379	0.9203695423131689	0.9501180138738065	0.9144005226732993	0.7957781840498933	0.9397894752162779	0.7434364637399442	0.6685880139304078	0.9023294701544975	0.9310906519589333	0.94499275906653	0.9243437676626622	0.8089181940279078	0.9410152993525611	0.7447302095302166	0.9254794338891859	0.9580931480797173	0.9650688636626429	0.7808616993836109	0.8143038151754765	0.6307742502540997	0.9059248705647767	0.8007574881602045	0.9372690966986034	0.9583094462040286	0.8995022313071926	0.9260333188056462	0.956325972189317	0.9434879709942193	0.6626974276290734	0.899828497823677	0.9579936913720902	0.9008161918754382	0.9261416700155816	0.9166431501416248	0.8858887912290504
CosteaPI_2017__SID713B064-11-90-0__bin.6	0.7878255027926779	0.7600800465297702	1.0	0.797944274589058	0.8480982013310923	0.7894461840997523	0.5026242354443365	0.8282599656046971	0.8419123973367586	0.8381680191060061	0.8088068357279145	0.7077347155748894	0.7158770950864655	0.8270025917029176	0.8070662629770928	0.8429273461153686	0.7843212377288795	0.6774302540608685	0.8208613754355973	0.6035084265849864	0.5560555252615896	0.7987333122174666	0.7993605129107892	0.7865790281130574	0.7932912975656092	0.6991233392310235	0.7993073379178324	0.6233816719340736	0.8049835207063752	0.8577955365373303	0.8545578069972346	0.6259284568451904	0.6908620591140782	0.5671314469311919	0.7730672954306828	0.6907623147173518	0.8157849801452502	0.8475261573074826	0.7855578040247194	0.8018174618089604	0.8483746452385758	0.8306231151364104	0.5317832877933005	0.7450335051997546	0.8531679910322522	0.755873937614834	0.8146626905423486	0.7625128850274082	0.7537172127452201
LiuW_2016__SRR3993012__bin.46	0.8698584291708037	0.8620693621372609	0.8964001769078818	1.0	0.9268121555898884	0.883915704581647	0.564710513700714	0.9086045203525691	0.9109750414442332	0.9271063836734209	0.9008440227546278	0.804997276627827	0.811437272650368	0.9264084731751552	0.8922687396945964	0.9256801380831319	0.8917463271578828	0.7693760138439322	0.9073378183636911	0.684668008317045	0.633050087786084	0.8918591207737642	0.9101576587607246	0.8844325516438928	0.8832771591443713	0.7703124976810523	0.9027548356552493	0.707651191679393	0.8748443522307163	0.92829850830443	0.9328551477670575	0.7185298391058434	0.7933565302309152	0.6273981629481876	0.8707937999130302	0.7856572528521202	0.9204040682876297	0.9291210854307751	0.8726630572709585	0.886433525230893	0.9249796303634478	0.9373442594728085	0.6089801527759845	0.8443585382541032	0.9233359602372821	0.8553792907952988	0.8911244781440107	0.8618140923750032	0.8553677888147321
CosteaPI_2017__SID713A023-11-0-0__bin.73	0.8424019390845476	0.7865643892000608	0.8578945697948492	0.83454570663495	1.0	0.8340144963608755	0.5265773854765775	0.8940860259958939	0.883680652419763	0.8867112237380833	0.8560259791892528	0.7373913566408802	0.7474298944428389	0.842745054148368	0.8786101000111922	0.8869253783202731	0.8282493614618639	0.6989721582338427	0.8930951016733124	0.629859028820663	0.5728852235008761	0.8383761002149899	0.8328398200566959	0.8433858474223773	0.8332517585899876	0.7377728925735801	0.8444171971809105	0.6532195852884822	0.8529322640081652	0.9114288721136322	0.9038900294504313	0.654772790674754	0.7364749353944737	0.604102012418293	0.7988894698421236	0.7365881934340406	0.8732665923863202	0.9471044863881544	0.8249839217016102	0.8419579274781043	0.9048348487303574	0.878344494874155	0.550769837279268	0.7833667706257423	0.9111402144552673	0.7898084469115468	0.8715947834482897	0.7979135797725818	0.7851080712222681
NielsenHB_2014__MH0006__bin.37	0.8704850361197111	0.8383206733913541	0.8892230895317942	0.8862774115831586	0.9286969597538101	1.0	0.5777286211414707	0.9056739456682761	0.9144302505277146	0.9471660405519928	0.9085928379624153	0.8080759492352324	0.805520895414668	0.8986817737758026	0.9038138307726992	0.9306158542800872	0.9554651291700986	0.758575315680099	0.9078915746467828	0.6749519904345451	0.6317404053413571	0.8880690742505783	0.8831963172701252	0.8751044454513867	0.8805117994528286	0.7673066949999368	0.8945586430982669	0.6948686126444659	0.8749534041218658	0.9382107033987276	0.9320362380143496	0.7042625648901081	0.7955971824467654	0.6384833218378233	0.8542179593349122	0.8043549753981204	0.9402925439898572	0.9300217335824399	0.8804757132238544	0.8845088143404441	0.9338052072800432	0.9206285253827559	0.5936738980493347	0.8309408535546423	0.9276753846531592	0.8624798456551064	0.9008830337432282	0.8502596348371246	0.8485788350174813
SchirmerM_2016__G88960__bin.8	0.8774338873401014	0.8516862199045103	0.8971331284571384	0.8972427782909835	0.929154417031331	0.9154806111386545	1.0	0.9224852311695569	0.9061485849571039	0.9453059554597659	0.9090772966481933	0.8269548767353118	0.8176063441271608	0.9138688764841782	0.9051139857184038	0.9347565803164399	0.9050202527959234	0.7822259977397986	0.9168577187293117	0.6894398367278604	0.6425397731191663	0.8940717758380107	0.9059687828102073	0.8869244931200625	0.8967304895511372	0.7964963930510303	0.9019217607169449	0.6982401201667856	0.8910540473463266	0.939317659695256	0.9331784480304002	0.7201164410493607	0.822647878423094	0.6482698612104281	0.8695060864500512	0.8271694602811163	0.9406941777706774	0.9270398258807799	0.8871715000038318	0.8872481369844762	0.9416975327018839	0.9229444635381879	0.5884169688423513	0.8567755049345372	0.9270380573350728	0.8663262412685425	0.9049347730867431	0.8637294266551672	0.869418248679928
CosteaPI_2017__SID713A081-11-90-0__bin.19	0.8805979730856073	0.8264368541755188	0.8894457729109637	0.8685570063466099	0.9491707271397553	0.8634485777053604	0.5550073808512133	1.0	0.9040333283914852	0.9121419790612239	0.8834183733185598	0.7828171230073298	0.7763811342463693	0.8897373183072775	0.8966673736583414	0.9218566121573721	0.8646413601479433	0.7409243194968679	0.9207975433576241	0.6654388893184435	0.6050056429285345	0.8627041083782769	0.8753863331179255	0.8772679004262521	0.8774328257416851	0.772140248232107	0.8866239539656203	0.6876201028708354	0.883609544813223	0.9305174966252379	0.9388818702034221	0.6895864382445137	0.7629618884196891	0.6174392383216916	0.8438788589863726	0.7610544296102301	0.8982268932539517	0.9468043148718654	0.8559180523348814	0.8781592064857856	0.9334301131635938	0.9003187846742176	0.5830858271341514	0.8330959354599359	0.9280780206692208	0.828256352816747	0.8960640662141447	0.8424207773267061	0.8294296279639561
CosteaPI_2017__SID713A040-11-0-0__bin.53	0.8234505847971936	0.7813426934130248	0.8589215309350656	0.827301273240849	0.8912389424960939	0.8282262067180833	0.5179317476592781	0.8588517818531758	1.0	0.8712688031899928	0.846927384466711	0.7396839591600594	0.7529406650962454	0.8438304578403865	0.8708597433570738	0.8732022342618947	0.8297394585382143	0.7021667030013333	0.8556945408033814	0.6265533069994046	0.5805947271715803	0.8257607283017177	0.8261401363510313	0.8218409646803454	0.8215956635614285	0.7252543230110308	0.8358167263689605	0.6426323236114794	0.8519004603102452	0.9437023823523366	0.8846720832837733	0.6649628122829818	0.7274738264043068	0.5891485928375443	0.7967252300624608	0.7226021731387862	0.8617448524672138	0.9041556637770779	0.8220596465844346	0.8349470530338997	0.8798651248188462	0.8566164417118379	0.5592801490406468	0.7729633689278286	0.9398658458963111	0.7876969358588117	0.8538861189555429	0.7947961793676824	0.7836245329422892
ChengpingW_2017__AS119raw__bin.13	0.8350920088808219	0.7942120026145486	0.8568028230642077	0.8436260925463758	0.8960747334132824	0.8595828066422498	0.5413881281128794	0.8682792867252239	0.8730022877299884	1.0	0.8674673046381227	0.7619845855076222	0.7718164900225802	0.8510210379325619	0.8637257722101579	0.8898786854870947	0.855418570857507	0.7142943960068713	0.8646852953251439	0.6398162253265485	0.5914477522445143	0.8592779335342863	0.8400557347205566	0.8276160340971704	0.8290566692596074	0.7281662912304584	0.8524741651271082	0.6585795951771303	0.8417630916496505	0.8990140748063398	0.8941745940427187	0.6647547105089726	0.750308249332858	0.624733953478322	0.8080612771313432	0.7634346740997634	0.900921641871671	0.8886007843645675	0.8357189738437105	0.8427489493188128	0.8984860332328569	0.8839520603074795	0.5635783662312687	0.7888205090806945	0.8950227017361899	0.8169333209088258	0.8625829200834063	0.807371514385419	0.8078387839108029
