	CosteaPI_2017__SID713B072-11-0-0__bin.18	LiuW_2016__SRR3993030__bin.73	CosteaPI_2017__SID713B064-11-90-0__bin.6	LiuW_2016__SRR3993012__bin.46	CosteaPI_2017__SID713A023-11-0-0__bin.73	NielsenHB_2014__MH0006__bin.37	SchirmerM_2016__G88960__bin.8	CosteaPI_2017__SID713A081-11-90-0__bin.19	CosteaPI_2017__SID713A040-11-0-0__bin.53	ChengpingW_2017__AS119raw__bin.13	BritoIL_2016__M1.4.ST__bin.14	FengQ_2015__SID530743__bin.84	QinN_2014__LD-17__bin.18	LiuW_2016__SRR3993058__bin.36	CosteaPI_2017__SID713B058-11-0-0__bin.63	CosteaPI_2017__SID713A057-11-90-0__bin.38	LeChatelierE_2013__MH0006__bin.11	RampelliS_2015__H10__bin.1	CosteaPI_2017__SID713A038-11-90-0__bin.47	CosteaPI_2017__SID713B065-11-0-0__bin.30	LeChatelierE_2013__MH0175__bin.3	WenC_2017__RA042__bin.45	RampelliS_2015__H14__bin.88	CosteaPI_2017__SID713A058-11-0-0__bin.5	CosteaPI_2017__SID713A014-11-0-0__bin.4	CosteaPI_2017__SID713B072-11-90-0__bin.33	CosteaPI_2017__SID713B002-11-90-0__bin.87	CM_madagascar__A89_02_1FE__bin.65	CosteaPI_2017__SID713A028-11-90-0__bin.22	CosteaPI_2017__SID713B016-11-90-0__bin.43	BritoIL_2016__M2.39.ST__bin.73	CosteaPI_2017__SID713A073-11-0-0__bin.29	SchirmerM_2016__G88808__bin.1	ZeeviD_2015__PNP_Main_60__bin.58	RampelliS_2015__H17__bin.31	NielsenHB_2014__MH0175__bin.17	LiJ_2014__V1.CD6-0-PT__bin.10	CosteaPI_2017__SID713A058-11-90-0__bin.72	LeChatelierE_2013__MH0189__bin.83	CM_madagascar__A43_02_1FE__bin.25	LiJ_2014__O2.CD2-0__bin.23	LiuW_2016__SRR3993041__bin.71	CosteaPI_2017__SID713B058-11-90-0__bin.39	CosteaPI_2017__SID713B056-11-90-0__bin.21	CosteaPI_2017__SID713A013-11-0-0__bin.83	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.50	ZeeviD_2015__PNP_Main_763__bin.39	CosteaPI_2017__SID713B002-11-0-0__bin.27	YuJ_2015__SZAXPI015220-136__bin.55
CosteaPI_2017__SID713B072-11-0-0__bin.18	0.0	42249.0	47473.0	58975.0	41003.0	53574.0	33494.0	39097.0	39041.0	59780.0	57958.0	48503.0	53397.0	45833.0	39351.0	44789.0	53864.0	49800.0	39296.0	28236.0	37618.0	61248.0	57008.0	35506.0	37741.0	2014.0	10386.0	38104.0	38186.0	40345.0	49235.0	27352.0	46690.0	39633.0	56621.0	48564.0	56877.0	39969.0	40256.0	46644.0	51249.0	56693.0	24045.0	32633.0	36920.0	51456.0	41786.0	9663.0	57099.0
LiuW_2016__SRR3993030__bin.73	42249.0	0.0	38578.0	57155.0	44540.0	52981.0	33133.0	44254.0	44320.0	57111.0	55401.0	47793.0	54208.0	40192.0	42202.0	42085.0	53572.0	49678.0	44088.0	35207.0	39866.0	57723.0	55675.0	43545.0	42731.0	38017.0	43125.0	38287.0	44641.0	44972.0	45458.0	36362.0	47243.0	37205.0	55661.0	47495.0	55065.0	44636.0	43916.0	44723.0	48240.0	51780.0	29485.0	41344.0	44502.0	51656.0	43554.0	42107.0	56622.0
CosteaPI_2017__SID713B064-11-90-0__bin.6	47473.0	38578.0	0.0	60338.0	49864.0	56027.0	35988.0	48761.0	50382.0	63035.0	58497.0	50311.0	55981.0	44336.0	47868.0	47304.0	56437.0	51560.0	47550.0	35136.0	39965.0	64387.0	59921.0	44187.0	46073.0	42520.0	46414.0	38154.0	47604.0	51443.0	50638.0	35042.0	49504.0	41898.0	58956.0	51265.0	59840.0	50007.0	46528.0	48382.0	55087.0	58377.0	28868.0	41757.0	50816.0	54169.0	49232.0	43423.0	58445.0
LiuW_2016__SRR3993012__bin.46	58975.0	57155.0	60338.0	0.0	62739.0	66218.0	41681.0	61837.0	61845.0	70718.0	69191.0	60131.0	65429.0	61585.0	60079.0	61417.0	67622.0	62639.0	61459.0	47016.0	48111.0	71753.0	73323.0	59153.0	59070.0	53069.0	60801.0	48469.0	59726.0	62977.0	62152.0	48470.0	58645.0	47130.0	70913.0	60387.0	69683.0	62891.0	60818.0	59234.0	64697.0	62750.0	40347.0	55888.0	62970.0	63627.0	60323.0	58121.0	68468.0
CosteaPI_2017__SID713A023-11-0-0__bin.73	41003.0	44540.0	49864.0	62739.0	0.0	57074.0	35128.0	35092.0	40524.0	64471.0	61877.0	49618.0	57764.0	47641.0	40244.0	47857.0	57473.0	51673.0	8933.0	27399.0	39300.0	66030.0	59344.0	9282.0	36939.0	35916.0	38153.0	39525.0	37391.0	40179.0	52649.0	26700.0	49962.0	43463.0	58937.0	51839.0	61146.0	10582.0	40573.0	49858.0	55740.0	60213.0	23756.0	28867.0	41760.0	53791.0	43661.0	36266.0	60338.0
NielsenHB_2014__MH0006__bin.37	53574.0	52981.0	56027.0	66218.0	57074.0	0.0	17463.0	56568.0	56815.0	38136.0	65255.0	26051.0	36990.0	57447.0	55648.0	56535.0	823.0	57909.0	55928.0	42826.0	16446.0	34300.0	65987.0	53378.0	54224.0	48246.0	54431.0	44731.0	54523.0	58293.0	56856.0	43878.0	24640.0	28414.0	64276.0	22166.0	29412.0	57154.0	54408.0	54991.0	59293.0	64275.0	36041.0	51016.0	56904.0	29687.0	56193.0	52152.0	32327.0
SchirmerM_2016__G88960__bin.8	33494.0	33133.0	35988.0	41681.0	35128.0	17463.0	0.0	35645.0	35288.0	23726.0	40317.0	15098.0	24233.0	36933.0	34513.0	35259.0	17280.0	38455.0	34480.0	27614.0	12390.0	22407.0	43166.0	33370.0	34058.0	31242.0	34168.0	28401.0	34862.0	35851.0	35324.0	27873.0	14095.0	17906.0	41804.0	16858.0	17553.0	34945.0	34000.0	34448.0	37806.0	40705.0	22205.0	32839.0	35583.0	17242.0	34661.0	32894.0	21772.0
CosteaPI_2017__SID713A081-11-90-0__bin.19	39097.0	44254.0	48761.0	61837.0	35092.0	56568.0	35645.0	0.0	40388.0	63420.0	60531.0	49367.0	56509.0	48735.0	39158.0	47112.0	57128.0	52095.0	32082.0	27519.0	39912.0	65055.0	59694.0	30427.0	37819.0	34925.0	37756.0	39897.0	39090.0	40816.0	52584.0	28628.0	49345.0	42575.0	59554.0	51060.0	59499.0	33396.0	39923.0	49400.0	54684.0	59008.0	24395.0	9508.0	41647.0	53939.0	42022.0	35492.0	60457.0
CosteaPI_2017__SID713A040-11-0-0__bin.53	39041.0	44320.0	50382.0	61845.0	40524.0	56815.0	35288.0	40388.0	0.0	63349.0	61157.0	49494.0	57778.0	49632.0	40943.0	47496.0	57902.0	52075.0	38779.0	29235.0	40902.0	64581.0	59804.0	36226.0	37730.0	35512.0	39895.0	38715.0	9262.0	8781.0	51565.0	7840.0	50269.0	42431.0	58810.0	51480.0	60079.0	41887.0	39581.0	49739.0	53389.0	59654.0	24490.0	34901.0	8736.0	53968.0	42064.0	37513.0	60682.0
ChengpingW_2017__AS119raw__bin.13	59780.0	57111.0	63035.0	70718.0	64471.0	38136.0	23726.0	63420.0	63349.0	0.0	69535.0	33464.0	35097.0	61984.0	62091.0	61078.0	37347.0	62281.0	61618.0	46708.0	26270.0	42838.0	72166.0	57731.0	58866.0	52431.0	59305.0	47771.0	61681.0	65031.0	62514.0	47020.0	33219.0	27493.0	69156.0	35910.0	39749.0	63879.0	60293.0	58892.0	67194.0	70138.0	39021.0	55615.0	64818.0	37832.0	61699.0	56157.0	39906.0
BritoIL_2016__M1.4.ST__bin.14	57958.0	55401.0	58497.0	69191.0	61877.0	65255.0	40317.0	60531.0	61157.0	69535.0	0.0	58743.0	61635.0	60982.0	61421.0	60830.0	64856.0	60372.0	60581.0	45838.0	47310.0	67998.0	68727.0	57051.0	58384.0	51970.0	58815.0	43477.0	59652.0	63900.0	57220.0	46008.0	56092.0	46213.0	67950.0	58979.0	68507.0	61717.0	59799.0	51443.0	61163.0	67410.0	38709.0	53814.0	62595.0	61597.0	61685.0	56302.0	64640.0
FengQ_2015__SID530743__bin.84	48503.0	47793.0	50311.0	60131.0	49618.0	26051.0	15098.0	49367.0	49494.0	33464.0	58743.0	0.0	34263.0	51728.0	48399.0	50025.0	25957.0	53165.0	49900.0	38445.0	17746.0	31541.0	60384.0	48643.0	47160.0	43977.0	48316.0	39713.0	48446.0	50334.0	49897.0	39366.0	22725.0	24720.0	58830.0	23368.0	26821.0	50352.0	48728.0	48397.0	53640.0	57554.0	33123.0	46245.0	50192.0	27410.0	48845.0	46677.0	31509.0
QinN_2014__LD-17__bin.18	53397.0	54208.0	55981.0	65429.0	57764.0	36990.0	24233.0	56509.0	57778.0	35097.0	61635.0	34263.0	0.0	57627.0	56244.0	56239.0	36796.0	57927.0	56351.0	44285.0	26488.0	36785.0	64299.0	54039.0	55028.0	48447.0	54827.0	44713.0	55631.0	58646.0	56355.0	44837.0	33297.0	22177.0	64112.0	34381.0	38756.0	57524.0	56050.0	53983.0	58982.0	62113.0	37686.0	51882.0	58152.0	37422.0	56900.0	52581.0	35673.0
LiuW_2016__SRR3993058__bin.36	45833.0	40192.0	44336.0	61585.0	47641.0	57447.0	36933.0	48735.0	49632.0	61984.0	60982.0	51728.0	57627.0	0.0	47702.0	47535.0	57328.0	54079.0	47602.0	36973.0	41215.0	63969.0	61475.0	45710.0	47125.0	41573.0	47114.0	40853.0	47366.0	49962.0	50325.0	37419.0	50243.0	41591.0	60937.0	52227.0	59858.0	48420.0	47516.0	49186.0	53472.0	58219.0	30803.0	43639.0	49504.0	54934.0	48651.0	44790.0	60036.0
CosteaPI_2017__SID713B058-11-0-0__bin.63	39351.0	42202.0	47868.0	60079.0	40244.0	55648.0	34513.0	39158.0	40943.0	62091.0	61421.0	48399.0	56244.0	47702.0	0.0	47126.0	56072.0	50165.0	38555.0	17224.0	38860.0	63956.0	58253.0	35706.0	4959.0	35063.0	38582.0	38059.0	39037.0	40741.0	51468.0	28208.0	47962.0	42296.0	57053.0	50659.0	58896.0	40718.0	39196.0	48371.0	52589.0	57040.0	1127.0	34649.0	40199.0	52867.0	41577.0	36241.0	58639.0
CosteaPI_2017__SID713A057-11-90-0__bin.38	44789.0	42085.0	47304.0	61417.0	47857.0	56535.0	35259.0	47112.0	47496.0	61078.0	60830.0	50025.0	56239.0	47535.0	47126.0	0.0	56779.0	52361.0	46618.0	34339.0	39601.0	62493.0	60122.0	42879.0	44055.0	39688.0	44162.0	38638.0	46998.0	49695.0	51101.0	33828.0	48514.0	40739.0	58812.0	51261.0	59005.0	48131.0	45785.0	48531.0	52793.0	60073.0	27602.0	40060.0	48965.0	52871.0	47380.0	40924.0	59125.0
LeChatelierE_2013__MH0006__bin.11	53864.0	53572.0	56437.0	67622.0	57473.0	823.0	17280.0	57128.0	57902.0	37347.0	64856.0	25957.0	36796.0	57328.0	56072.0	56779.0	0.0	59804.0	56682.0	42989.0	16351.0	34818.0	68104.0	54020.0	54512.0	48771.0	54792.0	44979.0	55129.0	59128.0	57025.0	44544.0	24727.0	28466.0	65995.0	21673.0	29831.0	57836.0	55395.0	55830.0	60912.0	64707.0	36719.0	51582.0	58086.0	29333.0	56735.0	52622.0	32550.0
