	RaymondF_2016__P7C0__bin.13	CosteaPI_2017__SID713A073-11-90-0__bin.30	CosteaPI_2017__SID713A058-11-90-0__bin.32	XieH_2016__YSZC12003_37322__bin.16	LiuW_2016__SRR3992983__bin.32	BritoIL_2016__M2.37.ST__bin.52	RaymondF_2016__P7C7__bin.83	YuJ_2015__SZAXPI003412-1__bin.62	BritoIL_2016__M1.48.ST__bin.71	QinJ_2012__T2D-099__bin.10	RaymondF_2016__P7C90__bin.37	BritoIL_2016__M1.59.ST__bin.76	XieH_2016__YSZC12003_36666__bin.31	ZellerG_2014__CCIS07539127ST-4-0__bin.34	CosteaPI_2017__SID713B016-11-90-0__bin.11	LiJ_2014__MH0245__bin.25	BritoIL_2016__W2.59.ST__bin.17	NielsenHB_2014__V1_UC9_0__bin.13	ZellerG_2014__CCIS41222843ST-4-0__bin.49	LiSS_2016__FAT_008-22-42-0__bin.15	BritoIL_2016__M2.50.ST__bin.12	XieH_2016__YSZC12003_36474__bin.114	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.29	CM_madagascar__A73_01_1FE__bin.1	BritoIL_2016__M1.1.ST__bin.41	CosteaPI_2017__SID713A073-11-0-0__bin.1	YuJ_2015__SZAXPI015249-37__bin.28	LeChatelierE_2013__MH0200__bin.5	LiJ_2014__V1.FI14__bin.38	BritoIL_2016__W1.18.ST__bin.80	CosteaPI_2017__SID713A045-11-90-0__bin.3	BritoIL_2016__M2.40.ST__bin.87	KarlssonFH_2013__S144__bin.41	BritoIL_2016__M1.22.ST__bin.28
RaymondF_2016__P7C0__bin.13	1735046.0	1250604.0	1404223.0	1230891.0	784402.0	1311071.0	1708564.0	1405083.0	1008561.0	1173323.0	1665220.0	1145682.0	1447964.0	1424728.0	1230116.0	1407935.0	1409181.0	1210778.0	1468387.0	1167818.0	855528.0	1412520.0	1253361.0	1317120.0	1475940.0	1532372.0	1284698.0	1401379.0	1389693.0	1301489.0	950308.0	832430.0	1429412.0	1181110.0
CosteaPI_2017__SID713A073-11-90-0__bin.30	1250604.0	1566251.0	1212582.0	1099943.0	690161.0	1153626.0	1299616.0	1185226.0	903173.0	1001830.0	1277635.0	1041569.0	1247953.0	1251062.0	1089710.0	1230792.0	1241343.0	1079678.0	1256527.0	1045926.0	773210.0	1205944.0	1134041.0	1172058.0	1316497.0	1433634.0	1121629.0	1232730.0	1215131.0	1140929.0	861207.0	756704.0	1268478.0	1053539.0
CosteaPI_2017__SID713A058-11-90-0__bin.32	1404223.0	1212582.0	1598373.0	1216936.0	768745.0	1275067.0	1432014.0	1326975.0	993196.0	1113972.0	1403237.0	1125144.0	1405249.0	1407934.0	1196624.0	1414053.0	1355557.0	1169385.0	1410581.0	1166685.0	830237.0	1356463.0	1235811.0	1253792.0	1422523.0	1446920.0	1262014.0	1340803.0	1355603.0	1243012.0	915470.0	829343.0	1373141.0	1144338.0
XieH_2016__YSZC12003_37322__bin.16	1230891.0	1099943.0	1216936.0	1494220.0	695390.0	1136781.0	1270136.0	1177963.0	924116.0	1004175.0	1237766.0	1006564.0	1235510.0	1220786.0	1128202.0	1240479.0	1202863.0	1075849.0	1280441.0	1083607.0	800737.0	1216322.0	1123570.0	1129517.0	1255008.0	1303611.0	1120549.0	1238123.0	1199754.0	1163573.0	854355.0	768654.0	1249647.0	1053945.0
LiuW_2016__SRR3992983__bin.32	784402.0	690161.0	768745.0	695390.0	984744.0	742413.0	805415.0	772638.0	604610.0	640142.0	786668.0	672053.0	801813.0	776527.0	688580.0	756250.0	789935.0	684834.0	782883.0	681150.0	523797.0	794785.0	722359.0	713363.0	788372.0	791215.0	737671.0	774132.0	784554.0	782533.0	578516.0	509237.0	755137.0	718787.0
BritoIL_2016__M2.37.ST__bin.52	1311071.0	1153626.0	1275067.0	1136781.0	742413.0	1486494.0	1362419.0	1276839.0	968240.0	1072322.0	1339591.0	1090258.0	1352321.0	1298016.0	1170534.0	1299231.0	1270959.0	1122665.0	1299207.0	1090231.0	826669.0	1280879.0	1199939.0	1200918.0	1339415.0	1350872.0	1210485.0	1286773.0	1284481.0	1210937.0	906744.0	809264.0	1331477.0	1115916.0
RaymondF_2016__P7C7__bin.83	1708564.0	1299616.0	1432014.0	1270136.0	805415.0	1362419.0	2055891.0	1467804.0	1040638.0	1216378.0	1765395.0	1177496.0	1505938.0	1487534.0	1270322.0	1458404.0	1432121.0	1254437.0	1514510.0	1205846.0	879090.0	1483687.0	1288716.0	1363214.0	1528868.0	1661161.0	1338902.0	1452005.0	1450989.0	1356401.0	994444.0	862793.0	1481663.0	1220177.0
YuJ_2015__SZAXPI003412-1__bin.62	1405083.0	1185226.0	1326975.0	1177963.0	772638.0	1276839.0	1467804.0	1635684.0	1003752.0	1121419.0	1436820.0	1073604.0	1392433.0	1355750.0	1170799.0	1321812.0	1321428.0	1168044.0	1400498.0	1136565.0	826611.0	1374462.0	1217128.0	1259466.0	1381972.0	1438449.0	1252730.0	1339198.0	1325962.0	1238882.0	919591.0	813394.0	1358896.0	1152477.0
BritoIL_2016__M1.48.ST__bin.71	1008561.0	903173.0	993196.0	924116.0	604610.0	968240.0	1040638.0	1003752.0	1144647.0	820963.0	1020209.0	860436.0	1026423.0	993162.0	949763.0	989236.0	978994.0	895621.0	1029363.0	871262.0	662483.0	997632.0	941223.0	925059.0	1024616.0	1032568.0	949825.0	1007679.0	1000428.0	949933.0	726397.0	664383.0	999766.0	890988.0
QinJ_2012__T2D-099__bin.10	1173323.0	1001830.0	1113972.0	1004175.0	640142.0	1072322.0	1216378.0	1121419.0	820963.0	1305462.0	1185772.0	911555.0	1162423.0	1132808.0	998045.0	1114682.0	1119293.0	974019.0	1154578.0	953436.0	698872.0	1127003.0	1024511.0	1064949.0	1169271.0	1184583.0	1057171.0	1109402.0	1118741.0	1070587.0	805023.0	697759.0	1165167.0	966561.0
