	RaymondF_2016__P7C0__bin.13	CosteaPI_2017__SID713A073-11-90-0__bin.30	CosteaPI_2017__SID713A058-11-90-0__bin.32	XieH_2016__YSZC12003_37322__bin.16	LiuW_2016__SRR3992983__bin.32	BritoIL_2016__M2.37.ST__bin.52	RaymondF_2016__P7C7__bin.83	YuJ_2015__SZAXPI003412-1__bin.62	BritoIL_2016__M1.48.ST__bin.71	QinJ_2012__T2D-099__bin.10	RaymondF_2016__P7C90__bin.37	BritoIL_2016__M1.59.ST__bin.76	XieH_2016__YSZC12003_36666__bin.31	ZellerG_2014__CCIS07539127ST-4-0__bin.34	CosteaPI_2017__SID713B016-11-90-0__bin.11	LiJ_2014__MH0245__bin.25	BritoIL_2016__W2.59.ST__bin.17	NielsenHB_2014__V1_UC9_0__bin.13	ZellerG_2014__CCIS41222843ST-4-0__bin.49	LiSS_2016__FAT_008-22-42-0__bin.15	BritoIL_2016__M2.50.ST__bin.12	XieH_2016__YSZC12003_36474__bin.114	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.29	CM_madagascar__A73_01_1FE__bin.1	BritoIL_2016__M1.1.ST__bin.41	CosteaPI_2017__SID713A073-11-0-0__bin.1	YuJ_2015__SZAXPI015249-37__bin.28	LeChatelierE_2013__MH0200__bin.5	LiJ_2014__V1.FI14__bin.38	BritoIL_2016__W1.18.ST__bin.80	CosteaPI_2017__SID713A045-11-90-0__bin.3	BritoIL_2016__M2.40.ST__bin.87	KarlssonFH_2013__S144__bin.41	BritoIL_2016__M1.22.ST__bin.28
RaymondF_2016__P7C0__bin.13	0.0	28943.0	32547.0	28761.0	22405.0	30230.0	1407.0	32204.0	24256.0	26765.0	1511.0	26730.0	36395.0	32584.0	28195.0	32512.0	37267.0	26874.0	34623.0	27949.0	24429.0	33863.0	30992.0	32094.0	34818.0	36390.0	27720.0	32651.0	31728.0	32595.0	25001.0	18823.0	34043.0	30789.0
CosteaPI_2017__SID713A073-11-90-0__bin.30	28943.0	0.0	26677.0	25478.0	19204.0	23948.0	29533.0	29978.0	20180.0	25094.0	29189.0	21881.0	27439.0	26291.0	24353.0	27596.0	32043.0	23470.0	28404.0	24645.0	21304.0	26367.0	26370.0	26285.0	26548.0	1805.0	26567.0	27420.0	27187.0	26867.0	23149.0	16775.0	27177.0	26492.0
CosteaPI_2017__SID713A058-11-90-0__bin.32	32547.0	26677.0	0.0	25269.0	20402.0	28666.0	32468.0	32058.0	22405.0	26726.0	31841.0	24837.0	34023.0	28098.0	24753.0	20337.0	35189.0	23075.0	29253.0	24988.0	23021.0	27967.0	29526.0	30102.0	32103.0	32715.0	29184.0	26455.0	27674.0	29639.0	22517.0	16704.0	30534.0	28373.0
XieH_2016__YSZC12003_37322__bin.16	28761.0	25478.0	25269.0	0.0	19277.0	26291.0	29775.0	29575.0	21566.0	23962.0	28757.0	23317.0	30159.0	25063.0	23490.0	26325.0	31901.0	21986.0	26665.0	23439.0	23593.0	22868.0	27589.0	28306.0	29507.0	30556.0	26877.0	26647.0	25539.0	28209.0	21778.0	16110.0	29047.0	27399.0
LiuW_2016__SRR3992983__bin.32	22405.0	19204.0	20402.0	19277.0	0.0	20468.0	22835.0	22833.0	17170.0	18731.0	22383.0	19110.0	22905.0	20887.0	18293.0	20435.0	20525.0	18695.0	21498.0	18772.0	14826.0	21337.0	21206.0	20671.0	22350.0	21832.0	21991.0	21147.0	21588.0	21292.0	14355.0	13023.0	21462.0	17815.0
BritoIL_2016__M2.37.ST__bin.52	30230.0	23948.0	28666.0	26291.0	20468.0	0.0	31268.0	30970.0	20971.0	25921.0	30960.0	22466.0	28789.0	28495.0	26567.0	29418.0	30278.0	24981.0	29232.0	25780.0	22160.0	29270.0	25999.0	24564.0	26812.0	28007.0	28319.0	29305.0	29320.0	28069.0	23474.0	18022.0	27588.0	27463.0
RaymondF_2016__P7C7__bin.83	1407.0	29533.0	32468.0	29775.0	22835.0	31268.0	0.0	33317.0	24962.0	26969.0	647.0	27427.0	37518.0	33154.0	28983.0	33502.0	36942.0	28044.0	34830.0	28008.0	24889.0	35551.0	31395.0	32829.0	35385.0	40213.0	28518.0	33406.0	32895.0	33404.0	26185.0	19323.0	34118.0	31312.0
YuJ_2015__SZAXPI003412-1__bin.62	32204.0	29978.0	32058.0	29575.0	22833.0	30970.0	33317.0	0.0	25124.0	25190.0	33037.0	25728.0	36078.0	32887.0	28406.0	32602.0	35480.0	27941.0	34630.0	28994.0	23879.0	34070.0	31467.0	32033.0	33381.0	36514.0	27550.0	32754.0	32712.0	32007.0	25337.0	19191.0	33794.0	31016.0
BritoIL_2016__M1.48.ST__bin.71	24256.0	20180.0	22405.0	21566.0	17170.0	20971.0	24962.0	25124.0	0.0	20579.0	24700.0	18500.0	23461.0	23294.0	22687.0	23054.0	25316.0	20416.0	24225.0	21119.0	18530.0	22851.0	22214.0	21645.0	21574.0	23072.0	23513.0	23827.0	23844.0	23318.0	19334.0	15490.0	21869.0	22611.0
QinJ_2012__T2D-099__bin.10	26765.0	25094.0	26726.0	23962.0	18731.0	25921.0	26969.0	25190.0	20579.0	0.0	26933.0	22399.0	30058.0	26964.0	24588.0	26581.0	30147.0	23277.0	27375.0	23045.0	19710.0	27045.0	25882.0	27401.0	29191.0	29455.0	22157.0	26642.0	27474.0	27102.0	21541.0	16234.0	28249.0	25365.0
